time,in,out
2018-01-01 09:00:00,231979317.79666662,272679626.1172222
2018-01-01 10:00:00,220363966.2922223,203095785.21277764
2018-01-01 11:00:00,216566931.57027772,170000347.74166673
2018-01-01 12:00:00,230191219.87111107,160086720.5122223
2018-01-01 13:00:00,113893968.19138893,165709239.13722223
2018-01-01 14:00:00,108791847.97166666,155936132.99166664
2018-01-01 15:00:00,104622818.11611106,169680853.78999996
2018-01-01 16:00:00,106115422.70361106,185375110.3227777
2018-01-01 17:00:00,90364961.33277778,190977600.3305556
2018-01-01 18:00:00,108631672.95694445,183101419.84722224
2018-01-01 19:00:00,105861211.8830556,188324730.5561112
2018-01-01 20:00:00,115464269.46805556,187315037.36222225
2018-01-01 21:00:00,111026012.51361114,206830879.44166672
2018-01-01 22:00:00,107107814.26222225,188407943.60000005
2018-01-01 23:00:00,130386867.04555559,197207232.56888896
2018-01-02 00:00:00,168318506.65084752,186442187.48757064
2018-01-02 01:00:00,156578964.04194453,205541815.57999992
2018-01-02 02:00:00,210147352.7375001,228081456.4933334
2018-01-02 03:00:00,266020767.28555545,255819990.33055562
2018-01-02 04:00:00,184186853.3480555,190763848.53888902
2018-01-02 05:00:00,145650547.0838889,172734242.5111111
2018-01-02 06:00:00,181380748.04888886,175142847.3411111
2018-01-02 07:00:00,276171634.97638893,201245609.996111
2018-01-02 08:00:00,237322301.62722215,194794876.45166656
2018-01-02 09:00:00,212915508.7080555,203140123.9422222
2018-01-02 10:00:00,211589205.24083334,266356732.11666662
2018-01-02 11:00:00,209936976.96166664,277085644.8972223
2018-01-02 12:00:00,224565728.1136111,226831186.34
2018-01-02 13:00:00,292920836.43472207,495154058.48555547
2018-01-02 14:00:00,234803539.4552778,987314902.0605562
2018-01-02 15:00:00,336205296.90333354,1545176091.5811114
2018-01-02 16:00:00,364792332.9947223,1830387473.4844444
2018-01-02 17:00:00,516688632.4330556,2104425860.9611115
2018-01-02 18:00:00,496968794.4463891,1979967993.7611113
2018-01-02 19:00:00,619322391.7888887,1941616547.95111
2018-01-02 20:00:00,505968696.4808333,2042797337.7744434
2018-01-02 21:00:00,421719867.762778,2028473960.5694454
2018-01-02 22:00:00,400935022.5847223,1596641875.498889
2018-01-02 23:00:00,377378166.7049999,1237738708.145555
2018-01-03 00:00:00,231304141.9562147,835732711.2282485
2018-01-03 01:00:00,198433534.01138884,608871316.7655556
2018-01-03 02:00:00,255443008.83972222,570821037.6127777
2018-01-03 03:00:00,269264305.94861114,399879217.37499994
2018-01-03 04:00:00,204720328.5138888,217795029.12611103
2018-01-03 05:00:00,182618788.6694445,185063933.57777777
2018-01-03 06:00:00,169150690.36583328,175615020.8666666
2018-01-03 07:00:00,284462080.24388885,233798962.78277782
2018-01-03 08:00:00,235989695.62499997,215533927.50888887
2018-01-03 09:00:00,261562216.38444442,249765298.17388886
2018-01-03 10:00:00,266989278.12222216,261347379.86666688
2018-01-03 11:00:00,237145971.03750005,221797712.181111
2018-01-03 12:00:00,312360564.9877777,218894807.06222236
2018-01-03 13:00:00,332447833.90472203,487841353.1311111
2018-01-03 14:00:00,371616962.97388875,890519195.8138899
2018-01-03 15:00:00,462248023.7205559,1466742576.7033331
2018-01-03 16:00:00,405625415.8330556,1533855421.5988896
2018-01-03 17:00:00,471781167.4236111,1324623142.4949994
2018-01-03 18:00:00,424990266.97222245,1426523173.8961108
2018-01-03 19:00:00,373931752.0747224,1345377613.722222
2018-01-03 20:00:00,406478025.4283334,1353575768.76
2018-01-03 21:00:00,429781826.3405557,1288248964.4177775
2018-01-03 22:00:00,483853862.7102776,1451689735.31
2018-01-03 23:00:00,519330955.4750001,1289926920.8777769
2018-01-04 00:00:00,332617968.50988704,882223846.0485877
2018-01-04 01:00:00,232789329.63944435,699010439.7633332
2018-01-04 02:00:00,251247927.25055557,663632999.3083335
2018-01-04 03:00:00,285633297.7175002,726073334.9966667
2018-01-04 04:00:00,148330775.8758334,562156260.4755555
2018-01-04 05:00:00,161905601.54527774,536749461.9288889
2018-01-04 06:00:00,214379013.80416676,492262586.6772223
2018-01-04 07:00:00,224356700.24277776,537295523.6555556
2018-01-04 08:00:00,210841826.57999998,429659840.04111105
2018-01-04 09:00:00,199561954.39694443,241428910.86055538
2018-01-04 10:00:00,192202901.82361105,235845987.88333324
2018-01-04 11:00:00,202458022.4375001,268710225.85944444
2018-01-04 12:00:00,138783210.43333334,269234679.6133334
2018-01-04 13:00:00,160626639.39777777,439686763.265
2018-01-04 14:00:00,251058925.61722213,898887654.3116666
2018-01-04 15:00:00,374865215.81222224,1233267912.551111
2018-01-04 16:00:00,490667231.2649999,1496905470.8627775
2018-01-04 17:00:00,447440483.28277767,1421605433.4316666
2018-01-04 18:00:00,434688607.9447223,1565391662.9083333
2018-01-04 19:00:00,378898221.66749996,1631584180.4177778
2018-01-04 20:00:00,396176132.51944435,1407852351.881667
2018-01-04 21:00:00,421144531.04861104,1357589687.4155555
2018-01-04 22:00:00,321330640.90666676,1304374310.475
2018-01-04 23:00:00,256513438.7144445,952236542.7033336
2018-01-05 00:00:00,203252267.30706218,522335732.92598855
2018-01-05 01:00:00,179987201.81861112,382837922.95833313
2018-01-05 02:00:00,212630296.93416658,366428284.3805555
2018-01-05 03:00:00,267824049.69222233,235629420.44444454
2018-01-05 04:00:00,199400040.0836112,222027735.5666667
2018-01-05 05:00:00,165713116.2108334,309435462.79611105
2018-01-05 06:00:00,199156465.70916668,346613182.15222245
2018-01-05 07:00:00,342200320.1469444,367645334.4555556
2018-01-05 08:00:00,296072388.9330557,342439280.32555544
2018-01-05 09:00:00,211291834.3961111,344883458.24388885
2018-01-05 10:00:00,206666857.95666668,360358898.41555536
2018-01-05 11:00:00,204449133.2941666,338543307.6861111
2018-01-05 12:00:00,220493576.66749996,305039380.89055556
2018-01-05 13:00:00,175390001.34888893,409573024.6466667
2018-01-05 14:00:00,215809478.19222215,633766232.6783333
2018-01-05 15:00:00,301823074.1216666,833855308.7183334
2018-01-05 16:00:00,306939711.05333334,1155309091.3677773
2018-01-05 17:00:00,412749090.1605554,1090208359.1344447
2018-01-05 18:00:00,377758058.2586109,1045308326.943889
2018-01-05 19:00:00,502666535.92555547,1042255788.9944446
2018-01-05 20:00:00,278671779.7855556,1130186780.7033334
2018-01-05 21:00:00,314569780.3019445,1022214498.0855557
2018-01-05 22:00:00,294875909.2725001,833107137.7194444
2018-01-05 23:00:00,229567561.01777786,664627309.6127777
2018-01-06 00:00:00,145712408.4737288,431368776.4491525
2018-01-06 01:00:00,156675368.58916667,340085817.56499994
2018-01-06 02:00:00,185056507.0377778,384508387.3044444
2018-01-06 03:00:00,188173210.2236111,319750596.16
2018-01-06 04:00:00,148185199.92944443,317071538.68333334
2018-01-06 05:00:00,137967352.31527784,255889514.59944436
2018-01-06 06:00:00,203870910.12,251037995.1261111
2018-01-06 07:00:00,221173911.8638889,300085551.306111
2018-01-06 08:00:00,229873381.29361114,358593475.52277774
2018-01-06 09:00:00,202092402.74222225,311263167.2711112
2018-01-06 10:00:00,205631322.54972225,304483500.8122223
2018-01-06 11:00:00,185636541.73833337,275126807.45111114
2018-01-06 12:00:00,178295185.3336111,191509407.0927778
2018-01-06 13:00:00,102947137.96138884,205884636.2611112
2018-01-06 14:00:00,116817837.02944447,192396241.49722224
2018-01-06 15:00:00,115595523.08166668,223809311.35
2018-01-06 16:00:00,137350670.73388895,243585208.485
2018-01-06 17:00:00,192631334.18722227,213004431.17888874
2018-01-06 18:00:00,204535569.18027788,222448882.65444452
2018-01-06 19:00:00,128224344.07472223,218219598.93944445
2018-01-06 20:00:00,124828876.9558334,201203111.2516666
2018-01-06 21:00:00,117447812.06500001,208699528.09000012
2018-01-06 22:00:00,127941233.77888887,223575089.05611098
