time,in,out
2018-01-01 09:00:00,2726693137.059445,5627768177.156666
2018-01-01 10:00:00,4623651812.428889,6190881742.7322235
2018-01-01 11:00:00,2483064528.9972224,2286046379.56
2018-01-01 12:00:00,1020563188.7938894,2556964010.471112
2018-01-01 13:00:00,1950718186.7883337,4193035609.929999
2018-01-01 14:00:00,872758944.3177781,1456975415.9455564
2018-01-01 15:00:00,1182857345.2466667,2659308945.664445
2018-01-01 16:00:00,579154059.7266667,1785173742.7527773
2018-01-01 17:00:00,765260764.7355552,1905074411.800555
2018-01-01 18:00:00,618375245.7144445,1267352877.7027774
2018-01-01 19:00:00,1219030721.1933336,2727688488.056667
2018-01-01 20:00:00,605929899.7800001,3423791917.031111
2018-01-01 21:00:00,3307735449.223889,4211502350.4972215
2018-01-01 22:00:00,4236959302.381111,2505320619.295554
2018-01-01 23:00:00,4059106901.382223,1245066203.0638893
2018-01-02 00:00:00,2515907479.564971,12489236492.297176
2018-01-02 01:00:00,4825111873.316112,8046543771.050557
2018-01-02 02:00:00,4741251877.015557,2913140277.6522236
2018-01-02 03:00:00,5091516899.313887,2031388303.6905558
2018-01-02 04:00:00,4830907570.034446,7689404016.237223
2018-01-02 05:00:00,4057249449.1994443,6317555076.474443
2018-01-02 06:00:00,6926231449.074447,6849270459.627223
2018-01-02 07:00:00,7372106498.730556,3334789119.309445
2018-01-02 08:00:00,4998035348.187776,2667265939.4016666
2018-01-02 09:00:00,2870870038.440556,1733589620.5827777
2018-01-02 10:00:00,4633339206.836109,7922799938.782778
2018-01-02 11:00:00,4223180369.5722227,3654420223.486667
2018-01-02 12:00:00,3775913264.888333,8578624495.634446
2018-01-02 13:00:00,5852313025.030555,3776358581.797221
2018-01-02 14:00:00,5811601962.294446,1798340026.6199996
2018-01-02 15:00:00,4111030481.297221,980643483.1461111
2018-01-02 16:00:00,3677288972.695556,1196979965.3633337
2018-01-02 17:00:00,5185992971.176113,1770896870.0822227
2018-01-02 18:00:00,3860657486.898333,6292721365.548334
2018-01-02 19:00:00,6648681212.306111,2997960122.7299986
2018-01-02 20:00:00,6012163076.354448,2993927716.6316676
2018-01-02 21:00:00,10566507916.41611,4805747920.954444
2018-01-02 22:00:00,6071095586.042221,10052637971.843885
2018-01-02 23:00:00,3558804312.570001,6144244344.717223
2018-01-03 00:00:00,1735515295.1610165,3594003288.7141232
2018-01-03 01:00:00,2929714704.9777775,7516574418.948887
2018-01-03 02:00:00,3218023585.6755543,3509758960.519445
2018-01-03 03:00:00,2368783409.040002,13246249596.147217
2018-01-03 04:00:00,4195963875.3433323,6131050155.892224
2018-01-03 05:00:00,4374887011.280555,4635147961.181111
2018-01-03 06:00:00,4195759346.8383327,4049316952.3238907
2018-01-03 07:00:00,5628573298.169999,4562884042.501666
2018-01-03 08:00:00,5080421376.226111,5711529925.83278
2018-01-03 09:00:00,3111001006.828333,3189397548.517222
2018-01-03 10:00:00,1866342126.3983333,6035493632.158335
2018-01-03 11:00:00,4614511187.226111,7322716668.350551
2018-01-03 12:00:00,2212306601.9594445,8146590151.677777
2018-01-03 13:00:00,4201220608.4683347,4159374941.7744455
2018-01-03 14:00:00,7337358441.963335,5154419636.200002
2018-01-03 15:00:00,8979042754.739445,4788854275.77389
2018-01-03 16:00:00,8810195217.23889,5265636762.947222
2018-01-03 17:00:00,8653174322.223894,5934008266.065
2018-01-03 18:00:00,8322654736.220552,2271996750.607777
2018-01-03 19:00:00,6058110862.403336,5721376108.478888
2018-01-03 20:00:00,4495320043.804443,1618509657.763334
2018-01-03 21:00:00,5741087859.084442,5523837228.998886
2018-01-03 22:00:00,5142926335.823333,2614978997.8611097
2018-01-03 23:00:00,7943072308.271665,2738071696.7155557
2018-01-04 00:00:00,7722610861.138981,3337101864.9932203
2018-01-04 01:00:00,4642397408.258891,2075328222.9455566
2018-01-04 02:00:00,3443706078.903332,2202008706.889999
2018-01-04 03:00:00,1526784045.6166663,2376925026.8822227
2018-01-04 04:00:00,1988948217.4722226,2111387672.518888
2018-01-04 05:00:00,2611864497.7122207,2180376730.538889
2018-01-04 06:00:00,5115344986.313334,2480886371.844444
2018-01-04 07:00:00,2035619382.8083344,2195977776.598889
2018-01-04 08:00:00,3543521845.552777,3061478994.1133337
2018-01-04 09:00:00,6726626856.622776,1890539119.8766668
2018-01-04 10:00:00,4633677564.18167,4011957036.927777
2018-01-04 11:00:00,6201265003.992218,6370074706.567779
2018-01-04 12:00:00,9368073755.374998,7862417135.137775
2018-01-04 13:00:00,8781487996.192778,5399749898.903335
2018-01-04 14:00:00,9177238759.694439,6465941519.119998
2018-01-04 15:00:00,7373092111.453336,8740461247.076664
2018-01-04 16:00:00,8450686017.42611,6769269245.405559
2018-01-04 17:00:00,5872108401.438334,6125813314.254444
2018-01-04 18:00:00,4808951335.242224,5958760596.300001
2018-01-04 19:00:00,5981685341.539446,7147668228.874441
2018-01-04 20:00:00,6918748382.919999,2430012914.0744443
2018-01-04 21:00:00,4512084377.282775,5213337841.741113
2018-01-04 22:00:00,5748611429.141114,3532902499.428889
2018-01-04 23:00:00,5851557361.527222,4844237557.954446
2018-01-05 00:00:00,6163761011.557063,3243473937.520903
2018-01-05 01:00:00,6481067467.098332,3433607767.6844435
2018-01-05 02:00:00,7249901969.518887,6256167284.343335
2018-01-05 03:00:00,7086775720.80722,6374428805.880001
2018-01-05 04:00:00,7939630733.016666,4974542448.112224
2018-01-05 05:00:00,6501199375.8138895,9547208764.802223
2018-01-05 06:00:00,6016321656.10667,6783289696.0599985
2018-01-05 07:00:00,6561052959.698336,5488230801.122222
2018-01-05 08:00:00,5872706727.287222,8021948570.033332
2018-01-05 09:00:00,4242741516.288889,4691351830.217777
2018-01-05 10:00:00,5319675223.413333,4272300134.5711093
2018-01-05 11:00:00,4800453187.212222,3080559040.21
2018-01-05 12:00:00,4192938231.7794433,4068852694.656669
2018-01-05 13:00:00,2906523679.543889,3612173221.9166665
2018-01-05 14:00:00,4950682399.486668,3879827735.44
2018-01-05 15:00:00,4490762854.217776,4564719865.998888
2018-01-05 16:00:00,3275437066.8722234,4932618267.538889
2018-01-05 17:00:00,2116213622.6333327,4251330410.6788874
2018-01-05 18:00:00,2765507227.387223,5040449722.44889
2018-01-05 19:00:00,2398049072.3322225,5842985364.553331
2018-01-05 20:00:00,3469179063.230001,13289165766.526665
2018-01-05 21:00:00,4086044512.284446,10312636604.687777
2018-01-05 22:00:00,2845839631.808889,8099602177.133334
2018-01-05 23:00:00,1609544068.475,9424984033.033333
2018-01-06 00:00:00,2530513980.470622,4568525337.058756
2018-01-06 01:00:00,3542562470.702223,5830973946.898891
2018-01-06 02:00:00,4691552053.380553,6536864839.879995
2018-01-06 03:00:00,3513584789.6244454,3857149424.1666665
2018-01-06 04:00:00,3702884630.952223,3643235840.521111
2018-01-06 05:00:00,4758140439.186112,10218697339.205557
2018-01-06 06:00:00,4981194590.019445,14616285814.296667
2018-01-06 07:00:00,4771019167.301112,6039653664.664446
2018-01-06 08:00:00,7186566104.20056,3221476816.8366666
2018-01-06 09:00:00,4205174840.9694448,5212397304.037779
2018-01-06 10:00:00,2985502849.686667,5080477581.495555
2018-01-06 11:00:00,2999346446.0388894,5467224265.992222
2018-01-06 12:00:00,5616177523.542773,8563679731.50111
2018-01-06 13:00:00,3729093785.9949994,7077705351.852223
2018-01-06 14:00:00,4704705690.957223,4817772276.341112
2018-01-06 15:00:00,3298208018.322778,8516635807.551112
2018-01-06 16:00:00,2384826921.327779,6111321280.168885
2018-01-06 17:00:00,4630212929.670554,7306641787.314443
2018-01-06 18:00:00,4803886992.933887,6846233572.77
2018-01-06 19:00:00,5095744664.309444,2726271746.5711126
2018-01-06 20:00:00,6783355322.624442,3491181753.3244457
2018-01-06 21:00:00,4357380194.410554,3745623515.053333
2018-01-06 22:00:00,2999713687.7605567,5377389530.194442
2018-01-06 23:00:00,3840787486.021112,2016284980.8433335
2018-01-07 00:00:00,4117778487.2062144,2268078397.4225993
2018-01-07 01:00:00,4270175927.576111,2037730900.9177778
2018-01-07 02:00:00,2063178518.6361117,3463070652.340003
2018-01-07 03:00:00,2226953131.806666,3964252930.047777
2018-01-07 04:00:00,2790050591.02889,2621345206.838889
2018-01-07 05:00:00,3599679445.012776,4836250654.613334
2018-01-07 06:00:00,3041310134.643889,4000713404.0877776
2018-01-07 07:00:00,2750887791.786112,2810003011.3677773
2018-01-07 08:00:00,2853678969.739998,4977369814.49111
2018-01-07 09:00:00,2891446728.8372235,1703285374.0533326
2018-01-07 10:00:00,4189348204.6466646,4173949435.895555
2018-01-07 11:00:00,3710591215.1216683,3817724905.5788884
2018-01-07 12:00:00,3134817529.305555,2325613597.9822226
2018-01-07 13:00:00,2792044330.6216674,4170144721.295554
2018-01-07 14:00:00,3550332506.813333,4015352491.5766654
2018-01-07 15:00:00,3562438073.8516665,1932716552.4155562
2018-01-07 16:00:00,2666476998.0305567,1428073772.576667
2018-01-07 17:00:00,3834552393.9211125,1546245429.3044443
2018-01-07 18:00:00,4730098931.16389,1381918294.7844446
2018-01-07 19:00:00,8035420265.657776,2682801463.067777
2018-01-07 20:00:00,6494327578.290555,1837569263.004445
2018-01-07 21:00:00,2774404638.604443,3132436726.803333
2018-01-07 22:00:00,3100755918.656112,1858427959.433334
2018-01-07 23:00:00,4862727249.527774,2280002976.5
2018-01-08 00:00:00,4742572418.685312,1446786963.5276837
2018-01-08 01:00:00,4236409185.7261124,1138735596.9133334
2018-01-08 02:00:00,3539544103.9216633,1225053062.5300002
2018-01-08 03:00:00,3732922652.0894446,1283708400.1522226
2018-01-08 04:00:00,4431544452.833332,664549150.3422221
2018-01-08 05:00:00,5383124477.012777,4437086305.4788885
2018-01-08 06:00:00,6164310627.98222,4005162593.282223
2018-01-08 07:00:00,5593528055.327221,4033376087.6655545
2018-01-08 08:00:00,5271715520.426107,2828904343.4666667
2018-01-08 09:00:00,5000179223.159445,6116541471.032218
2018-01-08 10:00:00,4968305718.731109,5104494708.812222
2018-01-08 11:00:00,5358036482.208892,6139945233.141109
2018-01-08 12:00:00,5021474216.357777,7657128743.051108
2018-01-08 13:00:00,6061849045.227222,9635383855.352228
2018-01-08 14:00:00,2373159129.761667,8411510532.463333
2018-01-08 15:00:00,4922079342.079998,11679830196.69111
2018-01-08 16:00:00,5497750460.112223,9305656272.317778
2018-01-08 17:00:00,14150455760.841112,14289573819.316668
2018-01-08 18:00:00,8317242302.660001,9917373567.366673
2018-01-08 19:00:00,7160875845.42333,10080963479.946665
2018-01-08 20:00:00,6242786735.006669,11326934861.172222
2018-01-08 21:00:00,6272003838.105556,11570171973.008892
2018-01-08 22:00:00,3924762389.0966687,12191174819.356667
2018-01-08 23:00:00,4706888787.603335,10347205338.931112
2018-01-09 00:00:00,11550329910.13447,16130183568.607908
2018-01-09 01:00:00,6196455366.2677765,8722381555.80889
2018-01-09 02:00:00,6803285145.768886,7610261378.056664
2018-01-09 03:00:00,6935373290.62,2503275097.6366673
2018-01-09 04:00:00,7080779215.392221,2932080468.2944446
2018-01-09 05:00:00,6246186985.022222,2411632017.4833355
2018-01-09 06:00:00,4897008328.076667,2891805111.61
2018-01-09 07:00:00,3428994958.3022223,4051076386.973334
2018-01-09 08:00:00,5830851359.0599985,3986758237.745555
2018-01-09 09:00:00,4929395435.838889,3076331724.688889
2018-01-09 10:00:00,8113209592.787775,2722930007.2633348
2018-01-09 11:00:00,8922590773.140005,3820876322.59889
2018-01-09 12:00:00,8767185292.75667,3725598178.3577795
2018-01-09 13:00:00,10392182850.084448,7706749511.6088915
2018-01-09 14:00:00,10028361899.355556,4101316141.6255555
2018-01-09 15:00:00,10075949874.168888,4662965054.002222
2018-01-09 16:00:00,9479658126.584444,4712867454.9800005
2018-01-09 17:00:00,9756967636.521114,4035017579.9277782
2018-01-09 18:00:00,9182548808.075556,4618637651.387778
2018-01-09 19:00:00,9796371700.772224,4595775406.123331
2018-01-09 20:00:00,9342336827.762224,5104702483.73667
2018-01-09 21:00:00,10149896333.77778,9355549835.141108
2018-01-09 22:00:00,10212868141.739994,13983497769.61333
2018-01-09 23:00:00,7742786215.121115,7590041712.933333
2018-01-10 00:00:00,8368788472.854241,7523475622.755929
2018-01-10 01:00:00,7337263990.05111,14966376851.607777
2018-01-10 02:00:00,11387015459.155561,5147037419.701114
2018-01-10 03:00:00,11243511380.78333,4802825570.90111
2018-01-10 04:00:00,9381696465.74778,5152933655.183332
2018-01-10 05:00:00,7596808995.575561,7729434963.745553
2018-01-10 06:00:00,7600934637.398886,7260213447.767774
2018-01-10 07:00:00,7318106015.674443,5378800011.185559
2018-01-10 08:00:00,8244199793.711116,11161627092.580004
2018-01-10 09:00:00,7345678899.348888,7012689735.292221
2018-01-10 10:00:00,7498270395.252223,7336219278.827781
2018-01-10 11:00:00,6619576328.26889,8942332993.851109
2018-01-10 12:00:00,6054741991.717778,10259734029.231112
2018-01-10 13:00:00,3479517321.4888873,7750070993.035552
2018-01-10 14:00:00,5567935125.761109,10040941471.536665
2018-01-10 15:00:00,3650448126.13,6283019262.448888
2018-01-10 16:00:00,6494730847.796666,6927604523.627778
2018-01-10 17:00:00,7090804210.745556,5442146696.283332
2018-01-10 18:00:00,6936578826.924447,5331003224.885558
2018-01-10 19:00:00,7286308091.728892,5477253251.310001
2018-01-10 20:00:00,8204460947.820001,5274843060.315554
2018-01-10 21:00:00,9093257830.077776,4293162702.497778
2018-01-10 22:00:00,7501445514.676665,3857579683.5833335
2018-01-10 23:00:00,5815283513.8955555,5438161014.2255535
2018-01-11 00:00:00,5947622189.687005,4678905023.691524
2018-01-11 01:00:00,6076192223.351111,3610942937.72111
2018-01-11 02:00:00,5512572137.093331,2675598240.815555
2018-01-11 03:00:00,5336279632.69667,4037594748.6422215
2018-01-11 04:00:00,5574599888.991111,3942256266.2533345
2018-01-11 05:00:00,5242104260.922224,3229251385.688889
2018-01-11 06:00:00,5088718435.625556,3012686703.652222
2018-01-11 07:00:00,4887623666.692224,4154399323.9299994
2018-01-11 08:00:00,4926613338.303334,3181136451.4166656
2018-01-11 09:00:00,5205495044.044444,4210091418.957778
2018-01-11 10:00:00,4360623843.617777,8514249825.514444
2018-01-11 11:00:00,4164267552.255556,6312759670.637776
2018-01-11 12:00:00,2557092244.321111,3192360306.465555
2018-01-11 13:00:00,2855421747.7611103,2814055846.8022227
2018-01-11 14:00:00,5850998248.392221,2255146385.4811106
2018-01-11 15:00:00,6174313191.735556,5382592313.826666
2018-01-11 16:00:00,9292057434.503332,5931298498.012225
2018-01-11 17:00:00,7899036672.385555,6411338696.142222
2018-01-11 18:00:00,5279366529.677779,6384441359.560002
2018-01-11 19:00:00,4172332870.723334,6970916660.041112
2018-01-11 20:00:00,7364660176.291108,8663308297.816666
2018-01-11 21:00:00,9002180992.273333,9245580220.845552
2018-01-11 22:00:00,7049211524.492221,8360358395.735552
