time,in,out
2018-01-01 09:00:00,23231049866.542213,30542821341.999996
2018-01-01 10:00:00,30538758724.56,27252911164.49778
2018-01-01 11:00:00,25702147617.742214,28311807742.977783
2018-01-01 12:00:00,24456493097.98667,19851990235.88445
2018-01-01 13:00:00,21935757803.11555,20749556171.50222
2018-01-01 14:00:00,19780200350.004448,25183101143.991123
2018-01-01 15:00:00,20559721946.368896,21953709409.004448
2018-01-01 16:00:00,27998873490.653324,18997712774.488884
2018-01-01 17:00:00,18547176833.39556,19452578656.97777
2018-01-01 18:00:00,16552652199.902227,19273375492.684452
2018-01-01 19:00:00,17771563423.36445,19027497803.199993
2018-01-01 20:00:00,15565547000.955555,15633714266.924446
2018-01-01 21:00:00,17546393093.479992,14916691755.084442
2018-01-01 22:00:00,15248689253.924435,16918707025.235548
2018-01-01 23:00:00,16054936654.85266,20327202160.84258
2018-01-02 00:00:00,23771362248.43474,21746297229.893566
2018-01-02 01:00:00,30633524292.568874,24412917439.573322
2018-01-02 02:00:00,23897669905.26667,29693469894.008877
2018-01-02 03:00:00,28412026877.839993,23121051753.63556
2018-01-02 04:00:00,27111352438.226677,30487156249.22667
2018-01-02 05:00:00,28911167147.004456,26183365973.09333
2018-01-02 06:00:00,32452379032.262222,27878224601.235558
2018-01-02 07:00:00,34065506674.84444,32207022091.164444
2018-01-02 08:00:00,19975905922.706665,27545164293.440002
2018-01-02 09:00:00,14859510856.911104,24579509928.14222
2018-01-02 10:00:00,25042485553.546658,26388901312.746666
2018-01-02 11:00:00,22407319621.942238,36100244850.302216
2018-01-02 12:00:00,25519123689.19555,49556310577.51111
2018-01-02 13:00:00,23658098051.28444,49879437213.81334
2018-01-02 14:00:00,23117292219.58666,41212690558.43554
2018-01-02 15:00:00,19010374911.77777,26178912134.20445
2018-01-02 16:00:00,17512399585.208885,29484695661.635548
2018-01-02 17:00:00,18753483864.76,23914012210.986687
2018-01-02 18:00:00,16760021537.013334,30871167210.71111
2018-01-02 19:00:00,20059842202.146667,38678782282.59555
2018-01-02 20:00:00,13824347383.32889,33398573569.41334
2018-01-02 21:00:00,22580020691.111103,37051795334.568886
2018-01-02 22:00:00,28381173899.053345,34417823773.795555
2018-01-02 23:00:00,32963309430.582237,30433318624.09777
2018-01-03 00:00:00,22105609019.56158,33110794664.01806
2018-01-03 01:00:00,24589644325.67998,33168251554.844433
2018-01-03 02:00:00,25350940116.395557,37286875242.044426
2018-01-03 03:00:00,27397301889.199997,39886116429.68889
2018-01-03 04:00:00,24896889836.168888,37295381849.23556
2018-01-03 05:00:00,23497394007.035557,30742023572.04446
2018-01-03 06:00:00,26334498682.280006,25158112332.97777
2018-01-03 07:00:00,22030014603.622227,20267380646.18666
2018-01-03 08:00:00,18692530654.32889,30011628464.675552
2018-01-03 09:00:00,17844183701.533333,24949711411.29778
2018-01-03 10:00:00,46461041145.368904,26873580497.671124
2018-01-03 11:00:00,39543427990.53333,32522541017.88444
2018-01-03 12:00:00,42135545639.84,29837697347.697777
2018-01-03 13:00:00,36760888863.58222,27090188402.071102
2018-01-03 14:00:00,36858398049.34223,27031914966.45333
2018-01-03 15:00:00,23879899734.96889,24593475538.28445
2018-01-03 16:00:00,24804994278.43111,25717902280.844456
2018-01-03 17:00:00,28855079574.124443,27018456126.551098
2018-01-03 18:00:00,28251489648.10222,29763225026.8089
2018-01-03 19:00:00,25502221152.342216,31199938207.680008
2018-01-03 20:00:00,27383158983.01333,29949122773.217766
2018-01-03 21:00:00,26149401324.888878,25163441819.751114
2018-01-03 22:00:00,28256332387.559998,22563301626.09778
2018-01-03 23:00:00,27480190660.093323,20183945046.657772
2018-01-04 00:00:00,34668837702.11074,16665133041.66327
2018-01-04 01:00:00,33620708497.95111,16463848721.671106
2018-01-04 02:00:00,33698649712.764427,15121869985.68
2018-01-04 03:00:00,28777320084.137775,12398435503.493328
2018-01-04 04:00:00,29167424036.497776,15680418607.520008
2018-01-04 05:00:00,24652124643.440002,20045829682.684444
2018-01-04 06:00:00,28115138099.391106,19933733812.47111
