time,in,out
2018-01-01 09:00:00,4636899071.404445,9096717079.546663
2018-01-01 10:00:00,5513994982.391111,11145131106.546665
2018-01-01 11:00:00,7292689423.13778,9041217958.884443
2018-01-01 12:00:00,5652476756.942221,7463297455.2622175
2018-01-01 13:00:00,5168964236.888887,7809239452.69333
2018-01-01 14:00:00,4362677958.16889,7530915478.902222
2018-01-01 15:00:00,3786500460.986666,8309373839.964442
2018-01-01 16:00:00,5324168705.386667,12779341632.12889
2018-01-01 17:00:00,3507281631.519999,10464461914.724443
2018-01-01 18:00:00,4091100587.902225,7880735636.400003
2018-01-01 19:00:00,3366102263.448888,8375627992.586663
2018-01-01 20:00:00,4197065661.617777,7683001224.715556
2018-01-01 21:00:00,3598292277.3688884,7312623184.288888
2018-01-01 22:00:00,7096007290.275557,8305429823.662221
2018-01-01 23:00:00,3952043381.118207,6963642259.307561
2018-01-02 00:00:00,5284384902.794395,8147066717.889075
2018-01-02 01:00:00,3597570983.1911116,11651532490.937782
2018-01-02 02:00:00,6157436704.888887,6991355361.29333
2018-01-02 03:00:00,8358964421.502214,8400531288.048886
2018-01-02 04:00:00,5728689734.613332,8387269003.697781
2018-01-02 05:00:00,6178722525.688887,6685436732.128886
2018-01-02 06:00:00,5721244509.671111,9522723055.519997
2018-01-02 07:00:00,8789893275.911114,14456291335.942228
2018-01-02 08:00:00,6805367688.666663,8767227340.34667
2018-01-02 09:00:00,6969249804.079995,7647617433.826664
2018-01-02 10:00:00,8409618514.222224,27263000929.91556
2018-01-02 11:00:00,4955732225.822224,12013782936.137774
2018-01-02 12:00:00,6528581747.751109,12288875192.791113
2018-01-02 13:00:00,6878102996.835555,20255851011.89779
2018-01-02 14:00:00,4289954048.4888897,9828969584.582226
2018-01-02 15:00:00,6272623442.000002,9087867599.266665
2018-01-02 16:00:00,11497590795.795553,11037591265.968885
2018-01-02 17:00:00,7062966961.937779,12766675006.079998
2018-01-02 18:00:00,7706549037.884445,8737313231.773336
2018-01-02 19:00:00,7401884786.666666,10880582575.328888
2018-01-02 20:00:00,7279788110.995557,17874063352.42667
2018-01-02 21:00:00,8301662628.879998,11467364582.768894
2018-01-02 22:00:00,5934740533.555556,11130686024.182228
2018-01-02 23:00:00,6060908278.248887,14699762091.439991
2018-01-03 00:00:00,7759938619.615822,13544477020.402256
2018-01-03 01:00:00,6055014995.608886,8872980324.777777
2018-01-03 02:00:00,7151819708.248883,8581244657.61778
2018-01-03 03:00:00,11079429189.795553,9434816422.395555
2018-01-03 04:00:00,10856268318.648886,10163022251.973331
2018-01-03 05:00:00,9071184529.92,11727246529.133335
2018-01-03 06:00:00,7756585906.88,11282364276.826668
2018-01-03 07:00:00,4003943095.0311117,10721438819.231113
2018-01-03 08:00:00,6818129621.173336,10790982589.426666
2018-01-03 09:00:00,8940710803.484447,8957020316.01778
2018-01-03 10:00:00,10971727483.982222,17115061246.173338
2018-01-03 11:00:00,12702827862.897776,9779623195.062222
2018-01-03 12:00:00,9088312637.09333,19911169716.382225
2018-01-03 13:00:00,8186064014.711108,10621127993.853333
2018-01-03 14:00:00,8377810258.391114,12519303465.528893
2018-01-03 15:00:00,8149539368.862222,10659836530.284445
2018-01-03 16:00:00,8914624559.004444,9073399364.417776
2018-01-03 17:00:00,10655089580.89778,11217331980.991114
2018-01-03 18:00:00,10376598289.031105,15143766854.333334
2018-01-03 19:00:00,9379284052.497778,9658862590.457777
2018-01-03 20:00:00,9270112392.835558,10445785592.817776
2018-01-03 21:00:00,8291500048.63111,12144099215.413334
2018-01-03 22:00:00,9288348634.728886,15607199124.351107
2018-01-03 23:00:00,12812674069.928886,10100025503.453335
2018-01-04 00:00:00,11486425194.775145,8933252446.508472
2018-01-04 01:00:00,15515252973.715555,9694490780.693333
2018-01-04 02:00:00,13917426026.76444,11747015601.133331
2018-01-04 03:00:00,7770340250.248888,9906289850.88444
2018-01-04 04:00:00,13254493741.200003,14242770296.69333
2018-01-04 05:00:00,12264599509.137775,23575905369.959988
2018-01-04 06:00:00,12587992824.568888,29895724334.82222
2018-01-04 07:00:00,13328869734.29333,16184071834.844444
2018-01-04 08:00:00,12572439825.733334,9725252699.484447
2018-01-04 09:00:00,11622756926.124449,20853900270.115555
2018-01-04 10:00:00,11684444061.502222,11987783827.008888
2018-01-04 11:00:00,13046774576.98666,9359385077.568888
