time,in,out
2018-01-01 09:00:00,35367240527.761116,23695505303.81667
2018-01-01 10:00:00,32594046010.05332,29185251905.617783
2018-01-01 11:00:00,28277090789.422222,27426935281.434456
2018-01-01 12:00:00,19426904232.46444,22774836622.7
2018-01-01 13:00:00,22542063079.251106,19872234050.309998
2018-01-01 14:00:00,23607626015.329998,18325732812.331104
2018-01-01 15:00:00,22175501288.20668,18144222809.360004
2018-01-01 16:00:00,30390559582.365547,20097592009.391106
2018-01-01 17:00:00,23745237542.761116,16267572568.429996
2018-01-01 18:00:00,25783176547.232204,14916804850.587767
2018-01-01 19:00:00,30370734625.838882,16377017786.996664
2018-01-01 20:00:00,22751653378.107777,15156993562.014444
2018-01-01 21:00:00,25488828079.059998,17319067051.517784
2018-01-01 22:00:00,26319464405.6,18051605464.900005
2018-01-01 23:00:00,22854305972.718197,16094764036.159103
2018-01-02 00:00:00,28689014945.31206,20916080706.886272
2018-01-02 01:00:00,35490057973.09777,24184851651.79777
2018-01-02 02:00:00,26643997034.750008,24052081072.24888
2018-01-02 03:00:00,22000139688.35112,28352183902.769997
2018-01-02 04:00:00,28752662422.842236,25027550510.08889
2018-01-02 05:00:00,25955039852.644447,25886570893.101097
2018-01-02 06:00:00,29250893229.86109,25638553714.832222
2018-01-02 07:00:00,37209156800.31665,16465385815.385551
2018-01-02 08:00:00,33256035490.58779,18980285695.883335
2018-01-02 09:00:00,28151391780.333324,16471621398.160004
2018-01-02 10:00:00,43490184044.027794,17249113763.621105
2018-01-02 11:00:00,45302474651.948906,16749485022.235556
2018-01-02 12:00:00,60064329588.51998,25636997389.7
2018-01-02 13:00:00,58074752743.21778,26622581744.37556
2018-01-02 14:00:00,41912754550.53112,21411110675.16223
2018-01-02 15:00:00,28770834341.966663,19367444517.35665
2018-01-02 16:00:00,28743642629.93778,17866801508.843338
2018-01-02 17:00:00,27678219759.425552,14093101741.708889
2018-01-02 18:00:00,33799492529.83666,17528106038.434444
2018-01-02 19:00:00,43500619106.91334,17680392736.460003
2018-01-02 20:00:00,46671017578.80224,15111949188.2
2018-01-02 21:00:00,56100063889.56779,22041879502.773335
2018-01-02 22:00:00,55351542498.32887,27494323243.621113
2018-01-02 23:00:00,44188573388.076675,27143342129.96556
2018-01-03 00:00:00,50234266296.39887,22326537198.335594
2018-01-03 01:00:00,37083256189.006676,23719829655.62889
2018-01-03 02:00:00,42300966953.04555,26270355147.148888
2018-01-03 03:00:00,42043145785.317764,29508769435.97778
2018-01-03 04:00:00,40528811134.67332,26943316799.68333
2018-01-03 05:00:00,36344412764.359985,25250985476.758896
2018-01-03 06:00:00,26561579257.23333,24227344974.658894
2018-01-03 07:00:00,25496590186.71555,19299727825.693336
2018-01-03 08:00:00,31671155233.016663,17100964137.176672
2018-01-03 09:00:00,26349122424.187786,20035335178.008892
2018-01-03 10:00:00,32341209289.23444,38734696929.93332
2018-01-03 11:00:00,35101487668.916664,38835753995.07114
2018-01-03 12:00:00,45559127928.70002,35140508648.26222
2018-01-03 13:00:00,33201089410.65887,32529945488.28557
2018-01-03 14:00:00,31909725973.07889,30788045183.57778
2018-01-03 15:00:00,34512261828.46,21250767656.218895
2018-01-03 16:00:00,31310271137.596657,21649250845.159996
