time,in,out
2018-01-01 09:00:00,1670442608.9688895,2786659614.355556
2018-01-01 10:00:00,1468039439.786667,2165913597.326667
2018-01-01 11:00:00,1406787783.9155562,2053214224.146667
2018-01-01 12:00:00,2328494131.968889,2735492692.6755567
2018-01-01 13:00:00,1967687509.5377781,2212699949.2399993
2018-01-01 14:00:00,1919792870.493333,2147955444.2755566
2018-01-01 15:00:00,1945707119.715554,2520501765.1266685
2018-01-01 16:00:00,1829939022.3199995,2613138796.2977777
2018-01-01 17:00:00,1960375819.0044432,2664957015.5666676
2018-01-01 18:00:00,2048207585.3955557,2776965296.844445
2018-01-01 19:00:00,2000216270.786666,2555379888.4222226
2018-01-01 20:00:00,1461301977.2444444,2360561328.7
2018-01-01 21:00:00,1718394667.8311112,1986881497.4644442
2018-01-01 22:00:00,1562947013.1111104,1309309738.051111
2018-01-01 23:00:00,1309924464.7599993,978192100.2444446
2018-01-02 00:00:00,1782340469.3785317,1129867289.7536721
2018-01-02 01:00:00,2011726243.835556,1488305619.1177788
2018-01-02 02:00:00,1522363964.4444437,823022853.9955555
2018-01-02 03:00:00,1560268224.1733332,1540230649.3044446
2018-01-02 04:00:00,1282173394.8177779,1569027458.8266656
2018-01-02 05:00:00,1644590823.7955554,1719120963.8555553
2018-01-02 06:00:00,1232795541.5377777,1237366369.695555
2018-01-02 07:00:00,941218771.7288889,1431419860.0399997
2018-01-02 08:00:00,1339350345.3599997,1060814303.1288891
2018-01-02 09:00:00,972266807.1422225,1627444384.85111
2018-01-02 10:00:00,901301577.0622224,1503989708.7244449
2018-01-02 11:00:00,1121140151.0711107,1260180994.5355554
2018-01-02 12:00:00,1276532886.1911113,1273207331.8400002
2018-01-02 13:00:00,1183678260.1022224,1506443022.517778
2018-01-02 14:00:00,1056685545.7066671,1216830905.4155552
2018-01-02 15:00:00,1082965030.0000002,1447188871.6288886
2018-01-02 16:00:00,1189208479.2488885,1896732708.4666662
2018-01-02 17:00:00,1924123917.2177775,1994091745.4977782
2018-01-02 18:00:00,1734776105.1288893,1978219084.9599998
2018-01-02 19:00:00,1131203474.968889,2145895637.6288881
2018-01-02 20:00:00,1237099959.5155559,1796419068.9577765
2018-01-02 21:00:00,1060825552.2177781,1432103185.073333
2018-01-02 22:00:00,1375383172.6800003,1662397635.6288888
2018-01-02 23:00:00,1020362729.7022221,1900564874.8577776
2018-01-03 00:00:00,1539879674.6711857,1623056829.7581916
2018-01-03 01:00:00,1363865058.0311105,2076517103.3266673
2018-01-03 02:00:00,1197247365.2,1779689436.7844453
2018-01-03 03:00:00,1172034233.0044448,1462681817.7311108
2018-01-03 04:00:00,1186582505.6755557,1369490041.4222217
2018-01-03 05:00:00,1110974864.631111,1515187892.966667
2018-01-03 06:00:00,773368977.0844444,1163298854.82
2018-01-03 07:00:00,969856404.4311118,1291214885.208889
2018-01-03 08:00:00,904591678.12,1074129556.597778
2018-01-03 09:00:00,1353167379.813333,1066311717.2577777
2018-01-03 10:00:00,1100824245.2177784,1297554213.095555
2018-01-03 11:00:00,1358111671.0488887,3835620951.0133343
2018-01-03 12:00:00,1296542873.2133331,4120751484.1355557
2018-01-03 13:00:00,1335790219.9955556,4061522511.197777
2018-01-03 14:00:00,1434942009.5955558,3557021186.0111127
2018-01-03 15:00:00,1592989601.3333333,3696717920.0533338
2018-01-03 16:00:00,1707080190.208888,3862053444.8866673
2018-01-03 17:00:00,3149545323.040001,4129247866.166667
2018-01-03 18:00:00,1893473609.933333,3179896824.8355556
2018-01-03 19:00:00,1610466838.853333,3708775175.3377786
2018-01-03 20:00:00,1678106637.9022226,3197115435.626666
2018-01-03 21:00:00,1728721653.622222,2788668399.931112
2018-01-03 22:00:00,1518103515.248889,2555013645.6355567
2018-01-03 23:00:00,1329547955.7599995,3333575024.062223
2018-01-04 00:00:00,2048512437.129943,3033752858.37288
2018-01-04 01:00:00,3408597618.4666667,2285804543.4644437
2018-01-04 02:00:00,2222561493.5111117,1630827871.2222226
2018-01-04 03:00:00,1819118139.3422227,1629914485.915555
2018-01-04 04:00:00,1616489106.1911108,1164652317.3355558
2018-01-04 05:00:00,1369920870.4000003,1545587940.4177783
2018-01-04 06:00:00,1296585926.04,1597023305.8333335
2018-01-04 07:00:00,1375800254.7866664,1496091485.7533338
2018-01-04 08:00:00,1794982107.604445,1351344068.2488887
2018-01-04 09:00:00,2169651265.791112,1208497627.8044446
2018-01-04 10:00:00,2281593744.102223,1555514456.0155554
2018-01-04 11:00:00,2789748707.346667,1928221691.9066668
2018-01-04 12:00:00,3303460361.555557,1548452794.4866667
2018-01-04 13:00:00,3312888922.986668,1822801739.7266665
2018-01-04 14:00:00,2619585956.4133334,1569136506.3622224
2018-01-04 15:00:00,2539731395.680001,2340056724.7377777
2018-01-04 16:00:00,2027620893.9644444,2938931442.2022223
2018-01-04 17:00:00,2129907671.7644432,2602179003.9244437
2018-01-04 18:00:00,1241882086.115555,2746014708.4977794
2018-01-04 19:00:00,1664481166.6222224,3106709779.1177783
2018-01-04 20:00:00,1683111021.9955564,2197934046.428888
2018-01-04 21:00:00,1561783188.4711113,3041210379.8244452
2018-01-04 22:00:00,1348384338.733334,2941470257.819999
2018-01-04 23:00:00,1176311263.0222223,2827008339.4955554
2018-01-05 00:00:00,1177041771.6881356,3047320742.2757053
2018-01-05 01:00:00,1751701438.7955556,3133180456.8755555
2018-01-05 02:00:00,1300874019.4577777,2922708580.1266665
2018-01-05 03:00:00,1417829138.1599998,3212746596.4777756
2018-01-05 04:00:00,1491307448.1422224,3295974979.4666657
2018-01-05 05:00:00,1528834947.848889,2586907873.084444
2018-01-05 06:00:00,1617166556.8622212,2872572736.3866663
2018-01-05 07:00:00,1221498094.0400002,3272182282.9600005
2018-01-05 08:00:00,1541521434.7377782,2854965940.437778
2018-01-05 09:00:00,1895311974.631111,2989953638.1977773
2018-01-05 10:00:00,1702944922.386666,3415154259.3022227
2018-01-05 11:00:00,1615675755.0400004,3239119238.8599997
2018-01-05 12:00:00,1877371770.6355553,3053094424.144446
2018-01-05 13:00:00,1579658498.1466663,2663254273.7088895
2018-01-05 14:00:00,2140395448.199999,3160534806.7444444
2018-01-05 15:00:00,2698085876.6488895,3863229575.837778
2018-01-05 16:00:00,3072519320.9422226,5696496599.744444
2018-01-05 17:00:00,2490493822.2044444,5588498276.353336
2018-01-05 18:00:00,2491047666.164444,6105529759.944443
2018-01-05 19:00:00,5257089729.524445,6204011970.226666
2018-01-05 20:00:00,6536387586.995551,4488316990.835553
2018-01-05 21:00:00,3917513084.008889,4438915603.024446
2018-01-05 22:00:00,4385184862.533335,4831512091.337779
2018-01-05 23:00:00,3565039271.1155562,5049401977.002222
2018-01-06 00:00:00,3214534329.532204,4744898165.294914
2018-01-06 01:00:00,5019393081.248889,4877740948.944442
2018-01-06 02:00:00,5384187689.604446,4910303753.171111
2018-01-06 03:00:00,4725311436.951112,5838210167.331114
2018-01-06 04:00:00,3265640420.213333,6731995322.051114
2018-01-06 05:00:00,3482133241.5866666,5079068378.733333
2018-01-06 06:00:00,3549283490.32889,4497522942.871111
2018-01-06 07:00:00,3657242264.1733327,4189759171.9711094
2018-01-06 08:00:00,3765893132.013331,2977171110.9222226
2018-01-06 09:00:00,3593991691.333333,3278405842.048889
2018-01-06 10:00:00,3053539922.213334,3814239810.633332
2018-01-06 11:00:00,2711280019.1333323,3049815897.2822213
2018-01-06 12:00:00,2869365460.3911114,2688047944.2355556
2018-01-06 13:00:00,2385732797.8666677,2010624213.0800004
2018-01-06 14:00:00,1852275582.8399997,1789749975.3000002
2018-01-06 15:00:00,1540231976.008888,2355346760.391111
2018-01-06 16:00:00,2067279337.8577778,2325900578.9000006
2018-01-06 17:00:00,2679327829.9599986,2227978717.151111
2018-01-06 18:00:00,3055701563.0800014,2511957069.7488885
2018-01-06 19:00:00,3506760578.808888,2299523645.3199987
2018-01-06 20:00:00,2917397238.675555,2439748037.2888894
2018-01-06 21:00:00,2940663027.999999,2384983272.251112
2018-01-06 22:00:00,2849466039.8222213,1814553866.3222222
2018-01-06 23:00:00,2595619512.0577784,1888793461.0666664
2018-01-07 00:00:00,2360326812.78644,1930024137.4192097
2018-01-07 01:00:00,2255558270.013334,1900577933.417778
2018-01-07 02:00:00,2581575483.813334,1829247527.1155555
2018-01-07 03:00:00,2652199485.4044437,2039767200.5977786
2018-01-07 04:00:00,3307842015.2622213,2346325812.022222
2018-01-07 05:00:00,3680353807.786668,2122382366.25111
2018-01-07 06:00:00,3481805681.048889,2515670819.411112
2018-01-07 07:00:00,2614423596.813332,1601863676.9866662
2018-01-07 08:00:00,2601295486.013334,1488628011.6111112
2018-01-07 09:00:00,2572704431.657777,1764720349.4088898
2018-01-07 10:00:00,5083941082.226666,1803693817.0844436
2018-01-07 11:00:00,5135104133.462224,1646153934.3777778
2018-01-07 12:00:00,4881765285.084443,1136223581.7977784
2018-01-07 13:00:00,5056418083.959998,1787576397.575555
2018-01-07 14:00:00,4877536439.466669,2363431967.6822214
2018-01-07 15:00:00,4909860722.755553,2351588703.3377776
2018-01-07 16:00:00,7060635467.524447,2000564948.9666667
2018-01-07 17:00:00,5040620797.271112,1543586793.5600004
2018-01-07 18:00:00,4837551522.537775,1724154994.2133334
2018-01-07 19:00:00,4142990847.595556,1645047295.4399989
2018-01-07 20:00:00,3881575662.9377775,1840260710.5022233
2018-01-07 21:00:00,3984254711.515555,1594711079.948888
2018-01-07 22:00:00,4782177226.057778,1362839521.3844452
2018-01-07 23:00:00,3511591998.6755567,1372718535.282222
2018-01-08 00:00:00,3595280650.296045,1696236344.7751412
2018-01-08 01:00:00,4250893602.839999,1525963592.5511117
2018-01-08 02:00:00,4018764213.9911118,1413733406.6844444
2018-01-08 03:00:00,4389097158.253336,1868889047.9600005
2018-01-08 04:00:00,4236857896.0577755,2108992807.7933335
2018-01-08 05:00:00,5860273749.017779,3451430876.9488897
2018-01-08 06:00:00,8386581676.5555525,2588278015.5733337
2018-01-08 07:00:00,6875212226.666666,2166679443.546666
2018-01-08 08:00:00,6659460490.711108,2463076637.317779
2018-01-08 09:00:00,6045861164.520004,2457768928.888888
2018-01-08 10:00:00,5756019413.071113,2046292031.2177777
2018-01-08 11:00:00,6292027394.333337,2411411919.702222
2018-01-08 12:00:00,5697829369.577776,1679589126.8511112
2018-01-08 13:00:00,6248268321.8577795,2225262006.6377773
2018-01-08 14:00:00,6156109928.906662,1638023163.8888896
2018-01-08 15:00:00,4769486817.906664,1792205320.0133333
2018-01-08 16:00:00,6503443260.653336,1474907593.695556
2018-01-08 17:00:00,6627409409.848891,1645557369.037779
2018-01-08 18:00:00,6231429709.924443,2123903370.2733328
2018-01-08 19:00:00,4690530617.577779,2715641160.0822215
2018-01-08 20:00:00,4102291377.1333327,1941110927.0622215
2018-01-08 21:00:00,4107832056.715554,2174318794.495555
2018-01-08 22:00:00,3703980238.373335,1605356815.7955554
2018-01-08 23:00:00,3409483803.497778,3269348862.8199973
2018-01-09 00:00:00,3592783812.7276845,2613386452.0271173
2018-01-09 01:00:00,3855142216.613333,2019399237.891112
2018-01-09 02:00:00,3774947305.8311095,1964039574.4155557
2018-01-09 03:00:00,4167855866.2488904,3073376070.64
2018-01-09 04:00:00,4617680080.506667,3447830559.735556
2018-01-09 05:00:00,4591995173.742222,3126632025.4666667
2018-01-09 06:00:00,4794213142.942219,2712639512.131111
2018-01-09 07:00:00,4860146417.657777,3367614059.835555
2018-01-09 08:00:00,4955783002.915556,3140830420.391113
2018-01-09 09:00:00,4830475612.933333,3329992571.664444
2018-01-09 10:00:00,4657697236.586666,3743395891.7133317
2018-01-09 11:00:00,5004593610.413332,4054722712.2444434
2018-01-09 12:00:00,4712857630.737777,3710062835.571111
2018-01-09 13:00:00,4379435194.768889,2455418425.4444437
2018-01-09 14:00:00,4085191953.5777793,1373417183.866667
2018-01-09 15:00:00,3942584442.3822227,1602200812.0244443
2018-01-09 16:00:00,3571967134.1955547,2685013299.6666675
2018-01-09 17:00:00,4263629437.928889,2470121508.193332
2018-01-09 18:00:00,4136133138.097779,2285444782.871111
2018-01-09 19:00:00,4008350028.1999993,2442539407.8022246
2018-01-09 20:00:00,3787021266.88,2612655491.6133337
2018-01-09 21:00:00,4271718020.813334,4205114615.6111116
2018-01-09 22:00:00,3722829544.924444,4844584125.599999
2018-01-09 23:00:00,2982194105.0711093,4504472428.037778
2018-01-10 00:00:00,2417608095.444066,5430672659.520901
2018-01-10 01:00:00,2413641503.048889,4685468091.297779
2018-01-10 02:00:00,1961992215.471111,4330990422.311112
2018-01-10 03:00:00,2238171676.16889,4565171541.211113
2018-01-10 04:00:00,2209765013.92,5126031033.971111
2018-01-10 05:00:00,2279495466.4311113,4933583277.357777
2018-01-10 06:00:00,1806005856.5422227,4390177055.173334
2018-01-10 07:00:00,1906094689.3155556,3055704115.5822225
2018-01-10 08:00:00,1919795727.5911105,4391893838.537778
2018-01-10 09:00:00,1762421072.697778,2829950138.7244425
2018-01-10 10:00:00,1830135523.2800002,4008194116.36
2018-01-10 11:00:00,2397503455.866667,4160118907.5577793
2018-01-10 12:00:00,2781555847.1466665,2424930805.384445
2018-01-10 13:00:00,2206045778.702222,3211560934.257777
2018-01-10 14:00:00,2306410785.8311114,5343288857.282224
2018-01-10 15:00:00,2653104924.95111,3036089688.7022233
2018-01-10 16:00:00,2337719135.320001,3303681719.6088886
2018-01-10 17:00:00,2173175135.4977775,4038872946.7399993
2018-01-10 18:00:00,2679609524.4933333,4360463425.366666
2018-01-10 19:00:00,2288798689.364445,4505303956.631111
2018-01-10 20:00:00,2280020431.64,4716443116.148889
2018-01-10 21:00:00,2497005663.1955566,3387366859.6088886
2018-01-10 22:00:00,9643422288.337778,3032159011.2199993
