time,in,out
2018-01-01 09:00:00,4432409910.426668,1261436476.4977777
2018-01-01 10:00:00,3399888149.537778,919289808.9022224
2018-01-01 11:00:00,6046563844.8,1602718366.8333337
2018-01-01 12:00:00,5042993852.240001,1734460719.3222213
2018-01-01 13:00:00,6334850290.986663,1532490256.8533332
2018-01-01 14:00:00,6098037258.479999,1164769429.4088895
2018-01-01 15:00:00,6928241232.337779,1759406964.9999995
2018-01-01 16:00:00,4165168526.16889,1222627012.311111
2018-01-01 17:00:00,6986547138.675557,1185579156.184444
2018-01-01 18:00:00,6334240633.0222225,1556469372.1333337
2018-01-01 19:00:00,5207649502.151111,1393831745.5666668
2018-01-01 20:00:00,7408167824.568888,1109857518.2133334
2018-01-01 21:00:00,5892376746.373332,959855785.046667
2018-01-01 22:00:00,5658520545.875553,957261819.3822225
2018-01-01 23:00:00,4681551600.239999,917241221.5111108
2018-01-02 00:00:00,3778519473.2022576,1055406522.0768356
2018-01-02 01:00:00,5838901266.284443,1185968830.8977783
2018-01-02 02:00:00,4125026615.8133335,1166588051.235556
2018-01-02 03:00:00,6189679177.075556,1277542826.9533334
2018-01-02 04:00:00,5209331832.915557,1009081035.688889
2018-01-02 05:00:00,5873487287.431111,1395941295.6822228
2018-01-02 06:00:00,5443700133.164443,1383657310.2088888
2018-01-02 07:00:00,4628338399.84,641811705.7022223
2018-01-02 08:00:00,4261085990.533333,1228315100.7777777
2018-01-02 09:00:00,5585291573.866669,1144161142.113333
2018-01-02 10:00:00,6318779380.257776,909893100.8866668
2018-01-02 11:00:00,6411489825.52889,1118928590.8799999
2018-01-02 12:00:00,4993284625.76889,1513378244.777778
2018-01-02 13:00:00,5268412997.564446,1510311176.1599996
2018-01-02 14:00:00,5585092546.586667,1999255069.0377774
2018-01-02 15:00:00,8280280571.12889,1927153254.0911105
2018-01-02 16:00:00,9081120736.079996,2100328500.9622223
2018-01-02 17:00:00,7045426614.142223,2271559331.557778
2018-01-02 18:00:00,6820724196.044442,2126242703.7466667
2018-01-02 19:00:00,7482153277.653334,2311061799.744445
2018-01-02 20:00:00,5252043537.013333,1892065332.835555
2018-01-02 21:00:00,5366964868.311109,1656041286.56
2018-01-02 22:00:00,4586292515.617777,1614604390.977778
2018-01-02 23:00:00,5235222100.693333,1134489943.2355556
2018-01-03 00:00:00,5885323172.375142,1291711089.5005643
2018-01-03 01:00:00,6110997428.408891,1338114953.044444
2018-01-03 02:00:00,5468820508.977778,1155296735.7955556
2018-01-03 03:00:00,5664426273.120002,1299666967.4955559
2018-01-03 04:00:00,4168187598.5155563,722621062.0600001
2018-01-03 05:00:00,5644191780.151113,1228643715.8111112
2018-01-03 06:00:00,4608108257.315556,1265699097.1266663
2018-01-03 07:00:00,4336279049.955554,997018112.4733334
2018-01-03 08:00:00,4208030123.0488887,897888356.4244446
2018-01-03 09:00:00,3546654276.888888,985910863.0688885
2018-01-03 10:00:00,5419037153.813337,1128581632.5622225
2018-01-03 11:00:00,4453126623.84,1476720679.9088883
2018-01-03 12:00:00,7133079685.377776,1513121993.4133337
