time,in,out
2018-01-01 09:00:00,111948.6002437464,940122.0093619793
2018-01-01 10:00:00,118289.19612901798,855836.2321869571
2018-01-01 11:00:00,107796.15118278297,882943.3159852435
2018-01-01 12:00:00,101273.2703030608,38942325.610667855
2018-01-01 13:00:00,102583.71514496596,781954.9486154511
2018-01-01 14:00:00,98363.29071361966,786377.6043136932
2018-01-01 15:00:00,99887.1002272574,39810090.41117462
2018-01-01 16:00:00,99139.89701614484,666277.9998524301
2018-01-01 17:00:00,99754.89681718824,941505.9639160157
2018-01-01 18:00:00,95418.72977777795,979477.8385926647
2018-01-01 19:00:00,98876.10675554488,748542.9885329859
2018-01-01 20:00:00,98239.56399715212,776409.9610009764
2018-01-01 21:00:00,105421.0808028518,709703.3806879342
2018-01-01 22:00:00,98830.5463703886,1471849.716149089
2018-01-01 23:00:00,105105.80124072923,39836935.304740116
2018-01-02 00:00:00,122557.52565699539,1554894.055921169
2018-01-02 01:00:00,114367.8194265228,762783.1460215929
2018-01-02 02:00:00,99855.27060932486,691640.1129036461
2018-01-02 03:00:00,101756.6004300955,604813.0881711158
2018-01-02 04:00:00,100559.70811170472,41640775.07989039
2018-01-02 05:00:00,98083.81088471302,622303.3396799045
2018-01-02 06:00:00,108134.34260455666,510741.2278255209
2018-01-02 07:00:00,110982.25925924833,512769.4827121311
2018-01-02 08:00:00,112093.30694444866,3075164.3527506506
2018-01-02 09:00:00,114857.43743826762,588251.88601888
2018-01-02 10:00:00,117385.33289328894,39589723.502806515
2018-01-02 11:00:00,110499.56810033269,580197.4416493054
2018-01-02 12:00:00,100075.98100357795,881924.1139789496
2018-01-02 13:00:00,105757.49139786612,589142.0263791234
2018-01-02 14:00:00,101737.2545185185,2036628.3223703338
2018-01-02 15:00:00,98837.94200000237,624234.7103710939
2018-01-02 16:00:00,117350.6288454628,40215317.278600246
2018-01-02 17:00:00,124620.0755248981,776521.9315473087
2018-01-02 18:00:00,105074.72077778498,820202.6404448785
2018-01-02 19:00:00,112094.66074878805,3941078.27357476
2018-01-02 20:00:00,105612.00975845236,989807.7397097438
2018-01-02 21:00:00,109226.71844338837,2288526.4959743917
2018-01-02 22:00:00,109749.96056549287,778544.5356521261
2018-01-02 23:00:00,110459.37637276013,589889.8304226345
2018-01-03 00:00:00,103249.84865893782,574191.9440501411
2018-01-03 01:00:00,105622.18343978668,40459656.2127734
2018-01-03 02:00:00,112463.11421393609,606916.188385417
2018-01-03 03:00:00,117545.71154104658,855041.0942925346
2018-01-03 04:00:00,117836.91829060878,40856619.26786241
2018-01-03 05:00:00,107386.08666666666,619788.4776296658
2018-01-03 06:00:00,107878.32555555555,529724.8066297742
2018-01-03 07:00:00,108436.77083333334,646330.9830555557
2018-01-03 08:00:00,103936.15852149964,537862.9059950087
2018-01-03 09:00:00,98239.7938303428,35379999.590763874
2018-01-03 10:00:00,133986.59269294847,587112.763930664
2018-01-03 11:00:00,189809.81217743125,7096775.418754882
2018-01-03 12:00:00,128504.39045017565,633043.5805457899
2018-01-03 13:00:00,118403.96942528937,3550007.6824517134
2018-01-03 14:00:00,108003.1123198753,689296.7845556644
2018-01-03 15:00:00,114314.30797131962,39850236.04694663
2018-01-03 16:00:00,112088.64235125761,737393.074918077
2018-01-03 17:00:00,112847.15591397711,1001582.9015049913
2018-01-03 18:00:00,113240.12937113868,1413360.1001627608
2018-01-03 19:00:00,112880.54421548736,3173911.910303819
2018-01-03 20:00:00,111478.13645792218,33904630.59663195
2018-01-03 21:00:00,121173.43067231284,1590560.8584212242
2018-01-03 22:00:00,114094.57953643374,686879.5748725043
2018-01-03 23:00:00,107914.8447407235,2729463.98657227
2018-01-04 00:00:00,114878.58173868,603858.0994350286
2018-01-04 01:00:00,109301.07620070559,625004.4418641493
2018-01-04 02:00:00,112788.41799281542,1568411.4702506512
2018-01-04 03:00:00,99328.02465951917,625491.2829389104
2018-01-04 04:00:00,144020.2191254319,607350.0510324434
2018-01-04 05:00:00,133871.97062365751,1680496.5462440322
2018-01-04 06:00:00,120142.15093190936,546013.6339784071
2018-01-04 07:00:00,105156.29924730625,39686955.19849447
2018-01-04 08:00:00,110295.85894713826,550922.8233110893
2018-01-04 09:00:00,112654.74350925018,4451084.93849121
2018-01-04 10:00:00,110477.12213143456,610431.1183414717
2018-01-04 11:00:00,121369.70801672299,32762639.662102323
2018-01-04 12:00:00,130910.20481481448,730921.4014816625
2018-01-04 13:00:00,123926.21777778308,2639060.293015951
2018-01-04 14:00:00,122449.27762963616,39702006.0130583
2018-01-04 15:00:00,124719.09994612585,2889062.30281467
2018-01-04 16:00:00,127196.3810682974,971532.5554421654
2018-01-04 17:00:00,124913.47327512849,924055.9050965714
2018-01-04 18:00:00,127076.03683080668,835679.9261973742
2018-01-04 19:00:00,126218.06615194645,972480.2958783634
2018-01-04 20:00:00,119833.6509313869,1659487.3654410816
2018-01-04 21:00:00,115597.8135493861,40288871.2903391
2018-01-04 22:00:00,129563.67861728031,2295791.9522721367
2018-01-04 23:00:00,115647.12955556653,684225.8598518883
2018-01-05 00:00:00,106047.6707189366,847816.261957097
2018-01-05 01:00:00,113480.37244680196,2224625.855981445
2018-01-05 02:00:00,109786.96067594216,766115.5604253474
2018-01-05 03:00:00,107815.68107079617,890270.6008691413
2018-01-05 04:00:00,114777.15951255054,1832558.0370757396
2018-01-05 05:00:00,130326.85111108456,817805.2395551219
2018-01-05 06:00:00,111956.14675863902,613473.7403059896
2018-01-05 07:00:00,114867.93442654396,41350068.50710179
2018-01-05 08:00:00,117475.77614817931,707231.1511583119
2018-01-05 09:00:00,108992.17577060596,719551.9490326608
2018-01-05 10:00:00,107726.40007166124,952934.009104275
2018-01-05 11:00:00,102275.35397851621,752351.7602864585
2018-01-05 12:00:00,111602.58729030502,952217.8940478519
2018-01-05 13:00:00,106674.94162962698,39771703.63236981
2018-01-05 14:00:00,162846.40685066007,40805888.686413854
2018-01-05 15:00:00,133141.97548389115,972583.0990684682
2018-01-05 16:00:00,115837.95692472457,5514428.303555231
2018-01-05 17:00:00,122680.52644443093,765280.2764442277
2018-01-05 18:00:00,124102.8944086022,920248.3871679686
2018-01-05 19:00:00,124809.08381363335,1357912.9928320318
2018-01-05 20:00:00,144180.69339066505,1031352.1541932509
2018-01-05 21:00:00,127107.0432258044,40354234.09548395
2018-01-05 22:00:00,121167.11039427968,759965.4102506508
2018-01-05 23:00:00,116745.21727597767,1952298.8615060754
2018-01-06 00:00:00,118813.04067552536,1136339.5446261477
2018-01-06 01:00:00,119750.19326164988,877077.5433398443
2018-01-06 02:00:00,125094.36918516477,2049692.290963542
2018-01-06 03:00:00,115963.43903705062,779498.520148112
2018-01-06 04:00:00,117375.16518279396,625398.8082725691
2018-01-06 05:00:00,119673.3311875767,631820.6050607638
2018-01-06 06:00:00,142632.3911780071,39720159.118452154
2018-01-06 07:00:00,138366.89598568494,6169478.4059488885
2018-01-06 08:00:00,127166.5729844634,564062.1907101779
2018-01-06 09:00:00,126336.46744564586,596502.1551687282
2018-01-06 10:00:00,123416.77836916184,39784358.08005317
