time,in,out
2018-01-01 09:00:00,98398555.32069443,192531557.59694436
2018-01-01 10:00:00,42936438.72694445,190764968.90166664
2018-01-01 11:00:00,11989081.997083332,132222097.01916668
2018-01-01 12:00:00,43746305.83472225,58768059.82027778
2018-01-01 13:00:00,166086185.5972223,141503102.4536111
2018-01-01 14:00:00,32741383.893333323,32900496.585555557
2018-01-01 15:00:00,223447274.30625004,103225672.16527775
2018-01-01 16:00:00,13998946.504305553,205858527.58666676
2018-01-01 17:00:00,17288231.368194442,249796402.52138883
2018-01-01 18:00:00,13572179.678055553,105993396.75277773
2018-01-01 19:00:00,57917870.96749999,140334916.72722217
2018-01-01 20:00:00,152318911.57263884,29426172.98500001
2018-01-01 21:00:00,23875736.34444443,124777251.89472222
2018-01-01 22:00:00,42103981.505694404,65982105.331666686
2018-01-01 23:00:00,36514786.96862746,193025009.0263306
2018-01-02 00:00:00,91924171.75476192,68719499.92072828
2018-01-02 01:00:00,105315749.01375,212174479.4394444
2018-01-02 02:00:00,95568158.47083338,136240934.04083326
2018-01-02 03:00:00,102979299.97680555,127765222.53777783
2018-01-02 04:00:00,52528967.25222226,120073369.41388889
2018-01-02 05:00:00,144838561.26291668,101635834.0977778
2018-01-02 06:00:00,40741633.905555554,85019155.65166669
2018-01-02 07:00:00,153944882.8788889,99298239.27861115
2018-01-02 08:00:00,50867562.83277778,242353176.20166683
2018-01-02 09:00:00,235144174.68180552,101696067.65222225
2018-01-02 10:00:00,78544859.55680554,200859475.22722223
2018-01-02 11:00:00,51419511.86444442,136231809.6905555
2018-01-02 12:00:00,60403980.59375,63986985.82250003
2018-01-02 13:00:00,118888179.0894444,135124848.05222216
2018-01-02 14:00:00,215860089.2658333,194621416.24805555
2018-01-02 15:00:00,188108510.98750004,114946050.12277777
2018-01-02 16:00:00,220129606.26000005,161047180.10944447
2018-01-02 17:00:00,192209292.07388887,205344366.66055548
2018-01-02 18:00:00,182396985.65638888,161682401.03333342
2018-01-02 19:00:00,229658248.3199999,59483768.7444445
2018-01-02 20:00:00,185529286.2125001,118499847.28861102
2018-01-02 21:00:00,209679349.5777778,159533977.0530556
2018-01-02 22:00:00,204864541.38499993,86276113.77694446
2018-01-02 23:00:00,169595682.55152786,87424800.66388887
2018-01-03 00:00:00,55891980.53601697,209889925.9799436
2018-01-03 01:00:00,174185157.05680546,174472915.14250004
2018-01-03 02:00:00,66077563.973333344,54681541.57138889
2018-01-03 03:00:00,18195184.980277777,101166832.31583332
2018-01-03 04:00:00,57701798.044583336,120088939.41777778
2018-01-03 05:00:00,82360213.34736109,143769843.6983334
2018-01-03 06:00:00,100545982.16791661,37592504.62416665
2018-01-03 07:00:00,28551868.917777777,167755469.23166665
2018-01-03 08:00:00,82676494.87027778,188892376.0136111
2018-01-03 09:00:00,95075385.00611113,216265647.95222217
2018-01-03 10:00:00,80412892.2811111,116614772.19138895
2018-01-03 11:00:00,71856724.07458332,159281603.47444445
2018-01-03 12:00:00,165685652.91249993,182641217.5527778
2018-01-03 13:00:00,82933726.82916667,122771011.39972226
2018-01-03 14:00:00,183713956.71402785,150647305.92499992
2018-01-03 15:00:00,195481230.6691667,162890693.07000002
2018-01-03 16:00:00,145573157.35083336,258749896.92611113
2018-01-03 17:00:00,204414891.0176389,67591003.33083336
2018-01-03 18:00:00,289466521.2011111,183815073.49638882
2018-01-03 19:00:00,176668073.21972224,77868445.81749997
2018-01-03 20:00:00,180359289.3293056,188271887.32416672
2018-01-03 21:00:00,154839588.16597226,172974194.28527775
2018-01-03 22:00:00,209058942.68388882,124200482.34222218
2018-01-03 23:00:00,151696821.93277788,83730086.47250001
2018-01-04 00:00:00,156348075.24618644,75877510.47146893
2018-01-04 01:00:00,150628457.2540278,256048652.59666663
2018-01-04 02:00:00,36202025.3398611,100587823.91944449
2018-01-04 03:00:00,25949631.02416668,74540366.15555556
2018-01-04 04:00:00,73783145.34097221,165739395.99527782
2018-01-04 05:00:00,125061479.62513891,74325085.17305557
2018-01-04 06:00:00,101198740.14236109,151100043.72277784
2018-01-04 07:00:00,63955437.12750001,114799287.2672222
2018-01-04 08:00:00,84642869.8004167,289456833.12361115
2018-01-04 09:00:00,150367697.07291672,87665240.5055555
