time,in,out
2018-01-01 09:00:00,7070847.417916662,224528257.82944447
2018-01-01 10:00:00,51328261.21694445,229200120.86611107
2018-01-01 11:00:00,5217827.1552777765,212289872.70833337
2018-01-01 12:00:00,7495363.419583335,213758038.01500002
2018-01-01 13:00:00,5446681.048333333,213549005.45222223
2018-01-01 14:00:00,16185130.06722223,224409903.93444452
2018-01-01 15:00:00,13516206.669861114,219994931.30166674
2018-01-01 16:00:00,15003268.56875,217966287.76555565
2018-01-01 17:00:00,51352961.80819445,220968782.85166672
2018-01-01 18:00:00,14441819.89263889,222253871.22499996
2018-01-01 19:00:00,13751050.763611112,222311865.48277763
2018-01-01 20:00:00,18300901.24055556,224297804.00499994
2018-01-01 21:00:00,21896250.52736111,242758648.52222222
2018-01-01 22:00:00,14081745.00763889,255491719.76611122
2018-01-01 23:00:00,13456474.795238098,236551340.46722677
2018-01-02 00:00:00,56825448.45084031,215409346.090196
2018-01-02 01:00:00,10017774.917777779,229572938.4383334
2018-01-02 02:00:00,15601475.468472222,223215094.26277784
2018-01-02 03:00:00,14266884.171388892,218773334.38833314
2018-01-02 04:00:00,9173018.280416667,216507156.05388892
2018-01-02 05:00:00,55217763.96402779,217998755.7277777
2018-01-02 06:00:00,20673258.038472217,221712777.78444448
2018-01-02 07:00:00,11269822.967916664,224466522.1722222
2018-01-02 08:00:00,5356494.952638889,222428272.23500004
2018-01-02 09:00:00,11984783.416249998,229974122.1000002
2018-01-02 10:00:00,51954911.455277786,227520525.30499995
2018-01-02 11:00:00,7626968.442361115,219625089.6738888
2018-01-02 12:00:00,3213899.8226388907,218955547.83722216
2018-01-02 13:00:00,14707571.149166657,224866229.48499998
2018-01-02 14:00:00,29226477.480138887,240725615.3016666
2018-01-02 15:00:00,33266227.89222222,271702514.0644445
2018-01-02 16:00:00,48837402.32069444,264659960.10833344
2018-01-02 17:00:00,99371341.06986111,280144406.84999996
2018-01-02 18:00:00,54866903.804999985,265915416.9494444
2018-01-02 19:00:00,70286792.73583336,268431364.20499992
2018-01-02 20:00:00,48638942.20569444,269042072.56555545
2018-01-02 21:00:00,68570589.28041667,278765054.4333334
2018-01-02 22:00:00,121483767.95430554,273178561.77277774
2018-01-02 23:00:00,70166162.54444446,256273743.62555563
2018-01-03 00:00:00,19637606.01779661,243276581.2966101
2018-01-03 01:00:00,12335198.670138888,247007128.42999995
2018-01-03 02:00:00,7645762.84597222,240653520.03055567
2018-01-03 03:00:00,9541603.532638885,234995153.61666667
2018-01-03 04:00:00,7962513.451250001,224495377.73611104
2018-01-03 05:00:00,16681134.686250003,227432649.78722212
2018-01-03 06:00:00,15395022.37472222,234428968.575
2018-01-03 07:00:00,16607020.603333334,232295026.91777796
2018-01-03 08:00:00,7818162.352222224,230410275.206111
2018-01-03 09:00:00,53057046.96124998,229435054.31500003
2018-01-03 10:00:00,52659832.500555545,228898355.14722225
2018-01-03 11:00:00,5199205.9780555535,239565067.65777764
2018-01-03 12:00:00,6764849.362916665,231593454.02777773
2018-01-03 13:00:00,17107545.04138889,234002173.3911112
2018-01-03 14:00:00,50654553.82361111,264434838.28666666
2018-01-03 15:00:00,54041142.39555556,252558418.09777784
2018-01-03 16:00:00,31244555.077916667,225710912.52055562
2018-01-03 17:00:00,90707476.4079167,271806827.1344443
2018-01-03 18:00:00,67834196.62888885,280241981.1455557
2018-01-03 19:00:00,73569270.93013887,297614590.7272223
2018-01-03 20:00:00,59747334.70486112,299513298.8666668
2018-01-03 21:00:00,66727768.97458331,330534001.17000014
2018-01-03 22:00:00,103831012.88888893,317497290.33777785
2018-01-03 23:00:00,84018488.27930552,274666017.50111115
2018-01-04 00:00:00,68185562.02627118,259579361.7700566
2018-01-04 01:00:00,14450126.668472221,244935828.4022221
2018-01-04 02:00:00,19665297.867916662,238135940.8044443
2018-01-04 03:00:00,13082720.570833342,231200648.15055552
2018-01-04 04:00:00,9339921.566666668,225709501.71666664
2018-01-04 05:00:00,13097036.436944447,260758789.66277775
2018-01-04 06:00:00,49333380.01513889,237576612.4083334
2018-01-04 07:00:00,13998328.222499998,246183017.09944454
2018-01-04 08:00:00,13832104.758333338,233072541.48611102
2018-01-04 09:00:00,51818143.412361115,236379311.5366666
2018-01-04 10:00:00,7922460.04694444,255649526.80333343
2018-01-04 11:00:00,54147597.45416668,220776373.2844444
2018-01-04 12:00:00,50473822.49263887,251713077.285
2018-01-04 13:00:00,19586969.11597222,243378675.50944433
2018-01-04 14:00:00,40815724.207499996,244618628.70166677
2018-01-04 15:00:00,47424460.90097222,265268071.79222223
2018-01-04 16:00:00,56313425.45722222,313463454.2944444
2018-01-04 17:00:00,60066345.59388889,292210732.231111
2018-01-04 18:00:00,54673263.37597222,327847118.8894445
2018-01-04 19:00:00,92058433.03888889,378674610.92222226
2018-01-04 20:00:00,59714547.51388889,322506957.52833337
2018-01-04 21:00:00,136445823.92875007,282570777.4455555
2018-01-04 22:00:00,82539221.96569446,271284430.3144445
2018-01-04 23:00:00,49748923.283888906,284895404.5888888
2018-01-05 00:00:00,70272169.99364407,233580961.01242936
2018-01-05 01:00:00,11855651.39763889,235425475.32277775
2018-01-05 02:00:00,17065848.73611111,224755349.29499996
2018-01-05 03:00:00,28559713.058611114,229070206.70000017
2018-01-05 04:00:00,64854227.35583333,271105794.2344443
2018-01-05 05:00:00,14004036.040138897,266964006.64444426
2018-01-05 06:00:00,12439439.954444451,221597538.59388888
2018-01-05 07:00:00,51874826.68708337,246853724.19666666
2018-01-05 08:00:00,8462539.453888891,277766254.5555555
2018-01-05 09:00:00,13605805.164027773,226698133.0672223
2018-01-05 10:00:00,152051224.72013888,278118470.79333335
2018-01-05 11:00:00,14579998.03069445,224688691.97666657
2018-01-05 12:00:00,9399354.081388887,260319619.71666667
2018-01-05 13:00:00,47588505.94708332,233223235.10222214
2018-01-05 14:00:00,7003907.462500002,270502241.0494444
2018-01-05 15:00:00,11404324.536388883,225947825.91277778
2018-01-05 16:00:00,55759921.951111086,237068473.15111104
2018-01-05 17:00:00,16310174.736388883,233318902.92777777
2018-01-05 18:00:00,12246905.981805563,248000471.53388885
2018-01-05 19:00:00,19272347.82194444,261910495.1466666
2018-01-05 20:00:00,11858344.766805558,246308580.46666676
2018-01-05 21:00:00,54758316.96749999,233863141.41000006
2018-01-05 22:00:00,52689283.30222224,269855552.36
2018-01-05 23:00:00,6680544.1901388895,274886649.8544446
2018-01-06 00:00:00,6719760.60042373,225747669.5033899
2018-01-06 01:00:00,7584875.14097222,231381422.87777779
2018-01-06 02:00:00,7569745.365972224,241726423.98944438
2018-01-06 03:00:00,51111304.35791664,252473288.6044445
2018-01-06 04:00:00,18168503.724999998,269087367.6911111
2018-01-06 05:00:00,11662471.233055556,284887240.7733333
2018-01-06 06:00:00,14501224.207638888,243164593.04722226
2018-01-06 07:00:00,9089123.869722223,290095321.2399999
2018-01-06 08:00:00,8271068.110138891,226463184.3422223
2018-01-06 09:00:00,50993679.96583332,228958005.47388884
