time,in,out
2018-01-01 09:00:00,1846840167.8022227,3695483904.7955537
2018-01-01 10:00:00,1947976077.491112,5325143248.564446
2018-01-01 11:00:00,2217494257.5444446,2194284219.235556
2018-01-01 12:00:00,1115394285.9600005,3096372928.382222
2018-01-01 13:00:00,400866455.3111109,2435066124.226665
2018-01-01 14:00:00,1205670317.704445,2431454468.613333
2018-01-01 15:00:00,636704048.7888887,1762252011.5333333
2018-01-01 16:00:00,590283749.8666663,6578175039.7333355
2018-01-01 17:00:00,1008237875.4177779,1222680856.124444
2018-01-01 18:00:00,680393371.2955556,4861187050.391112
2018-01-01 19:00:00,1007894936.628889,8452759700.577775
2018-01-01 20:00:00,543468330.5000001,2166877057.493334
2018-01-01 21:00:00,1212879431.0844443,5560818895.071112
2018-01-01 22:00:00,1494054202.6511114,3393172898.2755556
2018-01-01 23:00:00,1005594925.2666667,1017051227.737778
2018-01-02 00:00:00,1516310573.7062147,5634500948.944634
2018-01-02 01:00:00,2182540811.6866665,5718151216.075555
2018-01-02 02:00:00,2827402179.6733336,1715937301.1511104
2018-01-02 03:00:00,937272079.7400001,1187013104.9111104
2018-01-02 04:00:00,2325248720.657777,1770102722.1288886
2018-01-02 05:00:00,1101772814.7888885,1259528782.7644446
2018-01-02 06:00:00,1480870744.1644442,5106437835.355556
2018-01-02 07:00:00,901855934.6755558,12375062808.151112
2018-01-02 08:00:00,1563246762.0333328,5266875274.66222
2018-01-02 09:00:00,1501875981.813333,3405951236.555556
2018-01-02 10:00:00,1159102001.2400002,6674179550.626666
2018-01-02 11:00:00,801815361.2999998,6479493327.21778
2018-01-02 12:00:00,1253902100.5066667,7393149901.74222
2018-01-02 13:00:00,1850308510.817777,1533246454.8711112
2018-01-02 14:00:00,1805549036.9911106,2443544223.0444436
2018-01-02 15:00:00,1966964652.2866666,2042612544.7155564
2018-01-02 16:00:00,2537778087.9777784,2432978508.6800003
2018-01-02 17:00:00,1135756580.6866672,1994265476.6666653
2018-01-02 18:00:00,2161330031.644444,2309382704.0755553
2018-01-02 19:00:00,2188064460.064444,3394416077.342223
2018-01-02 20:00:00,2075541541.3444438,1644880237.4577775
2018-01-02 21:00:00,1717424757.668889,14702407016.542223
2018-01-02 22:00:00,1044937170.2488889,6630930761.66222
2018-01-02 23:00:00,789603087.851111,5243415699.417777
2018-01-03 00:00:00,1375912159.2745762,9247595566.21017
2018-01-03 01:00:00,479697223.81111115,2506675570.604444
2018-01-03 02:00:00,1498233704.0155551,3743516027.888889
2018-01-03 03:00:00,4096656256.1000013,5237929609.155559
2018-01-03 04:00:00,5547391229.055556,5730978655.653334
2018-01-03 05:00:00,4251823101.4222207,5703998086.248889
2018-01-03 06:00:00,2413218670.842222,2885343871.0711107
2018-01-03 07:00:00,2810621791.071109,3454048747.688889
2018-01-03 08:00:00,3014944429.497778,1739786404.4000003
2018-01-03 09:00:00,3248265071.1377773,1391563304.6844442
2018-01-03 10:00:00,2534186029.7644434,4104169600.5377774
2018-01-03 11:00:00,1061826149.4444441,1984458538.8222215
2018-01-03 12:00:00,1855723871.8666673,2625197338.3377786
2018-01-03 13:00:00,2662143849.1533337,3447110195.608888
2018-01-03 14:00:00,3404141054.302223,3064035973.0088897
2018-01-03 15:00:00,1231724179.3288887,1681791334.7466655
2018-01-03 16:00:00,364046800.78444445,2889337591.9955564
2018-01-03 17:00:00,604765972.8466669,3294263859.0533347
2018-01-03 18:00:00,764741530.0866663,3592890365.3333335
2018-01-03 19:00:00,775723935.0,2367406853.2666674
2018-01-03 20:00:00,637083248.3022224,2816049788.8088884
2018-01-03 21:00:00,856439686.8422226,10262431739.337776
2018-01-03 22:00:00,1432833116.9999995,14415795106.622225
2018-01-03 23:00:00,1357623637.1088893,3543525676.1555552
2018-01-04 00:00:00,1167571464.6485877,3695619940.1265516
2018-01-04 01:00:00,1448159938.1155548,14775915532.946669
2018-01-04 02:00:00,2564591267.2222223,5853210656.42667
2018-01-04 03:00:00,1103501146.0155559,2068074027.626666
2018-01-04 04:00:00,825369062.9399998,2369612699.808889
2018-01-04 05:00:00,1064100976.8355554,5858376978.471112
2018-01-04 06:00:00,2981175233.151112,1307208007.1066663
2018-01-04 07:00:00,1967131000.9244437,4036132055.293334
2018-01-04 08:00:00,2063331829.5600007,5151174536.844443
2018-01-04 09:00:00,1001106153.2088889,12590228819.808882
2018-01-04 10:00:00,3993174532.702222,3225698149.8666673
2018-01-04 11:00:00,3033840779.071111,8508406528.1511135
2018-01-04 12:00:00,1972020666.5644438,6594506087.626667
2018-01-04 13:00:00,2519423668.4066663,11985332523.768894
2018-01-04 14:00:00,1151879187.637778,6813000403.03111
2018-01-04 15:00:00,1670254391.815555,7128842063.622222
2018-01-04 16:00:00,1672584707.577778,3826365038.7111096
2018-01-04 17:00:00,2214924575.055556,3899800606.1022215
2018-01-04 18:00:00,2540998551.7911115,7199594041.346667
2018-01-04 19:00:00,3755841141.980001,1311676541.3244448
2018-01-04 20:00:00,3213186695.2600017,4652561874.084445
2018-01-04 21:00:00,1254373038.7644446,4997890727.320001
2018-01-04 22:00:00,1617485022.157779,4212100387.0355563
2018-01-04 23:00:00,1391431133.7600005,1059426385.2266669
2018-01-05 00:00:00,2278005379.17966,979157232.9084746
2018-01-05 01:00:00,2044544507.3622224,3399134736.084443
2018-01-05 02:00:00,2263134286.3022227,1137516482.302222
2018-01-05 03:00:00,3868919361.8488865,1628320563.76
2018-01-05 04:00:00,2898066969.7977786,1065015755.4933332
2018-01-05 05:00:00,2766879862.353334,656158949.2800001
2018-01-05 06:00:00,1112694118.7377775,1144411237.857778
2018-01-05 07:00:00,652150910.1444442,8377442698.920003
2018-01-05 08:00:00,1506774398.331111,4337568662.311112
2018-01-05 09:00:00,774292498.3266664,845379551.9866663
2018-01-05 10:00:00,824500232.8222221,2170066924.9288898
2018-01-05 11:00:00,1246625106.795556,650612490.7866665
2018-01-05 12:00:00,1154008903.8311112,997054026.1333333
2018-01-05 13:00:00,2837134607.2044444,2223686345.1111116
2018-01-05 14:00:00,2704008381.1444445,2050245159.8400002
2018-01-05 15:00:00,1153026186.6599998,5711937378.008886
2018-01-05 16:00:00,1671994463.171112,9696845570.084446
2018-01-05 17:00:00,2857575833.1200004,7777004404.94222
2018-01-05 18:00:00,898103330.8955559,7030221610.1422205
2018-01-05 19:00:00,966263419.6600006,1695098625.3200004
2018-01-05 20:00:00,875225379.5311111,1414980275.8622215
2018-01-05 21:00:00,571002315.1888887,4333117153.142221
2018-01-05 22:00:00,874484073.1333333,6668320952.791111
2018-01-05 23:00:00,1064163814.7133336,684100323.8888891
2018-01-06 00:00:00,2349826594.5635853,1828066134.9647062
2018-01-06 01:00:00,2378743429.2288895,1078357013.933333
2018-01-06 02:00:00,752804396.4599999,1901562138.7600007
2018-01-06 03:00:00,463733167.4133333,2180461223.5466676
2018-01-06 04:00:00,1871263576.119999,1146479784.0666661
2018-01-06 05:00:00,1270477035.386667,2947782805.977777
2018-01-06 06:00:00,1386962208.5555556,4187439392.3600006
2018-01-06 07:00:00,1551449993.4888887,3909884399.6177773
2018-01-06 08:00:00,1056520247.1733335,583992772.7822224
2018-01-06 09:00:00,1587703930.377778,3719300251.413333
2018-01-06 10:00:00,1212196398.6444445,5869960039.648893
2018-01-06 11:00:00,2822255956.0511117,23473165838.231102
2018-01-06 12:00:00,1892006310.7955565,4855063451.293332
2018-01-06 13:00:00,303608230.94666666,653903086.4577776
2018-01-06 14:00:00,315741835.8244446,762708395.9111105
2018-01-06 15:00:00,1727155230.9444435,791921973.9822222
2018-01-06 16:00:00,1919819621.986667,2208125715.0133333
2018-01-06 17:00:00,1515016040.7711115,1387195365.4133334
2018-01-06 18:00:00,819895075.7577778,1812757003.075555
2018-01-06 19:00:00,1831305882.1022222,6400286027.04889
2018-01-06 20:00:00,1248346690.9422219,14715943698.039999
2018-01-06 21:00:00,1994716510.0622227,2760703883.3199997
2018-01-06 22:00:00,1364772767.5222223,704114295.8977778
2018-01-06 23:00:00,1618584159.8955557,7419173299.826667
2018-01-07 00:00:00,1815047678.404519,4254967919.945762
2018-01-07 01:00:00,1326832107.708889,1660090300.853332
2018-01-07 02:00:00,1325794684.9622216,2611615251.0044427
2018-01-07 03:00:00,1458255857.8133333,2105646270.9777763
2018-01-07 04:00:00,2073600809.7533338,2984553882.431111
2018-01-07 05:00:00,3150195712.231111,1774997479.7244442
2018-01-07 06:00:00,2458705891.7444444,5498056974.217777
2018-01-07 07:00:00,1147468049.7733335,1710150329.9022222
2018-01-07 08:00:00,1576398967.2444456,672847703.1777779
2018-01-07 09:00:00,2361694621.326667,5275229893.724443
2018-01-07 10:00:00,2241730199.271112,4767265139.791109
2018-01-07 11:00:00,949054243.02,1025823619.5377777
2018-01-07 12:00:00,2047041157.9244444,5239901530.208889
2018-01-07 13:00:00,1074869057.248889,1332155758.8755553
2018-01-07 14:00:00,1363683560.7066665,9801378684.697777
2018-01-07 15:00:00,787508161.2577779,1935252495.484444
2018-01-07 16:00:00,2680694551.433334,891180774.337778
2018-01-07 17:00:00,2916650483.7155566,4429346728.759999
2018-01-07 18:00:00,1260476529.9000008,1096185783.6533337
2018-01-07 19:00:00,1932293980.4711108,10753588687.666662
2018-01-07 20:00:00,1618416540.1777775,1409911984.3199997
2018-01-07 21:00:00,1867389788.6022222,1920463449.284445
2018-01-07 22:00:00,1284379396.604445,1510110807.4933333
2018-01-07 23:00:00,1105322147.5199997,10041194808.088892
2018-01-08 00:00:00,2819728744.0542393,4015677062.201129
2018-01-08 01:00:00,878156494.5155557,2093240943.8399994
2018-01-08 02:00:00,973481981.6111108,1540498581.7466667
2018-01-08 03:00:00,3004578046.684446,13727884335.879997
2018-01-08 04:00:00,3943845846.524446,3204231864.862222
2018-01-08 05:00:00,11544064218.14445,1488537001.7288885
2018-01-08 06:00:00,9706550738.673338,5599404414.2711115
2018-01-08 07:00:00,2104445185.3644447,5184801876.826666
2018-01-08 08:00:00,1736530429.895556,3099484172.635555
2018-01-08 09:00:00,1117762830.3466668,2087697404.355556
2018-01-08 10:00:00,3503639746.3533335,630950410.1644443
2018-01-08 11:00:00,1898031809.1355567,7589986005.55111
2018-01-08 12:00:00,1554235416.6644444,13351639952.702219
2018-01-08 13:00:00,1761832451.3755553,1188343604.466667
