time,in,out
2018-01-01 09:00:00,234557736.00902784,171040028.49043745
2018-01-01 10:00:00,280164934.4449305,134399701.86119252
2018-01-01 11:00:00,185520214.69868055,182274123.66892937
2018-01-01 12:00:00,454628912.24618053,186765471.86090246
2018-01-01 13:00:00,304229562.9873957,333387172.73804015
2018-01-01 14:00:00,241991335.9662499,187101488.98986027
2018-01-01 15:00:00,347502712.90406233,249213719.55485004
2018-01-01 16:00:00,381223473.58319443,248015478.28745827
2018-01-01 17:00:00,229720257.0920138,190300652.42812204
2018-01-01 18:00:00,595329329.5822228,238661814.56476694
2018-01-01 19:00:00,486504857.04767364,391683824.01990765
2018-01-01 20:00:00,477239090.7786111,455655499.2876021
2018-01-01 21:00:00,379502609.90968746,265166710.40238294
2018-01-01 22:00:00,294111550.20187503,276308922.0320786
2018-01-01 23:00:00,268643706.5648263,212318780.2429176
2018-01-02 00:00:00,472989467.7205861,229572701.2912339
2018-01-02 01:00:00,328175506.78614587,193914432.54149315
2018-01-02 02:00:00,349295494.2586806,263689364.6168583
2018-01-02 03:00:00,314381833.13416666,336130982.56336915
2018-01-02 04:00:00,522811692.78038174,167725020.3836149
2018-01-02 05:00:00,238375073.9788542,249884487.1168677
2018-01-02 06:00:00,370826608.1016321,288457177.8789798
2018-01-02 07:00:00,307095383.59697896,294318571.44813615
2018-01-02 08:00:00,386107671.346493,310099682.015699
2018-01-02 09:00:00,295824746.95593745,192401047.9811413
2018-01-02 10:00:00,421395714.5080555,230119631.79041424
2018-01-02 11:00:00,477526800.14864594,331356648.58625805
2018-01-02 12:00:00,731780675.7951388,365832383.928853
2018-01-02 13:00:00,1122657785.5037146,802259518.252222
2018-01-02 14:00:00,1649853508.6362844,570200421.3366667
2018-01-02 15:00:00,2381274427.224584,625175335.439964
2018-01-02 16:00:00,2593858612.4237156,505899746.1203323
2018-01-02 17:00:00,2479733806.2055197,451217513.80246353
2018-01-02 18:00:00,2559254985.110903,568489037.7378881
2018-01-02 19:00:00,2347586959.1645837,584520887.9860185
2018-01-02 20:00:00,2365218315.5232983,701462931.9447225
2018-01-02 21:00:00,2251716103.931008,525900610.0332778
2018-01-02 22:00:00,2009076228.011737,491692292.30945516
2018-01-02 23:00:00,1357555520.3790278,314399398.6806188
2018-01-03 00:00:00,841089703.8909606,303415733.65778834
2018-01-03 01:00:00,707909266.3820487,360664936.2211743
2018-01-03 02:00:00,485277640.45871514,262416468.82516137
2018-01-03 03:00:00,528846604.76368046,197443748.1691243
2018-01-03 04:00:00,562767445.6241317,262229167.20324102
2018-01-03 05:00:00,387892268.1007985,247342708.31512558
2018-01-03 06:00:00,298469008.59420145,264785216.6165048
2018-01-03 07:00:00,494052345.96402764,267093013.2419538
2018-01-03 08:00:00,296092539.86850685,345602405.6302962
2018-01-03 09:00:00,503665475.970382,210152445.06725937
2018-01-03 10:00:00,395376493.43333334,163873176.93105543
2018-01-03 11:00:00,514712884.9658334,219270349.45472226
