time,in,out
2018-01-01 09:00:00,1487632953.7111113,2613591675.0333343
2018-01-01 10:00:00,1080460252.5122223,2240880999.491111
2018-01-01 11:00:00,811863177.0555558,2188549093.2088885
2018-01-01 12:00:00,1639268482.167778,2851566823.5755568
2018-01-01 13:00:00,758698544.1522219,2452969858.066667
2018-01-01 14:00:00,646296488.1488887,2427969988.897777
2018-01-01 15:00:00,1395349786.2855566,2468813388.7977777
2018-01-01 16:00:00,914870727.2833334,2023855108.9111106
2018-01-01 17:00:00,1332733748.0877783,2081985590.0266664
2018-01-01 18:00:00,1026443296.986667,1869249125.7222216
2018-01-01 19:00:00,1036248299.9911109,1843600581.037778
2018-01-01 20:00:00,958668872.3533331,1961466267.5800002
2018-01-01 21:00:00,883440697.7088889,2525855860.5222216
2018-01-01 22:00:00,1111122563.8,2391712056.8844447
2018-01-01 23:00:00,902867875.2322223,2109322210.6911113
2018-01-02 00:00:00,1047133715.9084743,2170148360.160451
2018-01-02 01:00:00,1761117094.2966673,2235822972.393333
2018-01-02 02:00:00,1063408828.2044444,2088934243.2666676
2018-01-02 03:00:00,1197472312.3455555,2256123767.977777
2018-01-02 04:00:00,1696437887.4800003,1904428918.6044438
2018-01-02 05:00:00,1154790700.0255556,2044547463.5200012
2018-01-02 06:00:00,1195054580.8622217,1618207844.6222222
2018-01-02 07:00:00,1250432088.6688888,1271984540.4933329
2018-01-02 08:00:00,1029910131.1566666,1372144062.6022227
2018-01-02 09:00:00,1427827470.3244438,1272186570.2511115
2018-01-02 10:00:00,1337325534.2588894,1286095582.1888883
2018-01-02 11:00:00,1010078822.1011108,1314994381.7644448
2018-01-02 12:00:00,1266217393.0233335,1414114170.5488892
2018-01-02 13:00:00,1551413174.3811107,1320555373.066667
2018-01-02 14:00:00,1129703056.5433328,1155336285.0977776
2018-01-02 15:00:00,1190206910.635556,1359951029.1200001
2018-01-02 16:00:00,1643034141.8566666,1562984724.3711104
2018-01-02 17:00:00,2007218017.5033343,1964280872.457779
2018-01-02 18:00:00,2186876476.7711105,1867829410.1266668
2018-01-02 19:00:00,2812319233.0344443,1211712794.6066666
2018-01-02 20:00:00,1870585801.6766665,1321727468.766667
2018-01-02 21:00:00,1570187269.1999998,1340543525.5133336
2018-01-02 22:00:00,2061441262.532222,1442590807.4644444
2018-01-02 23:00:00,2221736038.923333,1085187583.1177778
2018-01-03 00:00:00,1820216198.2813568,2216924713.496045
2018-01-03 01:00:00,2810949145.8666673,1908361011.962223
2018-01-03 02:00:00,2573987140.605556,1303546582.7533336
2018-01-03 03:00:00,2339114898.4022226,1460826917.571112
2018-01-03 04:00:00,2184338359.6777787,1623263605.5333328
2018-01-03 05:00:00,1590532753.0522215,1238239682.7644446
2018-01-03 06:00:00,1461814853.1544445,872290714.2844447
2018-01-03 07:00:00,1211270884.8744445,999025670.3622215
2018-01-03 08:00:00,1177040756.4499998,990144607.4088886
2018-01-03 09:00:00,1144769040.0977778,1368167413.1622214
2018-01-03 10:00:00,1228874531.5500007,1171445898.1377783
2018-01-03 11:00:00,2960791421.9977775,1360628464.2444446
2018-01-03 12:00:00,3383378784.8133326,1444342019.777777
2018-01-03 13:00:00,3548367244.845553,1311973509.1911113
2018-01-03 14:00:00,3054104538.54,1345514773.0844438
2018-01-03 15:00:00,2684729619.98111,1736922137.093332
2018-01-03 16:00:00,2894050673.1477766,1999732622.517778
2018-01-03 17:00:00,3104680313.2433305,2067060237.9333334
2018-01-03 18:00:00,2751716733.7488885,2090504426.7111118
2018-01-03 19:00:00,3167640921.95,1750682009.3911107
2018-01-03 20:00:00,2432758776.5288897,2217925078.902222
2018-01-03 21:00:00,2766193587.4377775,4626789624.537778
2018-01-03 22:00:00,3151139769.043334,2269374931.8355556
2018-01-03 23:00:00,3045690274.36889,2223099695.4888897
2018-01-04 00:00:00,2667206848.0734453,3069635286.20339
2018-01-04 01:00:00,2612159531.112223,5817412613.78889
2018-01-04 02:00:00,1971923925.9944458,3516551986.3555546
2018-01-04 03:00:00,2181724848.6522217,3100014044.115556
2018-01-04 04:00:00,1766630293.1766675,3586372205.3577785
2018-01-04 05:00:00,1884321584.6222224,3204335457.1822233
2018-01-04 06:00:00,1918934638.8800006,4768291301.797779
2018-01-04 07:00:00,1800301313.227777,2516533532.442222
2018-01-04 08:00:00,1620650814.7722223,2649044478.506667
2018-01-04 09:00:00,2254171381.154445,3488751255.7200003
2018-01-04 10:00:00,2084740808.5022216,4488130162.231111
2018-01-04 11:00:00,1981274130.6311116,5320408398.568888
2018-01-04 12:00:00,2051123727.0300012,6973060643.562222
2018-01-04 13:00:00,2131712581.5299997,6653585447.395558
2018-01-04 14:00:00,2517936238.5022225,5511266262.3533325
2018-01-04 15:00:00,2986361816.471111,4504208964.58222
2018-01-04 16:00:00,2754338169.9966664,4260820233.0911098
2018-01-04 17:00:00,2589322428.5944433,4135985821.0600023
2018-01-04 18:00:00,2233924784.9522223,3663780978.8111105
2018-01-04 19:00:00,2088342617.2711108,3826066935.297776
2018-01-04 20:00:00,1829083720.257778,5559884191.695556
2018-01-04 21:00:00,1969195559.2266665,4188557427.7777796
2018-01-04 22:00:00,2223078568.1777782,3614992885.515557
2018-01-04 23:00:00,2191957005.2188897,2920052804.7711096
2018-01-05 00:00:00,2565860447.1220336,2203703976.906215
2018-01-05 01:00:00,2782587207.906667,2510600730.7555532
2018-01-05 02:00:00,2305862487.1300006,2424161888.0599995
2018-01-05 03:00:00,2354198815.567778,2464257767.0555563
2018-01-05 04:00:00,2419637223.712222,2552514898.275556
2018-01-05 05:00:00,2060313127.8311112,2566912010.9066663
2018-01-05 06:00:00,1992353630.772222,2191147318.3911114
2018-01-05 07:00:00,2208246247.9966664,1874478803.5244446
2018-01-05 08:00:00,2051788368.4911113,2320954126.8288894
2018-01-05 09:00:00,2069709115.1500008,2358572240.706667
2018-01-05 10:00:00,2199629556.6644444,2241596368.76
2018-01-05 11:00:00,2292466895.666666,1531942462.013333
2018-01-05 12:00:00,1992198487.3033333,1626328678.273333
2018-01-05 13:00:00,1854924036.3222225,1595561503.4933333
2018-01-05 14:00:00,3934367911.5433345,2308191619.6111126
2018-01-05 15:00:00,4200416313.2766657,2973481041.9266677
2018-01-05 16:00:00,6527807792.515557,3503809313.8666673
2018-01-05 17:00:00,6020201467.668886,3775227744.666667
2018-01-05 18:00:00,6075719405.716662,5499752003.606668
2018-01-05 19:00:00,8477054985.917777,5599694385.922221
2018-01-05 20:00:00,5367850948.653336,6272929153.033336
2018-01-05 21:00:00,4295249058.706666,6628856065.277781
2018-01-05 22:00:00,5059563176.205554,6693959716.973338
2018-01-05 23:00:00,3812980911.873332,3895494533.88889
2018-01-06 00:00:00,3578681119.7355943,3653526431.4802265
2018-01-06 01:00:00,3830452404.8866663,3832886476.1844416
2018-01-06 02:00:00,3681673864.4377756,3653438831.2311106
2018-01-06 03:00:00,3871377770.416667,3355078869.5377755
2018-01-06 04:00:00,4061570472.711111,3135415821.6199994
2018-01-06 05:00:00,3423686982.5755587,3181997202.7599993
2018-01-06 06:00:00,3179810498.4755554,3583944334.248889
2018-01-06 07:00:00,2896549988.5388875,3817245358.513334
2018-01-06 08:00:00,2036651042.6777778,3780790433.115555
2018-01-06 09:00:00,2258040552.5455546,3473446940.3822207
2018-01-06 10:00:00,2879955849.94,3221496903.3133335
2018-01-06 11:00:00,1945962259.8955562,2996671853.6377773
2018-01-06 12:00:00,1652005371.8611112,4478247679.72222
2018-01-06 13:00:00,893682440.775556,3481343791.3111105
