time,in,out
2018-01-01 09:00:00,28531963071.82224,11882695993.715559
2018-01-01 10:00:00,21612175715.608883,13366708106.177765
2018-01-01 11:00:00,21682813955.235546,8646118852.675556
2018-01-01 12:00:00,14153488035.431105,9125668417.777777
2018-01-01 13:00:00,13884152793.386663,8307443832.035556
2018-01-01 14:00:00,16406362470.542217,6669964773.182222
2018-01-01 15:00:00,14601167354.719992,6815008480.657779
2018-01-01 16:00:00,14367812539.822224,5579290948.746665
2018-01-01 17:00:00,17653324852.088886,6370309512.284444
2018-01-01 18:00:00,11974254966.275562,5786062778.053331
2018-01-01 19:00:00,10587254946.755562,7781786018.577779
2018-01-01 20:00:00,11797587032.515553,6500456194.604445
2018-01-01 21:00:00,13573277820.995556,6761691880.577776
2018-01-01 22:00:00,11973387870.15111,9656461475.173336
2018-01-01 23:00:00,11608269615.359997,9102963399.271114
2018-01-02 00:00:00,13980924818.62147,13935678223.394354
2018-01-02 01:00:00,13837772463.004448,16229170474.879995
2018-01-02 02:00:00,12014025845.52889,8494638701.475554
2018-01-02 03:00:00,12351429140.266668,11124262938.088894
2018-01-02 04:00:00,15863223044.160004,12089786924.91555
2018-01-02 05:00:00,15400969094.400003,13270359358.80889
2018-01-02 06:00:00,12414748802.097773,12346050274.826668
2018-01-02 07:00:00,10067560994.43555,10257140237.377773
2018-01-02 08:00:00,10764187403.271114,9735512009.288893
2018-01-02 09:00:00,9617167184.83555,6726352657.653332
2018-01-02 10:00:00,12064272376.48,5853122424.817778
2018-01-02 11:00:00,14625334834.880005,8053497157.502219
2018-01-02 12:00:00,25517140815.608887,12064109804.124453
2018-01-02 13:00:00,29260884764.817772,18130695714.28445
2018-01-02 14:00:00,20539956078.773327,12282735722.32
2018-01-02 15:00:00,16346934719.964445,11564254376.42666
2018-01-02 16:00:00,21559695878.02667,10432706122.320002
2018-01-02 17:00:00,24800512689.86666,8937168931.235558
2018-01-02 18:00:00,38031044339.733345,12235524451.680002
2018-01-02 19:00:00,43517813748.95999,18954431651.61778
2018-01-02 20:00:00,37794665297.83111,12483089011.822224
2018-01-02 21:00:00,44744555148.497765,14181153555.368893
2018-01-02 22:00:00,38755069642.89775,13059284103.72444
2018-01-02 23:00:00,37382466402.0089,18810400782.42667
2018-01-03 00:00:00,50771371180.61922,12892285603.941244
2018-01-03 01:00:00,37015218667.21777,15304081022.506659
2018-01-03 02:00:00,29422930457.973328,13766605398.915558
2018-01-03 03:00:00,30998090435.19999,11418053320.38222
2018-01-03 04:00:00,28296739520.995544,13779177587.884455
2018-01-03 05:00:00,22964656068.373333,14071240667.982225
2018-01-03 06:00:00,16207898336.835558,18843912092.942226
2018-01-03 07:00:00,16982285251.928886,15484440579.715559
2018-01-03 08:00:00,20650493744.835556,10734258945.404444
2018-01-03 09:00:00,16827191862.57778,12075756656.586666
2018-01-03 10:00:00,21052903757.56444,13282075563.324444
2018-01-03 11:00:00,26505571929.20889,15982504026.791111
2018-01-03 12:00:00,25268741207.591114,13550562666.23111
2018-01-03 13:00:00,13645601986.239998,15277890695.608885
2018-01-03 14:00:00,12192923358.453337,15053632184.844442
2018-01-03 15:00:00,14152054778.986668,11632490256.213335
2018-01-03 16:00:00,19356252983.94667,13521872758.60445
2018-01-03 17:00:00,24127675639.964443,18477423109.724453
2018-01-03 18:00:00,19627735883.1111,17404933627.004448
2018-01-03 19:00:00,18293396197.155556,14420758511.164448
2018-01-03 20:00:00,19277974729.386673,9355089550.373333
2018-01-03 21:00:00,22601520006.080006,11122168033.511105
2018-01-03 22:00:00,17590966985.95556,10254019135.395552
2018-01-03 23:00:00,17769196673.77778,10342889081.644442
2018-01-04 00:00:00,16271259915.986446,11550829043.407911
2018-01-04 01:00:00,22709280721.528893,9663624759.83111
2018-01-04 02:00:00,13758402024.177786,11399750427.057777
2018-01-04 03:00:00,14717578872.142231,11017246882.791103
2018-01-04 04:00:00,19209661007.44889,11994505643.377775
2018-01-04 05:00:00,16565343300.942217,7668342531.964445
2018-01-04 06:00:00,21327978460.533325,12347302988.017782
2018-01-04 07:00:00,19595798359.413334,9256979178.293335
2018-01-04 08:00:00,15363013072.906664,17034016564.96889
2018-01-04 09:00:00,16612522919.324446,10848730479.804445
2018-01-04 10:00:00,18463911400.355568,15319061986.133335
2018-01-04 11:00:00,19934860780.88889,11711008147.91111
2018-01-04 12:00:00,22916612982.773327,11365103286.293335
2018-01-04 13:00:00,25431907542.044445,14054597744.444439
2018-01-04 14:00:00,30931096237.048897,13681916045.066671
2018-01-04 15:00:00,29892461513.155537,15342227677.822214
2018-01-04 16:00:00,34294659965.991093,23955249849.191124
2018-01-04 17:00:00,42987674224.142204,21340779723.97334
2018-01-04 18:00:00,19655073577.20889,19681207569.662216
2018-01-04 19:00:00,16452068234.613329,21342543389.253334
2018-01-04 20:00:00,20897192879.431107,14369342232.986666
2018-01-04 21:00:00,17986620752.96,14275961851.137781
2018-01-04 22:00:00,17071693007.30666,19961808841.21777
2018-01-04 23:00:00,17590686452.355553,23681955927.360004
2018-01-05 00:00:00,27825871346.62147,18517041619.778534
2018-01-05 01:00:00,29730467081.582226,23280999326.568897
2018-01-05 02:00:00,32137303879.644444,21531179674.373333
2018-01-05 03:00:00,31249446050.73779,30220503986.720005
2018-01-05 04:00:00,37180922280.35555,20458317748.106667
2018-01-05 05:00:00,29059873390.791103,20855677683.866673
2018-01-05 06:00:00,31208656155.982224,20397285814.52445
2018-01-05 07:00:00,29496752571.182213,22205802828.568893
2018-01-05 08:00:00,33170395673.991104,17512442222.035557
2018-01-05 09:00:00,33615221130.52445,13605786340.160007
2018-01-05 10:00:00,31720951363.71555,19041781977.05778
2018-01-05 11:00:00,34056527878.826664,16627473137.955563
2018-01-05 12:00:00,29819034480.05333,20780489808.79999
2018-01-05 13:00:00,33822778706.702217,13756149422.213337
2018-01-05 14:00:00,46977576584.49778,15318341389.813337
2018-01-05 15:00:00,32408483353.991104,24712572065.555553
2018-01-05 16:00:00,23975206671.41334,26333371790.51554
2018-01-05 17:00:00,26349295973.120003,24630898826.99555
2018-01-05 18:00:00,43760610213.38669,24177733945.440002
2018-01-05 19:00:00,33970241034.293343,25925544085.37778
2018-01-05 20:00:00,27674389170.506664,23626916011.111122
2018-01-05 21:00:00,31610594034.70222,23157626911.06667
2018-01-05 22:00:00,34871041565.084465,20455059200.995556
2018-01-05 23:00:00,34110371651.448906,18577406273.342228
2018-01-06 00:00:00,37754102928.88587,13327053392.45198
2018-01-06 01:00:00,28941420043.32443,17514777127.964443
2018-01-06 02:00:00,25537384475.324444,16124155665.377779
2018-01-06 03:00:00,22835317223.98224,19479127572.844444
2018-01-06 04:00:00,35537529448.74667,19424600546.02667
2018-01-06 05:00:00,46401645559.07556,19960207378.986668
2018-01-06 06:00:00,32451183630.933323,19207220135.804443
2018-01-06 07:00:00,24899433637.06667,12119456553.475557
2018-01-06 08:00:00,24292205833.27999,13576746861.920004
2018-01-06 09:00:00,27841344690.453323,11804055270.302229
2018-01-06 10:00:00,27805107868.088913,11216026909.733334
2018-01-06 11:00:00,26705415644.444447,11484537937.537777
2018-01-06 12:00:00,26487331752.63999,15268058101.840006
2018-01-06 13:00:00,30505137641.795544,15447518429.653332
2018-01-06 14:00:00,43074116264.533325,15782537938.737776
2018-01-06 15:00:00,40014021639.46665,20820674025.78667
2018-01-06 16:00:00,37179412967.69776,23841851359.377773
2018-01-06 17:00:00,38052639350.613335,23970331747.182228
2018-01-06 18:00:00,27578625811.83998,16019915775.34222
2018-01-06 19:00:00,30283590720.56891,11126119818.96
2018-01-06 20:00:00,35721614168.782234,15791993337.38667
2018-01-06 21:00:00,37732667347.82223,12143525445.89334
2018-01-06 22:00:00,28436420415.253338,13700806832.124443
2018-01-06 23:00:00,41827815444.51554,12677114477.679995
2018-01-07 00:00:00,49408973506.89265,19234005437.559322
2018-01-07 01:00:00,26624776938.933334,17944563758.70222
2018-01-07 02:00:00,33718597648.213333,16653361597.519999
2018-01-07 03:00:00,29481709796.90666,18487637488.30223
2018-01-07 04:00:00,27323979743.733345,17948174160.124443
2018-01-07 05:00:00,30375734888.568893,17814859177.137775
2018-01-07 06:00:00,30421171488.49779,17382833261.537785
2018-01-07 07:00:00,28858322540.657784,18181911376.542225
2018-01-07 08:00:00,26182692039.21778,17710499491.11111
2018-01-07 09:00:00,28036459674.488888,10178158291.671114
2018-01-07 10:00:00,28772621974.45333,13547484690.960001
2018-01-07 11:00:00,23435926335.217773,13025204738.488886
2018-01-07 12:00:00,16706330391.200006,14192509188.61333
2018-01-07 13:00:00,19735442846.506668,12207629558.017784
2018-01-07 14:00:00,15197214433.848894,13684579396.915562
2018-01-07 15:00:00,10834611580.213331,17873079142.38222
2018-01-07 16:00:00,10805558113.760002,16111486209.26223
2018-01-07 17:00:00,11845050977.137781,14405350666.684437
2018-01-07 18:00:00,8795506768.853334,15387612726.622215
2018-01-07 19:00:00,15477947332.533329,23260549060.151104
2018-01-07 20:00:00,12387093331.111107,23751825618.666668
2018-01-07 21:00:00,24099967963.59112,21232423340.524433
2018-01-07 22:00:00,21919995526.09778,19895288346.248894
2018-01-07 23:00:00,27911814154.133347,23461491679.271103
2018-01-08 00:00:00,17562828661.568367,25446080599.54802
2018-01-08 01:00:00,18520932152.46222,22614469491.742226
2018-01-08 02:00:00,20639637197.68889,20680679334.89778
2018-01-08 03:00:00,16046818184.92445,29592654143.63554
2018-01-08 04:00:00,18757794418.951122,22511885052.542225
2018-01-08 05:00:00,27889378475.14667,32333634794.862217
2018-01-08 06:00:00,23940954888.479996,30103159649.56443
2018-01-08 07:00:00,21012702962.968906,32451090356.862225
2018-01-08 08:00:00,20448309460.97778,24653747384.73777
2018-01-08 09:00:00,22771836955.235546,23750062301.057774
2018-01-08 10:00:00,29226101839.555546,29126983430.82665
2018-01-08 11:00:00,27084309755.09334,26261866971.031116
2018-01-08 12:00:00,28280074911.928886,30792019419.46666
2018-01-08 13:00:00,32178788901.13779,36240701334.82668
2018-01-08 14:00:00,25447287331.591125,26889306356.933342
2018-01-08 15:00:00,36177078843.76889,31989803096.373318
2018-01-08 16:00:00,29448636037.795567,32686542658.044437
2018-01-08 17:00:00,33784282371.520008,25205074812.995537
2018-01-08 18:00:00,47792094962.435555,23721480251.688892
2018-01-08 19:00:00,39388798995.73335,23517069168.07112
2018-01-08 20:00:00,43634294870.773346,22500414957.164463
2018-01-08 21:00:00,42731307389.5111,24754065351.13779
2018-01-08 22:00:00,32243103483.964436,21863988428.737766
2018-01-08 23:00:00,22498891955.591106,29980224739.875557
2018-01-09 00:00:00,24144125616.994358,22216516357.441826
2018-01-09 01:00:00,23896841347.43111,21900307727.768887
2018-01-09 02:00:00,21035230412.55111,29048605184.89778
2018-01-09 03:00:00,18551406547.022224,28777776972.45333
2018-01-09 04:00:00,34607672386.36445,38779538571.49333
2018-01-09 05:00:00,38106933977.191124,28904529185.315548
2018-01-09 06:00:00,36604265142.648895,33325138001.02223
2018-01-09 07:00:00,28857842059.697777,25043378417.90222
2018-01-09 08:00:00,24367627486.933346,18847566877.72444
2018-01-09 09:00:00,35435037972.64,17843812006.87111
2018-01-09 10:00:00,39668061303.6089,14644233198.213337
2018-01-09 11:00:00,30263503853.031105,17016163895.12889
2018-01-09 12:00:00,32285989878.68445,16793582924.426666
2018-01-09 13:00:00,27602951513.440002,25822393568.915554
2018-01-09 14:00:00,26437333790.09778,20413010101.83112
2018-01-09 15:00:00,28109658022.648903,23178253053.919987
2018-01-09 16:00:00,30476942986.45335,18338548764.515553
2018-01-09 17:00:00,42767820863.36,15672552790.960005
2018-01-09 18:00:00,41202728321.137764,15750319687.279997
2018-01-09 19:00:00,33079354934.648872,18483821715.102226
