time,in,out
2018-01-01 09:00:00,13786362701.813328,13868317658.275555
2018-01-01 10:00:00,11477929401.226665,13335594078.506678
2018-01-01 11:00:00,11853122399.128895,12392869501.102217
2018-01-01 12:00:00,11276205099.288893,11034395826.951109
2018-01-01 13:00:00,12172739587.377777,10831063411.822224
2018-01-01 14:00:00,9125269686.737776,9480675103.315556
2018-01-01 15:00:00,10634295321.955553,10950735461.111109
2018-01-01 16:00:00,9596140163.288887,10467592823.484442
2018-01-01 17:00:00,8852167151.11111,9421360135.795557
2018-01-01 18:00:00,9295844073.262226,10754641544.25778
2018-01-01 19:00:00,8927170673.191109,12037747934.195559
2018-01-01 20:00:00,10191116115.09333,11955210742.355547
2018-01-01 21:00:00,11969061181.404442,11515707617.519999
2018-01-01 22:00:00,10615142245.635561,12040989286.000002
2018-01-01 23:00:00,9798446683.004446,10925262965.555553
2018-01-02 00:00:00,10387007141.911865,11502245733.324295
2018-01-02 01:00:00,9744423756.248884,14868551133.706665
2018-01-02 02:00:00,12588115956.266665,10898520516.079998
2018-01-02 03:00:00,12923534110.542225,10697092663.306665
2018-01-02 04:00:00,12988457823.11111,11226075720.035555
2018-01-02 05:00:00,11949881612.497772,10472530857.226665
2018-01-02 06:00:00,14143297465.582216,9473106075.128887
2018-01-02 07:00:00,13092225532.906672,11004176574.764439
2018-01-02 08:00:00,9447027682.257778,10761669964.382221
2018-01-02 09:00:00,8415276869.244445,10079191201.546667
2018-01-02 10:00:00,9875020919.857779,20113000215.32445
2018-01-02 11:00:00,9615824154.364443,13111427516.942228
2018-01-02 12:00:00,9360306560.088886,10788482469.911114
2018-01-02 13:00:00,10691351626.82667,13697877995.902222
2018-01-02 14:00:00,12925265231.44889,11597339990.58667
2018-01-02 15:00:00,10335187340.266666,9203506891.600002
2018-01-02 16:00:00,14215863871.484442,10618241673.217781
2018-01-02 17:00:00,18339803255.235558,11043805943.173334
2018-01-02 18:00:00,17372856085.297787,12513902029.475552
2018-01-02 19:00:00,15566585140.142218,15674629930.426672
2018-01-02 20:00:00,14433942746.417774,26123777529.048874
2018-01-02 21:00:00,15128834774.186666,17694641484.657772
2018-01-02 22:00:00,14047368927.271112,22097131430.23112
2018-01-02 23:00:00,14509197235.075563,20233192003.128887
2018-01-03 00:00:00,20191001109.0079,21982629282.657623
2018-01-03 01:00:00,14293403815.217783,15794788121.386667
2018-01-03 02:00:00,14744876734.66667,12344895613.964443
2018-01-03 03:00:00,13995745369.74222,14233178765.97333
2018-01-03 04:00:00,14540802790.204443,14184267501.34222
2018-01-03 05:00:00,15426239966.559994,15262447576.035553
2018-01-03 06:00:00,13598652562.453327,15839719046.382215
2018-01-03 07:00:00,12516592302.86222,14755318694.631104
2018-01-03 08:00:00,10784512274.968891,14429973020.497776
2018-01-03 09:00:00,11370562525.635555,12175297515.999996
2018-01-03 10:00:00,13673506403.377771,12798852297.404446
2018-01-03 11:00:00,16442644253.475557,11481483681.76889
2018-01-03 12:00:00,16038145296.391115,18218381129.519997
2018-01-03 13:00:00,10662617775.608887,12109713150.799997
2018-01-03 14:00:00,11249027493.866665,11555292012.799997
2018-01-03 15:00:00,10668687164.160002,11270224069.333338
2018-01-03 16:00:00,12548761442.737783,14552313269.89333
2018-01-03 17:00:00,11724430627.306673,12341656662.328888
2018-01-03 18:00:00,12058519016.924446,13124122106.462217
2018-01-03 19:00:00,11980506900.480007,12439056648.720001
2018-01-03 20:00:00,11778293390.151115,11070313279.413336
2018-01-03 21:00:00,17936004635.537785,12908264045.128893
2018-01-03 22:00:00,18728462591.484447,12265270741.57333
2018-01-03 23:00:00,19955782074.3111,12078142255.031107
2018-01-04 00:00:00,26655349617.33786,11646510325.324293
2018-01-04 01:00:00,26801308319.040005,12923014307.902224
2018-01-04 02:00:00,19172554034.666664,15055025024.079994
2018-01-04 03:00:00,16923593641.386665,16773949672.222225
2018-01-04 04:00:00,18882308239.34222,16992992778.604443
2018-01-04 05:00:00,20044112590.204453,28087322445.982224
2018-01-04 06:00:00,21891347921.01333,30445927630.7289
2018-01-04 07:00:00,14533627487.60889,15538328107.546663
2018-01-04 08:00:00,13794817371.608892,9722493647.69778
2018-01-04 09:00:00,18013494326.73777,18737186985.315548
2018-01-04 10:00:00,17953849109.066658,10641993130.10667
2018-01-04 11:00:00,16080154439.324446,9378675345.324442
2018-01-04 12:00:00,17193873173.12001,11775353256.09778
2018-01-04 13:00:00,17950359728.16,10670337878.426662
2018-01-04 14:00:00,14860834559.537779,17531310157.288883
2018-01-04 15:00:00,16205961007.235548,20478740064.559998
2018-01-04 16:00:00,18819416761.315563,24275744524.453335
2018-01-04 17:00:00,21019875814.968887,10167378898.320004
2018-01-04 18:00:00,24303806058.20444,13741695940.07111
2018-01-04 19:00:00,22192969305.475544,12368049135.200003
2018-01-04 20:00:00,17374442300.74667,12047027205.502228
2018-01-04 21:00:00,16074619784.711113,11844770924.737776
2018-01-04 22:00:00,16258762842.773335,12894810943.128887
2018-01-04 23:00:00,18283874356.853333,21013338188.47112
2018-01-05 00:00:00,26143950075.787563,15789700932.555937
2018-01-05 01:00:00,25055207906.968884,21566077039.02223
2018-01-05 02:00:00,27493078516.195557,19302153024.826664
2018-01-05 03:00:00,22571343281.688885,26641970465.164444
2018-01-05 04:00:00,30349494368.96,13966526669.84
2018-01-05 05:00:00,29871970721.26222,12158029198.222223
2018-01-05 06:00:00,30592989777.760002,11243737656.55111
2018-01-05 07:00:00,28221995383.431103,12387133557.76
2018-01-05 08:00:00,29920667576.320004,11955275086.035553
2018-01-05 09:00:00,30157426098.89779,11911830881.813341
2018-01-05 10:00:00,31096200365.760006,12241240488.817776
2018-01-05 11:00:00,30000031372.05333,11296405806.24889
2018-01-05 12:00:00,30007933548.586662,11082873043.617779
2018-01-05 13:00:00,28497760724.42669,9793259492.622225
2018-01-05 14:00:00,27230173093.36889,14046122547.377785
2018-01-05 15:00:00,19712367078.062218,19621199004.56
2018-01-05 16:00:00,18477207222.36444,16736941662.000002
2018-01-05 17:00:00,18701239799.857784,31046964986.826656
2018-01-05 18:00:00,29412826764.977764,24385536300.266663
2018-01-05 19:00:00,23370479070.133335,15848822088.506662
2018-01-05 20:00:00,21350762319.839993,15083735527.528893
2018-01-05 21:00:00,19424698004.142235,15587973305.324444
2018-01-05 22:00:00,20486966995.91112,13411641871.048885
2018-01-05 23:00:00,23069612253.01333,11413327959.982227
2018-01-06 00:00:00,20576786381.631645,17027112168.840683
2018-01-06 01:00:00,19198512661.635548,19733466237.404453
2018-01-06 02:00:00,21759183096.657787,17247730382.195557
2018-01-06 03:00:00,25243252424.08888,12533889247.991114
2018-01-06 04:00:00,29572319229.937767,14090533370.426668
2018-01-06 05:00:00,33605965588.906662,14924202781.72445
2018-01-06 06:00:00,33422227793.422215,14386764710.88889
2018-01-06 07:00:00,30980998154.613358,13458031854.968891
2018-01-06 08:00:00,27002524063.2711,12718498018.817776
2018-01-06 09:00:00,28209486586.702213,14066692061.893333
2018-01-06 10:00:00,26234263940.2311,13328789868.684444
2018-01-06 11:00:00,26863982195.23557,12741681661.271107
2018-01-06 12:00:00,22327048015.413338,16128875892.391111
2018-01-06 13:00:00,17436474261.671104,16893674914.791111
2018-01-06 14:00:00,18657366282.257786,19104115088.311115
2018-01-06 15:00:00,16133443432.604448,21097362025.51111
2018-01-06 16:00:00,13678450157.102228,18862001706.435555
2018-01-06 17:00:00,12939655289.457777,17530731788.168884
2018-01-06 18:00:00,15889126829.475555,14449652692.302223
2018-01-06 19:00:00,14865095655.875553,12231643914.071108
2018-01-06 20:00:00,19498697828.37333,15271141221.733335
2018-01-06 21:00:00,20481049146.986675,13161579002.488888
2018-01-06 22:00:00,12545861888.088886,14308763952.684446
2018-01-06 23:00:00,13414444685.191113,12050210792.320004
2018-01-07 00:00:00,14364527598.788704,19860984611.832764
2018-01-07 01:00:00,16126338861.688885,19482886040.879993
2018-01-07 02:00:00,16933523193.902224,21937430930.088894
2018-01-07 03:00:00,15195152237.671116,21966787628.702213
2018-01-07 04:00:00,12161176249.653337,20495336264.462227
2018-01-07 05:00:00,14777417637.99111,20419131385.32445
2018-01-07 06:00:00,14616498851.82223,20377966341.52889
2018-01-07 07:00:00,13917889436.213337,19462086226.67556
2018-01-07 08:00:00,15253198506.862225,19889196871.64445
2018-01-07 09:00:00,12314542768.266666,13451178702.791113
2018-01-07 10:00:00,12844277330.862223,11320821326.31111
2018-01-07 11:00:00,13185067470.453337,12125416940.506666
2018-01-07 12:00:00,13533447340.195553,10974487800.488888
2018-01-07 13:00:00,12661708495.359995,13461523424.160002
2018-01-07 14:00:00,12318197885.706665,10084746154.382221
2018-01-07 15:00:00,13988757110.915558,10350291866.293333
2018-01-07 16:00:00,15031017536.622227,10443558784.462221
2018-01-07 17:00:00,13613421853.440002,11570116733.626657
2018-01-07 18:00:00,12710722805.13778,12195275984.133335
2018-01-07 19:00:00,13093149691.626667,13516515771.964445
2018-01-07 20:00:00,12357477914.826664,11703513479.431114
2018-01-07 21:00:00,12757443564.906668,11167197195.475554
2018-01-07 22:00:00,15317274135.768887,11880004534.231108
2018-01-07 23:00:00,13484086188.213337,18976950106.248882
2018-01-08 00:00:00,14099171353.220337,19171303019.15481
2018-01-08 01:00:00,12591621331.377773,19674237361.688892
2018-01-08 02:00:00,13059303776.58667,20097916680.34667
2018-01-08 03:00:00,13645372912.302216,20968706566.133335
2018-01-08 04:00:00,11830171289.72445,18068172881.813328
2018-01-08 05:00:00,23934336904.92445,22173708082.053333
2018-01-08 06:00:00,23399903233.208885,25007907413.680008
2018-01-08 07:00:00,20112051290.275562,27479641492.81776
2018-01-08 08:00:00,19032977706.648888,13373754152.702219
2018-01-08 09:00:00,20683630897.831112,14235317904.239996
2018-01-08 10:00:00,16385545409.742222,13763558105.715555
2018-01-08 11:00:00,17099383429.973341,12402923508.533333
2018-01-08 12:00:00,19632031063.022224,14372599081.24445
2018-01-08 13:00:00,28678893600.497776,19384504647.048893
2018-01-08 14:00:00,28426135773.813335,15352582939.119993
2018-01-08 15:00:00,23937637556.106655,19178746083.68
2018-01-08 16:00:00,22829421544.74668,21955431519.43111
2018-01-08 17:00:00,29619439719.59112,19895299292.62222
2018-01-08 18:00:00,29554426714.897778,14037499627.777775
2018-01-08 19:00:00,29256330449.119987,15549795044.035559
2018-01-08 20:00:00,27147791260.266655,16481039244.302225
2018-01-08 21:00:00,32959456059.484444,19434848593.05778
2018-01-08 22:00:00,29963433311.98223,16269053551.093327
2018-01-08 23:00:00,23176816279.9111,14392417059.217773
2018-01-09 00:00:00,24811005955.597744,14060029935.62938
2018-01-09 01:00:00,25534657136.248875,14551612381.333332
2018-01-09 02:00:00,26698367930.56001,17809390081.111115
2018-01-09 03:00:00,24456442838.257767,22128034934.648888
2018-01-09 04:00:00,25312952947.804447,21592035064.471107
2018-01-09 05:00:00,24657320333.955555,17536129338.426662
2018-01-09 06:00:00,27599912797.74222,15942523357.191109
2018-01-09 07:00:00,26907203259.253338,17649899410.124447
2018-01-09 08:00:00,18131898028.78222,17869815756.382217
