time,in,out
2018-01-01 09:00:00,913017.6006749129,882742.6300021701
2018-01-01 10:00:00,874471.3644053817,825968.5275368926
2018-01-01 11:00:00,837246.7782682292,826530.9710915798
2018-01-01 12:00:00,827143.7497135418,780386.750549045
2018-01-01 13:00:00,833390.2565104164,791804.8038953994
2018-01-01 14:00:00,832787.9915538194,782501.8302213544
2018-01-01 15:00:00,1143348.0508897572,1074285.2944444441
2018-01-01 16:00:00,837146.1002213542,786026.0524435764
2018-01-01 17:00:00,828943.4482226564,788312.2411111112
2018-01-01 18:00:00,842501.6826671007,801590.5831119792
2018-01-01 19:00:00,835949.4619552951,787337.6167100695
2018-01-01 20:00:00,833810.8656011285,786516.2323263888
2018-01-01 21:00:00,832623.5302929685,820444.3612868927
2018-01-01 22:00:00,836075.7475260417,788043.236200087
2018-01-01 23:00:00,832889.6794986979,787025.0195703126
2018-01-02 00:00:00,824466.9753972454,781651.5650070622
2018-01-02 01:00:00,851986.9893185762,810629.4292469617
2018-01-02 02:00:00,828514.9348025171,785782.1201801213
2018-01-02 03:00:00,830199.6131119789,789147.8120746526
2018-01-02 04:00:00,2523378.6083159726,2333408.2591948784
2018-01-02 05:00:00,2028659.0640559897,1931971.387690973
2018-01-02 06:00:00,825132.9345529511,767106.637992622
2018-01-02 07:00:00,830811.7729014757,802367.4762717008
2018-01-02 08:00:00,822927.1692838543,772286.9312196177
2018-01-02 09:00:00,908729.2435807287,865580.2648155384
2018-01-02 10:00:00,886997.2710785589,834242.5347894969
2018-01-02 11:00:00,838661.409785156,815604.3848394097
2018-01-02 12:00:00,861305.0561306424,963582.6153645827
2018-01-02 13:00:00,890123.8020182294,859140.4435243054
2018-01-02 14:00:00,1219915.6696289063,1990857.5444444441
2018-01-02 15:00:00,1274808.9394444448,5315022.283055552
2018-01-02 16:00:00,1248060.6944813372,7533174.888203127
2018-01-02 17:00:00,1269306.5061458338,6809683.724726563
2018-01-02 18:00:00,1359415.3509548614,8754857.82828776
2018-01-02 19:00:00,1257005.9570073788,5718059.507180991
2018-01-02 20:00:00,1367619.6468858512,6248952.932037762
