time,in,out
2018-01-01 09:00:00,1657737767.68,2763024674.480001
2018-01-01 10:00:00,1306412319.5644448,2754519892.675557
2018-01-01 11:00:00,529925362.648889,2724323360.1422243
2018-01-01 12:00:00,1121434896.9955552,2974257785.266665
2018-01-01 13:00:00,784607245.0133332,2904432596.8755555
2018-01-01 14:00:00,682920599.817778,2749653325.986667
2018-01-01 15:00:00,956030852.7244445,2556948023.3244457
2018-01-01 16:00:00,1241849196.1644444,2737078939.471111
2018-01-01 17:00:00,1050654791.2800003,2528223086.102221
2018-01-01 18:00:00,800301480.9422222,2765990604.4800014
2018-01-01 19:00:00,892735524.5644442,2357426282.7688894
2018-01-01 20:00:00,1347133360.022222,6178181630.688891
2018-01-01 21:00:00,923237390.7155555,6755858230.324449
2018-01-01 22:00:00,531744427.45333344,5631861368.933333
2018-01-01 23:00:00,482541690.07111114,5265141402.204444
2018-01-02 00:00:00,937156732.7231641,5015772030.137854
2018-01-02 01:00:00,1080183891.9911113,4982798686.9333315
2018-01-02 02:00:00,1237930785.853334,5181014005.391111
2018-01-02 03:00:00,1022735030.6044445,5614373347.844446
2018-01-02 04:00:00,1145915637.8222227,5586411992.644443
2018-01-02 05:00:00,821512871.7911115,6263305218.168891
2018-01-02 06:00:00,709201191.5733334,5889472740.964445
2018-01-02 07:00:00,1200552597.573333,5901174812.306666
2018-01-02 08:00:00,788817975.3688885,5835009208.262221
2018-01-02 09:00:00,1019127345.0355555,5906154072.764445
2018-01-02 10:00:00,1002788197.9022223,6127446406.297776
2018-01-02 11:00:00,1081849054.12,5388028919.76
2018-01-02 12:00:00,874324629.3111111,4722161132.506668
2018-01-02 13:00:00,977282221.2533339,6301519522.497781
2018-01-02 14:00:00,1462800791.0133338,5374037467.96889
2018-01-02 15:00:00,2533707829.631112,4951509937.120001
2018-01-02 16:00:00,2433019466.586665,5121581816.862223
2018-01-02 17:00:00,3190209552.2177763,5190758077.551108
2018-01-02 18:00:00,3216076485.6755557,5250533591.031111
2018-01-02 19:00:00,3432948809.8311105,5338930456.173333
2018-01-02 20:00:00,3127561983.3955564,5503242870.373335
2018-01-02 21:00:00,3123166322.271112,5106974528.284444
2018-01-02 22:00:00,3412175396.49778,5258861001.311111
2018-01-02 23:00:00,2580916081.9466653,4803924836.333331
2018-01-03 00:00:00,1522610850.3999999,4172620713.7898307
2018-01-03 01:00:00,2031369636.9511116,5030359236.591112
2018-01-03 02:00:00,2087196295.9155555,4834623001.315555
2018-01-03 03:00:00,1948134014.8311107,5222770317.973333
2018-01-03 04:00:00,1516591472.5822222,4716530107.991113
2018-01-03 05:00:00,958942191.9911112,5123402020.271112
2018-01-03 06:00:00,923649905.626667,4610659704.817778
2018-01-03 07:00:00,2750847050.3555555,4549041906.079999
2018-01-03 08:00:00,2285503983.3955555,4707422528.977778
2018-01-03 09:00:00,1050055745.382222,4431170136.644444
2018-01-03 10:00:00,674456717.2355561,4290192911.613334
2018-01-03 11:00:00,895414618.2311108,5596326271.5155525
2018-01-03 12:00:00,1195135260.026667,6200195143.737778
2018-01-03 13:00:00,1354842226.6000001,5780753951.537776
2018-01-03 14:00:00,1641585908.8755553,5598568575.995557
2018-01-03 15:00:00,2458062783.084445,5605133957.720001
2018-01-03 16:00:00,5092711429.50667,5418749197.928887
2018-01-03 17:00:00,1932290614.3288887,4905082021.364445
2018-01-03 18:00:00,2426552708.315555,1691629288.3377786
2018-01-03 19:00:00,2328524344.5555563,1776487035.8177783
2018-01-03 20:00:00,2566559323.0844445,2553214185.137778
2018-01-03 21:00:00,2610585788.6977777,4967093639.177777
2018-01-03 22:00:00,1827488675.8266664,4661721795.573333
2018-01-03 23:00:00,2695332454.7111115,7242794943.768891
2018-01-04 00:00:00,1528473406.5220342,6785645424.709603
2018-01-04 01:00:00,2265923776.6844454,8087295698.63111
2018-01-04 02:00:00,1899084591.1466675,6946294642.831114
2018-01-04 03:00:00,2123842119.5199993,7452083317.093333
2018-01-04 04:00:00,1670548236.4933326,7329075490.7688875
2018-01-04 05:00:00,1678143370.32,7209036804.844441
2018-01-04 06:00:00,1561161261.964444,8501521401.395558
2018-01-04 07:00:00,1635881492.5377774,6228484923.920001
2018-01-04 08:00:00,1497740330.3155553,6092260228.04
2018-01-04 09:00:00,1493492475.7022219,6625907661.742223
2018-01-04 10:00:00,1039990770.0711116,7673246438.911112
2018-01-04 11:00:00,1376999413.8,7955272639.382222
2018-01-04 12:00:00,1596993387.5911112,9294110996.133333
2018-01-04 13:00:00,1771140526.737778,9181287785.551107
2018-01-04 14:00:00,2285041302.8444448,8492354791.066669
2018-01-04 15:00:00,2905851207.4800005,8112704894.102224
2018-01-04 16:00:00,2330865385.0933332,8318925633.893336
2018-01-04 17:00:00,2520479467.813333,7675142195.764448
2018-01-04 18:00:00,2476357123.9200006,7545524674.946665
2018-01-04 19:00:00,2432188984.6133323,7067965086.475558
2018-01-04 20:00:00,2573228308.462221,9421557991.835554
2018-01-04 21:00:00,2528626618.5777774,9112903445.96889
2018-01-04 22:00:00,2626780251.1199994,8277583402.835551
2018-01-04 23:00:00,2436699714.991111,8182601107.155557
2018-01-05 00:00:00,1608571679.715254,4826861380.605648
2018-01-05 01:00:00,1703764905.8311114,3226659287.6222224
2018-01-05 02:00:00,1664814351.5511098,3074262699.2977777
2018-01-05 03:00:00,1124850804.1422226,3065940683.835555
2018-01-05 04:00:00,963678888.0933329,3061805521.648889
2018-01-05 05:00:00,1225626499.8933327,2900782461.613333
2018-01-05 06:00:00,1192941764.582222,2477804051.626666
2018-01-05 07:00:00,1006548300.2222222,2341776636.644444
2018-01-05 08:00:00,904920228.9733331,2915343334.7155547
2018-01-05 09:00:00,821100233.0933331,2213110178.5555553
2018-01-05 10:00:00,1138995579.3511117,2821748706.155554
2018-01-05 11:00:00,788156506.422222,2380355606.457778
2018-01-05 12:00:00,874788663.351111,1730986191.1422226
2018-01-05 13:00:00,809408690.9599999,1607173912.9999995
2018-01-05 14:00:00,2188325771.137777,1963397224.4222224
2018-01-05 15:00:00,2966461394.493333,2066179711.9466672
2018-01-05 16:00:00,3778846394.7111115,2456807097.9111104
2018-01-05 17:00:00,3792316238.5066657,4000053025.6133337
2018-01-05 18:00:00,2956987194.3022227,5545375403.084442
2018-01-05 19:00:00,7432525963.297776,4936664748.093334
2018-01-05 20:00:00,5909816131.728888,5299551149.36
2018-01-05 21:00:00,2150842256.2000003,7802334748.195555
2018-01-05 22:00:00,2455708295.6755557,7042656617.022221
2018-01-05 23:00:00,1376454100.822222,5726815233.293331
2018-01-06 00:00:00,1032024458.8971757,5272879041.749152
2018-01-06 01:00:00,2244290862.848888,4904466810.751112
2018-01-06 02:00:00,3054567519.746667,4740746890.586667
2018-01-06 03:00:00,2448988388.3644443,5483102097.400001
2018-01-06 04:00:00,1177841589.1733334,6983174682.271112
2018-01-06 05:00:00,3122290607.395554,5757851965.786669
2018-01-06 06:00:00,981095535.1555556,5233553562.759999
2018-01-06 07:00:00,954388793.2933334,4857720187.573335
2018-01-06 08:00:00,986452471.8266667,4322729767.67111
2018-01-06 09:00:00,959352586.7733333,4430171289.128891
2018-01-06 10:00:00,1179259502.6711116,5515398454.72
2018-01-06 11:00:00,757705761.9066663,5335822286.688891
2018-01-06 12:00:00,684413667.8711115,6579010714.555557
2018-01-06 13:00:00,741418589.0755554,5835524895.595552
2018-01-06 14:00:00,749201514.128889,4844494988.768888
2018-01-06 15:00:00,882068397.5111109,4929251158.280002
2018-01-06 16:00:00,3351062097.777777,4443003793.813335
2018-01-06 17:00:00,2639609526.7066665,4546648136.982224
2018-01-06 18:00:00,1044653171.0488892,4921020475.120002
2018-01-06 19:00:00,903943803.4222221,5221252460.933333
2018-01-06 20:00:00,1150080411.4977775,5408773446.90222
2018-01-06 21:00:00,2007704277.4711115,5702932967.4000025
2018-01-06 22:00:00,1722449458.5377772,5531926283.04889
2018-01-06 23:00:00,2263391220.315555,4878333441.631112
2018-01-07 00:00:00,1577572183.6610162,5390082724.709605
2018-01-07 01:00:00,1072661915.3466666,5724199869.822225
2018-01-07 02:00:00,1324045986.4533336,6378570497.844446
2018-01-07 03:00:00,946715579.702222,6733774853.897778
2018-01-07 04:00:00,1250545629.1155553,6448381414.364448
2018-01-07 05:00:00,903039761.9511113,5496459964.542222
2018-01-07 06:00:00,1309907272.16,5333675201.92889
2018-01-07 07:00:00,1283952287.3822224,5548290473.213333
2018-01-07 08:00:00,1249618436.324444,5127473582.444444
