time,in,out
2018-01-01 09:00:00,3746942285.51111,2086460663.5288887
2018-01-01 10:00:00,3932861110.533331,2827361395.12
2018-01-01 11:00:00,5393026287.271109,1352440409.4222226
2018-01-01 12:00:00,4527766478.391112,1779325509.3422215
2018-01-01 13:00:00,4073073642.0,1631929571.0311117
2018-01-01 14:00:00,3603585358.8444457,1045579129.2711112
2018-01-01 15:00:00,2693308753.751111,1673450627.8666666
2018-01-01 16:00:00,3586664809.5644445,4002461650.3600006
2018-01-01 17:00:00,2910935959.893335,1325505443.0311115
2018-01-01 18:00:00,2923893710.8800006,1685206346.5244439
2018-01-01 19:00:00,3397129049.6888905,1833906307.3599992
2018-01-01 20:00:00,5778701392.462221,1078901745.1777775
2018-01-01 21:00:00,6472418101.10222,2035784351.0088897
2018-01-01 22:00:00,2105810766.728889,3995241225.822224
2018-01-01 23:00:00,1866158115.048889,4463808255.12
2018-01-02 00:00:00,1741739084.1943502,2796158174.223729
2018-01-02 01:00:00,1892101142.0800006,2956938998.5777783
2018-01-02 02:00:00,3381483282.0088897,1941064897.8711104
2018-01-02 03:00:00,7697475791.199999,1705263477.5333333
2018-01-02 04:00:00,2938752412.417778,1912763231.9422219
2018-01-02 05:00:00,3639733290.2755556,1593373476.257778
2018-01-02 06:00:00,3761158133.644444,2725058802.6533337
2018-01-02 07:00:00,2394538997.386666,2300011068.3377786
2018-01-02 08:00:00,1487532484.071111,1594636604.595556
2018-01-02 09:00:00,1417825673.1822226,1919426143.2266665
2018-01-02 10:00:00,1567366103.342223,2027935295.8044438
2018-01-02 11:00:00,2022431914.0977776,1435365290.0666664
2018-01-02 12:00:00,2799370437.964444,1206133493.991111
2018-01-02 13:00:00,1800756611.9377778,1310148209.7955556
2018-01-02 14:00:00,1456886927.9377782,2606051855.8266664
2018-01-02 15:00:00,1489394456.0266662,2891139342.817776
2018-01-02 16:00:00,2195675596.5066667,1915572027.631111
2018-01-02 17:00:00,3415225389.6888876,2665652562.4844437
2018-01-02 18:00:00,3002247108.9599986,1630558919.1555552
2018-01-02 19:00:00,1434418440.6399996,1880555644.071111
2018-01-02 20:00:00,1561810308.026667,1664506897.9777777
2018-01-02 21:00:00,2641029780.124444,3023129762.577777
2018-01-02 22:00:00,1310836673.5555558,2080807719.6000006
2018-01-02 23:00:00,1234926995.4044445,3607763761.2666683
2018-01-03 00:00:00,2066974652.1039546,1530496653.4146886
2018-01-03 01:00:00,2618718088.506667,2154128042.733333
2018-01-03 02:00:00,4282784010.8444457,2311898830.7911105
2018-01-03 03:00:00,5239412358.373337,2675149833.8222218
2018-01-03 04:00:00,2071806919.4222233,2272377927.3866663
2018-01-03 05:00:00,2910247809.9911113,2124223669.568888
2018-01-03 06:00:00,1643784560.8000002,1716056066.226666
2018-01-03 07:00:00,829714127.8577782,1276356295.284444
2018-01-03 08:00:00,784580920.5155553,1657901178.2844446
2018-01-03 09:00:00,602949111.0755556,2356249104.0800004
2018-01-03 10:00:00,1448895941.3066666,1613293147.7111104
2018-01-03 11:00:00,2801396841.120001,2097557855.542222
2018-01-03 12:00:00,2497995041.466667,4119005385.715558
2018-01-03 13:00:00,2028479695.9733331,2694047357.342222
2018-01-03 14:00:00,2532337750.6133337,2101213443.697778
2018-01-03 15:00:00,2994818075.022221,1886173274.0666664
2018-01-03 16:00:00,3343757854.9511104,1314233829.0355554
2018-01-03 17:00:00,3375152689.271111,2814603022.3422217
2018-01-03 18:00:00,2490624415.2355556,2272946311.4533334
2018-01-03 19:00:00,2502976709.2977767,1531665398.4977782
2018-01-03 20:00:00,3333521150.6844435,1291817008.986666
2018-01-03 21:00:00,5978777298.008887,1844257511.0311105
2018-01-03 22:00:00,2532172795.066668,1393410276.9644446
2018-01-03 23:00:00,3142311611.9288893,1398527687.924445
2018-01-04 00:00:00,2981320687.2768364,953236958.2101696
2018-01-04 01:00:00,4743461994.177775,2556056921.8666677
2018-01-04 02:00:00,3556700119.493332,2513600497.431111
2018-01-04 03:00:00,2761006613.1822214,2270552443.639999
2018-01-04 04:00:00,3982006881.6444445,1740276053.5777783
2018-01-04 05:00:00,4082760162.497778,1677756687.9466672
2018-01-04 06:00:00,6025507142.879998,1597199549.737778
2018-01-04 07:00:00,3645373476.8444433,1659212556.1822226
2018-01-04 08:00:00,3894985949.5199986,1289971460.395555
2018-01-04 09:00:00,4162297722.8444448,1551922941.5555549
2018-01-04 10:00:00,4358234326.684444,1549673449.36
2018-01-04 11:00:00,4685863149.075556,2268904529.5733333
2018-01-04 12:00:00,6407226010.968888,1607472189.2088892
2018-01-04 13:00:00,8519054545.795553,2205835786.0355554
2018-01-04 14:00:00,5495264735.537781,1667579661.8488889
2018-01-04 15:00:00,3977318562.0355554,2361443545.4088893
2018-01-04 16:00:00,4487606973.306665,1663750152.2177777
2018-01-04 17:00:00,4633980079.653334,2387201711.1022234
2018-01-04 18:00:00,4758221604.986667,1669379320.0266669
2018-01-04 19:00:00,4712270026.364443,1253362389.3377779
2018-01-04 20:00:00,5914387543.582223,1717865867.9822218
2018-01-04 21:00:00,5267892669.742223,1311059714.1288896
2018-01-04 22:00:00,5189327491.253333,2010459918.1511116
2018-01-04 23:00:00,4166103557.4488907,2071685063.9555562
2018-01-05 00:00:00,3102724802.7841806,1950537397.1525414
2018-01-05 01:00:00,3371058341.1377783,2365917357.4977775
2018-01-05 02:00:00,3242351145.5377774,1897020285.0044444
2018-01-05 03:00:00,4850944563.795556,1613403660.5155556
2018-01-05 04:00:00,3248044441.1822214,1661560976.2666671
2018-01-05 05:00:00,3122457877.7777767,2422894845.084445
2018-01-05 06:00:00,2710752048.906668,1156281519.8844445
2018-01-05 07:00:00,2716838829.288888,1005808797.151111
2018-01-05 08:00:00,2769173446.24,1061130044.568889
2018-01-05 09:00:00,2381697044.631111,1764942133.075556
2018-01-05 10:00:00,3970634056.844443,1232063213.7377775
2018-01-05 11:00:00,3783173221.8133345,1091992606.075556
2018-01-05 12:00:00,2038389554.5333323,1005860649.0977782
2018-01-05 13:00:00,1626111418.5155556,767905269.9511112
2018-01-05 14:00:00,3424846070.3555555,2150811529.448889
2018-01-05 15:00:00,4160080716.5777774,2643861839.933333
2018-01-05 16:00:00,3132004611.617778,2829135828.439998
2018-01-05 17:00:00,4838542695.200002,3115417009.533333
2018-01-05 18:00:00,5923609334.879995,3465755543.000001
2018-01-05 19:00:00,4916166938.266666,9599728450.955557
2018-01-05 20:00:00,4773035082.16,6099122457.30222
2018-01-05 21:00:00,4851187534.835555,1500161453.248889
2018-01-05 22:00:00,6477257224.364444,2537458445.262223
2018-01-05 23:00:00,3476340527.724444,1277753356.7377777
2018-01-06 00:00:00,4275282017.220338,1423168720.375141
2018-01-06 01:00:00,3327523151.4133344,2732700130.0622225
2018-01-06 02:00:00,4837892387.919998,3247511218.5955563
2018-01-06 03:00:00,3338289414.151113,2651387940.888888
2018-01-06 04:00:00,4262758004.604445,2064195150.751111
2018-01-06 05:00:00,3007187330.7733335,1418574454.4711118
2018-01-06 06:00:00,2381737241.0488877,1409928741.0400002
2018-01-06 07:00:00,2892534460.2844434,4343220763.960001
2018-01-06 08:00:00,2441334401.9822226,1969307177.564445
2018-01-06 09:00:00,2556682014.9777775,1452531948.555556
2018-01-06 10:00:00,3080558458.3822217,1720572452.782223
2018-01-06 11:00:00,2808822664.3466663,1284522518.5155559
2018-01-06 12:00:00,4766373841.866667,1297417126.1288886
2018-01-06 13:00:00,3284648771.8577785,1438183841.9555552
2018-01-06 14:00:00,2669406819.0577765,1421360242.0533342
2018-01-06 15:00:00,2548690134.373334,1426500576.9511106
2018-01-06 16:00:00,2106557886.8088882,3757884936.8888903
2018-01-06 17:00:00,2466612856.471111,2966691075.3733335
2018-01-06 18:00:00,2457849495.0488896,1841068383.297778
2018-01-06 19:00:00,3099103037.8755546,2048724256.2799997
2018-01-06 20:00:00,2890534444.4711103,2247804757.12
2018-01-06 21:00:00,3259087078.0,2093572603.7866669
2018-01-06 22:00:00,2809421501.973333,2169601310.9466662
2018-01-06 23:00:00,2126721411.8044434,2536671565.0488887
2018-01-07 00:00:00,2394629222.644068,2250265546.6757064
2018-01-07 01:00:00,2899283429.857778,2263841786.791112
2018-01-07 02:00:00,3228952364.479999,2112447372.8533318
2018-01-07 03:00:00,3424922668.968889,2203041511.955556
2018-01-07 04:00:00,3783783201.955556,1673225398.2355561
2018-01-07 05:00:00,2744233423.1733327,1475518964.1066663
2018-01-07 06:00:00,2709231435.3244443,4607802058.382222
2018-01-07 07:00:00,2277685006.684444,2470535462.857778
2018-01-07 08:00:00,1633329025.9822226,1439633320.3333335
2018-01-07 09:00:00,2405636226.853332,1176394686.88
2018-01-07 10:00:00,3469943395.493333,4475451164.706668
2018-01-07 11:00:00,2271998731.768889,3266042405.8888884
2018-01-07 12:00:00,1960842717.4399996,4345823835.533333
2018-01-07 13:00:00,2461464804.231112,4044239121.275554
2018-01-07 14:00:00,1936801231.84,3530212713.4400005
2018-01-07 15:00:00,2480517199.040001,2887210212.9777784
2018-01-07 16:00:00,2322108223.839999,4237425682.4044447
2018-01-07 17:00:00,2229526427.2711105,3079266063.568888
2018-01-07 18:00:00,2780021569.066668,2611616308.786667
2018-01-07 19:00:00,2182429988.186666,2331176148.8088884
2018-01-07 20:00:00,1610746779.2088885,2318693993.8355565
2018-01-07 21:00:00,2609867207.822223,2513229185.666667
2018-01-07 22:00:00,2702317541.466666,2560957896.248889
2018-01-07 23:00:00,2109443881.3688886,1775508801.9066665
2018-01-08 00:00:00,1707565685.1525426,2391231669.6542373
2018-01-08 01:00:00,1775665861.2711108,1515901016.795556
2018-01-08 02:00:00,2112520370.168889,1818366137.262222
2018-01-08 03:00:00,2865209748.924445,4458885849.3955555
2018-01-08 04:00:00,2295628059.813333,3783831846.324443
2018-01-08 05:00:00,3930298833.848891,3882104368.3866677
2018-01-08 06:00:00,3551242225.822221,3693929082.4088902
2018-01-08 07:00:00,2370205830.693334,6935588932.284443
2018-01-08 08:00:00,2942386066.995558,9737205611.213331
2018-01-08 09:00:00,2977361307.591111,6111258245.902222
2018-01-08 10:00:00,2627347759.306668,7619730971.977779
2018-01-08 11:00:00,4518094038.924443,6560888931.302224
2018-01-08 12:00:00,6743511331.013331,7101431153.408889
2018-01-08 13:00:00,11836863102.924442,6602321051.524443
2018-01-08 14:00:00,7049231004.257779,3864637356.8133326
2018-01-08 15:00:00,4586811633.12889,4747185041.72
2018-01-08 16:00:00,3245447064.0355554,7904229238.213332
2018-01-08 17:00:00,3624065637.4488897,4411642387.382221
2018-01-08 18:00:00,4684470491.128891,4262910138.7777786
2018-01-08 19:00:00,5203655045.573333,8637043729.199999
2018-01-08 20:00:00,3358627422.9955564,5826308481.826667
2018-01-08 21:00:00,2682085281.982222,6300247801.857776
2018-01-08 22:00:00,3366539263.306667,2239699381.16889
2018-01-08 23:00:00,3774470917.831111,2674545126.506667
2018-01-09 00:00:00,2465227142.761582,1673822924.2847464
2018-01-09 01:00:00,2120381199.4666662,4175124374.3866663
2018-01-09 02:00:00,4565104065.075557,2323188175.333333
2018-01-09 03:00:00,2287521806.7200003,1863913461.595555
2018-01-09 04:00:00,1181903659.4755557,2246987226.142223
2018-01-09 05:00:00,1605659721.5022225,1537780148.8222225
2018-01-09 06:00:00,2586916030.933334,2157453204.3555555
2018-01-09 07:00:00,1749642867.137778,2011213067.075556
2018-01-09 08:00:00,1275989458.3111107,1779049545.5600002
2018-01-09 09:00:00,1511005330.3644447,2102514874.9200003
2018-01-09 10:00:00,1417403537.404445,1919205372.457778
2018-01-09 11:00:00,1512808061.537778,2351542615.4177794
2018-01-09 12:00:00,1566367643.4933336,3593350874.386665
2018-01-09 13:00:00,6598223130.782224,2748491158.964444
2018-01-09 14:00:00,1942732501.7599998,2240872876.266667
2018-01-09 15:00:00,1684448342.942222,2258477015.80889
2018-01-09 16:00:00,3356435269.28,1794866259.3644445
2018-01-09 17:00:00,4717000334.382224,2520038376.6044455
2018-01-09 18:00:00,4568248303.582222,1807872101.8577774
2018-01-09 19:00:00,6851471905.173331,3736579870.3288884
2018-01-09 20:00:00,4092117508.7555537,5683432611.973336
2018-01-09 21:00:00,4439489619.217778,4717736026.293333
2018-01-09 22:00:00,6334650255.128887,3983945583.5466657
2018-01-09 23:00:00,6511894344.924444,3740307219.995557
2018-01-10 00:00:00,7572094391.38531,6330295261.242934
2018-01-10 01:00:00,6040857940.791112,4713081938.782222
2018-01-10 02:00:00,5211775658.417776,3354470002.2444453
2018-01-10 03:00:00,4958134724.808888,1520345145.7022223
2018-01-10 04:00:00,5849672169.253332,6313941414.937779
2018-01-10 05:00:00,5566479544.373333,6376004195.293329
2018-01-10 06:00:00,2737134058.7022223,4892568465.533334
2018-01-10 07:00:00,2266560722.560001,1843467740.2533336
2018-01-10 08:00:00,3196025167.4044437,1889282844.1377776
2018-01-10 09:00:00,2600000344.782224,3334167744.751111
2018-01-10 10:00:00,2253654175.128889,5119041673.466666
2018-01-10 11:00:00,2769336788.9688897,3252606127.151112
2018-01-10 12:00:00,3158409038.7200007,1415730159.533334
2018-01-10 13:00:00,4451352723.804442,1281099286.0399995
2018-01-10 14:00:00,6298466851.955555,1262163199.1111112
2018-01-10 15:00:00,5443935684.177779,1759544133.8444445
2018-01-10 16:00:00,4079958290.7644434,1645394180.7333329
2018-01-10 17:00:00,4597477660.426666,1385016191.533333
2018-01-10 18:00:00,6814050003.013331,2515558786.2044444
2018-01-10 19:00:00,4438198424.746665,1559614438.0399988
2018-01-10 20:00:00,5664191503.075555,1914985871.8311114
2018-01-10 21:00:00,5751248861.244446,2379125305.804445
2018-01-10 22:00:00,2472920382.417777,1967593924.2755558
2018-01-10 23:00:00,1722717737.8400002,1414558405.928889
2018-01-11 00:00:00,3329417497.093785,1431029259.0463278
2018-01-11 01:00:00,2746818538.666667,1868353894.4977787
2018-01-11 02:00:00,8605912015.724443,1012252683.382222
2018-01-11 03:00:00,9571560702.711111,1242158303.537778
2018-01-11 04:00:00,1992988724.9155555,1409968964.1999996
2018-01-11 05:00:00,1576901465.6088893,1255254082.12
2018-01-11 06:00:00,1927787572.9155552,1596507898.7822225
2018-01-11 07:00:00,1758075473.8755555,5986685502.38222
2018-01-11 08:00:00,1434763004.6755562,923997262.7822219
2018-01-11 09:00:00,4806956506.773333,1594864453.306667
2018-01-11 10:00:00,7526013730.07111,1101226081.04
2018-01-11 11:00:00,2829867412.3822203,1388823153.1866667
2018-01-11 12:00:00,3809187211.2000003,1269120501.995556
2018-01-11 13:00:00,4164998398.986666,1259703056.0933335
