time,in,out
2018-01-01 09:00:00,49307351.25541664,20240358.565555558
2018-01-01 10:00:00,56843652.5904861,13076249.564305557
2018-01-01 11:00:00,46645240.58527777,15344128.685833331
2018-01-01 12:00:00,30966947.369305555,23023533.870416675
2018-01-01 13:00:00,49216673.30284724,16751231.727083337
2018-01-01 14:00:00,39014121.24451389,13075456.99958333
2018-01-01 15:00:00,36037156.96180557,18147224.054305565
2018-01-01 16:00:00,38474648.983194426,23101775.00888888
2018-01-01 17:00:00,25335064.133750003,10488727.728611112
2018-01-01 18:00:00,64593545.836805545,24633812.642638884
2018-01-01 19:00:00,32199277.832986124,32475508.671388876
2018-01-01 20:00:00,20692848.34847223,26879109.65055556
2018-01-01 21:00:00,7913028.425347221,16098560.10208333
2018-01-01 22:00:00,16199686.193194445,38153818.24222221
2018-01-01 23:00:00,3022986.5106944437,9666245.374722226
2018-01-02 00:00:00,100151945.17295197,21908877.851553675
2018-01-02 01:00:00,171074802.30875,60692556.327638894
2018-01-02 02:00:00,239705496.62625006,124889734.40180564
2018-01-02 03:00:00,180723297.62291673,173967421.53638878
2018-01-02 04:00:00,170458698.69430554,185276161.04958332
2018-01-02 05:00:00,135070343.99555558,184320020.84027785
2018-01-02 06:00:00,119113092.13270825,164852333.24875006
2018-01-02 07:00:00,89281407.54222217,169888644.6434722
2018-01-02 08:00:00,51781776.62499999,139157247.85499996
2018-01-02 09:00:00,29639936.02326389,90906940.11944444
2018-01-02 10:00:00,10007638.568888886,23876326.578888882
2018-01-02 11:00:00,14266768.515347226,32803439.70958334
2018-01-02 12:00:00,17155637.907569434,41585254.44972221
2018-01-02 13:00:00,14654442.37423611,109155610.86791667
2018-01-02 14:00:00,38136752.95784723,133409063.56166667
2018-01-02 15:00:00,22098592.48347222,159449438.03152767
2018-01-02 16:00:00,29289811.803125005,144966907.55402774
2018-01-02 17:00:00,22159459.55395833,149363422.54222214
2018-01-02 18:00:00,31922634.157500006,167120159.22625
2018-01-02 19:00:00,21338744.66201389,133555083.95472218
2018-01-02 20:00:00,37796481.040000014,186734215.52861115
2018-01-02 21:00:00,15429546.84138889,147867958.22986123
2018-01-02 22:00:00,21340081.971041672,85143119.01375
2018-01-02 23:00:00,17393411.988472223,24329406.00208334
2018-01-03 00:00:00,128193337.15211868,33923527.5322034
2018-01-03 01:00:00,119956202.4988889,41253797.57361113
2018-01-03 02:00:00,162355181.19145834,137739157.58138892
2018-01-03 03:00:00,146611894.83083335,179324711.02583343
2018-01-03 04:00:00,54538752.44555553,185025209.47180554
2018-01-03 05:00:00,64041346.61236112,171866837.0175
2018-01-03 06:00:00,59085248.463680536,173423141.1481945
2018-01-03 07:00:00,58236001.65423611,171159036.05902782
2018-01-03 08:00:00,48817364.26680556,165029757.69861108
2018-01-03 09:00:00,55997560.88638889,171477575.91527778
2018-01-03 10:00:00,56511171.24770835,163944165.84986106
2018-01-03 11:00:00,48849198.95152777,130509574.18888883
2018-01-03 12:00:00,44729204.05368056,161224201.44180548
2018-01-03 13:00:00,29481191.433958344,166761883.44055554
2018-01-03 14:00:00,32201217.316736106,153588225.44916674
2018-01-03 15:00:00,24709668.023124997,177749200.2523611
2018-01-03 16:00:00,23459504.37673611,155862159.19013894
2018-01-03 17:00:00,37749749.05430555,163676526.04833332
2018-01-03 18:00:00,28648126.825486127,294773106.31388885
2018-01-03 19:00:00,30300395.529652774,214037305.87013897
2018-01-03 20:00:00,45524765.32395833,201340033.05055565
2018-01-03 21:00:00,38975006.48847224,187032741.17749998
2018-01-03 22:00:00,50112490.3226389,100712634.03694445
2018-01-03 23:00:00,45378624.52916669,41975245.53305554
2018-01-04 00:00:00,28146689.568926554,48643157.0539548
2018-01-04 01:00:00,101293842.31333333,82229194.57902782
2018-01-04 02:00:00,230693036.57881948,142544443.01652777
2018-01-04 03:00:00,286081436.94277775,199644728.04902783
2018-01-04 04:00:00,102983298.03624997,186751932.88888878
2018-01-04 05:00:00,54026039.51041666,181575432.0552778
2018-01-04 06:00:00,48694367.36555556,189278967.77319437
2018-01-04 07:00:00,53324960.92541668,171744686.13111115
2018-01-04 08:00:00,70260573.91979168,176193462.59777784
2018-01-04 09:00:00,57142386.10715277,175970468.3201389
2018-01-04 10:00:00,54828306.11798611,183030418.98541677
2018-01-04 11:00:00,47224032.284444444,182539691.6661111
2018-01-04 12:00:00,60642501.27583333,215250343.5266667
2018-01-04 13:00:00,48132021.202083334,262278746.9402777
2018-01-04 14:00:00,73794365.84930556,293761793.63736093
2018-01-04 15:00:00,32266548.93680556,172124064.7886112
2018-01-04 16:00:00,27413031.73791667,202436534.5999999
2018-01-04 17:00:00,24257416.943819445,157802504.64513886
2018-01-04 18:00:00,40433508.13930556,159729307.46625003
2018-01-04 19:00:00,24427492.427500002,176591486.9054167
2018-01-04 20:00:00,29211550.942777786,178209737.7506944
2018-01-04 21:00:00,30073180.091527794,142895332.3036111
2018-01-04 22:00:00,13858261.717361113,82393437.1013889
2018-01-04 23:00:00,5304210.280763889,38455331.94375002
2018-01-05 00:00:00,83115509.07612993,50182358.04322035
2018-01-05 01:00:00,215154527.5294445,126843043.3173611
2018-01-05 02:00:00,161757257.80249995,112807900.93527769
2018-01-05 03:00:00,165806940.35041678,176903399.57861117
2018-01-05 04:00:00,47584245.91458332,174204928.53444448
2018-01-05 05:00:00,60408697.80520836,175627384.16097224
2018-01-05 06:00:00,54798420.703263886,175063285.1886112
