time,in,out
2018-01-01 09:00:00,119746666.44041675,2550746.844722222
2018-01-01 10:00:00,64601125.44972227,2678000.125902777
2018-01-01 11:00:00,63623671.789583325,2251643.4501388893
2018-01-01 12:00:00,66629264.389583334,31170663.162013892
2018-01-01 13:00:00,77675217.4838889,2924115.312777778
2018-01-01 14:00:00,79410522.16361114,2991044.9463194436
2018-01-01 15:00:00,68272983.97388889,2968869.9154861127
2018-01-01 16:00:00,122837039.78722219,6059518.062777781
2018-01-01 17:00:00,67654274.72291665,43109970.44215275
2018-01-01 18:00:00,65744765.38847222,20503343.787152775
2018-01-01 19:00:00,175132574.54847223,18669054.892986123
2018-01-01 20:00:00,67297396.27347223,4864953.424236114
2018-01-01 21:00:00,68435745.91875,24116498.562638883
2018-01-01 22:00:00,68238708.44986111,3990808.3471527784
2018-01-01 23:00:00,71442027.50305557,18927611.84604166
2018-01-02 00:00:00,69276171.66158192,2895235.792443503
2018-01-02 01:00:00,150315838.71152782,17308661.12444444
2018-01-02 02:00:00,68207209.09305555,3749158.0993055557
2018-01-02 03:00:00,82666504.3538889,4676606.875902777
2018-01-02 04:00:00,81834320.39166665,3610913.231458333
2018-01-02 05:00:00,80604207.99333337,33709135.2225
2018-01-02 06:00:00,80822492.03472227,45842841.38958334
2018-01-02 07:00:00,136220457.17611116,3231782.0495138895
2018-01-02 08:00:00,85828370.68916671,3159970.04888889
2018-01-02 09:00:00,82240434.35694447,2671100.559166667
2018-01-02 10:00:00,81146988.69527777,36143772.71187501
2018-01-02 11:00:00,103033409.0688889,17516332.67923611
2018-01-02 12:00:00,81837927.93388887,18582140.892083332
2018-01-02 13:00:00,88159319.31902772,6461016.969027779
2018-01-02 14:00:00,111793451.48819444,12834343.606666667
2018-01-02 15:00:00,122378299.5606944,17113500.148263883
2018-01-02 16:00:00,113759687.28486113,36233516.77618056
2018-01-02 17:00:00,162855512.31513888,34121980.247986116
2018-01-02 18:00:00,64657937.99486109,22414728.752013884
2018-01-02 19:00:00,0.0,0.0
2018-01-02 20:00:00,0.0,0.0
2018-01-02 21:00:00,0.0,0.0
2018-01-02 22:00:00,0.0,0.0
2018-01-02 23:00:00,0.0,0.0
2018-01-03 00:00:00,0.0,0.0
2018-01-03 01:00:00,0.0,0.0
2018-01-03 02:00:00,0.0,0.0
2018-01-03 03:00:00,0.0,0.0
2018-01-03 04:00:00,0.0,0.0
2018-01-03 05:00:00,0.0,0.0
2018-01-03 06:00:00,0.0,0.0
2018-01-03 07:00:00,0.0,0.0
2018-01-03 08:00:00,0.0,0.0
2018-01-03 09:00:00,0.0,0.0
2018-01-03 10:00:00,0.0,0.0
2018-01-03 11:00:00,0.0,0.0
2018-01-03 12:00:00,0.0,0.0
2018-01-03 13:00:00,0.0,0.0
2018-01-03 14:00:00,0.0,0.0
2018-01-03 15:00:00,0.0,0.0
2018-01-03 16:00:00,0.0,0.0
2018-01-03 17:00:00,0.0,0.0
2018-01-03 18:00:00,11222492.164027778,44297620.10541666
2018-01-03 19:00:00,101847741.56486115,17956575.486111112
2018-01-03 20:00:00,155648495.38152772,14523507.33125
2018-01-03 21:00:00,129010712.24263883,21428648.860208344
2018-01-03 22:00:00,92624211.82750002,45421516.57555557
2018-01-03 23:00:00,98800049.40277776,34104545.12729167
2018-01-04 00:00:00,88916357.03135598,35335467.15621469
2018-01-04 01:00:00,75572051.15208337,45612326.83909723
2018-01-04 02:00:00,84645355.30902778,5638860.80597222
2018-01-04 03:00:00,78605576.58333334,24300310.24944444
2018-01-04 04:00:00,90488205.79194447,4568181.859583331
2018-01-04 05:00:00,118206524.7544444,17772850.62090278
2018-01-04 06:00:00,132199970.64361115,52467614.28722224
2018-01-04 07:00:00,88400830.07013886,3224662.6625000006
2018-01-04 08:00:00,166226138.90791655,108931941.44256946
2018-01-04 09:00:00,113118532.67194445,3179507.35861111
2018-01-04 10:00:00,75097516.82722221,3541481.8712500026
2018-01-04 11:00:00,75273150.85875002,3126928.9586111116
2018-01-04 12:00:00,75357612.95583333,17622680.323125
2018-01-04 13:00:00,128898891.87930563,49399018.15076389
2018-01-04 14:00:00,88281879.47611114,16841993.11479167
2018-01-04 15:00:00,103418235.34652784,21485904.40361111
2018-01-04 16:00:00,106895433.32472223,18651241.783472225
2018-01-04 17:00:00,99768162.10666665,27379350.904444437
2018-01-04 18:00:00,196006450.93152782,81760636.86812499
2018-01-04 19:00:00,111643712.67041662,22326360.65951389
2018-01-04 20:00:00,99685259.06458335,15187168.51055556
2018-01-04 21:00:00,103455243.2066667,69077180.99645834
2018-01-04 22:00:00,100675591.91847219,38441817.54930556
2018-01-04 23:00:00,144307306.35263887,16679842.826111104
2018-01-05 00:00:00,86553493.19999999,100191357.05812147
2018-01-05 01:00:00,135742722.66805556,7136126.3892361075
2018-01-05 02:00:00,94731030.50097223,5949209.510833335
2018-01-05 03:00:00,126331064.24236113,81576147.88583335
2018-01-05 04:00:00,135782937.47444448,61996249.725555554
2018-01-05 05:00:00,91089544.93611118,4156809.5186805534
2018-01-05 06:00:00,89643824.55055556,86888503.57243058
2018-01-05 07:00:00,88818872.59583332,2993442.1647222214
2018-01-05 08:00:00,90694500.09458333,3629212.957499997
2018-01-05 09:00:00,131902261.48041664,85280741.80131944
2018-01-05 10:00:00,135423377.4511111,3445683.8416666663
2018-01-05 11:00:00,112380379.54027772,3753312.670902778
2018-01-05 12:00:00,89418916.61680557,32074083.785000004
2018-01-05 13:00:00,84185349.84333335,3968901.4006250002
2018-01-05 14:00:00,77254345.96263891,5851780.543055555
2018-01-05 15:00:00,131128603.32750009,67655116.55812503
2018-01-05 16:00:00,170698606.6681944,44924160.57423609
2018-01-05 17:00:00,102087794.90111113,81684217.08583339
2018-01-05 18:00:00,113576417.19652778,28615350.442430563
2018-01-05 19:00:00,101185850.91652776,66706430.57548613
2018-01-05 20:00:00,120720603.57444446,35857395.07798609
2018-01-05 21:00:00,99569076.40194441,12471603.636597216
2018-01-05 22:00:00,135149910.56680554,10358378.369513892
2018-01-05 23:00:00,141006585.69569442,7625760.349166664
2018-01-06 00:00:00,96646066.96723165,64136312.205649704
2018-01-06 01:00:00,144122115.05361116,90892767.61319445
2018-01-06 02:00:00,87411151.5527778,5003153.25263889
2018-01-06 03:00:00,90512639.88097222,60100815.057500035
2018-01-06 04:00:00,85886560.94416665,3773380.2698611105
2018-01-06 05:00:00,83397155.66000001,3380443.191041666
2018-01-06 06:00:00,127987397.68152778,86849342.84145835
2018-01-06 07:00:00,125894302.0391667,2535683.863472223
2018-01-06 08:00:00,81449444.2233333,2722064.585416668
2018-01-06 09:00:00,113114979.06430559,2577130.8621527776
2018-01-06 10:00:00,116819535.97694443,31442844.223125
2018-01-06 11:00:00,78400719.75430553,71924789.06673616
2018-01-06 12:00:00,79435928.53805555,16897109.03847222
2018-01-06 13:00:00,73378097.13527773,2841430.71652778
2018-01-06 14:00:00,112743249.05402774,2649062.731736111
2018-01-06 15:00:00,86933148.95180556,143341048.298125
2018-01-06 16:00:00,68488596.89277779,5120072.909930557
2018-01-06 17:00:00,68244460.49111107,3995912.485624998
2018-01-06 18:00:00,117066283.90222226,33287365.57506947
2018-01-06 19:00:00,97131060.29263884,4304328.062569443
2018-01-06 20:00:00,68134585.94166668,114261755.15041676
2018-01-06 21:00:00,68581312.98638886,27032912.646180555
2018-01-06 22:00:00,74300969.01388888,3882775.07125
2018-01-06 23:00:00,130584409.52499995,17487278.050138894
2018-01-07 00:00:00,80875062.92500001,17761126.112217516
2018-01-07 01:00:00,168941486.81083328,57963222.521041684
2018-01-07 02:00:00,94096465.49152778,3239527.084930555
2018-01-07 03:00:00,118377779.14458328,3491830.460277778
2018-01-07 04:00:00,70971863.8279167,2877885.123055556
2018-01-07 05:00:00,67460779.83305556,16870305.244236108
2018-01-07 06:00:00,117748584.2901389,109624538.83118056
2018-01-07 07:00:00,67259034.73388888,57358974.11833333
2018-01-07 08:00:00,129929898.76361108,2478864.1644444442
2018-01-07 09:00:00,67906184.58611111,57342109.249722205
2018-01-07 10:00:00,67903466.605,2207567.319375
2018-01-07 11:00:00,67717000.90597221,25979754.974722248
2018-01-07 12:00:00,66342267.23041666,30864942.074374996
2018-01-07 13:00:00,66081610.686805524,3341932.2185416655
2018-01-07 14:00:00,67817132.21777779,2753289.7120833327
2018-01-07 15:00:00,70788216.98166664,114515014.26930557
2018-01-07 16:00:00,121795970.45750003,3789560.751458332
2018-01-07 17:00:00,74012765.3602778,3075130.743888887
2018-01-07 18:00:00,122329231.2029167,54747151.92743055
2018-01-07 19:00:00,104910452.28708334,10021191.428333333
2018-01-07 20:00:00,76445719.80500004,3365705.605902777
2018-01-07 21:00:00,111184468.20958334,4599950.326736111
2018-01-07 22:00:00,75883722.01624998,3298431.8205555547
2018-01-07 23:00:00,126770201.9370833,58658199.595069446
2018-01-08 00:00:00,74460239.70564969,99022901.4060028
2018-01-08 01:00:00,117688521.91999999,72967019.00291671
2018-01-08 02:00:00,74471437.53361112,3477397.566666666
2018-01-08 03:00:00,89293343.30527778,28800411.307430543
2018-01-08 04:00:00,115506288.2016667,3907566.913958331
2018-01-08 05:00:00,88510395.79027778,18207064.955486108
2018-01-08 06:00:00,132845854.60958335,32075642.542500004
2018-01-08 07:00:00,174833671.51236102,78153549.47784719
2018-01-08 08:00:00,73682209.89277779,2636480.1143055568
2018-01-08 09:00:00,73374479.24749996,57683118.44486112
2018-01-08 10:00:00,74101144.79347219,2583006.488750001
2018-01-08 11:00:00,75311262.44666669,2839712.307291667
2018-01-08 12:00:00,75331191.92791669,87079276.19937505
2018-01-08 13:00:00,76061014.17111108,5380288.345833329
2018-01-08 14:00:00,86331468.72111113,14198757.992500002
2018-01-08 15:00:00,93337262.40388884,74874429.00701389
2018-01-08 16:00:00,110001686.74291667,47024919.308958344
2018-01-08 17:00:00,374972630.073889,20891869.46722223
2018-01-08 18:00:00,94142712.90250002,84640849.1492361
2018-01-08 19:00:00,99114816.77263887,52788803.92493056
2018-01-08 20:00:00,102389796.12680556,18538154.047291674
2018-01-08 21:00:00,104802931.37486108,22328023.67451388
2018-01-08 22:00:00,162872057.52444452,18119695.90000001
2018-01-08 23:00:00,93698005.8041667,15391104.577916672
2018-01-09 00:00:00,136657046.28968936,81982582.51638414
2018-01-09 01:00:00,153747818.03375003,76137371.78701386
2018-01-09 02:00:00,98524900.25208333,88473406.15006942
2018-01-09 03:00:00,126944008.00986108,5019778.1621527765
2018-01-09 04:00:00,73162379.50958337,3983261.999930554
2018-01-09 05:00:00,72035221.78888892,3194541.8031249996
2018-01-09 06:00:00,71572522.41708334,30698471.861180555
2018-01-09 07:00:00,94127179.40680553,57951928.63326386
2018-01-09 08:00:00,74084206.40430556,28707494.735833336
2018-01-09 09:00:00,72303188.93694448,3206367.5968749993
2018-01-09 10:00:00,137329249.97999996,113042916.2865972
2018-01-09 11:00:00,73870478.99930553,3071269.468194444
2018-01-09 12:00:00,73194958.99305558,32172696.23625
2018-01-09 13:00:00,75065649.40111113,6962614.260486112
2018-01-09 14:00:00,133904900.17986113,14276609.43395833
2018-01-09 15:00:00,134081105.0125,73399467.36124998
2018-01-09 16:00:00,149329511.94652787,46935194.09604166
2018-01-09 17:00:00,105996544.22583336,76233199.12277777
2018-01-09 18:00:00,111997328.23250003,48265605.54520834
2018-01-09 19:00:00,116197712.56555556,20354203.73069445
2018-01-09 20:00:00,146322460.41972217,20580035.464305557
2018-01-09 21:00:00,140318485.23000005,70643501.5559722
2018-01-09 22:00:00,165816287.33444434,73382247.89972226
2018-01-09 23:00:00,115603090.14833333,18483914.688750003
2018-01-10 00:00:00,123350159.20070618,26968669.49717514
2018-01-10 01:00:00,202192963.98763892,44416388.78041666
2018-01-10 02:00:00,97783745.12208326,5955363.562777778
2018-01-10 03:00:00,152308035.7501389,6054761.647083334
2018-01-10 04:00:00,102494639.39250001,59514969.98500001
2018-01-10 05:00:00,119177662.66055553,4066030.1797222244
2018-01-10 06:00:00,96473954.51680554,112654239.58736113
2018-01-10 07:00:00,159509380.18430558,59035344.66680554
2018-01-10 08:00:00,94663199.34430555,3746832.5916666645
2018-01-10 09:00:00,140935003.3058333,3462317.699166667
2018-01-10 10:00:00,96705530.59555554,30115476.285347227
2018-01-10 11:00:00,96773579.09638889,54687897.94548614
2018-01-10 12:00:00,92473115.32138887,32437311.60937501
2018-01-10 13:00:00,82834785.06847222,7269368.94263889
2018-01-10 14:00:00,70986944.46611112,124502454.07229172
2018-01-10 15:00:00,73033479.59972222,19945055.68020834
2018-01-10 16:00:00,94968385.47472222,23676262.17256944
2018-01-10 17:00:00,165330331.39041668,47457598.86861112
2018-01-10 18:00:00,73179505.0311111,46066913.77097222
2018-01-10 19:00:00,133404129.0711111,112368965.54097223
2018-01-10 20:00:00,97408256.63013887,19640948.82097222
2018-01-10 21:00:00,122603214.6123611,44361087.735833324
2018-01-10 22:00:00,90189072.1166667,77168668.8786111
2018-01-10 23:00:00,104543947.6609722,18161146.804166675
2018-01-11 00:00:00,89028607.85621472,43069540.01292373
2018-01-11 01:00:00,99537737.03944445,30329155.256805558
2018-01-11 02:00:00,75411151.55388887,4893954.152638889
2018-01-11 03:00:00,81191004.39111112,60544096.295833334
2018-01-11 04:00:00,126066971.53222224,5188126.540555558
2018-01-11 05:00:00,85724760.67041667,4509820.269652778
2018-01-11 06:00:00,120767892.39708328,87198327.98812501
2018-01-11 07:00:00,74242515.46749999,3572575.674513888
2018-01-11 08:00:00,123915662.07083336,83097187.35368054
2018-01-11 09:00:00,115856434.11444448,3639470.589236111
2018-01-11 10:00:00,77926773.1036111,3290109.8626388884
2018-01-11 11:00:00,104703498.69777775,58086952.16069445
2018-01-11 12:00:00,77008905.14791664,31877566.37819443
2018-01-11 13:00:00,93135045.1470833,62607119.31986111
2018-01-11 14:00:00,94426387.06500001,18180484.11513889
2018-01-11 15:00:00,119875765.44000004,73024727.06930552
2018-01-11 16:00:00,136119374.69180557,23168258.109305546
2018-01-11 17:00:00,107490167.32222217,21561585.391666666
2018-01-11 18:00:00,152757891.13097224,72470349.90743056
2018-01-11 19:00:00,127182034.91319443,18407254.882083334
2018-01-11 20:00:00,98140363.02874999,75897645.21354169
2018-01-11 21:00:00,108144285.48125005,26406952.614374984
2018-01-11 22:00:00,114047395.4538889,20509642.105416663
2018-01-11 23:00:00,161262261.47236115,18269512.487291668
2018-01-12 00:00:00,144784722.83813557,61927063.409887
2018-01-12 01:00:00,126762636.2956944,141972702.965
2018-01-12 02:00:00,93439234.49638888,6359428.238819442
2018-01-12 03:00:00,83642378.4734722,4294873.234513888
2018-01-12 04:00:00,131806263.27347222,5958995.664444442
2018-01-12 05:00:00,78802705.24138887,18434811.129374996
2018-01-12 06:00:00,74283720.4040278,31640781.76930555
2018-01-12 07:00:00,72687335.72833332,113009762.46590273
2018-01-12 08:00:00,143110448.0498611,57548638.217847236
2018-01-12 09:00:00,74232563.89805557,2620466.6070833337
2018-01-12 10:00:00,74294671.6545833,28806907.04374999
2018-01-12 11:00:00,74719827.7370833,3544769.1932638893
2018-01-12 12:00:00,131489805.20930558,90623101.94944444
2018-01-12 13:00:00,76940405.79680558,3657945.540277777
2018-01-12 14:00:00,136857620.65125003,6298833.909791667
2018-01-12 15:00:00,142003000.67958328,13628663.770833338
2018-01-12 16:00:00,96858555.63194446,98360874.45798613
2018-01-12 17:00:00,96111602.1806945,45916111.99347221
2018-01-12 18:00:00,149445249.80152783,43253834.84590279
2018-01-12 19:00:00,86320673.45263891,79584817.78798608
2018-01-12 20:00:00,106968722.96597224,19357325.628888894
2018-01-12 21:00:00,88789595.91388886,17301328.965972226
2018-01-12 22:00:00,128621412.88402776,17040614.87701389
2018-01-12 23:00:00,90689412.47486107,28640889.880763896
2018-01-13 00:00:00,77120125.57591034,73732769.53305322
2018-01-13 01:00:00,124069685.11666664,83610907.18937495
2018-01-13 02:00:00,74365864.15819444,10906950.35895833
2018-01-13 03:00:00,130035857.18527779,16698227.266250001
2018-01-13 04:00:00,72076511.35444443,36792306.20590276
2018-01-13 05:00:00,73230701.22347227,19019516.0157639
2018-01-13 06:00:00,72085231.78375,25822245.637638886
2018-01-13 07:00:00,91974376.96388888,58048772.63236106
2018-01-13 08:00:00,71792080.96374999,4291400.907569445
2018-01-13 09:00:00,73965439.4740278,32868119.55319443
2018-01-13 10:00:00,117050423.49472222,57922613.57715277
2018-01-13 11:00:00,120649008.2645834,3068591.222569444
2018-01-13 12:00:00,71204211.36180554,31258599.702291664
2018-01-13 13:00:00,72239781.11263892,58118561.37659723
2018-01-13 14:00:00,72259502.74694444,3562925.628055556
2018-01-13 15:00:00,121054503.11652777,59821692.93701387
2018-01-13 16:00:00,73513209.21611111,10627043.36277778
2018-01-13 17:00:00,102502511.43194443,11181705.283958338
2018-01-13 18:00:00,157968456.1438889,55462586.54027776
2018-01-13 19:00:00,73352108.84069444,69539452.8325
2018-01-13 20:00:00,72745983.41694446,4920421.728958334
2018-01-13 21:00:00,71002663.93888892,7897636.316944439
2018-01-13 22:00:00,71322383.25458334,90943088.46555552
2018-01-13 23:00:00,100921614.59722225,8207974.843333338
2018-01-14 00:00:00,168079496.38319206,79398177.19851695
2018-01-14 01:00:00,88565465.78194442,22278424.76847224
2018-01-14 02:00:00,84989879.66875,6611182.003611109
2018-01-14 03:00:00,85681318.60916671,59943803.50374999
2018-01-14 04:00:00,81853694.59777775,3456747.874930556
2018-01-14 05:00:00,90582881.15208332,17127709.53222222
2018-01-14 06:00:00,115364740.34652781,17121927.45111111
2018-01-14 07:00:00,86003892.34597223,29683155.189236116
2018-01-14 08:00:00,124141860.6152778,3961795.3715277766
2018-01-14 09:00:00,72212581.23249999,57638720.65645835
2018-01-14 10:00:00,114699597.06902783,85107745.08430555
2018-01-14 11:00:00,72617849.01305555,2222119.767430556
2018-01-14 12:00:00,72389739.08277775,26452938.80013888
2018-01-14 13:00:00,72512802.53972226,5557698.394652775
2018-01-14 14:00:00,119451566.0375,61436733.12409723
2018-01-14 15:00:00,142534356.11861113,91514580.12881947
2018-01-14 16:00:00,73623456.4536111,9553482.641041666
2018-01-14 17:00:00,73927682.30888884,7794943.347986109
2018-01-14 18:00:00,73803271.25875,34481113.133125
