time,in,out
2019-01-01 09:00:00,249577479.7333332,6387654651.884446
2019-01-01 10:00:00,551213617.0322222,6071030567.0
2019-01-01 11:00:00,376378447.6188888,6247238335.408891
2019-01-01 12:00:00,382363832.58666664,6468421745.119998
2019-01-01 13:00:00,262645956.201111,6333525301.106665
2019-01-01 14:00:00,456940317.70222217,6444668656.160002
2019-01-01 15:00:00,316449820.10444456,6511727245.44889
2019-01-01 16:00:00,477225526.40666676,5665114627.866667
2019-01-01 17:00:00,362994771.1877775,5994991256.28
2019-01-01 18:00:00,388394186.13000005,6530733367.7333355
2019-01-01 19:00:00,442759226.9922222,6442244302.777775
2019-01-01 20:00:00,284794786.16111124,6482842144.902224
2019-01-01 21:00:00,306997286.37666667,6387975247.48444
2019-01-01 22:00:00,222326738.81444454,6651121154.537776
2019-01-01 23:00:00,389574463.3166667,6453340508.862225
2019-01-02 00:00:00,345800454.09265524,6579640601.59548
2019-01-02 01:00:00,675583431.3344448,6605128483.537779
2019-01-02 02:00:00,681520124.0422219,6800802167.37778
2019-01-02 03:00:00,524631007.4655555,6572927789.222222
2019-01-02 04:00:00,400022182.19,4879816996.191111
2019-01-02 05:00:00,351861040.8577777,6672947288.728891
2019-01-02 06:00:00,471820978.99444443,6607489506.951112
2019-01-02 07:00:00,348363673.1822223,6387854868.155558
2019-01-02 08:00:00,461541492.66666657,6562770285.093332
2019-01-02 09:00:00,318996791.6311112,6379549563.631109
2019-01-02 10:00:00,292266072.0233334,6160278875.839999
2019-01-02 11:00:00,446676961.25111103,6834860280.213334
2019-01-02 12:00:00,520234928.2777776,6680827699.795556
2019-01-02 13:00:00,485990918.5133333,6275851597.248889
2019-01-02 14:00:00,374485447.48333335,6418973303.168889
2019-01-02 15:00:00,360167978.09111124,6273266024.4800005
2019-01-02 16:00:00,526179094.72444457,6072596188.302225
2019-01-02 17:00:00,456813570.45333326,6120982108.004443
2019-01-02 18:00:00,383808932.1777777,6541269399.057779
2019-01-02 19:00:00,455779415.9355554,6484801378.155557
2019-01-02 20:00:00,611872320.7299999,6683420083.213332
2019-01-02 21:00:00,502591926.0533332,6551390442.448888
2019-01-02 22:00:00,371860452.3755556,6606378091.608886
