time,in,out
2019-01-01 09:00:00,236035394.8955555,575717224.3155557
2019-01-01 10:00:00,270143727.4177778,839919824.673333
2019-01-01 11:00:00,282619601.0311111,611353543.1
2019-01-01 12:00:00,143860254.80222228,529281616.14888865
2019-01-01 13:00:00,187724407.59555557,681637658.8111112
2019-01-01 14:00:00,247591508.34666666,856473727.7533333
2019-01-01 15:00:00,412402965.7022225,767619904.6888889
2019-01-01 16:00:00,269862474.28222203,807310816.1755551
2019-01-01 17:00:00,220279514.06444445,731636456.7844443
2019-01-01 18:00:00,238049408.39333326,751347941.115555
2019-01-01 19:00:00,210691282.5866667,844192055.388889
2019-01-01 20:00:00,205030708.93777788,730361570.0022224
2019-01-01 21:00:00,259909476.29111108,742333319.6733339
2019-01-01 22:00:00,240877466.06222218,616197940.6644442
2019-01-01 23:00:00,198275346.7355556,769625779.3266664
2019-01-02 00:00:00,276493572.4745763,682750136.6915253
2019-01-02 01:00:00,216052892.77111116,854756342.7088886
2019-01-02 02:00:00,274053360.58444434,868384414.1644444
2019-01-02 03:00:00,345742431.5222223,722396136.6755553
2019-01-02 04:00:00,280016260.16,624602518.1311111
2019-01-02 05:00:00,376379344.39555556,681270529.6066663
2019-01-02 06:00:00,299551587.09333336,832995445.3999999
2019-01-02 07:00:00,229916210.1311111,741134004.0733334
2019-01-02 08:00:00,263935552.47333336,868761881.8133336
2019-01-02 09:00:00,195672873.22666666,680626011.4511112
2019-01-02 10:00:00,251665872.80666664,571801940.9666668
2019-01-02 11:00:00,227183248.6444444,510090425.0022223
2019-01-02 12:00:00,270892702.44444436,791616131.0911111
2019-01-02 13:00:00,204616540.81111118,845681716.8355557
2019-01-02 14:00:00,218038988.84222233,881115233.2511108
2019-01-02 15:00:00,259676092.01555538,931250251.4622223
2019-01-02 16:00:00,342135748.67777765,1084910574.24
2019-01-02 17:00:00,253517706.35777768,841850643.7266667
2019-01-02 18:00:00,249417884.97333336,633274138.3155557
2019-01-02 19:00:00,224912972.70666674,477954732.35999995
2019-01-02 20:00:00,386799630.24666697,633836488.4600002
2019-01-02 21:00:00,444609956.4577778,936371087.8222222
2019-01-02 22:00:00,385392865.9533332,602680060.8244444
2019-01-02 23:00:00,303943705.53111106,474217893.2466666
2019-01-03 00:00:00,217833392.71412432,669486479.0666666
2019-01-03 01:00:00,351916076.24000007,804906600.1866665
2019-01-03 02:00:00,224155573.84222212,739940726.502222
2019-01-03 03:00:00,293629802.64,797281510.6733335
2019-01-03 04:00:00,342624637.18222207,733934215.762222
2019-01-03 05:00:00,409804838.20000005,766162914.0177777
2019-01-03 06:00:00,375936410.14888895,388847636.35555565
2019-01-03 07:00:00,370951403.7977778,758802180.0911113
2019-01-03 08:00:00,414882460.5066668,889680058.7133332
2019-01-03 09:00:00,342479792.2777777,419108735.191111
2019-01-03 10:00:00,344306009.7622222,582793124.3266667
2019-01-03 11:00:00,258699430.56222212,574437591.7022221
2019-01-03 12:00:00,499685971.79777753,424928528.01333344
2019-01-03 13:00:00,418982591.5000001,292721185.4777778
2019-01-03 14:00:00,612512537.1355554,409758893.88
2019-01-03 15:00:00,953021850.7377777,554258211.3933333
2019-01-03 16:00:00,1150363606.3155553,741618758.6022222
2019-01-03 17:00:00,1194484590.1777778,1011238725.4377781
2019-01-03 18:00:00,890424692.9733334,712716831.0377777
2019-01-03 19:00:00,1126813123.5644448,497553475.1066667
2019-01-03 20:00:00,1257892442.6755557,609630965.3488886
2019-01-03 21:00:00,863842149.3844444,928231968.0799998
2019-01-03 22:00:00,944118218.3133333,934928319.8466662
2019-01-03 23:00:00,1010241939.9044442,629995153.5755556
2019-01-04 00:00:00,668084058.9853106,594599236.3638417
2019-01-04 01:00:00,500573851.7199999,787029970.6600001
2019-01-04 02:00:00,628876898.4111116,827284636.7
2019-01-04 03:00:00,458286012.8155552,681285206.2155553
2019-01-04 04:00:00,438197869.76666677,1015237460.1244447
2019-01-04 05:00:00,287282802.56,820059222.8577777
2019-01-04 06:00:00,389403539.56888884,716522922.2977775
2019-01-04 07:00:00,274652132.9266667,659360757.7666669
2019-01-04 08:00:00,498019385.6466667,845378390.2911114
2019-01-04 09:00:00,556083420.6844443,601794525.1355555
2019-01-04 10:00:00,446714316.8022221,638705625.4555551
2019-01-04 11:00:00,418838084.84666693,673913946.2755557
2019-01-04 12:00:00,642702085.388889,396345803.13777775
2019-01-04 13:00:00,603612666.2999998,180602999.08
2019-01-04 14:00:00,798063693.4977777,357493176.5666666
2019-01-04 15:00:00,1172484716.0666666,844723200.9399998
2019-01-04 16:00:00,1491596249.297777,886125333.9244443
2019-01-04 17:00:00,1323496365.6777785,970567448.6911113
2019-01-04 18:00:00,1202292618.0111113,1052427203.8933337
2019-01-04 19:00:00,1265146079.7711108,928799345.5822216
2019-01-04 20:00:00,1225265705.0733335,847042797.5800003
2019-01-04 21:00:00,1494899299.2022226,1013597872.7288889
2019-01-04 22:00:00,1070300669.1311114,886362351.4111112
2019-01-04 23:00:00,582243005.1533334,842644445.3177775
2019-01-05 00:00:00,298106338.3209039,794407206.7322035
2019-01-05 01:00:00,233331307.84222227,1405720752.0511115
2019-01-05 02:00:00,395637347.0866667,688315311.3533334
2019-01-05 03:00:00,373387571.0311113,740131238.0644442
2019-01-05 04:00:00,327356429.11999995,869996977.3355558
2019-01-05 05:00:00,392786410.0066666,720889174.4288887
2019-01-05 06:00:00,141422819.10888895,784779404.5755556
2019-01-05 07:00:00,323701437.32444423,825374187.7444447
2019-01-05 08:00:00,332608426.0133333,768082840.1711109
2019-01-05 09:00:00,207394927.95777777,606567076.4666667
2019-01-05 10:00:00,209126327.68666664,745251106.3177781
2019-01-05 11:00:00,327377566.1844445,702525452.3755556
2019-01-05 12:00:00,346496757.68666655,631075892.806667
2019-01-05 13:00:00,313641539.60888904,640448660.471111
2019-01-05 14:00:00,205501422.12666664,658989989.8333335
2019-01-05 15:00:00,253781461.37777779,703116147.8466668
2019-01-05 16:00:00,162992047.59999996,793356731.7955555
2019-01-05 17:00:00,201628178.6755555,1969784303.708888
2019-01-05 18:00:00,135909167.77111104,3954502491.235557
2019-01-05 19:00:00,262245978.29777777,3815230785.9088893
2019-01-05 20:00:00,255862905.5777778,959953117.3844444
2019-01-05 21:00:00,351472003.36666644,726392428.9022225
2019-01-05 22:00:00,302905681.7622222,851469830.94
2019-01-05 23:00:00,202556872.4288889,652772544.0444448
2019-01-06 00:00:00,250626356.35028237,750009154.4858756
2019-01-06 01:00:00,225251349.1711111,681717998.448889
2019-01-06 02:00:00,181658038.77555546,746166482.1533328
2019-01-06 03:00:00,240455626.24222222,735284044.1066667
2019-01-06 04:00:00,302337740.17555547,686330426.8533332
2019-01-06 05:00:00,366993444.84222215,658604635.4622222
2019-01-06 06:00:00,166038200.52888882,785642989.271111
