time,in,out
2019-01-01 09:00:00,5075973939.866665,11131674801.964441
2019-01-01 10:00:00,5122511376.364447,11138322643.857782
2019-01-01 11:00:00,4099475849.5022225,10768893788.431116
2019-01-01 12:00:00,5906504021.119998,11986509933.626669
2019-01-01 13:00:00,4946357339.911113,9854320567.942225
2019-01-01 14:00:00,6009980030.871114,11045467229.875555
2019-01-01 15:00:00,2964913290.515557,11568950137.466667
2019-01-01 16:00:00,3180049767.306666,13217997529.866667
2019-01-01 17:00:00,6904886505.324443,19398636110.053337
2019-01-01 18:00:00,19473248754.008884,19855282735.906662
2019-01-01 19:00:00,12282170374.14222,19671390561.70667
2019-01-01 20:00:00,7753341914.373332,16898439664.613338
2019-01-01 21:00:00,9212112717.279999,16129044729.559998
2019-01-01 22:00:00,12886934717.431112,18509776872.17778
2019-01-01 23:00:00,15429303526.25777,24168689102.879993
2019-01-02 00:00:00,14647650378.476835,28277300221.355927
2019-01-02 01:00:00,25452525530.746666,30167574653.24444
2019-01-02 02:00:00,32652261456.835556,22011176910.435555
2019-01-02 03:00:00,32078296944.85332,18691318027.631107
2019-01-02 04:00:00,26578829190.0089,31022305061.45333
2019-01-02 05:00:00,29988674029.58221,23199508319.773315
2019-01-02 06:00:00,36217139649.36888,16748244759.591106
2019-01-02 07:00:00,33218389129.413326,27391349500.61334
2019-01-02 08:00:00,24750006633.306656,20782874725.617783
2019-01-02 09:00:00,30401853922.471123,12150162505.671112
2019-01-02 10:00:00,39945688464.106674,20439255767.48889
2019-01-02 11:00:00,33013201181.884453,17775841420.97779
2019-01-02 12:00:00,15671598592.577787,8871397829.626665
2019-01-02 13:00:00,15291820166.444445,15203474280.968884
2019-01-02 14:00:00,15805283742.017773,19576548542.413326
2019-01-02 15:00:00,13665845507.39556,16807836243.81778
2019-01-02 16:00:00,18540401230.12445,20111192880.43556
2019-01-02 17:00:00,15543535182.053339,23441320062.617775
2019-01-02 18:00:00,23873024069.084446,20007144691.231113
2019-01-02 19:00:00,15549828882.888893,16863303983.706675
2019-01-02 20:00:00,11688496595.786665,18100828477.65333
2019-01-02 21:00:00,17918762527.68889,21926367424.648884
2019-01-02 22:00:00,12026628674.880005,26494611407.942234
2019-01-02 23:00:00,22720810604.426674,21431269388.36889
2019-01-03 00:00:00,27818548321.599995,18514673712.289265
2019-01-03 01:00:00,19806625949.351116,18769871138.835552
2019-01-03 02:00:00,26501309555.61777,16503281964.50667
2019-01-03 03:00:00,16852684441.50222,14838654863.91111
2019-01-03 04:00:00,14485119425.191113,15049170687.408892
2019-01-03 05:00:00,13214925557.724445,25031087060.43555
2019-01-03 06:00:00,21474974699.866676,30219568682.928886
2019-01-03 07:00:00,23323247813.439995,22964956865.840008
2019-01-03 08:00:00,30715039155.102226,20809888211.444454
2019-01-03 09:00:00,18355836262.62222,19525546680.93334
2019-01-03 10:00:00,21503157921.359997,21984004706.613327
2019-01-03 11:00:00,22629667477.893333,30187467467.62223
2019-01-03 12:00:00,24951504429.733337,20622167876.45778
2019-01-03 13:00:00,20385510811.591106,20654341682.279995
2019-01-03 14:00:00,24829485743.65333,15661008120.417778
2019-01-03 15:00:00,19372295391.306667,12823691152.133333
2019-01-03 16:00:00,21350591264.968887,12313908915.955557
2019-01-03 17:00:00,21311350576.471107,15116196091.60889
2019-01-03 18:00:00,21797248700.542217,16836883727.408886
2019-01-03 19:00:00,18781866125.262215,11869572801.38222
2019-01-03 20:00:00,22452600926.284447,15266387775.533333
2019-01-03 21:00:00,20669843256.888874,11315589188.040009
2019-01-03 22:00:00,22050592690.124447,13498152811.222223
2019-01-03 23:00:00,21452258447.662224,11226825652.79556
2019-01-04 00:00:00,17245478489.211296,11239132607.588697
2019-01-04 01:00:00,22672046924.19556,10699289173.600002
2019-01-04 02:00:00,20838149127.466656,11195232225.182222
2019-01-04 03:00:00,21867834453.351116,10007002514.142221
2019-01-04 04:00:00,20854249006.6489,11709174424.484444
2019-01-04 05:00:00,37183610588.577774,19488304841.155556
2019-01-04 06:00:00,37767618008.72889,17945679271.88444
2019-01-04 07:00:00,26460376311.662224,16823309108.439997
2019-01-04 08:00:00,43160658767.742256,13659671872.168884
2019-01-04 09:00:00,31136152230.97778,13967380440.013346
2019-01-04 10:00:00,25997909718.15112,16357210134.44001
2019-01-04 11:00:00,34906346942.11555,17441871533.000008
2019-01-04 12:00:00,23783412520.77333,15929751958.377771
2019-01-04 13:00:00,29589938814.062237,16593284918.671103
2019-01-04 14:00:00,30382979068.906666,19765272075.06222
2019-01-04 15:00:00,24833256096.239998,17101489808.973333
2019-01-04 16:00:00,22970418001.111126,20641251186.591114
2019-01-04 17:00:00,38977281642.986664,21654245708.333336
2019-01-04 18:00:00,38791501888.640015,21814612897.51111
2019-01-04 19:00:00,26466664306.631096,24699594174.34221
2019-01-04 20:00:00,26484236894.40001,28209713570.431114
2019-01-04 21:00:00,35501538793.52,27756250055.44891
2019-01-04 22:00:00,20145359512.479992,30797465676.408882
2019-01-04 23:00:00,28011978022.42668,33899593436.13777
2019-01-05 00:00:00,25241150362.042942,27372880890.62599
2019-01-05 01:00:00,21635048315.795555,28727299322.3511
2019-01-05 02:00:00,29288114107.48444,32621404342.37334
2019-01-05 03:00:00,31870762178.613346,27304109798.320015
2019-01-05 04:00:00,24044213646.604446,21958922630.151108
2019-01-05 05:00:00,30125558688.62221,19592863718.035564
2019-01-05 06:00:00,33224262691.982216,20987741194.26221
2019-01-05 07:00:00,37013812000.05333,23438095807.19556
2019-01-05 08:00:00,38663126116.631134,16654981885.724443
2019-01-05 09:00:00,33926130812.42665,19155939706.106678
2019-01-05 10:00:00,45624498130.57776,22359090953.826675
2019-01-05 11:00:00,37146643889.626656,20630349897.937786
2019-01-05 12:00:00,31099417056.90666,15089622155.062218
2019-01-05 13:00:00,29741465873.066673,16324881022.951115
2019-01-05 14:00:00,45444314681.368904,15608947753.795565
2019-01-05 15:00:00,30088457959.075565,15135099482.173336
2019-01-05 16:00:00,21519052523.751106,16098703547.297777
2019-01-05 17:00:00,25262719271.22667,17962501922.342228
2019-01-05 18:00:00,27845626482.08,21635458695.106667
2019-01-05 19:00:00,13622925136.94223,23430159925.89777
2019-01-05 20:00:00,9983504606.240004,23150411046.924446
2019-01-05 21:00:00,9593289244.079994,18343760306.484444
2019-01-05 22:00:00,10441207803.848888,19006338851.182213
2019-01-05 23:00:00,17240484820.888885,27593581129.088886
2019-01-06 00:00:00,17107734482.865541,17963329836.709606
2019-01-06 01:00:00,10849154631.146666,12192493417.244448
2019-01-06 02:00:00,11907525656.168886,22385646422.364445
2019-01-06 03:00:00,22781111524.568886,18351495345.822224
2019-01-06 04:00:00,13776735565.448887,18792532892.839993
2019-01-06 05:00:00,12105309471.466665,19013878627.222233
2019-01-06 06:00:00,11655874047.244446,22298124181.435562
2019-01-06 07:00:00,17630355449.93778,23692820034.951115
2019-01-06 08:00:00,11527460876.124445,21705567613.919994
2019-01-06 09:00:00,7623946135.688884,21148984569.98665
2019-01-06 10:00:00,11586795880.560003,15114541613.359999
2019-01-06 11:00:00,10188542317.582228,15650596995.862225
2019-01-06 12:00:00,11927672945.022219,20625084601.195557
2019-01-06 13:00:00,7717490714.355556,21894892297.06222
2019-01-06 14:00:00,11789618333.742224,23819630322.23555
2019-01-06 15:00:00,10840821072.560005,24443706270.5511
2019-01-06 16:00:00,15213546510.50666,24038599937.35555
2019-01-06 17:00:00,12475864628.346672,19660066302.1111
2019-01-06 18:00:00,16652041252.719995,25148711868.399998
2019-01-06 19:00:00,14800748665.955553,19458180371.68
2019-01-06 20:00:00,12770475685.333336,15558616045.888895
2019-01-06 21:00:00,14903320812.879992,14686587911.968885
2019-01-06 22:00:00,19524771338.266663,16927814443.324442
2019-01-06 23:00:00,20841762233.137775,18534385765.244446
2019-01-07 00:00:00,20962621812.4565,17260370004.063274
2019-01-07 01:00:00,15331540141.2,15900134243.31112
2019-01-07 02:00:00,8295355035.857776,12680944736.226662
2019-01-07 03:00:00,12420261882.791117,14477761457.36444
2019-01-07 04:00:00,14057502899.14667,11777063330.337778
2019-01-07 05:00:00,15921836709.653334,17012909317.933338
2019-01-07 06:00:00,19165917508.91555,11424992130.893332
2019-01-07 07:00:00,12296333370.08889,13691361499.928898
2019-01-07 08:00:00,18103564476.391106,13215723514.328894
2019-01-07 09:00:00,18445788311.297783,12228613921.155554
2019-01-07 10:00:00,18598907640.204445,10320715917.546669
2019-01-07 11:00:00,13617884556.826668,18254353129.19111
2019-01-07 12:00:00,10276474037.226667,20571557385.239994
2019-01-07 13:00:00,9043692812.844444,17844990022.848892
2019-01-07 14:00:00,13161763730.044447,16152557452.40445
2019-01-07 15:00:00,8024101420.195557,19683808151.98666
2019-01-07 16:00:00,9597760909.244446,22452264909.137783
2019-01-07 17:00:00,15812104791.822224,18411542066.52889
2019-01-07 18:00:00,20912504361.14668,15287305255.359999
2019-01-07 19:00:00,15291861395.902218,22505341505.62667
2019-01-07 20:00:00,16526682105.431116,32384270254.95112
2019-01-07 21:00:00,12391492103.342226,31686933819.07555
2019-01-07 22:00:00,12371809954.533337,25850421547.44445
2019-01-07 23:00:00,23363714925.920006,24528676122.697777
2019-01-08 00:00:00,21174622982.15593,21953522760.298306
2019-01-08 01:00:00,18772270503.92888,22804763302.391113
2019-01-08 02:00:00,13944887012.728895,23140397590.724438
2019-01-08 03:00:00,21186443745.457767,24060194308.96443
2019-01-08 04:00:00,27061549607.760002,31053953128.115547
2019-01-08 05:00:00,31540650180.213337,25008409524.28446
2019-01-08 06:00:00,27727425906.453335,19431279813.440002
2019-01-08 07:00:00,24355535223.37778,16805874802.888891
2019-01-08 08:00:00,10122802382.399996,21093702163.93333
2019-01-08 09:00:00,26201713013.41332,26497297676.377773
2019-01-08 10:00:00,27815531218.83556,25655151878.839993
2019-01-08 11:00:00,23617693936.417774,22443537516.822224
2019-01-08 12:00:00,17568510044.604435,25182525483.47112
2019-01-08 13:00:00,20324445111.813343,23830278653.346672
2019-01-08 14:00:00,20849716489.591114,21744166526.520004
2019-01-08 15:00:00,12744584791.848883,20590495002.45333
2019-01-08 16:00:00,34717700708.74668,21982339968.44
2019-01-08 17:00:00,20991553656.773342,21238203450.70667
2019-01-08 18:00:00,29777446558.222218,20609624488.6889
2019-01-08 19:00:00,22582631175.16444,36834508901.56888
2019-01-08 20:00:00,22752300315.591114,29015111533.04445
2019-01-08 21:00:00,23748914697.279995,19939556387.42223
2019-01-08 22:00:00,25899591101.111107,19501114269.640003
2019-01-08 23:00:00,22468434537.42222,19562051892.20888
2019-01-09 00:00:00,19471891258.485878,17703890271.091534
2019-01-09 01:00:00,28972073379.44,17837268861.92889
2019-01-09 02:00:00,19731697775.564445,18123446614.253334
2019-01-09 03:00:00,12546607194.693336,17306469714.586674
2019-01-09 04:00:00,20730417833.58223,16752250154.804445
