time,in,out
2019-01-01 09:00:00,20287801256.41777,8791009350.72
2019-01-01 10:00:00,21743983152.48889,8993188856.977774
2019-01-01 11:00:00,22159608761.182224,8881043828.72889
2019-01-01 12:00:00,19422185633.039997,12464889920.391113
2019-01-01 13:00:00,20514597973.35999,11043863708.551115
2019-01-01 14:00:00,21516302562.72888,12711053350.613329
2019-01-01 15:00:00,18986153397.306667,10644049281.084446
2019-01-01 16:00:00,23497045715.88445,11003278399.200003
2019-01-01 17:00:00,25128406505.759995,14626182994.293327
2019-01-01 18:00:00,22231777310.302235,9101671540.835552
2019-01-01 19:00:00,27773086207.48444,14704819990.631098
2019-01-01 20:00:00,21079051454.231106,14670329445.19111
2019-01-01 21:00:00,20633556860.32001,12951529352.800007
2019-01-01 22:00:00,19852751501.555553,14308016744.408895
2019-01-01 23:00:00,20036823683.102222,18935336692.088894
2019-01-02 00:00:00,24545780745.907345,18219282998.07458
2019-01-02 01:00:00,25344049467.20001,21205987245.49334
2019-01-02 02:00:00,24296784081.964436,17559837767.28889
2019-01-02 03:00:00,19639506010.559998,25066006781.884434
2019-01-02 04:00:00,20300973492.977783,22815471170.844448
2019-01-02 05:00:00,20345965405.146652,21265379015.004433
2019-01-02 06:00:00,21361343727.768887,20501567197.74223
2019-01-02 07:00:00,23499876758.453342,12249833897.973337
2019-01-02 08:00:00,22687203626.524437,9959887193.617779
2019-01-02 09:00:00,17538731379.991116,15541257320.071115
2019-01-02 10:00:00,23440047348.08002,20555337048.462227
2019-01-02 11:00:00,21593226548.20445,22722925427.00445
2019-01-02 12:00:00,15696668460.239998,27268879653.368885
2019-01-02 13:00:00,21090934592.204456,22222715438.70222
2019-01-02 14:00:00,24813341507.422234,15771828644.711107
2019-01-02 15:00:00,28505899515.60002,15364680621.084442
2019-01-02 16:00:00,27250020801.644436,20738886234.75555
2019-01-02 17:00:00,25368344830.17777,16847641972.977772
2019-01-02 18:00:00,25945379564.08001,18935353648.604454
2019-01-02 19:00:00,26833150060.85332,19873702556.960007
2019-01-02 20:00:00,27318495442.640003,20983999321.760014
2019-01-02 21:00:00,28115543172.239986,16428083817.351105
2019-01-02 22:00:00,23375221729.786663,15195772964.728884
2019-01-02 23:00:00,27683668703.600014,18520939351.91112
2019-01-03 00:00:00,27145608509.48701,23542244078.680233
2019-01-03 01:00:00,25517815326.044437,20549203135.182236
2019-01-03 02:00:00,26554569532.55111,22883817568.782223
2019-01-03 03:00:00,21229629307.253334,22716930177.422207
2019-01-03 04:00:00,26716693085.377785,18937639508.213326
2019-01-03 05:00:00,33510941030.15112,16667913045.013323
2019-01-03 06:00:00,23470419321.60889,25583050759.608883
2019-01-03 07:00:00,27578747692.93333,26566459555.733337
2019-01-03 08:00:00,22341515826.31111,25520029157.93777
2019-01-03 09:00:00,22042195783.608887,20908968294.91555
2019-01-03 10:00:00,20452278210.26667,20292722919.662224
2019-01-03 11:00:00,22488043523.306652,19545510326.168888
2019-01-03 12:00:00,20598403933.20889,20030147421.24445
2019-01-03 13:00:00,26104076889.724453,18943074012.74666
2019-01-03 14:00:00,26082030840.622234,20840155432.33778
2019-01-03 15:00:00,17233047025.653328,22611003234.026672
2019-01-03 16:00:00,20898962499.377773,28210657788.248882
2019-01-03 17:00:00,22215298544.46222,29629615450.666668
2019-01-03 18:00:00,17758723462.248886,33745955484.99555
2019-01-03 19:00:00,13580840279.41334,25272058519.519985
2019-01-03 20:00:00,10529675931.342226,22579148380.72889
2019-01-03 21:00:00,9363629488.755556,20915986344.871105
2019-01-03 22:00:00,12751380637.448885,20982971431.057785
2019-01-03 23:00:00,18867418872.462215,35985650266.702225
2019-01-04 00:00:00,15799420238.888142,39007662222.75253
2019-01-04 01:00:00,14916469776.35556,23496912785.457767
2019-01-04 02:00:00,14299959161.591106,21161220820.071106
2019-01-04 03:00:00,13057924029.27111,20974212747.96445
2019-01-04 04:00:00,13401915077.546663,29620679597.15556
2019-01-04 05:00:00,18145716087.333336,30489255282.311115
2019-01-04 06:00:00,16859243387.52889,35841572618.75557
2019-01-04 07:00:00,15583615056.799995,43054554895.413345
2019-01-04 08:00:00,13504697023.831108,27883447780.462227
2019-01-04 09:00:00,15630442460.151117,26721618114.08
2019-01-04 10:00:00,20086247226.088886,31168103293.84888
2019-01-04 11:00:00,25037854355.955555,38328080768.977776
2019-01-04 12:00:00,22691313189.199997,48145223247.92889
2019-01-04 13:00:00,23011156098.115578,47933557937.724434
2019-01-04 14:00:00,24177004344.497784,38728622633.88443
2019-01-04 15:00:00,24189715875.457798,29960755753.351116
2019-01-04 16:00:00,28260357671.93779,46108448101.937775
2019-01-04 17:00:00,32754654398.711105,48177975045.42224
2019-01-04 18:00:00,29491918964.791103,33293220888.959988
2019-01-04 19:00:00,33936118778.026688,32866317485.137768
2019-01-04 20:00:00,31578735218.85333,29318504236.568882
2019-01-04 21:00:00,32453637744.871098,33637025145.884438
2019-01-04 22:00:00,36077581355.58221,37446065718.1511
2019-01-04 23:00:00,39978017407.23555,36382456971.84
2019-01-05 00:00:00,34757419892.29377,44472135377.24745
2019-01-05 01:00:00,32861012832.40889,41916134730.89777
2019-01-05 02:00:00,36226406860.88889,36755369669.28001
2019-01-05 03:00:00,34427663322.10666,39392249338.00889
2019-01-05 04:00:00,25323439973.564434,54856229827.85778
2019-01-05 05:00:00,25720097128.36445,33065203039.964436
2019-01-05 06:00:00,24796914646.355553,49049782306.808876
2019-01-05 07:00:00,27181622782.23112,52265267463.857765
2019-01-05 08:00:00,26025795918.755558,57240176213.52892
2019-01-05 09:00:00,21539057660.400013,41488293682.86222
2019-01-05 10:00:00,22689777076.933334,57455597505.52889
2019-01-05 11:00:00,22254848552.96002,33854212262.862236
