time,in,out
2019-01-01 09:00:00,273171803.4355555,74646844.26138885
2019-01-01 10:00:00,32751959.18374999,53083352.235277764
2019-01-01 11:00:00,59567447.62958334,53817092.89027778
2019-01-01 12:00:00,23728716.095555555,65874786.413333364
2019-01-01 13:00:00,30540960.34208336,55705558.71666668
2019-01-01 14:00:00,31665031.205277804,62098232.277777776
2019-01-01 15:00:00,25005600.39791667,67010731.08333333
2019-01-01 16:00:00,28662025.20416665,59036476.945555545
2019-01-01 17:00:00,36476920.62833334,97521322.89111112
2019-01-01 18:00:00,28036497.963888887,117225979.36972219
2019-01-01 19:00:00,25781445.182361107,114453083.08388883
2019-01-01 20:00:00,27948606.77152778,95026234.9847222
2019-01-01 21:00:00,37432343.27791666,93951196.16833337
2019-01-01 22:00:00,32354899.785694443,101045812.29194441
2019-01-01 23:00:00,31602791.295555547,71615671.30444446
2019-01-02 00:00:00,25261837.172316387,88749285.34209041
2019-01-02 01:00:00,31760479.252361123,91030320.46944442
2019-01-02 02:00:00,32886827.589861114,104719185.81305552
2019-01-02 03:00:00,28029500.893055562,101200095.41416661
2019-01-02 04:00:00,33972303.01597223,100663046.30166666
2019-01-02 05:00:00,349857715.4572221,93851254.67527781
2019-01-02 06:00:00,520289249.2366666,67151007.23388888
2019-01-02 07:00:00,565980764.4851391,70145846.21027778
2019-01-02 08:00:00,496188888.6815278,64472719.513055585
2019-01-02 09:00:00,648496249.9405557,111774336.53138883
2019-01-02 10:00:00,321707872.9129167,261177149.49888894
2019-01-02 11:00:00,128467058.90027775,542596628.2922224
2019-01-02 12:00:00,86165008.97625004,619708856.6955554
2019-01-02 13:00:00,97417079.85375005,552010594.7199998
2019-01-02 14:00:00,105274990.99972218,561711962.7375
2019-01-02 15:00:00,95936608.06444445,583465190.0408332
2019-01-02 16:00:00,95782037.11236116,578643094.0166664
2019-01-02 17:00:00,94935276.91458334,611974208.7802778
2019-01-02 18:00:00,117324189.33388895,544725942.1858332
2019-01-02 19:00:00,137485150.57472223,569530771.8750001
2019-01-02 20:00:00,96521433.5775,571741281.911389
2019-01-02 21:00:00,79644524.86722222,373585860.0683335
2019-01-02 22:00:00,46358062.395416684,160589003.54972216
2019-01-02 23:00:00,36213951.85152778,96864218.2102778
2019-01-03 00:00:00,34497916.610028245,53317429.24943506
