time,in,out
2019-01-01 09:00:00,5879587967.537778,13082170583.875551
2019-01-01 10:00:00,5768906537.608888,13412891516.49778
2019-01-01 11:00:00,6436415616.915557,13081425475.53778
2019-01-01 12:00:00,7083090550.791108,14859707728.942223
2019-01-01 13:00:00,10689524899.324442,15410854599.43111
2019-01-01 14:00:00,11175795940.27555,14401682883.573332
2019-01-01 15:00:00,9593473267.502224,14200370833.084444
2019-01-01 16:00:00,9103376846.542223,12494802036.622221
2019-01-01 17:00:00,10185084717.440002,12280972195.093328
2019-01-01 18:00:00,10809259472.933332,11656470882.293339
2019-01-01 19:00:00,9058187084.035555,19587985433.013344
2019-01-01 20:00:00,7802515230.675553,15539979766.737774
2019-01-01 21:00:00,7724515054.008893,15864256701.208893
2019-01-01 22:00:00,8834564899.85778,20208019792.106674
2019-01-01 23:00:00,8594565274.559996,18467128824.337776
2019-01-02 00:00:00,20112885822.237293,13927614355.14576
2019-01-02 01:00:00,22793855972.533337,18666119730.293335
2019-01-02 02:00:00,20962276870.284443,20439506921.475544
2019-01-02 03:00:00,12225589528.479992,16707929162.27556
2019-01-02 04:00:00,6394535735.29778,19223514635.288883
2019-01-02 05:00:00,6734328622.22222,17713399962.524452
2019-01-02 06:00:00,8961399517.715555,18704810151.662224
2019-01-02 07:00:00,3666780496.9955564,19366776218.222218
2019-01-02 08:00:00,3041519765.626666,18687796629.048893
2019-01-02 09:00:00,4383901913.813331,17872479477.6
2019-01-02 10:00:00,5300301443.608891,16960313896.995567
2019-01-02 11:00:00,4952476880.817777,17667229234.93333
2019-01-02 12:00:00,7384035124.693334,19619659346.897778
2019-01-02 13:00:00,6845339708.995556,20659959640.835556
2019-01-02 14:00:00,5985483097.626664,15527481065.742216
2019-01-02 15:00:00,6743625817.155559,12604341322.346672
2019-01-02 16:00:00,7217836748.302218,11551655878.062225
2019-01-02 17:00:00,7907555278.8088875,10881126220.444447
2019-01-02 18:00:00,10682999449.97333,12549933014.808887
2019-01-02 19:00:00,9994466320.933332,31174469719.200016
2019-01-02 20:00:00,6990212814.16889,32636848253.333347
2019-01-02 21:00:00,6585099524.56,29178458793.102226
2019-01-02 22:00:00,5647778744.888889,21610502301.671097
2019-01-02 23:00:00,6653061999.617777,20805119315.822216
2019-01-03 00:00:00,8948010909.722036,22665706819.67006
2019-01-03 01:00:00,5263247994.497775,19591681901.95555
2019-01-03 02:00:00,5915114367.271113,18457378360.320004
2019-01-03 03:00:00,4236397221.0400004,17654423566.61334
2019-01-03 04:00:00,3816130130.0977764,14221607991.804447
2019-01-03 05:00:00,6160823070.293333,10480277187.413334
2019-01-03 06:00:00,6996136852.373332,12158422350.293337
2019-01-03 07:00:00,7467561604.817776,19838739694.328896
2019-01-03 08:00:00,7831265452.479998,20070622337.155552
2019-01-03 09:00:00,7331366248.497774,21028873525.102222
2019-01-03 10:00:00,8026545443.786669,19566978323.57333
2019-01-03 11:00:00,7957840630.57778,18797193746.844444
2019-01-03 12:00:00,9829898358.577776,15461863606.862232
2019-01-03 13:00:00,7947661688.266664,15211301926.382215
2019-01-03 14:00:00,6778726238.435554,17667932137.99111
2019-01-03 15:00:00,6742166463.546664,10990824674.844448
2019-01-03 16:00:00,7071589142.364445,11831235805.333336
2019-01-03 17:00:00,7366903394.888889,11069764641.297777
2019-01-03 18:00:00,7377158722.035553,10747904108.213339
2019-01-03 19:00:00,5309530337.591109,19430767512.26667
2019-01-03 20:00:00,5193228515.600002,19465524795.751106
2019-01-03 21:00:00,4849676026.96,17471810309.653328
2019-01-03 22:00:00,4496831531.21778,16833562517.173332
2019-01-03 23:00:00,4546718991.644443,16410512255.288887
2019-01-04 00:00:00,10011927629.984175,17950527803.82374
2019-01-04 01:00:00,5271979387.12889,17947855956.32001
2019-01-04 02:00:00,6684166920.399999,19098784129.617775
2019-01-04 03:00:00,4304245885.6444435,20275714763.431103
2019-01-04 04:00:00,4528698082.764445,18244325440.871105
2019-01-04 05:00:00,3501745566.328889,11754523099.644445
2019-01-04 06:00:00,5290484485.342218,13157470945.848888
2019-01-04 07:00:00,4176872040.755555,12548826335.928894
2019-01-04 08:00:00,3859630924.844441,12735816674.400002
2019-01-04 09:00:00,4240938647.662222,15715293643.093332
2019-01-04 10:00:00,5332162225.653337,16522793413.22666
2019-01-04 11:00:00,4451024306.01778,13233417566.026665
2019-01-04 12:00:00,5987465319.546666,11357164022.91555
