time,in,out
2019-01-01 09:00:00,3100098340.48,1412909226.8444445
2019-01-01 10:00:00,2746086143.8755546,1318666456.1600003
2019-01-01 11:00:00,2094773103.9466662,1450596604.5866663
2019-01-01 12:00:00,1719274111.253333,951049270.613333
2019-01-01 13:00:00,1410758289.6177783,1211944193.3866668
2019-01-01 14:00:00,1365393036.5333338,1336480440.8355556
2019-01-01 15:00:00,2257417035.786667,1412017530.3466656
2019-01-01 16:00:00,2403237102.186666,1309021207.2177777
2019-01-01 17:00:00,2178060456.942223,3025590414.826667
2019-01-01 18:00:00,2411162166.311111,2543675207.875555
2019-01-01 19:00:00,3234584517.226668,1616573173.8844438
2019-01-01 20:00:00,2437208192.977777,1247609947.6266663
2019-01-01 21:00:00,2435442042.1688895,1576934970.7911124
2019-01-01 22:00:00,1903251983.3955557,3097339277.9733334
2019-01-01 23:00:00,2928119885.297778,2477743589.706666
2019-01-02 00:00:00,1585525779.0734465,1914092388.176272
2019-01-02 01:00:00,1379533222.951111,1473506311.5555556
2019-01-02 02:00:00,1571256569.6177778,4690328377.244444
2019-01-02 03:00:00,1439069566.328889,4798755980.622224
2019-01-02 04:00:00,947072951.0222228,1751272292.2666664
2019-01-02 05:00:00,1351365092.1777785,2358882646.0088887
2019-01-02 06:00:00,2053860040.87111,4464346144.87111
2019-01-02 07:00:00,6750686331.359998,6220074549.955553
2019-01-02 08:00:00,5498738757.67111,1114090990.1866663
2019-01-02 09:00:00,3393114060.106666,1446800784.4800007
2019-01-02 10:00:00,1344116719.5555558,3293571558.222223
2019-01-02 11:00:00,1325390176.6933331,1387269790.3111117
2019-01-02 12:00:00,1164404740.7644446,1340371550.2399993
2019-01-02 13:00:00,978015715.8399997,1952369082.097778
2019-01-02 14:00:00,1485584182.2044451,5146632344.426667
2019-01-02 15:00:00,1520364039.9466665,4122321620.497779
2019-01-02 16:00:00,1464579536.195555,3728476249.155555
2019-01-02 17:00:00,1007437499.8044449,3029346968.2844453
2019-01-02 18:00:00,1242245368.1422217,3614302305.084444
2019-01-02 19:00:00,1599304488.1599998,1784428283.5555558
2019-01-02 20:00:00,1065297424.2666667,1389259023.9822226
2019-01-02 21:00:00,2829880897.884445,2361528380.977778
2019-01-02 22:00:00,1287918403.5022228,2474821944.8177786
2019-01-02 23:00:00,2458312424.1066675,3247645843.608888
2019-01-03 00:00:00,1218989333.4237287,4459192828.564972
2019-01-03 01:00:00,1315868154.7022219,3217627782.186666
2019-01-03 02:00:00,1186053351.182222,3257664204.568889
2019-01-03 03:00:00,1391850581.1022217,3624850568.4799986
2019-01-03 04:00:00,1318135385.6533334,1710865359.4844444
2019-01-03 05:00:00,850482643.8399998,948502502.6844442
2019-01-03 06:00:00,2347985414.5066667,2312650794.88
