time,in,out
2019-01-01 09:00:00,484007229.4399999,504860057.84888893
2019-01-01 10:00:00,510208544.56888884,827092692.2311112
2019-01-01 11:00:00,532542561.2088892,334462469.86666673
2019-01-01 12:00:00,3268280103.324445,644008155.0933337
2019-01-01 13:00:00,248145891.48444456,516540869.4755555
2019-01-01 14:00:00,712817617.5999995,2754885634.3822236
2019-01-01 15:00:00,1717193240.3200002,816700404.2666664
2019-01-01 16:00:00,697450007.217778,871776851.0933335
2019-01-01 17:00:00,6557436608.320001,1585025656.6400003
2019-01-01 18:00:00,6562788783.28889,14794675571.377779
2019-01-01 19:00:00,4819297180.7288885,9060329629.084446
2019-01-01 20:00:00,4046749924.6577773,5448492698.524444
2019-01-01 21:00:00,4773569865.137777,6307129833.742225
2019-01-01 22:00:00,7956633626.026666,7766308853.262219
2019-01-01 23:00:00,12216914320.782225,9528288111.253334
2019-01-02 00:00:00,15351887399.737856,9053331593.256495
2019-01-02 01:00:00,15115939749.546667,18336161202.453335
2019-01-02 02:00:00,8981216019.093327,21619093851.306667
2019-01-02 03:00:00,9114062168.604445,19375086619.73333
2019-01-02 04:00:00,21731218047.608894,18319930054.079998
2019-01-02 05:00:00,14142122884.053331,20711179056.74665
2019-01-02 06:00:00,7445764512.995555,21424312266.24
2019-01-02 07:00:00,9104754310.044445,20438273740.94222
2019-01-02 08:00:00,4589061834.31111,19762095692.942223
2019-01-02 09:00:00,2408273376.9955573,20653134610.70222
2019-01-02 10:00:00,7582500313.77778,23032707560.817787
2019-01-02 11:00:00,7352104256.248888,16725838537.742224
2019-01-02 12:00:00,1898374813.9733338,1189994439.0044444
2019-01-02 13:00:00,4871977013.262223,1665919290.8444445
2019-01-02 14:00:00,5153957549.795558,1728754159.6088893
2019-01-02 15:00:00,1125676221.475556,1408229891.128888
2019-01-02 16:00:00,3385797153.493333,3066102953.52889
2019-01-02 17:00:00,8285175091.519999,2227448128.9599986
2019-01-02 18:00:00,5810847193.635556,9035871174.684446
2019-01-02 19:00:00,2393119207.964445,5910218591.3955555
2019-01-02 20:00:00,3906054242.133333,1797588630.008889
2019-01-02 21:00:00,4218663518.719998,6916684466.417777
2019-01-02 22:00:00,11774456983.359997,2720918915.3066654
2019-01-02 23:00:00,2768347227.626666,10983673276.871113
2019-01-03 00:00:00,1782339020.6192095,12954564207.764969
2019-01-03 01:00:00,4173456728.6399984,8398876187.484447
2019-01-03 02:00:00,3667407641.7777777,10325418688.21333
2019-01-03 03:00:00,4930393211.839998,2754407120.3911123
2019-01-03 04:00:00,5834544981.759998,2644574588.5511127
2019-01-03 05:00:00,12536861595.377775,3642122913.493334
2019-01-03 06:00:00,16519653419.199999,5614100427.484442
2019-01-03 07:00:00,10464223761.671112,7375846127.64444
2019-01-03 08:00:00,9858912771.591114,9695968852.515554
2019-01-03 09:00:00,9202098139.626667,11117434669.439995
2019-01-03 10:00:00,9196960034.275555,15921468315.413326
2019-01-03 11:00:00,15653282927.040009,16146500713.137777
2019-01-03 12:00:00,10445798957.47556,18187920887.608883
2019-01-03 13:00:00,9377705301.29778,14363742663.502226
2019-01-03 14:00:00,5958415958.471108,13479350251.413326
2019-01-03 15:00:00,7801608172.586668,13812716099.02222
2019-01-03 16:00:00,5962382978.239999,15850427698.737776
2019-01-03 17:00:00,8350075341.617782,14550073453.546661
2019-01-03 18:00:00,12250259919.288889,12811669068.977777
2019-01-03 19:00:00,7768054603.555553,14092370535.679996
2019-01-03 20:00:00,12599242520.99555,15365243593.457792
2019-01-03 21:00:00,8378087632.177777,13742669762.66667
