time,in,out
2019-01-01 09:00:00,1880071857.9733338,153923593.14666662
2019-01-01 10:00:00,2109562995.004444,114701332.53333333
2019-01-01 11:00:00,2941707300.142224,213289798.16888887
2019-01-01 12:00:00,2940142097.1199985,149717653.4044444
2019-01-01 13:00:00,2967802401.351111,91856275.51111111
2019-01-01 14:00:00,3132941791.9999995,114551773.51111107
2019-01-01 15:00:00,2686516537.6000004,142491955.62666672
2019-01-01 16:00:00,1829715100.0355544,131734529.59111111
2019-01-01 17:00:00,1861061536.5688899,107342332.79111113
2019-01-01 18:00:00,1941899775.5911112,119636363.4933333
2019-01-01 19:00:00,2081665391.7155564,111378335.18222223
2019-01-01 20:00:00,1608747385.4222221,89271202.79111108
2019-01-01 21:00:00,2386750374.097778,216836254.98666665
2019-01-01 22:00:00,2321484566.5422225,65742617.199999996
2019-01-01 23:00:00,2508918902.3822217,87028076.64000002
2019-01-02 00:00:00,3058376740.1943493,75508142.34576274
2019-01-02 01:00:00,3589668915.2888885,183732376.1066667
2019-01-02 02:00:00,3886317399.466666,105069915.34222229
2019-01-02 03:00:00,5316249478.524444,173956592.83555558
2019-01-02 04:00:00,4191471871.4844427,84911960.93333326
2019-01-02 05:00:00,4478644884.871112,119664174.95111114
2019-01-02 06:00:00,4915623755.022223,249837973.15555558
2019-01-02 07:00:00,2921973618.6666675,81920104.84444448
2019-01-02 08:00:00,2557449832.0711117,170315668.98666674
2019-01-02 09:00:00,3896586530.0622225,149747655.84000003
2019-01-02 10:00:00,3450368393.688888,149383277.67111114
2019-01-02 11:00:00,3969947737.617777,112288693.21777776
2019-01-02 12:00:00,5097026951.306669,142876399.8755555
2019-01-02 13:00:00,3480520641.6533337,170955107.2533334
2019-01-02 14:00:00,2536658793.0488896,126038423.99111108
2019-01-02 15:00:00,3829094349.902221,103342078.96888898
2019-01-02 16:00:00,3402123106.3466644,91751965.10222225
2019-01-02 17:00:00,2582699008.9244437,201466898.90666664
2019-01-02 18:00:00,5228057246.257779,124002458.90666668
2019-01-02 19:00:00,2706429450.115555,99406574.49777775
2019-01-02 20:00:00,2488199965.0311117,182880323.24444443
2019-01-02 21:00:00,2373050410.1155553,84053125.87555557
2019-01-02 22:00:00,1974412736.977778,138856002.44444445
2019-01-02 23:00:00,2026530610.4888887,98912803.75111112
2019-01-03 00:00:00,1909962564.2485876,126771642.66666666
2019-01-03 01:00:00,1708061223.324444,168904405.43999997
2019-01-03 02:00:00,2128825415.6088889,101655379.69777775
2019-01-03 03:00:00,2013620890.328889,90309233.60888888
2019-01-03 04:00:00,2031070984.071111,165829832.84444433
2019-01-03 05:00:00,2530024806.1155553,139462811.51999995
2019-01-03 06:00:00,2115308939.5022216,85584563.28
