time,in,out
2019-01-01 09:00:00,15105621500.231113,19064041309.5111
2019-01-01 10:00:00,13062101202.02667,17969009718.968895
2019-01-01 11:00:00,12151379272.817778,17395663961.45778
2019-01-01 12:00:00,14063891888.533342,16427838756.906666
2019-01-01 13:00:00,15683684993.137785,17237035868.942226
2019-01-01 14:00:00,13097783356.160002,16804815611.733332
2019-01-01 15:00:00,10954779812.728888,15562651406.29333
2019-01-01 16:00:00,16033723915.733318,20396288388.55112
2019-01-01 17:00:00,19408486154.73777,19824805634.48889
2019-01-01 18:00:00,17974880040.17778,19427592171.235542
2019-01-01 19:00:00,15510607936.426668,21447626568.817783
2019-01-01 20:00:00,16264524990.471107,21373691044.053337
2019-01-01 21:00:00,20618313567.360004,19520167245.43999
2019-01-01 22:00:00,11673095755.768888,19226632276.906666
2019-01-01 23:00:00,24805726678.008892,19590177145.59999
2019-01-02 00:00:00,30278712245.477943,19565798075.371758
2019-01-02 01:00:00,29538319792.24889,16838522757.404446
2019-01-02 02:00:00,22992737208.355545,16994941403.733335
2019-01-02 03:00:00,20364697295.71554,16780883522.062218
2019-01-02 04:00:00,16268413568.355553,22887063420.444447
2019-01-02 05:00:00,20750586826.951107,25053518443.164448
2019-01-02 06:00:00,21622649908.44444,28400603618.488884
2019-01-02 07:00:00,19187560116.977783,26748904716.159992
2019-01-02 08:00:00,18809736776.782215,27157759373.01333
2019-01-02 09:00:00,18271592736.462223,29725773360.853344
2019-01-02 10:00:00,17343134207.46667,34623185555.20001
2019-01-02 11:00:00,16653323343.573332,28789382412.231125
2019-01-02 12:00:00,12826656488.462223,23496225234.84446
2019-01-02 13:00:00,13909131561.45777,26967686572.373337
2019-01-02 14:00:00,14956953837.297787,29045151397.333336
2019-01-02 15:00:00,17532939291.733322,31857133007.36
2019-01-02 16:00:00,13083999897.600002,35157096823.18222
2019-01-02 17:00:00,14637667947.164452,35871879057.28001
2019-01-02 18:00:00,18875523648.177773,35176839353.24443
2019-01-02 19:00:00,23208410969.24445,35704964119.60888
2019-01-02 20:00:00,24013329921.564445,35120941387.37777
2019-01-02 21:00:00,17832935884.799995,32846203140.977764
2019-01-02 22:00:00,17219971817.17333,28239861200.213318
2019-01-02 23:00:00,18539265791.71556,27635370193.49333
2019-01-03 00:00:00,18855434788.122036,32016421270.99662
2019-01-03 01:00:00,19885365747.128887,28763730299.448887
2019-01-03 02:00:00,16735134417.315554,35362994697.03111
2019-01-03 03:00:00,16748869160.426668,27498922068.40889
2019-01-03 04:00:00,13649721323.413328,26192486541.937782
2019-01-03 05:00:00,17155415980.76444,23851310567.039993
2019-01-03 06:00:00,13762575246.862223,26560002066.417786
2019-01-03 07:00:00,19858070985.884453,27438793045.546677
2019-01-03 08:00:00,12581811410.879992,26012378758.04443
2019-01-03 09:00:00,15850328121.20889,26060390020.62223
2019-01-03 10:00:00,14230959547.022223,31263398662.542233
2019-01-03 11:00:00,14590949259.377775,38836303813.40444
2019-01-03 12:00:00,13718680327.217773,30839909953.351124
2019-01-03 13:00:00,14085988556.906664,28795583224.81777
2019-01-03 14:00:00,15652258145.6,29245963786.59556
2019-01-03 15:00:00,16509568758.719994,27552256253.653336
2019-01-03 16:00:00,16762977059.12889,26771914293.902225
2019-01-03 17:00:00,18964889861.51112,29550738445.511097
2019-01-03 18:00:00,15419385386.488894,32618659134.364437
2019-01-03 19:00:00,14459691831.360004,26738067517.297775
2019-01-03 20:00:00,19077250677.760002,35398780770.55999
2019-01-03 21:00:00,20004107760.46222,36059850647.679985
2019-01-03 22:00:00,29106265978.133316,30876370291.48446
2019-01-03 23:00:00,38293790821.0489,29490034034.70222
2019-01-04 00:00:00,24201187504.885876,33556556752.271187
2019-01-04 01:00:00,20956657507.840008,35933435392.64
2019-01-04 02:00:00,19375329723.84,38312359902.719986
2019-01-04 03:00:00,23493131905.600002,38433990716.302216
2019-01-04 04:00:00,22578199652.4089,41527552077.58223
2019-01-04 05:00:00,32096144678.720005,38761923344.00001
2019-01-04 06:00:00,26219481198.75556,40024874125.297775
2019-01-04 07:00:00,21549844878.328876,39643793033.884445
2019-01-04 08:00:00,25035244167.182217,42733283046.04444
2019-01-04 09:00:00,24022022035.768887,42461501333.68892
2019-01-04 10:00:00,24280186418.702213,38129265338.59556
2019-01-04 11:00:00,17929271915.093346,34444182328.46222
2019-01-04 12:00:00,22711346418.666653,35353058741.19109
2019-01-04 13:00:00,24533339529.102222,32494153821.511105
2019-01-04 14:00:00,31240486695.96445,33356672922.026676
2019-01-04 15:00:00,24581354026.52444,37470040552.10666
2019-01-04 16:00:00,21059868285.653336,37653026457.74223
2019-01-04 17:00:00,27399045449.066658,40768033642.02665
2019-01-04 18:00:00,25430582081.493336,41172250676.69333
2019-01-04 19:00:00,23507931260.408886,38868432071.82222
2019-01-04 20:00:00,21825017962.73777,36551767660.65777
2019-01-04 21:00:00,21750202511.50222,36908909411.626656
2019-01-04 22:00:00,23018316014.115562,37073177339.093346
2019-01-04 23:00:00,24688945976.106655,32219006630.39999
2019-01-05 00:00:00,21418575616.25312,32796513732.98984
2019-01-05 01:00:00,22142360710.506668,38350411155.626686
2019-01-05 02:00:00,24322907966.364437,32903181668.195553
2019-01-05 03:00:00,26366281408.888905,33298007552.355553
2019-01-05 04:00:00,25750817377.066658,38397964059.30666
2019-01-05 05:00:00,22742138714.737766,32503982646.32889
2019-01-05 06:00:00,23599943071.43111,30899803492.19556
2019-01-05 07:00:00,24605064316.693325,32406562267.23555
2019-01-05 08:00:00,24740407957.831112,29517458137.52889
2019-01-05 09:00:00,20452255854.791115,27453070267.662224
2019-01-05 10:00:00,14033492826.951115,28477517126.68444
2019-01-05 11:00:00,11979421129.848883,44792609231.21778
2019-01-05 12:00:00,17117452451.413332,31044639413.97334
2019-01-05 13:00:00,11811233303.857777,27657771499.59111
2019-01-05 14:00:00,13514765426.417774,26091156916.906673
2019-01-05 15:00:00,24225496827.48446,24122126289.208885
2019-01-05 16:00:00,22080477537.74221,25148638556.088882
2019-01-05 17:00:00,21217373856.960003,22786646251.804447
2019-01-05 18:00:00,20055243013.83111,22129787840.49777
2019-01-05 19:00:00,15828169574.648886,28119634699.80445
2019-01-05 20:00:00,19905834740.231113,39516620961.92
2019-01-05 21:00:00,21729337438.684444,39858574006.613335
2019-01-05 22:00:00,19116945732.764446,44018686411.23557
