time,in,out
2019-01-01 09:00:00,5875265493.119999,10052951391.146666
2019-01-01 10:00:00,6425923438.57778,10608488796.266666
2019-01-01 11:00:00,7132748872.995556,10223061544.924446
2019-01-01 12:00:00,7045625148.053333,11026792472.853329
2019-01-01 13:00:00,6599090645.511108,11028081108.72889
2019-01-01 14:00:00,6926548531.733333,10009511758.115562
2019-01-01 15:00:00,7076897491.662222,10158594827.733332
2019-01-01 16:00:00,7528833820.622226,11314636716.87111
2019-01-01 17:00:00,7243821472.21333,12220342656.462221
2019-01-01 18:00:00,7173964117.617779,11158874778.666666
2019-01-01 19:00:00,5984876768.391111,8649118778.773333
2019-01-01 20:00:00,6605177068.01778,9068600000.426668
2019-01-01 21:00:00,6537664719.182224,9096739928.675556
2019-01-01 22:00:00,7426860029.72444,8387844373.582224
2019-01-01 23:00:00,7028595820.4800005,14080731443.342228
2019-01-02 00:00:00,7656883746.820338,14374674365.288136
2019-01-02 01:00:00,7201653499.057779,14832062407.039999
2019-01-02 02:00:00,7068937550.186662,13331621762.986662
2019-01-02 03:00:00,8043707439.999997,10469902134.293337
2019-01-02 04:00:00,8474393709.511111,9874410296.177774
2019-01-02 05:00:00,9001683006.826658,13328046286.577784
2019-01-02 06:00:00,8876815959.786669,11188147631.146671
2019-01-02 07:00:00,9652799623.288883,11257937583.217775
2019-01-02 08:00:00,6716833778.133331,11439951321.031109
2019-01-02 09:00:00,8581748590.542224,11358939210.382223
2019-01-02 10:00:00,7605127275.235559,10759399757.26222
2019-01-02 11:00:00,6216551335.715555,11328581243.413332
2019-01-02 12:00:00,8138334747.02222,11602918207.360006
2019-01-02 13:00:00,7421804693.048891,12462281125.084442
2019-01-02 14:00:00,6011754227.448889,11865472453.511105
2019-01-02 15:00:00,6900738553.102218,11147386643.164446
2019-01-02 16:00:00,7922452064.355556,15143981219.128885
2019-01-02 17:00:00,8195912783.92889,14556671694.115559
2019-01-02 18:00:00,9182117285.155554,13087045904.746656
2019-01-02 19:00:00,10834035920.142216,10191838057.137777
2019-01-02 20:00:00,8977608553.137774,10635685349.226665
2019-01-02 21:00:00,9689248953.422222,10550790269.973333
2019-01-02 22:00:00,9508160788.693329,11820603031.288883
2019-01-02 23:00:00,8411724610.524447,10175292974.044443
2019-01-03 00:00:00,8388144147.887003,11147217982.662144
2019-01-03 01:00:00,6881715958.684443,12156778940.586662
2019-01-03 02:00:00,10437218846.968884,13890952776.355566
2019-01-03 03:00:00,8840864368.85333,12971606826.168884
2019-01-03 04:00:00,8238020531.9822235,10645201416.355549
2019-01-03 05:00:00,8392627329.315561,10107378592.462223
2019-01-03 06:00:00,10559457819.911114,10419375168.995558
2019-01-03 07:00:00,10910735741.724445,14743213841.137783
2019-01-03 08:00:00,9361126672.355556,9838615620.657778
2019-01-03 09:00:00,8209148748.693333,11082502402.879997
2019-01-03 10:00:00,10613108667.093336,12006527946.773327
2019-01-03 11:00:00,8497423538.808888,13010977706.73777
2019-01-03 12:00:00,8102724634.311113,12474959464.639994
2019-01-03 13:00:00,10027830307.768887,13702784835.057781
2019-01-03 14:00:00,7094112555.093331,12617750335.004448
2019-01-03 15:00:00,7505240340.515559,11395467894.684443
2019-01-03 16:00:00,7090366155.875556,11385892751.928892
2019-01-03 17:00:00,9379858200.604445,11302632932.76444
2019-01-03 18:00:00,11854366484.19556,11359250487.537775
2019-01-03 19:00:00,9735195651.30667,7430615511.431112
2019-01-03 20:00:00,8752689586.951113,9159525736.142223
2019-01-03 21:00:00,8358552571.0222225,9126041403.982222
2019-01-03 22:00:00,8442453820.800002,18548391909.831112
2019-01-03 23:00:00,8028439604.799998,26399450495.89333
2019-01-04 00:00:00,7354615588.953673,11349251861.152546
2019-01-04 01:00:00,8759753391.822222,10598772276.480001
2019-01-04 02:00:00,9634983375.893335,10528454644.373327
2019-01-04 03:00:00,9769503026.915556,10242226506.48889
2019-01-04 04:00:00,8615897047.111116,9438888014.506666
2019-01-04 05:00:00,7070027985.564444,9463343425.813332
2019-01-04 06:00:00,8283546283.164444,9618731167.964443
2019-01-04 07:00:00,8453376629.759998,10157186571.413334
2019-01-04 08:00:00,7568255061.546668,11223918260.408888
2019-01-04 09:00:00,8169875882.062221,14346221238.293333
