time,in,out
2019-01-01 09:00:00,89732559.65749998,129988119.30944443
2019-01-01 10:00:00,100932578.55361114,112025140.31055555
2019-01-01 11:00:00,95910570.08222225,88260635.10777776
2019-01-01 12:00:00,46950878.43249998,47263458.510555536
2019-01-01 13:00:00,101467577.9,61852754.7505556
2019-01-01 14:00:00,47461230.82694446,70339294.60166666
2019-01-01 15:00:00,47438436.794722214,49055106.552777804
2019-01-01 16:00:00,48904327.87444445,134417197.24555558
2019-01-01 17:00:00,102257065.91833338,155975211.04055557
2019-01-01 18:00:00,203122184.59888887,55505831.56999998
2019-01-01 19:00:00,48145013.576666646,78155264.57166664
2019-01-01 20:00:00,47847586.594722226,64791023.2088889
2019-01-01 21:00:00,50126999.824722216,126750417.00277777
2019-01-01 22:00:00,50810906.039722234,58381023.46777778
2019-01-01 23:00:00,50499451.24749999,54398244.680000015
2019-01-02 00:00:00,50280004.61073447,54217831.32994349
2019-01-02 01:00:00,95407999.75861113,51701985.36777778
2019-01-02 02:00:00,105270472.1513889,154771418.57333335
2019-01-02 03:00:00,63437053.60166666,160640770.91777784
2019-01-02 04:00:00,107867496.32555556,126208955.71944448
2019-01-02 05:00:00,51126369.36027779,54629044.61500002
2019-01-02 06:00:00,51141877.419166654,181015584.15555555
2019-01-02 07:00:00,48176621.88888892,46627165.161666684
2019-01-02 08:00:00,102466761.08972223,106667525.81222221
2019-01-02 09:00:00,87181145.48777775,50477085.09777777
2019-01-02 10:00:00,53759581.554722205,138147718.15555555
2019-01-02 11:00:00,45627035.87277778,114091129.90833329
2019-01-02 12:00:00,47648232.270833336,137820769.19999993
2019-01-02 13:00:00,152333602.55305555,126271846.88833338
2019-01-02 14:00:00,112062912.04805556,174627385.9127777
2019-01-02 15:00:00,63837108.07638892,219108773.095
2019-01-02 16:00:00,60468873.878611155,282676181.57055557
2019-01-02 17:00:00,60263571.45555555,243324163.81111118
2019-01-02 18:00:00,173238253.12666675,229709712.2172223
2019-01-02 19:00:00,59869094.08333333,227908534.78111115
2019-01-02 20:00:00,102040986.13333328,268467566.97888887
2019-01-02 21:00:00,58424290.68250001,209911290.13055545
2019-01-02 22:00:00,57534151.33527777,160530809.3711111
2019-01-02 23:00:00,55968981.06277778,135459926.0722222
2019-01-03 00:00:00,56233825.7819209,141626374.48983052
2019-01-03 01:00:00,105228663.05944441,158418099.2794444
2019-01-03 02:00:00,57565199.96083334,112348019.26555553
2019-01-03 03:00:00,124794606.38805555,167105927.5
2019-01-03 04:00:00,108425096.8377777,128405334.83944443
2019-01-03 05:00:00,51810201.43916669,134205007.07000004
2019-01-03 06:00:00,107883260.31277777,104747649.88611113
2019-01-03 07:00:00,51861285.11749998,102923566.94833332
2019-01-03 08:00:00,51858260.37416666,97720910.1688888
2019-01-03 09:00:00,140630298.15388888,94410624.56222223
2019-01-03 10:00:00,60379483.23333336,108383835.57888892
2019-01-03 11:00:00,47871932.25138889,158990147.79166654
2019-01-03 12:00:00,144868119.1113888,100860128.95277777
2019-01-03 13:00:00,49574574.794722244,128408751.91611113
2019-01-03 14:00:00,59814461.70194444,171083635.305
2019-01-03 15:00:00,52670582.73055555,216071081.94777778
2019-01-03 16:00:00,112352547.58277778,194350101.3350001
2019-01-03 17:00:00,57637063.17555556,213551891.47277778
2019-01-03 18:00:00,117278864.59333335,167410040.57944438
2019-01-03 19:00:00,55080018.726111144,199009450.2372222
2019-01-03 20:00:00,107200161.85805559,209576158.87888896
2019-01-03 21:00:00,98411787.9472222,214611818.39388895
2019-01-03 22:00:00,53155990.08083332,185549851.69055557
2019-01-03 23:00:00,48311225.16250002,188955998.5388889
2019-01-04 00:00:00,44816300.20952381,149686345.01736698
2019-01-04 01:00:00,41907950.98749999,117899346.33833334
2019-01-04 02:00:00,196293185.10388887,73924020.62944444
2019-01-04 03:00:00,57937721.783611126,248895489.5255555
2019-01-04 04:00:00,53010159.12388892,219390852.43444452
2019-01-04 05:00:00,51110807.46861111,109339558.46500006
2019-01-04 06:00:00,102583320.46277778,93059968.0066667
2019-01-04 07:00:00,45892300.351944454,77755240.39944445
2019-01-04 08:00:00,47284491.24666666,46919518.69555556
2019-01-04 09:00:00,42358859.05499999,95050879.16166665
2019-01-04 10:00:00,139986274.42972225,166396468.63055557
2019-01-04 11:00:00,97003912.20444445,143532654.71388885
2019-01-04 12:00:00,40690202.07555557,213040529.46722218
2019-01-04 13:00:00,44332542.58305558,82690333.7177778
2019-01-04 14:00:00,49072365.34444446,104427394.32388888
2019-01-04 15:00:00,94058774.53194448,106462134.77944444
2019-01-04 16:00:00,106668567.24249999,221974655.34722227
2019-01-04 17:00:00,50973725.02444444,127739255.48833342
2019-01-04 18:00:00,102209382.40611109,148438273.3783333
2019-01-04 19:00:00,53743361.56972224,165998184.13333318
2019-01-04 20:00:00,160657641.75416672,88630925.76444446
2019-01-04 21:00:00,52910674.288888894,138856388.36999992
2019-01-04 22:00:00,51335478.131666675,259490881.02555552
2019-01-04 23:00:00,50997931.521111116,146701051.60111105
2019-01-05 00:00:00,50930796.276836164,57987701.563841805
2019-01-05 01:00:00,148965646.5205556,70098090.065
2019-01-05 02:00:00,51534523.02833333,68645979.2861111
2019-01-05 03:00:00,65160464.28361109,205164434.78333345
2019-01-05 04:00:00,104991164.61472222,47092245.877777785
2019-01-05 05:00:00,43811255.553611085,45398395.723888904
2019-01-05 06:00:00,85325460.16527776,122188673.75944445
2019-01-05 07:00:00,29382894.61722223,108271089.25888887
2019-01-05 08:00:00,86486680.8130556,69589587.49166666
