time,in,out
2019-01-01 09:00:00,11007472935.344435,13154926759.8
2019-01-01 10:00:00,10257010369.70222,12680439726.524445
2019-01-01 11:00:00,8920151083.171112,11343585950.02222
2019-01-01 12:00:00,11105206262.588888,11168198754.231108
2019-01-01 13:00:00,12475105642.899998,11514721176.697777
2019-01-01 14:00:00,9416504538.591114,11269163077.506659
2019-01-01 15:00:00,6999822522.806667,10343110607.30222
2019-01-01 16:00:00,12666742768.791111,14506269247.382223
2019-01-01 17:00:00,14901988923.99111,14250586177.497778
2019-01-01 18:00:00,14020815563.475554,13159995146.986668
2019-01-01 19:00:00,11184255220.27555,14735067672.50667
2019-01-01 20:00:00,12187609479.757778,15478385461.675554
2019-01-01 21:00:00,15471837196.871117,14883197857.631111
2019-01-01 22:00:00,7977956209.200003,13619776146.808887
2019-01-01 23:00:00,18202183417.22667,15321347799.51556
2019-01-02 00:00:00,16756161406.386436,14485570776.619213
2019-01-02 01:00:00,17703020009.537785,11434442415.111116
2019-01-02 02:00:00,13526280723.295559,10760548105.057775
2019-01-02 03:00:00,14042988874.30889,10438425273.88
2019-01-02 04:00:00,10887114070.844442,15146570529.035551
2019-01-02 05:00:00,15046512356.457773,15284777254.337776
2019-01-02 06:00:00,15802279921.957773,16946831371.38222
2019-01-02 07:00:00,11364204982.96889,16812983231.41778
2019-01-02 08:00:00,12855378961.29778,18862597612.79556
2019-01-02 09:00:00,12549432374.424444,19201457856.559998
2019-01-02 10:00:00,10881328354.542225,21245884626.662228
2019-01-02 11:00:00,10834458494.691113,16714672220.880003
2019-01-02 12:00:00,8644846406.813334,13289730557.662218
2019-01-02 13:00:00,9118189537.471111,14939635385.44444
2019-01-02 14:00:00,8819220492.451115,14220345979.479992
2019-01-02 15:00:00,8317596874.919999,17715764719.133335
2019-01-02 16:00:00,9860671364.51111,21501194669.98222
2019-01-02 17:00:00,8750023448.704447,22328600535.67556
2019-01-02 18:00:00,12238402508.591114,24181611728.351097
2019-01-02 19:00:00,12259285152.17555,24245454614.453335
2019-01-02 20:00:00,10738966831.82223,24422843349.182213
2019-01-02 21:00:00,9626239628.377777,22410404526.773327
2019-01-02 22:00:00,10672130493.622217,20263111265.53778
2019-01-02 23:00:00,13526412060.017782,17420341650.85778
2019-01-03 00:00:00,13117336282.37288,18942177353.265537
2019-01-03 01:00:00,13055972674.924442,18808932946.66666
2019-01-03 02:00:00,8810183159.959997,25086818646.93334
2019-01-03 03:00:00,8717340749.035559,20466200866.537777
2019-01-03 04:00:00,7235559875.813334,18258316599.06667
2019-01-03 05:00:00,9108849295.697777,17140397152.92445
2019-01-03 06:00:00,7150309622.635557,20075689301.053337
2019-01-03 07:00:00,8852246800.293337,20042201969.83111
2019-01-03 08:00:00,6863975751.582221,20306912723.73777
2019-01-03 09:00:00,9163214237.397778,20248044956.031105
2019-01-03 10:00:00,8072945054.677779,22658347197.22667
2019-01-03 11:00:00,8514172207.659999,29506469434.54223
2019-01-03 12:00:00,7276176841.728895,21866155927.062218
2019-01-03 13:00:00,6562839412.322221,20240536368.786674
2019-01-03 14:00:00,8870340683.262222,21263425834.36445
2019-01-03 15:00:00,10403148250.422218,19404502535.199993
2019-01-03 16:00:00,10180398004.666668,19532476808.831116
2019-01-03 17:00:00,9668747620.973335,23561624380.42668
2019-01-03 18:00:00,6864486495.659998,24145689987.164444
2019-01-03 19:00:00,7605410804.951116,19138324120.124454
2019-01-03 20:00:00,9722702735.262224,19456717648.648888
2019-01-03 21:00:00,10088876615.084444,17075934066.679993
2019-01-03 22:00:00,22014099141.308907,15820398356.613325
2019-01-03 23:00:00,27245360705.673336,15886091712.391108
2019-01-04 00:00:00,16405621000.692442,18301627979.908123
2019-01-04 01:00:00,11968981435.773336,17972572185.160007
2019-01-04 02:00:00,10535346345.273335,20770960046.45778
2019-01-04 03:00:00,8044405962.564447,21817700339.844437
2019-01-04 04:00:00,8406156665.253331,22342783158.924446
2019-01-04 05:00:00,16303576744.719997,22224004948.995556
2019-01-04 06:00:00,12128947541.31111,24301355595.075558
2019-01-04 07:00:00,9662819354.535557,24366583368.53333
2019-01-04 08:00:00,9085813971.197779,24007918618.82222
2019-01-04 09:00:00,9667782401.257772,24684637697.840004
2019-01-04 10:00:00,12980355088.033327,22998501259.49777
2019-01-04 11:00:00,7524238216.639997,20470991795.693336
2019-01-04 12:00:00,8626681966.348888,22100655999.92445
2019-01-04 13:00:00,9527313646.582222,19906896811.991123
2019-01-04 14:00:00,16926289240.793331,20437610060.097782
2019-01-04 15:00:00,10440118951.66,20330890002.68
2019-01-04 16:00:00,9917748347.54,18778197186.488884
2019-01-04 17:00:00,14624879354.008877,19712088093.97334
2019-01-04 18:00:00,15315126648.191114,30057081731.826656
2019-01-04 19:00:00,13463732636.722218,29906235947.711105
2019-01-04 20:00:00,12379658081.80889,30244199727.39111
2019-01-04 21:00:00,11301373207.908884,22272190767.075558
2019-01-04 22:00:00,11473059029.920002,18780881431.737774
2019-01-04 23:00:00,13466083818.273325,15669636974.635551
2019-01-05 00:00:00,11410714633.726555,17612806162.85197
2019-01-05 01:00:00,12560433633.291113,22435869873.8089
2019-01-05 02:00:00,14161247958.279991,18509370451.48889
2019-01-05 03:00:00,13958796006.806675,20230738183.342216
2019-01-05 04:00:00,14302155167.13778,23514534167.813347
2019-01-05 05:00:00,12933775129.88889,19596531008.248894
2019-01-05 06:00:00,16280173853.02889,18172923641.702213
2019-01-05 07:00:00,14717463137.744442,19095330711.22667
2019-01-05 08:00:00,15442746974.880003,16579249787.755556
2019-01-05 09:00:00,8595010640.328888,16826734923.533335
2019-01-05 10:00:00,7629010319.451112,16021029212.42223
2019-01-05 11:00:00,5699965758.653333,15035933249.373323
2019-01-05 12:00:00,5094630541.304446,16313708088.008894
2019-01-05 13:00:00,6579055312.604447,16279433829.408884
2019-01-05 14:00:00,8915120999.622225,16394465784.28889
2019-01-05 15:00:00,8172368260.106666,15897082166.435553
2019-01-05 16:00:00,9316251884.799994,16335441716.737776
2019-01-05 17:00:00,6347876822.913334,14049396720.368898
2019-01-05 18:00:00,5737521954.511113,14280481565.342218
2019-01-05 19:00:00,6101231484.306667,14538880304.95555
2019-01-05 20:00:00,10286446543.291115,16369226094.635555
2019-01-05 21:00:00,9946060642.335554,16878240292.239998
2019-01-05 22:00:00,7695841363.568887,22928609756.671104
2019-01-05 23:00:00,12951509444.49334,21254469912.46668
2019-01-06 00:00:00,6074659070.424857,21924331992.225986
2019-01-06 01:00:00,6248871175.202224,20517848860.844444
2019-01-06 02:00:00,9493383900.757778,20541369261.479992
2019-01-06 03:00:00,4597209248.333335,20992042894.648884
2019-01-06 04:00:00,6797983047.95111,17133051572.76444
2019-01-06 05:00:00,3995089483.3155546,17236181660.506657
2019-01-06 06:00:00,6744143558.559997,17778740671.382217
2019-01-06 07:00:00,4825234747.493335,16139815712.288889
2019-01-06 08:00:00,3168051489.36,15759045102.226662
2019-01-06 09:00:00,6503854446.6466675,16860183424.893337
2019-01-06 10:00:00,3245537300.6733327,17161800704.244446
2019-01-06 11:00:00,4090828478.946669,16900639917.73333
2019-01-06 12:00:00,7546006483.502222,9885459306.635565
2019-01-06 13:00:00,3917371264.946667,6208489522.684449
2019-01-06 14:00:00,3781930532.837777,6528959281.577778
2019-01-06 15:00:00,3709590573.7711115,6146894560.720002
2019-01-06 16:00:00,6677403104.706663,4565517127.017776
2019-01-06 17:00:00,4568308193.484446,5244517533.871113
2019-01-06 18:00:00,3878390761.7044454,5966706501.382221
2019-01-06 19:00:00,5398116791.757778,5636060179.360002
2019-01-06 20:00:00,3154763492.102221,8269655483.8533325
2019-01-06 21:00:00,4129820868.8488894,16583803459.186666
2019-01-06 22:00:00,4466849103.642222,18975520570.99556
2019-01-06 23:00:00,3478845002.691111,18109032247.51555
2019-01-07 00:00:00,4558657877.654238,20670520811.60677
2019-01-07 01:00:00,4072158617.3799987,19604488099.115547
2019-01-07 02:00:00,4299042101.177778,17973865116.524456
2019-01-07 03:00:00,3569479777.0933337,18396295918.208897
2019-01-07 04:00:00,5211435306.664443,18865864153.97333
2019-01-07 05:00:00,6285692967.837777,16854339098.58667
2019-01-07 06:00:00,8500280164.45556,13817130901.64889
2019-01-07 07:00:00,7673795841.784445,20388328077.128895
2019-01-07 08:00:00,11985399925.822218,13159123375.306662
2019-01-07 09:00:00,10085365216.86222,13306092127.466665
2019-01-07 10:00:00,9962734314.993336,12846591347.013332
2019-01-07 11:00:00,9796488498.40445,12877700557.50666
2019-01-07 12:00:00,12937671988.484442,14697452267.764448
2019-01-07 13:00:00,8316526443.000001,15699199216.911112
2019-01-07 14:00:00,15091433709.971113,17045372542.333334
2019-01-07 15:00:00,8312989228.666668,17703541394.42222
2019-01-07 16:00:00,9403710015.21111,18822776693.586666
2019-01-07 17:00:00,11540393231.502226,25847064087.413338
2019-01-07 18:00:00,10781280349.311117,24163215466.168896
2019-01-07 19:00:00,18167752814.484444,27699418959.995567
2019-01-07 20:00:00,19992442930.508896,23660452838.284447
2019-01-07 21:00:00,19949029974.088894,28199568068.124435
2019-01-07 22:00:00,20524938438.879997,21507092343.36444
