time,in,out
2019-01-01 09:00:00,3734837137.12,1437931526.737778
2019-01-01 10:00:00,3771804397.7955556,1231321289.2977784
2019-01-01 11:00:00,3636611873.608889,1855320458.4533336
2019-01-01 12:00:00,3287493890.3911114,1710233521.4133334
2019-01-01 13:00:00,4359933962.026667,2237643085.6888876
2019-01-01 14:00:00,4062761600.97778,1548902612.3466675
2019-01-01 15:00:00,3253783173.013333,1770848636.96889
2019-01-01 16:00:00,3318908733.4844446,2148329602.0977774
2019-01-01 17:00:00,3359565988.835554,1953445659.6977775
2019-01-01 18:00:00,3471133785.626669,2529518015.937778
2019-01-01 19:00:00,3731014101.5644445,1444638012.4799998
2019-01-01 20:00:00,3523064863.9199996,1416110661.831111
2019-01-01 21:00:00,3274347812.9422207,6443010366.799999
2019-01-01 22:00:00,3067067525.6088896,1868573215.0755553
2019-01-01 23:00:00,3792901757.679999,1936226148.7377787
2019-01-02 00:00:00,4399521802.458757,2514347799.5570607
2019-01-02 01:00:00,4118569481.617777,1387653555.0666664
2019-01-02 02:00:00,4378635797.52889,3730508685.573333
2019-01-02 03:00:00,5597855252.791113,3787982410.782223
2019-01-02 04:00:00,5631570510.764445,2907233801.4844456
2019-01-02 05:00:00,4633654654.213334,4117133057.955556
2019-01-02 06:00:00,4456986144.017778,2676477244.044446
2019-01-02 07:00:00,3761124782.675558,3715596467.048888
2019-01-02 08:00:00,3577301186.284445,1230849037.4844446
2019-01-02 09:00:00,3099152943.297778,1715960092.7999995
2019-01-02 10:00:00,2924192991.9200006,1264706762.1955554
2019-01-02 11:00:00,2773749218.2222214,4044945202.2400007
2019-01-02 12:00:00,2914653908.959999,2451387333.484444
2019-01-02 13:00:00,2868824690.0355554,1696414567.4222229
2019-01-02 14:00:00,2854756509.1911097,1443546257.3511114
2019-01-02 15:00:00,3217070615.1911116,1674388678.186667
2019-01-02 16:00:00,2979148227.0133343,2098633938.7288885
2019-01-02 17:00:00,2915675697.057779,2035941610.0800004
2019-01-02 18:00:00,5294953890.737781,1336628383.0488892
2019-01-02 19:00:00,3354994644.666666,3964204483.733335
2019-01-02 20:00:00,3028886837.3422227,1627602519.3155549
2019-01-02 21:00:00,3115948999.5555544,2252622819.297777
2019-01-02 22:00:00,3093629392.444444,1698155844.0177777
2019-01-02 23:00:00,2765879262.8355546,2008746414.3822234
2019-01-03 00:00:00,2623005313.003391,1596730618.2779653
2019-01-03 01:00:00,2733304389.3155565,5731176516.275556
2019-01-03 02:00:00,2808808207.8044457,3229123212.7111106
2019-01-03 03:00:00,3787300495.964442,3005223951.546667
2019-01-03 04:00:00,4318185459.653333,3444173799.12889
2019-01-03 05:00:00,4974069256.373337,2176792225.191111
2019-01-03 06:00:00,4941531446.95111,1048695640.0266665
2019-01-03 07:00:00,3777037433.9555564,3391900787.5466666
2019-01-03 08:00:00,4478500883.920001,3274505901.0133314
2019-01-03 09:00:00,3462454059.448889,2901206293.120001
2019-01-03 10:00:00,4156434785.0755568,3194745643.493334
2019-01-03 11:00:00,4209911834.2044454,2533980391.182221
2019-01-03 12:00:00,4096321293.164446,2533123477.0577774
2019-01-03 13:00:00,4288284477.4044433,2749525956.3733344
2019-01-03 14:00:00,3846182525.128889,2957213475.2711096
2019-01-03 15:00:00,4136836629.7066655,2605409004.826666
2019-01-03 16:00:00,4244934601.6711097,3345046646.079999
2019-01-03 17:00:00,3043656458.8711114,3246613958.1777787
2019-01-03 18:00:00,3180542648.791112,3589035078.986666
2019-01-03 19:00:00,3253640462.2133346,3838508177.7600017
2019-01-03 20:00:00,3741048832.239998,5288464074.133334
2019-01-03 21:00:00,3826212297.697777,4654310285.617777
2019-01-03 22:00:00,4280072383.502222,4732080935.564446
2019-01-03 23:00:00,4399181033.5644455,3977144799.297778
2019-01-04 00:00:00,4403105873.392089,5061494645.242936
2019-01-04 01:00:00,3477915307.3244467,4994521122.2311125
2019-01-04 02:00:00,3741522520.1333323,4820548154.062224
2019-01-04 03:00:00,3918171587.7244444,4565957655.297778
2019-01-04 04:00:00,3930057249.8044453,5350164953.759996
2019-01-04 05:00:00,3617674713.5999994,7836552389.404448
2019-01-04 06:00:00,3292205418.506667,7709649359.44
2019-01-04 07:00:00,3192760378.2577767,5430758194.106665
2019-01-04 08:00:00,3056335193.5733323,5093918476.604446
2019-01-04 09:00:00,3021041400.3555546,5259614584.63111
2019-01-04 10:00:00,2493253229.822222,4967293278.684445
2019-01-04 11:00:00,2637692969.1999984,2862510489.5733323
2019-01-04 12:00:00,2767670623.0666666,1974603998.4533346
2019-01-04 13:00:00,2392094483.0933332,4660562395.617779
2019-01-04 14:00:00,2607221111.0133348,1576792422.5511131
2019-01-04 15:00:00,2188609689.857779,916783552.0355556
2019-01-04 16:00:00,2406802882.5955553,1384688674.853333
2019-01-04 17:00:00,2496927363.8399997,1561285561.0666668
2019-01-04 18:00:00,3088510912.7555537,1848188474.364446
2019-01-04 19:00:00,3844282395.7511096,1650814103.4222224
2019-01-04 20:00:00,3920123342.8000016,1946810160.6311114
2019-01-04 21:00:00,4538847701.208889,1809440454.1066666
2019-01-04 22:00:00,4401645472.275557,1618644781.5911107
2019-01-04 23:00:00,4715270017.493333,1859257800.4444442
2019-01-05 00:00:00,5752042442.287003,1758593334.8338997
2019-01-05 01:00:00,6129566735.351113,1694150723.644444
2019-01-05 02:00:00,4490894961.582224,1734516830.071112
2019-01-05 03:00:00,3861451618.5866656,1661466370.0799997
2019-01-05 04:00:00,4744804712.551112,1851557757.0488884
2019-01-05 05:00:00,4945982117.902222,2945208990.7466664
2019-01-05 06:00:00,5362349621.217776,2371154460.808889
2019-01-05 07:00:00,5805598318.844446,2039055724.8266664
2019-01-05 08:00:00,4780846588.915557,2206407413.3244433
2019-01-05 09:00:00,4571383622.204443,1714339246.2133343
2019-01-05 10:00:00,4224497303.884444,1729235824.6311107
2019-01-05 11:00:00,3992044314.808888,1855490752.8799996
2019-01-05 12:00:00,4930021534.551113,1974012731.6533341
2019-01-05 13:00:00,4808352466.026667,1519876826.7199998
2019-01-05 14:00:00,4368031888.853332,1714493883.3511114
2019-01-05 15:00:00,5095006512.17778,1745497943.679999
2019-01-05 16:00:00,5043604002.95111,2114560617.2711112
2019-01-05 17:00:00,4982055086.959996,3661303936.0799985
2019-01-05 18:00:00,6585406987.866668,5044587825.1911125
2019-01-05 19:00:00,5930867450.9777775,5470235969.8488865
2019-01-05 20:00:00,5296296455.946667,2038168560.5866659
2019-01-05 21:00:00,4447353629.946667,1753146019.4666662
2019-01-05 22:00:00,4354505545.982223,2039927702.551111
2019-01-05 23:00:00,4350889523.84,2163116002.497778
2019-01-06 00:00:00,4159240831.8644066,2057418169.8802269
2019-01-06 01:00:00,3155830833.3244443,1511027111.68
2019-01-06 02:00:00,2741435314.0800004,1416144669.6444442
2019-01-06 03:00:00,3159392137.1466675,1581634860.284445
2019-01-06 04:00:00,2968861608.791112,1962858299.1288893
2019-01-06 05:00:00,3153913349.751111,1870803211.048889
2019-01-06 06:00:00,3292433191.9733324,1876201431.137778
2019-01-06 07:00:00,3793170359.6533337,1542356962.000001
2019-01-06 08:00:00,3422227779.0133348,1755894899.8488896
2019-01-06 09:00:00,4254220694.080001,1534019995.6355562
2019-01-06 10:00:00,4481710902.097776,2110212845.662223
2019-01-06 11:00:00,4304388503.200001,1696753930.3111115
2019-01-06 12:00:00,2623743356.035556,1594826137.404444
2019-01-06 13:00:00,604644325.617778,1242347017.0044446
2019-01-06 14:00:00,630606636.8355558,1637774972.382222
2019-01-06 15:00:00,573665039.8044446,1565284055.048889
2019-01-06 16:00:00,815337318.2399999,1228354154.9600003
2019-01-06 17:00:00,563775888.6488891,1165555599.9377782
2019-01-06 18:00:00,618107285.7866669,1524295728.1688895
2019-01-06 19:00:00,849680249.3066667,1804960813.5644433
2019-01-06 20:00:00,1801274586.097778,1350360218.728889
2019-01-06 21:00:00,4172853134.6311116,1805288334.711112
2019-01-06 22:00:00,5317711052.942222,1877544449.635555
2019-01-06 23:00:00,5097056939.964445,1849586468.5511105
2019-01-07 00:00:00,4249412065.166103,1403730520.19887
2019-01-07 01:00:00,5201532373.946665,1723100698.346666
2019-01-07 02:00:00,657039096.1422222,1326852693.2088883
2019-01-07 03:00:00,938686437.022222,1724355819.573334
2019-01-07 04:00:00,525490193.28888875,1438501955.0666673
2019-01-07 05:00:00,780657951.0488889,1581758944.7288897
2019-01-07 06:00:00,955870218.4266663,1521771529.2799997
2019-01-07 07:00:00,1025018687.804444,1922588586.3466666
2019-01-07 08:00:00,683129461.0311109,1341530330.035556
2019-01-07 09:00:00,884705151.3244451,1429899766.764445
2019-01-07 10:00:00,1032883731.6177783,1483811239.6
2019-01-07 11:00:00,768729280.1866666,1593868449.1555557
2019-01-07 12:00:00,1055179050.5777777,1175183340.4266663
2019-01-07 13:00:00,778355054.8266666,1350456504.5422227
2019-01-07 14:00:00,804941916.0888894,1796860641.9466667
2019-01-07 15:00:00,961916692.4088893,2016922017.7422225
2019-01-07 16:00:00,1197002393.5822225,2312895920.5511103
2019-01-07 17:00:00,892501414.1955554,2926403125.022223
2019-01-07 18:00:00,828552897.6444447,3137502630.2133336
2019-01-07 19:00:00,820346640.1955551,3813796188.3466644
2019-01-07 20:00:00,579802181.0399998,3514971756.711111
2019-01-07 21:00:00,740911956.7644441,2610836336.5066667
2019-01-07 22:00:00,956037181.5733334,2413661884.2933335
2019-01-07 23:00:00,1400855334.5866668,2221425705.5111113
2019-01-08 00:00:00,1163520498.5008407,2614782341.8980403
2019-01-08 01:00:00,1147949066.3022227,2080118074.6133335
2019-01-08 02:00:00,742560686.3555554,2151370874.32
2019-01-08 03:00:00,833400957.8311112,2065153099.4044442
2019-01-08 04:00:00,1047326774.2400001,2258324206.862221
2019-01-08 05:00:00,1264554457.688889,2041717969.1911116
2019-01-08 06:00:00,983184562.9777776,1723419768.5688887
2019-01-08 07:00:00,1315850620.2044444,2034873364.666667
2019-01-08 08:00:00,1277561661.937778,1952170502.5422232
2019-01-08 09:00:00,3305297119.2799993,1884907494.2666667
2019-01-08 10:00:00,3757689608.9511123,1814936075.715556
2019-01-08 11:00:00,3846723416.0977793,1948344316.142222
2019-01-08 12:00:00,3656152660.2844434,1873492818.9155557
2019-01-08 13:00:00,3556088368.382224,2848030569.4755564
2019-01-08 14:00:00,3047025829.2088895,2148525579.5644445
2019-01-08 15:00:00,2586882218.266667,3216549585.9199996
2019-01-08 16:00:00,2641501378.302222,39571230902.986664
2019-01-08 17:00:00,3222759947.6266675,14448869191.57334
2019-01-08 18:00:00,2677410687.0399995,12491600780.506666
2019-01-08 19:00:00,3210067214.2488885,4404436579.6
2019-01-08 20:00:00,4488523276.799999,3876020018.622221
2019-01-08 21:00:00,6970723167.031112,6261081471.262224
2019-01-08 22:00:00,7254329933.920001,7076070355.244441
2019-01-08 23:00:00,7267619983.768887,6888432377.688888
2019-01-09 00:00:00,7253850565.794348,6865464018.015816
2019-01-09 01:00:00,7502770658.213335,6769835526.57778
2019-01-09 02:00:00,7675757646.293333,7003582810.32889
2019-01-09 03:00:00,7476797899.964441,6720262084.035554
2019-01-09 04:00:00,7442606871.360001,7249879386.435556
2019-01-09 05:00:00,7872998585.244443,6815603736.91556
2019-01-09 06:00:00,7968649154.613331,6869200610.524447
2019-01-09 07:00:00,7713451772.39111,7236212487.395555
2019-01-09 08:00:00,7184597981.635553,7371927411.191115
2019-01-09 09:00:00,7673423667.662223,7034293727.946667
2019-01-09 10:00:00,7461270274.64889,6972501631.1822195
2019-01-09 11:00:00,7218992941.386666,6757177643.27111
2019-01-09 12:00:00,7767295523.075559,6965997563.359999
2019-01-09 13:00:00,7664050381.386668,6888597864.479998
2019-01-09 14:00:00,7765783388.951111,7473436114.89778
2019-01-09 15:00:00,7897022041.404444,7653722359.626665
2019-01-09 16:00:00,8663196351.31556,6619095396.497776
2019-01-09 17:00:00,9060960385.395555,6937605298.0977745
2019-01-09 18:00:00,8704364068.551115,6822575505.54667
2019-01-09 19:00:00,9300465404.000002,7046812139.271112
2019-01-09 20:00:00,11644713031.431114,6400571099.742219
2019-01-09 21:00:00,5316456149.742221,3185418640.186666
2019-01-09 22:00:00,8889268358.648886,3122023077.1199985
2019-01-09 23:00:00,7478956665.013336,5449705062.24889
2019-01-10 00:00:00,7922581437.505088,4335606171.444068
2019-01-10 01:00:00,3862768669.7066665,3300877916.684444
2019-01-10 02:00:00,3652092094.88,2356005536.631111
2019-01-10 03:00:00,5112404655.093334,1903215877.2888887
2019-01-10 04:00:00,12006954607.46667,1825336031.2266672
2019-01-10 05:00:00,14151634589.333338,2028790785.057777
