time,in,out
2019-01-01 09:00:00,11773500024.204449,8795441189.404448
2019-01-01 10:00:00,11352920057.14667,9953946663.733332
2019-01-01 11:00:00,11120259786.382229,14317759657.91112
2019-01-01 12:00:00,12545779321.235554,14346946337.182222
2019-01-01 13:00:00,10944804909.048893,12843800527.306664
2019-01-01 14:00:00,10318212946.559996,13156046431.306671
2019-01-01 15:00:00,12639290592.37333,13905181494.773329
2019-01-01 16:00:00,12031359518.79111,10923920480.57777
2019-01-01 17:00:00,13594194897.38667,13224767250.577782
2019-01-01 18:00:00,13115808246.08,10262134963.555565
2019-01-01 19:00:00,12477476771.86667,9603251771.697784
2019-01-01 20:00:00,11977427548.079996,9420122702.03555
2019-01-01 21:00:00,10961527995.119999,11189697055.146664
2019-01-01 22:00:00,11192755119.74222,13171664808.25777
2019-01-01 23:00:00,10486047526.960003,13640641267.404448
2019-01-02 00:00:00,10833765925.568357,11798603273.835037
2019-01-02 01:00:00,17705261096.231102,12215262029.973331
2019-01-02 02:00:00,14645293022.613333,13266754550.408895
2019-01-02 03:00:00,17672096694.91556,14118471700.693333
2019-01-02 04:00:00,17494340685.55556,15106104091.200003
2019-01-02 05:00:00,22354651071.884426,17069092131.271114
2019-01-02 06:00:00,21123040024.435547,23021706072.195557
2019-01-02 07:00:00,20366699449.32445,21961968604.657787
2019-01-02 08:00:00,18014971147.92889,17571679327.164444
2019-01-02 09:00:00,19240254562.82667,14054438227.226671
2019-01-02 10:00:00,18740282861.12,16428005056.213337
2019-01-02 11:00:00,17677284475.70667,15430677936.026669
2019-01-02 12:00:00,16539987023.333332,17434273326.026672
2019-01-02 13:00:00,15898339653.031118,18045171675.06667
2019-01-02 14:00:00,15537277533.600004,17838668381.813335
2019-01-02 15:00:00,15309446440.480001,16790411884.320002
2019-01-02 16:00:00,16700534129.964443,15393916726.417776
2019-01-02 17:00:00,18812197529.777782,18579189992.38221
2019-01-02 18:00:00,16340693116.417784,14213976026.57778
2019-01-02 19:00:00,17920716925.57333,18832074047.955555
2019-01-02 20:00:00,17584609748.168888,21621549628.90666
2019-01-02 21:00:00,13843056050.275564,18248953886.83556
2019-01-02 22:00:00,13621920267.493328,16412006345.41335
2019-01-02 23:00:00,12943496474.266666,15632106999.573334
2019-01-03 00:00:00,14310000282.892656,16402248072.045195
2019-01-03 01:00:00,14497266027.68889,13889320024.826668
2019-01-03 02:00:00,14220602309.884441,17928897413.77778
2019-01-03 03:00:00,13695136930.08889,20542519873.955563
2019-01-03 04:00:00,11820558695.351107,16176591940.853336
2019-01-03 05:00:00,12346298218.444439,14229635364.373331
2019-01-03 06:00:00,11696111124.631107,16946605323.484442
2019-01-03 07:00:00,11629869617.85778,20263735893.475567
2019-01-03 08:00:00,12294234367.333336,22622146129.30668
2019-01-03 09:00:00,15195959810.355556,21202114896.72889
2019-01-03 10:00:00,14341471052.906664,22594525646.73778
2019-01-03 11:00:00,15759347647.200008,21919250606.719997
2019-01-03 12:00:00,16423952708.257772,20861281270.29334
2019-01-03 13:00:00,16499082884.302227,25132883423.759995
2019-01-03 14:00:00,15471679947.279995,21800976848.577778
2019-01-03 15:00:00,13705606636.311115,25599855074.568882
2019-01-03 16:00:00,13305427912.648886,22304405941.01333
2019-01-03 17:00:00,14162125725.191105,17436191011.511105
2019-01-03 18:00:00,11584583983.884447,19584480780.59556
2019-01-03 19:00:00,11858005265.528893,15947134361.617779
2019-01-03 20:00:00,14978477668.55111,23561985013.23557
2019-01-03 21:00:00,13765772286.84444,23298884083.422226
2019-01-03 22:00:00,14240259675.831112,23545907253.30666
2019-01-03 23:00:00,16527174870.435553,20596256890.915554
2019-01-04 00:00:00,17729933456.397736,21370060971.57062
2019-01-04 01:00:00,19139914404.462227,19741335798.168896
2019-01-04 02:00:00,16850068567.422222,18574952797.715553
2019-01-04 03:00:00,17408593471.688885,17739325173.52
2019-01-04 04:00:00,16379686700.035559,22289025932.73778
2019-01-04 05:00:00,19814068289.786667,17567783112.586666
2019-01-04 06:00:00,19336821445.1911,21400260892.862225
2019-01-04 07:00:00,13972964451.920008,22942409214.328876
2019-01-04 08:00:00,15470655593.76,21523643302.524452
2019-01-04 09:00:00,18315536890.080006,25376834547.671097
2019-01-04 10:00:00,18902675059.742214,26190256084.18667
2019-01-04 11:00:00,11682928134.773336,19017658006.880005
2019-01-04 12:00:00,13553088242.986668,19728489189.21777
2019-01-04 13:00:00,18056358936.96,17145142695.191114
2019-01-04 14:00:00,24620258146.91555,16952692828.728886
2019-01-04 15:00:00,17271284395.564445,22000714954.364445
2019-01-04 16:00:00,13912714700.622225,23927985656.142216
2019-01-04 17:00:00,12908721731.33334,17482643518.28445
2019-01-04 18:00:00,16606851142.782228,19963917294.871105
2019-01-04 19:00:00,14276435919.813332,17370884703.164444
2019-01-04 20:00:00,14601601573.24445,18147200236.19555
2019-01-04 21:00:00,13287522911.359995,19495429687.759987
2019-01-04 22:00:00,13766254379.946665,22148338755.893326
2019-01-04 23:00:00,14078103525.13777,27876894067.626667
2019-01-05 00:00:00,13324304035.651981,28523330191.56611
2019-01-05 01:00:00,15518245667.022224,29143216370.488907
2019-01-05 02:00:00,16335113474.00889,27337869118.666668
2019-01-05 03:00:00,16551050358.888885,29335796556.755554
2019-01-05 04:00:00,18721767469.680004,24600463745.004436
2019-01-05 05:00:00,17083679185.946672,19550424523.90222
2019-01-05 06:00:00,21527211383.048893,13593435872.693336
2019-01-05 07:00:00,19504800192.42667,14603708326.328886
2019-01-05 08:00:00,19082512784.73778,20354848281.77777
2019-01-05 09:00:00,13885719440.631105,14996574800.46222
2019-01-05 10:00:00,14552795680.755552,12168424999.839993
2019-01-05 11:00:00,15423587330.888895,14505827641.44
2019-01-05 12:00:00,13235256825.706667,15580568575.164442
2019-01-05 13:00:00,11763654211.573336,9844090821.43111
2019-01-05 14:00:00,14589032024.880001,12560501951.324444
2019-01-05 15:00:00,12990758469.395555,16613819247.733335
2019-01-05 16:00:00,12100496105.733334,13612360681.084444
2019-01-05 17:00:00,14515454961.04,15590787261.120003
2019-01-05 18:00:00,13371293312.862219,14526322378.311117
2019-01-05 19:00:00,17433322643.431114,13121097497.875559
2019-01-05 20:00:00,15284266101.34222,15367768420.586664
2019-01-05 21:00:00,15359550999.52889,15635438166.951115
2019-01-05 22:00:00,15765402824.791105,11299187500.702227
2019-01-05 23:00:00,17664712898.017776,16674616593.564445
2019-01-06 00:00:00,17537913773.776276,18927058753.73559
2019-01-06 01:00:00,18459667252.79111,15896604688.248892
2019-01-06 02:00:00,15651456561.288897,14597233367.004446
2019-01-06 03:00:00,17596695539.111103,18781126261.431114
2019-01-06 04:00:00,16367935639.33333,20246411523.11111
2019-01-06 05:00:00,15863204728.33777,18419820327.884445
2019-01-06 06:00:00,16391838665.146662,18985483555.45777
2019-01-06 07:00:00,16840830956.026676,19242760112.062214
2019-01-06 08:00:00,14779519928.462225,15252881950.62222
2019-01-06 09:00:00,14506277042.577772,12139072621.991117
2019-01-06 10:00:00,15198824413.377771,16830044735.564447
2019-01-06 11:00:00,16500906752.177774,13247267936.444447
2019-01-06 12:00:00,15491852732.02667,18104580853.502216
2019-01-06 13:00:00,14322364340.391106,15828070300.08
2019-01-06 14:00:00,16492028755.555563,14885858860.453339
2019-01-06 15:00:00,15789083617.27111,13394846979.38666
2019-01-06 16:00:00,18763571740.337784,14135227727.804443
2019-01-06 17:00:00,16629678030.444447,12303600456.24
2019-01-06 18:00:00,19436760647.271107,12348489377.617777
2019-01-06 19:00:00,18059247487.920002,13337920640.311115
2019-01-06 20:00:00,20448466427.32445,14660226266.488892
2019-01-06 21:00:00,12955606907.839998,15224129527.102224
2019-01-06 22:00:00,12780733716.168894,15379263819.191113
2019-01-06 23:00:00,15168859196.435556,13943967436.968893
2019-01-07 00:00:00,18900351012.98078,13084089874.52203
2019-01-07 01:00:00,24027795367.111107,9345345517.946665
2019-01-07 02:00:00,16304091583.09333,11090521028.675558
2019-01-07 03:00:00,11320344383.253336,7428385361.324444
2019-01-07 04:00:00,13935426692.844446,10208693513.937775
2019-01-07 05:00:00,16612650206.86222,11338942142.524448
2019-01-07 06:00:00,16300721758.177774,11246361087.679996
2019-01-07 07:00:00,16325622503.911108,8468341369.964444
2019-01-07 08:00:00,17450079264.195557,7816493016.062223
2019-01-07 09:00:00,22518693022.26667,8766104876.151115
