time,in,out
2019-01-01 09:00:00,36034932.210694455,8289590.225833338
2019-01-01 10:00:00,38494813.61513889,3482670.1990277776
2019-01-01 11:00:00,4241538.892638889,288247.4506944444
2019-01-01 12:00:00,5088399.983333335,59146900.62291666
2019-01-01 13:00:00,85843332.42944445,50978590.94222221
2019-01-01 14:00:00,8824576.248055555,45336418.57444442
2019-01-01 15:00:00,4927075.280000005,325080.86000000004
2019-01-01 16:00:00,211126.6709722223,2460633.2637499995
2019-01-01 17:00:00,81823391.57541667,4196703.999444445
2019-01-01 18:00:00,101296503.83513886,6309426.651805555
2019-01-01 19:00:00,9233664.595833333,89466031.26944442
2019-01-01 20:00:00,3993966.7434722213,3041396.653472222
2019-01-01 21:00:00,242725.5027777777,2661825.9384722235
2019-01-01 22:00:00,4641714.32361111,46924513.66666667
2019-01-01 23:00:00,5531096.904166666,105741672.48569444
2019-01-02 00:00:00,46002783.91271188,7072397.388418079
2019-01-02 01:00:00,88334224.5745833,53049385.50541665
2019-01-02 02:00:00,63758636.38819444,3620548.644583333
2019-01-02 03:00:00,148157.86000000002,36864472.08222222
2019-01-02 04:00:00,5203748.946944449,48394358.3672222
2019-01-02 05:00:00,10691617.531805558,8138367.9330555545
2019-01-02 06:00:00,4084845.6666666684,1577568.2515277783
2019-01-02 07:00:00,79681349.17305554,6141469.281388889
2019-01-02 08:00:00,46878479.02680555,54034724.843055554
2019-01-02 09:00:00,36341650.066527754,134933.14361111104
2019-01-02 10:00:00,4139644.0062499996,56597078.412083335
2019-01-02 11:00:00,53989437.96222221,42013104.29569443
2019-01-02 12:00:00,40781812.061250046,4248509.297499999
2019-01-02 13:00:00,2534434.047777776,3905473.4977777773
2019-01-02 14:00:00,48528722.813888885,53103173.47958334
2019-01-02 15:00:00,53997367.595694445,3323711.9430555557
2019-01-02 16:00:00,67223323.28666666,5581100.8877777755
2019-01-02 17:00:00,48928829.8098611,96277906.1661111
2019-01-02 18:00:00,18584278.803750005,44290718.28861112
2019-01-02 19:00:00,48464023.01513888,53074175.9798611
2019-01-02 20:00:00,17932957.76458333,8390666.055277776
2019-01-02 21:00:00,7642700.7301388895,264705.9769444445
2019-01-02 22:00:00,55742462.954166636,7533554.9522222215
2019-01-02 23:00:00,162100.56958333336,52418422.86277776
2019-01-03 00:00:00,48934383.27471752,3550741.1262711864
2019-01-03 01:00:00,49679712.18041666,43924577.94486112
2019-01-03 02:00:00,42257012.01527775,363044.02430555556
2019-01-03 03:00:00,7459550.522916663,45525956.243055575
2019-01-03 04:00:00,44052699.270138904,56197697.451666676
2019-01-03 05:00:00,88640577.2884722,97796794.64249998
2019-01-03 06:00:00,3334638.5124999965,46468689.41319446
2019-01-03 07:00:00,10559607.037222223,8317210.60361111
2019-01-03 08:00:00,20488297.609583355,86836226.56777777
2019-01-03 09:00:00,2879270.7027777783,218857.08708333338
2019-01-03 10:00:00,102761057.61277778,58900703.124305554
2019-01-03 11:00:00,3914151.316388889,3741597.647222222
2019-01-03 12:00:00,8357089.488194442,496246.81194444455
2019-01-03 13:00:00,5312033.766944447,4068381.2700000033
2019-01-03 14:00:00,48847990.89013888,53307944.962222196
2019-01-03 15:00:00,2212318.964583333,196355.2448611111
2019-01-03 16:00:00,61023598.913472205,95553092.23041663
2019-01-03 17:00:00,47043599.87097222,2022822.7083333335
2019-01-03 18:00:00,42631438.351527795,56437094.0090278
2019-01-03 19:00:00,7510589.145416666,1783216.358055556
2019-01-03 20:00:00,56445377.55027778,51955921.544027805
2019-01-03 21:00:00,7494899.572083335,4451147.045833333
2019-01-03 22:00:00,42111660.27652777,4252119.787083331
2019-01-03 23:00:00,2863516.4397222223,142337980.7036111
2019-01-04 00:00:00,8051043.878813553,9168143.308050849
2019-01-04 01:00:00,311306.3662499999,4130661.4198611095
2019-01-04 02:00:00,91508032.52402776,41935202.40027777
2019-01-04 03:00:00,5300862.685277777,377792.17041666654
2019-01-04 04:00:00,80797561.48180558,47700930.58930556
2019-01-04 05:00:00,4493234.617638889,3936636.603472221
2019-01-04 06:00:00,44019148.817777775,53109214.96055556
2019-01-04 07:00:00,4939103.679583331,56666731.65861111
2019-01-04 08:00:00,541965.3658333333,59913112.27305554
2019-01-04 09:00:00,3538788.2197222193,89101122.65277776
2019-01-04 10:00:00,8703499.01013889,77193101.97194451
2019-01-04 11:00:00,11445177.64597222,35356852.550277784
2019-01-04 12:00:00,85719176.48138888,57402472.71500002
2019-01-04 13:00:00,44034155.10597222,3539243.9933333336
2019-01-04 14:00:00,46401101.08972224,58828881.089861155
2019-01-04 15:00:00,797260.8038888891,83881980.73597221
2019-01-04 16:00:00,6381517.130833332,5255807.235833332
2019-01-04 17:00:00,50491163.215416685,558370.7229166665
2019-01-04 18:00:00,106167834.2594444,43451961.54875001
2019-01-04 19:00:00,9597869.499444446,4170194.9734722218
2019-01-04 20:00:00,6265744.373055554,4480048.264861111
2019-01-04 21:00:00,4243409.850277778,156766157.5865278
2019-01-04 22:00:00,81382451.92847224,56883408.05472223
2019-01-04 23:00:00,8305609.17986111,3526359.934444444
2019-01-05 00:00:00,41321523.00112995,4330449.502966102
2019-01-05 01:00:00,5003109.930277777,4638866.582222221
2019-01-05 02:00:00,44104848.65208332,42713424.32777777
2019-01-05 03:00:00,4653787.386527778,315116.50333333324
2019-01-05 04:00:00,90414048.34333332,8839841.663055558
2019-01-05 05:00:00,189127.40805555557,90737670.10208338
2019-01-05 06:00:00,5150138.966944439,100197922.45680556
2019-01-05 07:00:00,53418278.99541667,4691459.914444447
2019-01-05 08:00:00,322149.52430555533,4384565.750277778
2019-01-05 09:00:00,94539321.19486111,56053989.72708333
2019-01-05 10:00:00,42854231.96347223,4162659.6375
2019-01-05 11:00:00,4799254.1611111155,58434826.58555555
2019-01-05 12:00:00,120450.35972222226,103360.25194444442
2019-01-05 13:00:00,11055502.840000013,90378610.72749995
2019-01-05 14:00:00,38423007.46333333,6872457.139027777
2019-01-05 15:00:00,4859123.745416669,338129.6277777776
2019-01-05 16:00:00,90710989.92736112,55471087.87888889
2019-01-05 17:00:00,94723861.65541673,146631921.7098611
2019-01-05 18:00:00,5542791.111249999,7098859.153055555
2019-01-05 19:00:00,5229033.342638889,3992543.772500001
2019-01-05 20:00:00,162846.2108333334,51819120.84763887
2019-01-05 21:00:00,92623626.1693055,7431529.640416662
2019-01-05 22:00:00,5548881.751805559,58074819.035000004
2019-01-05 23:00:00,96910154.17277779,55729344.83250005
2019-01-06 00:00:00,5406165.947033898,37756796.55918079
2019-01-06 01:00:00,5576910.91597222,7788791.154722224
2019-01-06 02:00:00,10077234.909861114,57211611.85847221
2019-01-06 03:00:00,5706070.9002777785,2766285.683472222
2019-01-06 04:00:00,350661.4394444443,55276711.80180555
2019-01-06 05:00:00,6237882.862777778,436969.25541666656
2019-01-06 06:00:00,139372231.95263878,55878132.17180555
2019-01-06 07:00:00,45413584.93666665,3890821.6202777764
2019-01-06 08:00:00,9835624.313472219,47441240.5125
2019-01-06 09:00:00,86070128.7401389,4834142.460972222
2019-01-06 10:00:00,49054066.35944445,4413883.3575
2019-01-06 11:00:00,5367456.3727777805,55137339.604583316
2019-01-06 12:00:00,2761466.9666666677,52890965.03486111
2019-01-06 13:00:00,4471963.960972221,54754169.373333305
2019-01-06 14:00:00,5249313.263472224,52007532.51333331
2019-01-06 15:00:00,42395867.482638866,4792888.597777778
2019-01-06 16:00:00,10188383.786388885,4455893.409166668
2019-01-06 17:00:00,5506550.72111111,37604560.755
2019-01-06 18:00:00,96455880.08527778,3668056.9555555563
2019-01-06 19:00:00,9875963.89138889,7884114.454444444
2019-01-06 20:00:00,49061196.001944445,51753809.17972227
2019-01-06 21:00:00,388363.9525,56096601.76875002
2019-01-06 22:00:00,89628512.43541665,659983.7681944438
2019-01-06 23:00:00,293367.34847222216,3856260.0933333323
2019-01-07 00:00:00,49453208.96299438,42000847.86341808
2019-01-07 01:00:00,5673261.02472222,40303818.588055566
2019-01-07 02:00:00,11372453.23111111,4418759.711944445
2019-01-07 03:00:00,5669143.186527776,372178.290972222
2019-01-07 04:00:00,49529928.17638888,8176653.513611111
2019-01-07 05:00:00,86159065.64124998,85308112.88291667
2019-01-07 06:00:00,336472.5131944442,57790243.480416656
2019-01-07 07:00:00,5665624.473333331,50792260.821527794
2019-01-07 08:00:00,10658796.933888886,59198185.85194445
2019-01-07 09:00:00,80438376.15444444,3567325.4833333315
2019-01-07 10:00:00,10113574.537361108,4083934.4006944443
2019-01-07 11:00:00,36083324.99000001,128297.07902777779
2019-01-07 12:00:00,9142924.12611111,57091276.79736109
2019-01-07 13:00:00,461978.49916666676,7814391.991249999
2019-01-07 14:00:00,4506256.609444442,89855257.52847223
2019-01-07 15:00:00,46721880.39472222,3711952.0290277777
2019-01-07 16:00:00,955145.43375,151550.00125000003
2019-01-07 17:00:00,46801654.08874999,55540800.333611116
2019-01-07 18:00:00,9818637.891111108,4475215.715138891
2019-01-07 19:00:00,101274494.5734722,130607598.41236112
2019-01-07 20:00:00,412410.4709722223,1868595.6409722224
2019-01-07 21:00:00,132044626.80236116,57161844.32819443
2019-01-07 22:00:00,4331121.584722222,37087140.10361113
2019-01-07 23:00:00,2919301.5801388896,3372251.818749998
2019-01-08 00:00:00,5207440.675141244,61011568.259463295
2019-01-08 01:00:00,5932390.077083334,3838789.775138889
2019-01-08 02:00:00,44063188.27541668,153084.36902777784
2019-01-08 03:00:00,9629534.169861114,3903350.0411111093
2019-01-08 04:00:00,5481597.982777778,95748074.83472222
2019-01-08 05:00:00,47572032.32527776,54167502.60583337
2019-01-08 06:00:00,302638.7619444445,3839611.354305556
2019-01-08 07:00:00,79758865.71999995,51450137.68486113
2019-01-08 08:00:00,58470401.41513889,55320339.065972194
2019-01-08 09:00:00,47742685.518888906,56984986.706250004
2019-01-08 10:00:00,56640786.07805558,2046110.4030555557
2019-01-08 11:00:00,3311655.876249999,56243534.34388889
2019-01-08 12:00:00,81645731.62236111,169953.0108333333
2019-01-08 13:00:00,7880347.566111111,57843551.804861136
2019-01-08 14:00:00,607144.7508333332,36462102.334305555
2019-01-08 15:00:00,46204725.780416675,92271755.60500003
2019-01-08 16:00:00,15595930.81513889,49588622.34902778
2019-01-08 17:00:00,53596396.12666668,429204.4215277778
2019-01-08 18:00:00,6089810.224583336,1953922.7820833332
2019-01-08 19:00:00,103598773.98722218,55608156.68972222
2019-01-08 20:00:00,47637109.86874996,461464.5386111111
