time,in,out
2019-01-01 09:00:00,8286338.156631947,6189537.152083334
2019-01-01 10:00:00,6098330.997361113,33332637.34625001
2019-01-01 11:00:00,349596.2054513889,56139268.600902766
2019-01-01 12:00:00,34590074.53232639,5052003.617638894
2019-01-01 13:00:00,161358666.28322917,105056346.71791664
2019-01-01 14:00:00,8576308.466666667,8774515.548055556
2019-01-01 15:00:00,347537.51097222226,4900190.024930553
2019-01-01 16:00:00,2523833.970243057,47118780.22909718
2019-01-01 17:00:00,4172033.1159722237,42992348.075624995
2019-01-01 18:00:00,6244678.617430557,4376729.591944441
2019-01-01 19:00:00,85970709.57218753,9230606.976875
2019-01-01 20:00:00,3135348.927881943,105608575.67013885
2019-01-01 21:00:00,41067340.0133333,231775.6006944445
2019-01-01 22:00:00,10195550.612465274,4591614.379513889
2019-01-01 23:00:00,44460568.689548634,5453378.021250001
2019-01-02 00:00:00,7052072.02930791,7694732.901271183
2019-01-02 01:00:00,44184727.42461806,130872.92201388879
2019-01-02 02:00:00,3608720.2503472213,49188506.52944443
2019-01-02 03:00:00,114363.90291666672,90544.24458333333
2019-01-02 04:00:00,45829599.444965295,57374112.40770834
2019-01-02 05:00:00,83744387.14329864,10772202.431874998
2019-01-02 06:00:00,1603898.937534723,4065820.622847224
2019-01-02 07:00:00,42356607.733506955,52030021.20006946
2019-01-02 08:00:00,48514253.57986112,101854146.52680553
2019-01-02 09:00:00,116550.8701041667,91552.11291666665
2019-01-02 10:00:00,87181079.33725692,43542262.49513889
2019-01-02 11:00:00,5234355.727916668,9857830.489791665
2019-01-02 12:00:00,4222394.467083334,4024610.5415972215
2019-01-02 13:00:00,45678695.30371526,54828680.85701387
2019-01-02 14:00:00,44370023.756284714,5041838.964027778
2019-01-02 15:00:00,86977242.17795141,56045218.77222221
2019-01-02 16:00:00,5555245.5480555575,19665619.07555556
2019-01-02 17:00:00,479601.62895833334,89682821.06041673
2019-01-02 18:00:00,8430089.373333331,18517066.487916663
2019-01-02 19:00:00,270911.3097916667,4393110.621041666
2019-01-02 20:00:00,8398177.388437498,17919120.24354167
2019-01-02 21:00:00,84293546.11184028,104619975.45673613
2019-01-02 22:00:00,7522541.8200347265,55092430.78930553
2019-01-02 23:00:00,44082594.76788194,38562455.60430555
2019-01-03 00:00:00,3518914.3661016966,4641192.592655367
2019-01-03 01:00:00,7193333.60440972,90020062.24583332
2019-01-03 02:00:00,74757093.33541662,4662780.325277778
2019-01-03 03:00:00,7910220.693611111,55256402.63444442
2019-01-03 04:00:00,41265005.943749994,290809.70319444436
2019-01-03 05:00:00,44624642.20322917,4534542.367638889
2019-01-03 06:00:00,42943788.21847222,3322191.5663194456
2019-01-03 07:00:00,53094731.68958333,104986953.43895836
2019-01-03 08:00:00,4148957.065763889,302030.7070833333
2019-01-03 09:00:00,37485728.818680555,47548402.543124996
2019-01-03 10:00:00,7291851.4212500015,52846504.389374994
2019-01-03 11:00:00,3752762.998263888,3897478.4529861105
2019-01-03 12:00:00,44567712.62298609,46436463.10756944
2019-01-03 13:00:00,4082980.904756944,5295720.3165277755
2019-01-03 14:00:00,44240056.10118055,43530324.561527774
2019-01-03 15:00:00,301781.03409722226,93651463.98854168
2019-01-03 16:00:00,54837944.264652796,9444965.373125
2019-01-03 17:00:00,45749349.500729166,3707893.660208331
2019-01-03 18:00:00,3486847.2632986116,5858352.440347222
2019-01-03 19:00:00,1798131.9579166668,7490346.578541665
2019-01-03 20:00:00,4573477.900416668,61215883.3420833
2019-01-03 21:00:00,27033144.100659736,55392801.18048611
2019-01-03 22:00:00,4287926.867465279,53604976.40006946
2019-01-03 23:00:00,4307658.189652777,94546831.79527774
2019-01-04 00:00:00,82253785.61370057,8110233.336158195
2019-01-04 01:00:00,4146814.9515625006,290369.23958333326
2019-01-04 02:00:00,8689447.211597223,95697195.95187496
2019-01-04 03:00:00,27850837.52767361,58248995.46256943
2019-01-04 04:00:00,7146027.789618054,5004174.385555555
2019-01-04 05:00:00,3917441.0379166664,4507144.190694443
2019-01-04 06:00:00,18493964.123888884,101349643.84812498
2019-01-04 07:00:00,4304584.295833332,4862845.898819443
2019-01-04 08:00:00,8390792.447152784,486741.1771527778
2019-01-04 09:00:00,46965500.88131943,49591879.17354168
2019-01-04 10:00:00,8553238.568159722,8637492.78131945
2019-01-04 11:00:00,344671.11861111113,4655095.270347224
2019-01-04 12:00:00,4555857.802395834,41976127.866180524
2019-01-04 13:00:00,15430182.116319444,51880619.67659725
2019-01-04 14:00:00,12304461.55395833,58446868.64833334
2019-01-04 15:00:00,177419.95260416673,52265550.76083334
2019-01-04 16:00:00,12122270.851006942,59723056.28854168
2019-01-04 17:00:00,585808.3146180558,46197958.260833345
2019-01-04 18:00:00,45120640.31527778,62172368.643680535
2019-01-04 19:00:00,43541977.96062496,9615758.550694441
2019-01-04 20:00:00,4524912.839166663,45612500.2470139
2019-01-04 21:00:00,84041225.76868056,4168908.347986111
2019-01-04 22:00:00,3955881.0660069436,53201204.83999999
2019-01-04 23:00:00,44874430.64999999,60622820.03527778
2019-01-05 00:00:00,4309943.766207626,3021337.0977401123
2019-01-05 01:00:00,87857261.88666667,58469875.858263895
2019-01-05 02:00:00,50310930.58927085,93048380.43090276
2019-01-05 03:00:00,334615.31319444446,4629146.111458334
2019-01-05 04:00:00,44888908.492118046,10233841.728888886
2019-01-05 05:00:00,153424.30170138896,45853099.01284723
2019-01-05 06:00:00,3964930.6223263894,97480449.42548606
2019-01-05 07:00:00,85044837.26093751,9115087.853750002
2019-01-05 08:00:00,42867900.7295486,93251846.61611113
2019-01-05 09:00:00,46167616.94184028,9885774.146874996
2019-01-05 10:00:00,4138145.5453125,6120037.502222223
2019-01-05 11:00:00,4666456.9476041645,4737114.215138887
2019-01-05 12:00:00,118451.58118055553,105623.41847222227
2019-01-05 13:00:00,86547952.81628473,11031463.177777786
2019-01-05 14:00:00,6995223.859305555,186981467.39284718
2019-01-05 15:00:00,44425535.98586807,55839013.97430556
2019-01-05 16:00:00,3774221.9886458325,8599170.594375001
2019-01-05 17:00:00,40812205.05663195,4134739.9500694466
2019-01-05 18:00:00,7113129.061562498,5526165.097361113
2019-01-05 19:00:00,43374044.08791665,5243701.822708334
2019-01-05 20:00:00,154603.92565972215,39495653.568263896
2019-01-05 21:00:00,51301419.822361104,11299888.31104167
2019-01-05 22:00:00,48319960.12093749,56934559.617847234
2019-01-05 23:00:00,4644174.04076389,46758249.44194444
2019-01-06 00:00:00,42704406.17683617,51268292.4368644
2019-01-06 01:00:00,7879686.20246528,95922277.59145837
2019-01-06 02:00:00,4326991.583715277,10027002.082777774
2019-01-06 03:00:00,42209374.45493055,53419263.14666666
2019-01-06 04:00:00,40356974.196805574,325022.9378472223
2019-01-06 05:00:00,48600326.291215286,6289069.492500001
2019-01-06 06:00:00,4237796.311458333,43219483.965763904
2019-01-06 07:00:00,47997388.8387847,57017065.8673611
2019-01-06 08:00:00,10183105.407430548,9814686.87861112
2019-01-06 09:00:00,41691361.94840278,111114225.61875
2019-01-06 10:00:00,4375137.355763889,5234921.514861113
2019-01-06 11:00:00,48094663.81743058,5325218.824305563
2019-01-06 12:00:00,120837.99472222225,110923.13583333332
2019-01-06 13:00:00,87114796.00701386,4496843.16576389
2019-01-06 14:00:00,50045226.07694443,5227289.176111111
2019-01-06 15:00:00,4774826.554999999,4762198.116250002
2019-01-06 16:00:00,4499621.061388888,63100364.22354166
2019-01-06 17:00:00,4401791.183541669,51153182.86993055
2019-01-06 18:00:00,3616856.411319444,261481.83680555545
