time,in,out
2019-01-01 09:00:00,8748741438.968884,11913889721.564447
2019-01-01 10:00:00,9907864086.746664,11425076136.124445
2019-01-01 11:00:00,14379558947.911114,11160269923.60889
2019-01-01 12:00:00,14362212258.986668,12776841356.071114
2019-01-01 13:00:00,12593653062.435555,11172548939.022224
2019-01-01 14:00:00,12969791329.84,10417818228.017782
2019-01-01 15:00:00,13966530569.137774,12807919045.795555
2019-01-01 16:00:00,10951336385.92,12094718850.364447
2019-01-01 17:00:00,13189592260.90666,13804233668.622221
2019-01-01 18:00:00,10250966298.720007,13514532044.355556
2019-01-01 19:00:00,9608401006.168892,12719239324.817776
2019-01-01 20:00:00,9452070658.017778,12143530576.231106
2019-01-01 21:00:00,11201076194.213327,11098824852.888887
2019-01-01 22:00:00,13163371529.288885,11224452383.537779
2019-01-01 23:00:00,13562668652.4,10624609269.564445
2019-01-02 00:00:00,11659202191.945766,11096655199.999998
2019-01-02 01:00:00,12273835252.853336,18065795969.68889
2019-01-02 02:00:00,13231793917.457783,14882461388.782219
2019-01-02 03:00:00,14076593097.38667,17882975161.368885
2019-01-02 04:00:00,15287492520.506662,17756586938.506664
2019-01-02 05:00:00,17162177284.915554,22590457900.60444
2019-01-02 06:00:00,23003300643.831112,21189683230.50666
2019-01-02 07:00:00,21798798205.617764,20443647535.59111
2019-01-02 08:00:00,17548059471.671116,18107647243.982224
2019-01-02 09:00:00,13981231490.862223,19458052887.662212
2019-01-02 10:00:00,16398228637.484455,19095997467.73333
2019-01-02 11:00:00,15632933024.826668,18581675428.177776
2019-01-02 12:00:00,17388073296.640003,17688314375.377773
2019-01-02 13:00:00,18199742249.46667,17546898994.91556
2019-01-02 14:00:00,17629201224.062218,17522673005.848896
2019-01-02 15:00:00,16613057445.200003,17467463996.959995
2019-01-02 16:00:00,14782018503.386665,18938807233.04888
2019-01-02 17:00:00,17914466587.653336,20933184241.902214
2019-01-02 18:00:00,13608993769.235565,18471800999.608887
2019-01-02 19:00:00,21242452137.07555,19996209096.586666
2019-01-02 20:00:00,24267383317.048878,19590447087.377773
2019-01-02 21:00:00,17916473828.906666,15284294273.831114
2019-01-02 22:00:00,15999869281.564453,14610785821.937778
2019-01-02 23:00:00,15097105760.91556,13470157888.622215
2019-01-03 00:00:00,15925183905.211302,14702537646.029379
2019-01-03 01:00:00,13706144780.586678,14879098893.688892
2019-01-03 02:00:00,17618245128.16,14636640096.337772
2019-01-03 03:00:00,20715700869.85778,14033786263.608892
2019-01-03 04:00:00,16071475311.111103,12067407090.115551
2019-01-03 05:00:00,14226435948.746674,12855450375.02222
2019-01-03 06:00:00,16836038873.075558,11898023925.29778
2019-01-03 07:00:00,20328607199.697777,11908218432.67555
2019-01-03 08:00:00,22666385942.275555,12378660903.057777
2019-01-03 09:00:00,21088774333.928894,15303918785.511108
2019-01-03 10:00:00,22530927027.359997,14638501087.200005
2019-01-03 11:00:00,21832695268.924454,16689500248.391113
2019-01-03 12:00:00,20974706137.466663,17871094704.53333
2019-01-03 13:00:00,25323909815.395546,18156874921.52889
2019-01-03 14:00:00,21657062072.071106,17321229056.37333
2019-01-03 15:00:00,25743578514.755558,15571424715.377775
2019-01-03 16:00:00,21983565536.66667,15570905931.182222
2019-01-03 17:00:00,17141171062.675549,16413307869.19111
2019-01-03 18:00:00,19102654697.72444,13696781776.071115
2019-01-03 19:00:00,14966003470.22222,14077598535.982218
2019-01-03 20:00:00,21618043562.49777,17153938361.351107
2019-01-03 21:00:00,22092957370.479992,15304915456.72889
2019-01-03 22:00:00,20519482706.257767,14899474455.928892
2019-01-03 23:00:00,19543017518.8711,16652022371.022223
2019-01-04 00:00:00,20675726828.564976,17969994753.807907
2019-01-04 01:00:00,18632407966.017784,19383620795.235558
2019-01-04 02:00:00,17852680315.95556,16849662430.719994
2019-01-04 03:00:00,16404566369.235556,17573206755.92889
2019-01-04 04:00:00,22207852098.897774,16454767901.315557
2019-01-04 05:00:00,17827150911.448902,19956390816.871105
2019-01-04 06:00:00,21689959055.528915,19617992444.871105
2019-01-04 07:00:00,23199803875.00444,14103113997.44
2019-01-04 08:00:00,21989550403.91111,15546708836.177778
2019-01-04 09:00:00,25848789077.52001,18409797110.364437
2019-01-04 10:00:00,26524616435.404438,18973070014.488873
2019-01-04 11:00:00,19383679561.075546,12130588247.840006
2019-01-04 12:00:00,20269370172.70222,14389118869.368893
2019-01-04 13:00:00,17598881307.457783,19062378290.648888
2019-01-04 14:00:00,17434658268.088894,25956216821.422203
2019-01-04 15:00:00,22149385767.528896,18612031655.359997
2019-01-04 16:00:00,24122981283.591106,15403296533.653343
2019-01-04 17:00:00,17810250642.05333,14259408517.600004
2019-01-04 18:00:00,20472644588.0889,18140849228.444454
2019-01-04 19:00:00,18064177311.63555,15828524978.951107
2019-01-04 20:00:00,19348274127.182224,15955199226.702229
2019-01-04 21:00:00,20835651902.933334,14141514544.195559
2019-01-04 22:00:00,23040762037.53779,14294556113.137775
2019-01-04 23:00:00,28503848679.155563,14698162461.173336
2019-01-05 00:00:00,28301612093.65874,13530294014.481358
