time,in,out
2019-01-01 09:00:00,61571853.22513891,236327.6163194444
2019-01-01 10:00:00,30818492.737083323,119053612.2248611
2019-01-01 11:00:00,7118096.96041667,102324108.3822222
2019-01-01 12:00:00,73220318.77833335,104841676.5240278
2019-01-01 13:00:00,67388028.9338889,11795673.637569446
2019-01-01 14:00:00,2106447.956388889,4457381.812222221
2019-01-01 15:00:00,7663951.323194443,242346.5009027779
2019-01-01 16:00:00,80472425.22388896,134217210.6303472
2019-01-01 17:00:00,11849041.470555553,113059923.81604168
2019-01-01 18:00:00,40116736.83625003,242427.18937499993
2019-01-01 19:00:00,33709277.06833334,62526488.141736105
2019-01-01 20:00:00,24539236.43277776,57870634.697152756
2019-01-01 21:00:00,23200894.712083325,25765537.217430558
2019-01-01 22:00:00,378857.92611111107,123766365.0402778
2019-01-01 23:00:00,135240873.67111114,32209471.88305555
2019-01-02 00:00:00,64080244.762570605,258857.46588983058
2019-01-02 01:00:00,31581129.55875,74429142.42833331
2019-01-02 02:00:00,268874.35402777785,15644429.643750008
2019-01-02 03:00:00,222204.61486111113,213675.8113888889
2019-01-02 04:00:00,7565999.752916668,99699152.18263893
2019-01-02 05:00:00,61394282.24152777,44937981.67027777
2019-01-02 06:00:00,218032.9727777778,1014968.1929166663
2019-01-02 07:00:00,70987022.70097223,137905257.5581945
2019-01-02 08:00:00,35476884.4325,62280164.023472205
2019-01-02 09:00:00,5344321.716944445,244646.46493055543
2019-01-02 10:00:00,59537175.631111115,242262.21652777778
2019-01-02 11:00:00,241395.20319444442,1584145.9454166668
2019-01-02 12:00:00,49055056.90402778,181007507.91583332
2019-01-02 13:00:00,3836179.675555555,16500588.669097232
2019-01-02 14:00:00,2563156.908194446,226751.31958333324
2019-01-02 15:00:00,5489339.172222221,79448655.75145838
2019-01-02 16:00:00,97545847.4638889,135521221.03250006
2019-01-02 17:00:00,32542781.646805547,30918942.65777778
2019-01-02 18:00:00,7692170.880555553,106719431.39791666
2019-01-02 19:00:00,265310.8270833332,30581281.073680565
2019-01-02 20:00:00,32617448.29097223,273246.5180555555
2019-01-02 21:00:00,12265105.09347222,38872960.371736094
2019-01-02 22:00:00,30412514.085138895,49918366.05215276
2019-01-02 23:00:00,363230.4425000001,65779663.201319434
2019-01-03 00:00:00,62242575.62217512,79142802.24837571
2019-01-03 01:00:00,31097958.47777778,37666437.193125
2019-01-03 02:00:00,63139825.730972186,62206944.50805556
2019-01-03 03:00:00,31137542.38763888,58958585.01555554
2019-01-03 04:00:00,9002981.89986111,8582752.250694444
2019-01-03 05:00:00,129924207.66499998,163566504.03527772
2019-01-03 06:00:00,247292.39138888885,65458719.36041665
2019-01-03 07:00:00,5908715.472499998,45859687.06381943
2019-01-03 08:00:00,220445.2086111112,205392.27805555554
2019-01-03 09:00:00,29838689.231250003,31398212.253333323
2019-01-03 10:00:00,273480.10874999996,29773256.57819445
2019-01-03 11:00:00,311228.9065277778,91484435.01326393
2019-01-03 12:00:00,49638426.964861125,104771431.25180559
2019-01-03 13:00:00,34809825.080694444,79102977.72888885
2019-01-03 14:00:00,8176615.040694447,231020.78902777782
2019-01-03 15:00:00,228735.34930555554,5447336.877291666
2019-01-03 16:00:00,30350233.518749993,267735.06756944454
2019-01-03 17:00:00,3240200.6561111114,35802576.38923611
2019-01-03 18:00:00,7160620.088888886,78888853.0011111
2019-01-03 19:00:00,390025.47430555534,17124150.84583333
2019-01-03 20:00:00,61731074.6720833,38638852.007083304
2019-01-03 21:00:00,21187306.660138898,111597456.55805555
2019-01-03 22:00:00,60089665.99555555,43100281.17097223
2019-01-03 23:00:00,12751447.53319444,162580354.80631953
2019-01-04 00:00:00,5407789.618220339,35461809.22182205
2019-01-04 01:00:00,59270537.16263889,7695169.740833334
2019-01-04 02:00:00,35267666.207777776,261789.935763889
2019-01-04 03:00:00,5004602.53972222,34788797.703541666
2019-01-04 04:00:00,6884325.447083333,35926104.720694445
2019-01-04 05:00:00,137046672.47874993,87229076.73833331
2019-01-04 06:00:00,19107133.31680556,52116724.38513889
2019-01-04 07:00:00,17517982.47347222,63300808.589999996
2019-01-04 08:00:00,23284078.880555544,40871312.061805554
2019-01-04 09:00:00,10947396.337916665,274359.4515972222
2019-01-04 10:00:00,40980123.35472222,35033951.75812499
2019-01-04 11:00:00,218509.53430555557,205400.51388888888
2019-01-04 12:00:00,236033.68763888886,8032397.331111112
2019-01-04 13:00:00,5096185.469166666,27799332.928958334
2019-01-04 14:00:00,72830539.74722216,12004132.718888896
2019-01-04 15:00:00,16306465.666944442,171984045.67076382
2019-01-04 16:00:00,69949488.51916665,71857918.85729164
2019-01-04 17:00:00,218906.49722222233,203733.80319444454
2019-01-04 18:00:00,91246305.43499996,18157025.60590278
2019-01-04 19:00:00,13030829.706944447,126696102.21944438
2019-01-04 20:00:00,10331358.672777774,66428431.502986126
2019-01-04 21:00:00,49743545.27000001,66742825.39888889
2019-01-04 22:00:00,2178013.534722221,185292174.68215284
2019-01-04 23:00:00,4199110.2091666665,18280006.67208334
2019-01-05 00:00:00,68230424.46793786,33998321.23467515
2019-01-05 01:00:00,450665.77208333317,73488205.99562499
2019-01-05 02:00:00,46877784.7911111,10690569.326041663
2019-01-05 03:00:00,11253250.737777783,284832.032361111
2019-01-05 04:00:00,65066068.04874999,4403408.895625001
2019-01-05 05:00:00,327952.8458333332,136870472.9222223
2019-01-05 06:00:00,43578695.3886111,88437119.1695139
2019-01-05 07:00:00,57283025.54555555,54451230.324444436
2019-01-05 08:00:00,791236.1423611114,212210.33944444443
2019-01-05 09:00:00,40594562.67722223,306993.9407638888
2019-01-05 10:00:00,3111575.7349999994,70947211.65125
2019-01-05 11:00:00,19479317.85347223,4357035.356180557
2019-01-05 12:00:00,234941.4386111113,19834696.34055554
2019-01-05 13:00:00,69910750.99458332,59336190.1686111
2019-01-05 14:00:00,243471.51749999993,56529947.21319444
2019-01-05 15:00:00,3635049.761250002,208268.53937499996
2019-01-05 16:00:00,55597539.16236113,91638585.61347218
2019-01-05 17:00:00,5767208.161249999,92503259.62416668
2019-01-05 18:00:00,12002158.162916673,61933361.50895835
2019-01-05 19:00:00,24457213.942638878,50610217.57201389
2019-01-05 20:00:00,34209609.23263891,13857767.507569434
2019-01-05 21:00:00,4295245.932222222,50848933.8898611
2019-01-05 22:00:00,136196115.27861112,36139729.688819446
2019-01-05 23:00:00,1166021.2523611116,43028358.31659723
2019-01-06 00:00:00,44253118.096468925,76522406.1954096
2019-01-06 01:00:00,11234508.841111116,2397134.299652778
2019-01-06 02:00:00,30308029.560416672,58614013.421180576
2019-01-06 03:00:00,27843632.121527784,7031924.097430554
2019-01-06 04:00:00,286458.5334722223,95207139.76618057
2019-01-06 05:00:00,95222400.27958338,150583780.99854168
2019-01-06 06:00:00,3847510.5198611105,57831992.68368051
2019-01-06 07:00:00,231749.96305555562,17622825.753888883
2019-01-06 08:00:00,2763645.884722222,2848887.8113888884
2019-01-06 09:00:00,246937.19847222217,62170233.34222221
2019-01-06 10:00:00,83211340.86666664,270306.9829166667
2019-01-06 11:00:00,62206509.27291669,23239725.36666668
2019-01-06 12:00:00,69022644.61180554,4489051.566527775
2019-01-06 13:00:00,101379297.32486108,106923202.57347222
2019-01-06 14:00:00,1792783.624305555,42365838.94173611
2019-01-06 15:00:00,11638148.075416664,109575988.66909723
2019-01-06 16:00:00,3211688.805555557,10782150.09291666
2019-01-06 17:00:00,510087.1534722225,101215437.49770832
2019-01-06 18:00:00,59383258.715972215,82628398.17444439
2019-01-06 19:00:00,21251219.882777777,230561.1922916667
2019-01-06 20:00:00,236238.62527777778,10737727.639930556
2019-01-06 21:00:00,1866768.0765277778,66489996.87041667
2019-01-06 22:00:00,66942425.85930553,41692003.84965278
2019-01-06 23:00:00,251386.2343055555,41474308.695972234
2019-01-07 00:00:00,142126908.65748584,52980794.907485865
2019-01-07 01:00:00,27730204.952500008,73795724.1435416
2019-01-07 02:00:00,921181.4541666667,209475.84569444446
2019-01-07 03:00:00,43065192.165694445,41458842.711319454
2019-01-07 04:00:00,6399208.676944445,31643969.39465277
2019-01-07 05:00:00,71977245.80069445,33608240.30944444
2019-01-07 06:00:00,62466373.80194443,218767.1822916667
2019-01-07 07:00:00,1006157.1795833334,2299235.170277779
2019-01-07 08:00:00,15400134.395277768,153787991.3432639
2019-01-07 09:00:00,233764.30861111108,66548276.17034723
2019-01-07 10:00:00,14663996.897361116,2619058.1436111103
2019-01-07 11:00:00,134367821.04708332,152042918.0972222
2019-01-07 12:00:00,1043400.6601388886,78315174.54104169
2019-01-07 13:00:00,17989474.985833324,251056.37965277777
2019-01-07 14:00:00,10159500.305277782,22205696.454583332
2019-01-07 15:00:00,484624.4209722221,19425334.389999997
2019-01-07 16:00:00,218859.43555555554,205635.84722222222
2019-01-07 17:00:00,11565227.812638886,182707056.17111108
2019-01-07 18:00:00,34045599.10444445,35874912.06861111
2019-01-07 19:00:00,4567879.178194444,39152661.33756943
2019-01-07 20:00:00,5134212.810277775,8920537.183541663
2019-01-07 21:00:00,73972399.6615278,2431587.409930554
2019-01-07 22:00:00,300531.9130555555,83023364.79979163
2019-01-07 23:00:00,80149611.51138887,31296766.481736112
2019-01-08 00:00:00,221967.3024011299,4542219.018997174
2019-01-08 01:00:00,381557.5477777777,191267341.6716667
2019-01-08 02:00:00,30705855.46166666,94029813.21
2019-01-08 03:00:00,73607827.60805555,244495.20861111113
2019-01-08 04:00:00,46934768.93555558,24120578.995555557
2019-01-08 05:00:00,58034551.63722226,177797453.4772223
2019-01-08 06:00:00,3425708.512916667,62218436.15298613
2019-01-08 07:00:00,10254785.076944444,216048.9386805556
2019-01-08 08:00:00,211384.22097222225,202619.47013888886
2019-01-08 09:00:00,211730.32583333337,200048.5065277779
2019-01-08 10:00:00,59927114.97375002,187968451.08576393
2019-01-08 11:00:00,93075259.74500002,44254068.798402786
2019-01-08 12:00:00,37816359.32583335,253869.50187500002
2019-01-08 13:00:00,26626426.44416666,162162374.60868055
2019-01-08 14:00:00,9116536.22152778,32758089.789861098
2019-01-08 15:00:00,459937.5952777779,4366461.637708332
2019-01-08 16:00:00,222067.68597222213,209121.65680555545
2019-01-08 17:00:00,58089718.40680554,133032694.55201386
2019-01-08 18:00:00,33660066.000972204,1351728.299930555
