time,in,out
2019-01-01 09:00:00,93395333.51508684,119500676.69859375
2019-01-01 10:00:00,4050913.591293404,62509029.863906264
2019-01-01 11:00:00,1625547.1753819447,118336225.44135413
2019-01-01 12:00:00,103228408.45988716,38929917.1461111
2019-01-01 13:00:00,7078093.141076385,109500077.62293397
2019-01-01 14:00:00,21866893.426666677,103857567.79722221
2019-01-01 15:00:00,111779205.31978299,77850650.43388887
2019-01-01 16:00:00,22407729.049609378,169155084.13791662
2019-01-01 17:00:00,40983935.922005214,84265788.66022572
2019-01-01 18:00:00,2801291.114696182,17430485.154479165
2019-01-01 19:00:00,46617728.083437495,165595166.45576388
2019-01-01 20:00:00,60155612.66326384,109390257.63729167
2019-01-01 21:00:00,14152629.120104162,44209745.71253471
2019-01-01 22:00:00,58712575.360581614,206177903.85963544
2019-01-01 23:00:00,76692655.85074648,307088476.4895311
2019-01-02 00:00:00,19939871.46666666,52001591.11931495
2019-01-02 01:00:00,36528701.23482636,7599908.276979166
2019-01-02 02:00:00,41411328.68087673,47505259.47265624
2019-01-02 03:00:00,7109356.363211806,17902735.715885423
2019-01-02 04:00:00,53925209.13942706,97318513.18357636
2019-01-02 05:00:00,1576359.8216493058,39475933.17821181
2019-01-02 06:00:00,50326076.60867186,121471407.94236116
2019-01-02 07:00:00,133169711.28243922,62311284.46171873
2019-01-02 08:00:00,19253246.135486115,67230366.50888889
2019-01-02 09:00:00,42085530.67111111,110797169.52996522
2019-01-02 10:00:00,4861055.397916669,92717674.42588548
2019-01-02 11:00:00,1677637.11046875,37552754.68960069
2019-01-02 12:00:00,24127522.072586816,135735038.4836111
2019-01-02 13:00:00,6732935.976866323,95129871.82279515
2019-01-02 14:00:00,122684153.49157116,176153613.06972218
2019-01-02 15:00:00,75972245.93481772,80772131.6266666
2019-01-02 16:00:00,84238403.67641494,99794708.90932293
2019-01-02 17:00:00,71247051.7285677,85838679.95296876
2019-01-02 18:00:00,65462837.211579874,225260286.46071184
2019-01-02 19:00:00,132053847.98121528,57914570.56144099
2019-01-02 20:00:00,57327949.037708335,46672407.54602429
2019-01-02 21:00:00,151040050.95933157,71786147.66302085
