time,in,out
2019-01-01 09:00:00,1052774608.2177783,238872522.2888888
2019-01-01 10:00:00,806303207.2355561,421157728.1088887
2019-01-01 11:00:00,680031539.3399998,379016879.6177778
2019-01-01 12:00:00,692359691.7000002,465984168.73777777
2019-01-01 13:00:00,467711187.2266667,422644053.36222225
2019-01-01 14:00:00,727186329.7822227,380093733.1399999
2019-01-01 15:00:00,684438222.6977776,676633616.9866666
2019-01-01 16:00:00,618537666.0844444,253112679.45333335
2019-01-01 17:00:00,595592538.0355556,342168294.2444446
2019-01-01 18:00:00,604110585.6266664,362268468.70222205
2019-01-01 19:00:00,677745903.8133335,1695333669.3888888
2019-01-01 20:00:00,767351457.6133336,1773269524.8688889
2019-01-01 21:00:00,604607033.691111,652091036.6622221
2019-01-01 22:00:00,758738962.4888891,659527701.0022223
2019-01-01 23:00:00,715750612.0644443,625285966.8177778
2019-01-02 00:00:00,1132092798.3864408,594835390.2011297
2019-01-02 01:00:00,845682469.0666664,482849714.12222207
2019-01-02 02:00:00,707782015.0555555,394893488.7644446
2019-01-02 03:00:00,999711242.3199997,501310232.6466665
2019-01-02 04:00:00,1261500839.8377771,351117243.80444443
2019-01-02 05:00:00,2279428250.3444448,538139487.3133334
2019-01-02 06:00:00,2232097446.2022223,333353252.1044446
2019-01-02 07:00:00,1918081469.395555,301257766.131111
2019-01-02 08:00:00,1557288929.208889,526083088.4888887
2019-01-02 09:00:00,1270707211.9288886,432894712.0511114
2019-01-02 10:00:00,1153168644.7266667,409289128.94444436
2019-01-02 11:00:00,1244182729.3844445,373390917.2911111
2019-01-02 12:00:00,1214224180.748889,490863148.72666657
2019-01-02 13:00:00,1165260532.462222,222730138.72666654
2019-01-02 14:00:00,1078921626.4955556,420290522.56444424
2019-01-02 15:00:00,1226582099.9155548,806390900.0066667
2019-01-02 16:00:00,1123286726.3488894,492075060.84444445
2019-01-02 17:00:00,1313257619.2400002,529481110.47777784
2019-01-02 18:00:00,1344192775.9711108,414397619.2111111
2019-01-02 19:00:00,1522929084.7999997,1704458838.2488887
2019-01-02 20:00:00,1118351109.1266663,2449193888.631112
2019-01-02 21:00:00,945146480.1644441,4251719304.071112
2019-01-02 22:00:00,826559930.3822223,2405318971.722223
2019-01-02 23:00:00,785163841.5799998,514583751.06444454
2019-01-03 00:00:00,829600771.4802258,432957525.335593
2019-01-03 01:00:00,934343819.4266666,372286249.90000004
2019-01-03 02:00:00,798452060.3577777,264947793.1222223
2019-01-03 03:00:00,824240698.9955554,380079966.6755555
2019-01-03 04:00:00,910221358.9955555,196209281.05777785
2019-01-03 05:00:00,942511865.8133332,607432005.8488888
2019-01-03 06:00:00,1104031834.5511107,773540760.4155555
2019-01-03 07:00:00,1230135764.297778,978626963.9377781
2019-01-03 08:00:00,1062226914.5266666,313175572.2355555
2019-01-03 09:00:00,1072727847.5666668,635172900.1955556
2019-01-03 10:00:00,1145147612.3622227,464082738.19777775
2019-01-03 11:00:00,688807856.4266666,444586469.71111107
2019-01-03 12:00:00,874836432.5866668,477223434.9555553
2019-01-03 13:00:00,664292801.9955556,239419582.66444454
2019-01-03 14:00:00,975633567.4466667,228245232.84666675
2019-01-03 15:00:00,673639639.2022225,172769409.15333325
2019-01-03 16:00:00,852638089.571111,455381616.4155554
2019-01-03 17:00:00,1268130176.7422225,218708682.3288888
2019-01-03 18:00:00,1897906578.3866668,392982592.62222224
2019-01-03 19:00:00,1549620184.3355563,1104038610.6044443
2019-01-03 20:00:00,1244171607.4466665,583371717.008889
2019-01-03 21:00:00,1062372682.9577777,344252324.37555546
2019-01-03 22:00:00,824533450.2177777,607132587.5977777
2019-01-03 23:00:00,662476392.7,571227884.0755556
2019-01-04 00:00:00,1095356557.1796608,747001918.7050846
2019-01-04 01:00:00,1029154882.9488887,653896421.3244443
2019-01-04 02:00:00,1521579214.4044442,802951774.7866663
2019-01-04 03:00:00,629431524.3577778,433859639.7444443
2019-01-04 04:00:00,713444600.2511107,786071038.9088887
2019-01-04 05:00:00,720609731.7155557,612398617.115555
2019-01-04 06:00:00,1392338317.8755555,817064305.2711111
2019-01-04 07:00:00,773400004.1733333,852726114.6466663
2019-01-04 08:00:00,898605484.1555554,674417089.6577777
2019-01-04 09:00:00,1104479265.1311104,677647402.8266664
2019-01-04 10:00:00,1231689940.2666662,456978418.7599998
2019-01-04 11:00:00,1419910507.9199998,1964236697.2533333
2019-01-04 12:00:00,2689217547.315556,2385069469.7244444
2019-01-04 13:00:00,2151252417.7799993,1588118042.0844445
2019-01-04 14:00:00,1535115596.2844446,1292202137.5822232
2019-01-04 15:00:00,1974691348.424445,2256307823.624445
2019-01-04 16:00:00,1136669503.1422222,1453900449.3199992
2019-01-04 17:00:00,1281554660.771111,2065940462.1933324
2019-01-04 18:00:00,1377286377.5933332,659236417.6622225
2019-01-04 19:00:00,1713216733.8111105,1196858495.1155558
2019-01-04 20:00:00,1435930058.6733332,1142340527.3555555
2019-01-04 21:00:00,1569441932.6355555,1109289647.8999996
2019-01-04 22:00:00,673205206.0466664,2185333698.4844446
2019-01-04 23:00:00,939488845.2800001,1310962356.626667
2019-01-05 00:00:00,2017827515.446327,977794064.6237291
2019-01-05 01:00:00,937101253.5444443,1086230518.8733332
2019-01-05 02:00:00,842375441.7622219,836417774.5177779
2019-01-05 03:00:00,544551175.6355555,945402320.2177775
2019-01-05 04:00:00,868737086.6933335,678867739.8755555
2019-01-05 05:00:00,1495250399.0555549,776564346.9577777
2019-01-05 06:00:00,1584821595.5955553,592808843.8977778
2019-01-05 07:00:00,959873218.7933329,565069080.5911111
2019-01-05 08:00:00,815492633.0288888,754961577.9111108
2019-01-05 09:00:00,1202062278.8333335,351127702.6133335
2019-01-05 10:00:00,4474037496.395557,763868836.1333331
2019-01-05 11:00:00,1642091519.1888895,599407910.0044442
2019-01-05 12:00:00,976913476.3111113,362786223.74888873
2019-01-05 13:00:00,1582649325.048889,469382883.7888888
2019-01-05 14:00:00,916789789.0333331,1800669463.8133337
2019-01-05 15:00:00,1884218509.3288884,1098706910.988889
2019-01-05 16:00:00,1960670037.0600007,417069255.3066665
2019-01-05 17:00:00,1832760541.7888885,752903430.5666664
2019-01-05 18:00:00,2431577344.7555547,625609459.175556
2019-01-05 19:00:00,3208993524.4111123,702736668.9777782
2019-01-05 20:00:00,1065118591.9822211,734264049.8644443
2019-01-05 21:00:00,1572134557.0977776,1404414930.9244447
2019-01-05 22:00:00,1121089322.093333,1940996224.3444452
2019-01-05 23:00:00,1380611235.4177775,1868454403.146666
2019-01-06 00:00:00,1410864432.3548017,1357575117.181921
2019-01-06 01:00:00,953501595.7733332,1272812208.2422223
2019-01-06 02:00:00,738599794.0133332,449301469.0533334
2019-01-06 03:00:00,1087730725.386667,2471976028.6555552
2019-01-06 04:00:00,554331701.7333331,2450194258.7022233
2019-01-06 05:00:00,953839203.2066665,871857694.1733334
2019-01-06 06:00:00,2105441418.2533345,368115143.977778
2019-01-06 07:00:00,2958044615.8022213,1261660923.9955554
2019-01-06 08:00:00,1992315808.3844452,1484060716.2377775
2019-01-06 09:00:00,1792448853.4244437,1607107702.2666667
2019-01-06 10:00:00,1562589799.5355563,616355340.7488889
2019-01-06 11:00:00,1276879057.6666665,746681192.3044448
2019-01-06 12:00:00,1062468442.9488884,596740761.9977777
2019-01-06 13:00:00,835915197.8822219,1579085875.6644456
2019-01-06 14:00:00,1643137473.284445,775383731.2355558
2019-01-06 15:00:00,1250504834.4311113,696961045.9244442
2019-01-06 16:00:00,1683323389.177777,632915744.2133332
2019-01-06 17:00:00,1260225615.7444437,1107576366.8533332
2019-01-06 18:00:00,1928802237.5911114,3423026738.446666
2019-01-06 19:00:00,2993410235.942222,2146778261.3955562
2019-01-06 20:00:00,1909532298.8,5010764259.902222
2019-01-06 21:00:00,597957938.9955554,2048388225.137778
2019-01-06 22:00:00,721805532.8799998,1882924281.7755551
2019-01-06 23:00:00,2307031507.682222,1957076569.0599997
2019-01-07 00:00:00,1252227526.689266,696549925.699435
2019-01-07 01:00:00,1313980624.3955553,2091656167.9399998
2019-01-07 02:00:00,861025020.28,1060385959.553333
2019-01-07 03:00:00,1253550334.8222227,497388867.1666663
2019-01-07 04:00:00,1565108751.2333333,3471379889.966667
2019-01-07 05:00:00,1177046247.4333339,1495829353.3622234
2019-01-07 06:00:00,1274912300.9199998,1205660581.3688893
2019-01-07 07:00:00,1100214803.8266664,700675595.1355554
2019-01-07 08:00:00,763250782.5755557,702970858.1088887
2019-01-07 09:00:00,1088193928.9422219,613467586.3244449
2019-01-07 10:00:00,1394195711.6111116,276763509.62000006
2019-01-07 11:00:00,1140035727.6933334,267184783.54000005
2019-01-07 12:00:00,1104067231.9022224,744975722.9222221
2019-01-07 13:00:00,1296100553.5111115,393426229.8177778
2019-01-07 14:00:00,1662223639.2799997,586368651.3933333
2019-01-07 15:00:00,1138657928.1622214,389027955.52888894
2019-01-07 16:00:00,781870553.3377777,705445215.7488891
2019-01-07 17:00:00,732060074.1866665,374623011.0955555
2019-01-07 18:00:00,813171678.2022223,880054694.6266664
2019-01-07 19:00:00,1259260211.8111107,345569587.3733333
2019-01-07 20:00:00,1223170671.5000002,348863175.2488888
2019-01-07 21:00:00,1412852452.513333,877072294.5666667
2019-01-07 22:00:00,2678207387.6533337,621217224.5800003
2019-01-07 23:00:00,736385174.8888891,462192976.6977778
2019-01-08 00:00:00,286663187.4440678,342206162.52429384
2019-01-08 01:00:00,769823269.528889,430510299.5933334
2019-01-08 02:00:00,607075995.5466666,1205992070.4955556
2019-01-08 03:00:00,956407198.5888889,4772331089.191112
2019-01-08 04:00:00,510502878.3488893,6628400210.317778
2019-01-08 05:00:00,520991584.191111,5343623132.382224
2019-01-08 06:00:00,655415242.8911115,4087378179.188889
2019-01-08 07:00:00,841352514.6288892,1296899539.893333
2019-01-08 08:00:00,668091157.6799998,4021771881.2288885
2019-01-08 09:00:00,670217744.5911114,3761427281.4977775
2019-01-08 10:00:00,668498463.0755554,1480713738.486667
2019-01-08 11:00:00,663116521.511111,1520552098.9333334
2019-01-08 12:00:00,512433056.2222224,1236359116.6555557
2019-01-08 13:00:00,240585470.69111118,692946049.3377776
2019-01-08 14:00:00,2827360046.857779,962256674.8933337
2019-01-08 15:00:00,2909931027.72889,845549840.3222221
2019-01-08 16:00:00,4725139834.1066675,1947594697.024444
2019-01-08 17:00:00,1648670695.9400003,1244424877.9311109
2019-01-08 18:00:00,1620032164.4222221,802011045.6000001
2019-01-08 19:00:00,1991739122.5600004,1752776288.635555
2019-01-08 20:00:00,1971885660.0311105,1098720933.9355555
2019-01-08 21:00:00,1277191309.7577784,469596322.61111087
2019-01-08 22:00:00,686781634.6133332,714991032.0799999
2019-01-08 23:00:00,890329292.282222,1173372244.5266669
2019-01-09 00:00:00,1433267773.1548028,692346484.2960452
2019-01-09 01:00:00,2890109056.457779,874362980.9399998
2019-01-09 02:00:00,1309763177.175555,1204078648.633333
2019-01-09 03:00:00,965473432.9511117,432179203.1333334
2019-01-09 04:00:00,794735668.6066669,871576164.5888888
2019-01-09 05:00:00,674141410.8666666,830607550.2933333
2019-01-09 06:00:00,911643271.1466671,408981678.4022221
2019-01-09 07:00:00,955148578.6466666,4236737257.053332
2019-01-09 08:00:00,1062392490.6755558,4365120989.677777
2019-01-09 09:00:00,575961652.4311111,1231464033.466667
2019-01-09 10:00:00,1338316017.4844446,1663170423.6177773
2019-01-09 11:00:00,422760903.43111116,688457292.708889
2019-01-09 12:00:00,588551055.9911112,547528277.2133337
2019-01-09 13:00:00,774179712.3066669,1154528491.4088886
2019-01-09 14:00:00,793425414.9933335,622555243.3533337
2019-01-09 15:00:00,902919564.2288889,1635550704.4644442
2019-01-09 16:00:00,758405970.5844444,1479360296.4844444
2019-01-09 17:00:00,1319266215.5688896,450372363.25777787
2019-01-09 18:00:00,869112364.3422222,1712666691.4244452
2019-01-09 19:00:00,887972608.4199994,1850229591.566666
2019-01-09 20:00:00,1126035946.8177779,2381079484.1866674
2019-01-09 21:00:00,772871897.8866668,893402850.5333334
2019-01-09 22:00:00,1073623766.9288887,669846859.3688886
2019-01-09 23:00:00,1157995080.6755555,493730793.61111134
2019-01-10 00:00:00,570924276.7525424,471309628.00225997
2019-01-10 01:00:00,2133048642.4111104,814035109.7666668
2019-01-10 02:00:00,3907362140.8733344,397808706.0288889
2019-01-10 03:00:00,1803735287.8177786,307590602.04444426
2019-01-10 04:00:00,1283901046.4577782,1749504899.6599994
2019-01-10 05:00:00,1757463989.6422222,839349975.2177777
2019-01-10 06:00:00,1978690768.2399993,776905264.4444442
2019-01-10 07:00:00,1090594741.355555,760833339.2799996
2019-01-10 08:00:00,671460561.5311112,352250949.68888915
2019-01-10 09:00:00,826508490.3111115,767439513.9666666
2019-01-10 10:00:00,1275062682.5466661,865981462.2000003
2019-01-10 11:00:00,714617295.7155557,916041552.9866666
2019-01-10 12:00:00,1137416572.9444451,991732957.4177784
2019-01-10 13:00:00,1604767174.7733338,1770358442.5755546
2019-01-10 14:00:00,1480078944.5311115,619352387.3088888
2019-01-10 15:00:00,701083329.4955555,945539113.0622226
2019-01-10 16:00:00,1202657828.7155557,905042510.1244441
2019-01-10 17:00:00,721190222.8777777,1354386190.5111098
2019-01-10 18:00:00,2378113024.6533337,1289087227.5400007
