time,in,out
2019-01-01 09:00:00,98560.44805555558,216110881.34222227
2019-01-01 10:00:00,39062430.36083333,56345599.4488889
2019-01-01 11:00:00,48592236.13291668,71156370.12666665
2019-01-01 12:00:00,45710.188541666656,82944934.49277776
2019-01-01 13:00:00,64386.868750000016,88292417.27055554
2019-01-01 14:00:00,73446.60166666663,204448170.62611115
2019-01-01 15:00:00,69317.28770833333,144513799.7011111
2019-01-01 16:00:00,44989.490208333336,74056766.31555554
2019-01-01 17:00:00,40331448.841458336,88657862.51222223
2019-01-01 18:00:00,37738044.26055554,107989138.68388885
2019-01-01 19:00:00,39777.23597222222,109357610.1283333
2019-01-01 20:00:00,72932.23270833331,164319712.55722225
2019-01-01 21:00:00,39403.527291666636,83641400.06277777
2019-01-01 22:00:00,73087.8639583333,164016917.4455556
2019-01-01 23:00:00,38782.50381944446,106193692.74833335
2019-01-02 00:00:00,45518.005579096054,117759747.48531081
2019-01-02 01:00:00,38959.170972222215,83684748.0822222
2019-01-02 02:00:00,40334634.63354165,140367487.13833332
2019-01-02 03:00:00,49302603.30833333,122966153.045
2019-01-02 04:00:00,79414.55118055557,183811876.25166667
2019-01-02 05:00:00,40351128.472430564,145774780.79444447
2019-01-02 06:00:00,37850930.937152766,188500380.09277776
2019-01-02 07:00:00,54288.342847222215,269960955.128889
2019-01-02 08:00:00,47035.94722222221,327153351.165
2019-01-02 09:00:00,40316942.02201388,254019047.45666662
2019-01-02 10:00:00,55566.847986111105,106048490.96777771
2019-01-02 11:00:00,40218.7945138889,100286739.74888891
2019-01-02 12:00:00,45469.466250000005,94436833.46833332
2019-01-02 13:00:00,35575783.55819444,142113419.53388888
2019-01-02 14:00:00,75764.21222222224,215419608.8016666
2019-01-02 15:00:00,40339020.85604166,168667058.7044445
2019-01-02 16:00:00,40319424.73333335,106998030.69833332
2019-01-02 17:00:00,18010709.74381944,89970041.95055555
2019-01-02 18:00:00,108555.46965277774,188311012.9294444
2019-01-02 19:00:00,39828.7915277778,65584642.09777778
2019-01-02 20:00:00,77439.13465277772,168850560.41833335
2019-01-02 21:00:00,84218.8533333333,109845588.0672222
2019-01-02 22:00:00,70723.23479166668,102205995.18055555
2019-01-02 23:00:00,38729.52166666665,67112974.46499997
2019-01-03 00:00:00,44318.293487394956,37765249.89355742
2019-01-03 01:00:00,40315620.248055555,5331632.701111108
2019-01-03 02:00:00,33164399.44763889,100457827.7722222
2019-01-03 03:00:00,38657.9298611111,41787733.22333334
2019-01-03 04:00:00,88053.82819444437,100170965.55222222
2019-01-03 05:00:00,40315653.1854167,46441733.37000001
2019-01-03 06:00:00,45226.84534722221,110441910.02333336
2019-01-03 07:00:00,65389.464861111126,230010338.84388885
2019-01-03 08:00:00,43093147.48722223,371139300.0594444
2019-01-03 09:00:00,37729.27124999999,161508467.78555554
2019-01-03 10:00:00,77336.16118055554,173756184.1283334
2019-01-03 11:00:00,41456.83694444444,81195624.0244444
2019-01-03 12:00:00,88702641.65854166,50336059.28499997
2019-01-03 13:00:00,40064.9938888889,23734866.301666666
2019-01-03 14:00:00,45230.68173611111,104464902.5366667
2019-01-03 15:00:00,40328792.001041666,120508641.10222222
2019-01-03 16:00:00,58390.33819444444,166447311.07777777
2019-01-03 17:00:00,62194.960555555546,47202456.027777754
2019-01-03 18:00:00,45626.91756944443,71575031.94444446
2019-01-03 19:00:00,68939.51590277776,70993093.78999998
2019-01-03 20:00:00,46336.11729166667,68297797.54333335
2019-01-03 21:00:00,31869855.90180556,52115779.96222221
2019-01-03 22:00:00,80263.09430555558,342020623.5516667
2019-01-03 23:00:00,40398426.329791695,192824714.1211111
2019-01-04 00:00:00,253241.91792717105,170749814.5495797
2019-01-04 01:00:00,38531.598333333364,83357770.09944442
2019-01-04 02:00:00,40326375.64437501,140139280.12222221
2019-01-04 03:00:00,72763.24027777775,160952976.8738889
2019-01-04 04:00:00,37028329.10131945,203767422.41277778
2019-01-04 05:00:00,77114.00958333335,136444643.90611112
2019-01-04 06:00:00,46646.36722222225,190120496.71888885
2019-01-04 07:00:00,54916.2738194444,268702746.46777785
2019-01-04 08:00:00,48460560.25326385,384173001.6972222
2019-01-04 09:00:00,40315781.275902785,521828248.2122224
2019-01-04 10:00:00,80621.14979166663,213587948.76999992
2019-01-04 11:00:00,39535.48861111111,151419194.30888885
2019-01-04 12:00:00,78763.24750000004,206658161.06111103
2019-01-04 13:00:00,42149978.078472234,187157353.20388886
2019-01-04 14:00:00,67033.72465277776,239507578.32222226
2019-01-04 15:00:00,38579.13819444445,128406338.93055555
2019-01-04 16:00:00,40325560.45715276,163391426.02055553
2019-01-04 17:00:00,39312.743333333354,132562155.17333332
2019-01-04 18:00:00,135924.17013888888,344480701.1111111
2019-01-04 19:00:00,39925.00569444445,294403951.70444435
2019-01-04 20:00:00,77196.65236111103,294575634.6905557
2019-01-04 21:00:00,84536041.03583333,184728200.58222228
2019-01-04 22:00:00,40322097.66541667,185908387.39499998
2019-01-04 23:00:00,38917.10881944445,239019510.345
2019-01-05 00:00:00,26087631.05741526,251635965.97288123
2019-01-05 01:00:00,68062.6022222222,289579139.05666673
2019-01-05 02:00:00,96262.1441666667,345832009.13111115
2019-01-05 03:00:00,74915.90208333333,285423765.8016667
2019-01-05 04:00:00,45216.390902777755,124009175.31111111
2019-01-05 05:00:00,102910.98569444449,216509108.83777776
2019-01-05 06:00:00,40283831.811805554,215722453.82111105
2019-01-05 07:00:00,37769439.56840276,243615984.59611115
2019-01-05 08:00:00,45620.77326388889,410484766.5238889
2019-01-05 09:00:00,39540.034583333334,297386999.0616665
2019-01-05 10:00:00,103565.62236111116,208412847.38777775
2019-01-05 11:00:00,62555.515763888885,87360017.30666672
2019-01-05 12:00:00,45024.54819444447,45445299.69166668
2019-01-05 13:00:00,39028.42541666666,234216901.4927777
2019-01-05 14:00:00,86056175.91486113,92768541.34444442
2019-01-05 15:00:00,40699.54333333334,82379864.87666665
2019-01-05 16:00:00,74635.8854861111,172386157.66166666
2019-01-05 17:00:00,91270759.95729163,23116189.187222224
2019-01-05 18:00:00,77461.9324305555,119844446.91555555
2019-01-05 19:00:00,65438.81590277778,57645894.93222223
2019-01-05 20:00:00,100128.15791666669,240272773.96000004
2019-01-05 21:00:00,38699.668194444464,16929429.908333324
2019-01-05 22:00:00,45400.76277777776,39585425.708333306
2019-01-05 23:00:00,38374.992499999986,152040321.0327778
2019-01-06 00:00:00,40972724.38326269,36119039.05819208
2019-01-06 01:00:00,43805542.21729163,16283599.887222225
2019-01-06 02:00:00,53333.74013888889,158068597.53722224
2019-01-06 03:00:00,39155.65083333333,57876888.262777776
2019-01-06 04:00:00,40343595.967986114,132528147.52
2019-01-06 05:00:00,77568.14076388885,41555351.66999998
2019-01-06 06:00:00,43518108.489305526,157536833.20333335
2019-01-06 07:00:00,53178.65458333333,28377496.343333326
2019-01-06 08:00:00,45717.784791666665,140351523.70999998
2019-01-06 09:00:00,62178.31805555557,239053647.43777782
2019-01-06 10:00:00,45290.48930555555,220573807.07777774
2019-01-06 11:00:00,43576715.94791668,84563547.61222221
2019-01-06 12:00:00,98290.59923611111,205633463.53888893
2019-01-06 13:00:00,76865.45847222222,105473228.5788889
2019-01-06 14:00:00,45080.61131944445,125417114.71166663
2019-01-06 15:00:00,63939.30958333331,147636550.12944442
2019-01-06 16:00:00,115191.87381944442,222787070.73666665
2019-01-06 17:00:00,42324334.78402778,30450717.42388889
2019-01-06 18:00:00,44147.54791666668,124800906.99444439
2019-01-06 19:00:00,38789.13041666667,133474291.9127778
2019-01-06 20:00:00,45699.63604166665,229597666.06944454
2019-01-06 21:00:00,38548.33638888889,39580738.320000015
2019-01-06 22:00:00,40321434.18826389,100268868.34944443
2019-01-06 23:00:00,40355822.509722225,171253640.94666675
2019-01-07 00:00:00,71025.91235875705,94095930.47740118
2019-01-07 01:00:00,38426.92298611112,51467356.81722223
2019-01-07 02:00:00,78594.47000000002,231147785.76166672
2019-01-07 03:00:00,38745.34868055555,84394833.22555555
2019-01-07 04:00:00,46768.10645833332,71330765.31277777
2019-01-07 05:00:00,48542248.207430564,63523404.6
2019-01-07 06:00:00,71271.52048611111,88035446.74833336
2019-01-07 07:00:00,40310169.15263888,118742098.20055552
2019-01-07 08:00:00,45634.43458333333,295035595.3550001
2019-01-07 09:00:00,109140.5585416667,322913728.90333325
2019-01-07 10:00:00,78769191.15243053,226797942.03833333
2019-01-07 11:00:00,40504058.03458334,160753816.6755556
2019-01-07 12:00:00,45939.774999999994,130537128.76222216
2019-01-07 13:00:00,44381.992708333324,177011974.9277779
2019-01-07 14:00:00,105793.92666666668,262374078.195
2019-01-07 15:00:00,38951.564375,112522751.86444445
2019-01-07 16:00:00,46414.95159722226,181163869.67166668
2019-01-07 17:00:00,39570.654791666646,77592555.76833338
2019-01-07 18:00:00,35311747.194444455,143190925.13444436
2019-01-07 19:00:00,69397.94034722222,175339058.24222222
2019-01-07 20:00:00,46207.52034722223,144617570.44666666
2019-01-07 21:00:00,91740.84763888891,195658524.43222222
2019-01-07 22:00:00,40315995.26243057,127947773.6155556
2019-01-07 23:00:00,39333.873055555545,197944216.37611118
2019-01-08 00:00:00,47008.547759103625,112916629.54733893
2019-01-08 01:00:00,67156.59118055557,106909998.3938889
2019-01-08 02:00:00,74789515.74340276,202790735.99388888
2019-01-08 03:00:00,39222.16833333335,115652829.54055561
2019-01-08 04:00:00,46443.17631944444,81901506.79666665
2019-01-08 05:00:00,78197.51090277781,69501777.63
2019-01-08 06:00:00,139867.69694444444,251673124.42333338
2019-01-08 07:00:00,40055.437291666654,178106210.6827778
2019-01-08 08:00:00,83993068.28236106,192010539.7544445
2019-01-08 09:00:00,40120.96527777778,211060600.08166665
2019-01-08 10:00:00,46124.40340277779,74821299.99777775
2019-01-08 11:00:00,40838.93993055556,89118098.90888888
2019-01-08 12:00:00,40390133.13722225,139114857.17499998
2019-01-08 13:00:00,40328110.60951387,90377129.55999999
2019-01-08 14:00:00,35699.491041666675,148183687.8416667
2019-01-08 15:00:00,65680.521875,145040083.58555552
2019-01-08 16:00:00,69205.37715277777,128778057.03833334
2019-01-08 17:00:00,35050.67159722221,49430250.22166668
2019-01-08 18:00:00,34914.697777777765,85355388.78222226
2019-01-08 19:00:00,37830722.01833333,92042473.15111108
2019-01-08 20:00:00,62049.96722222224,132717543.35388888
2019-01-08 21:00:00,33204.373611111114,51290081.041666664
2019-01-08 22:00:00,68864.33388888888,129212496.76444435
2019-01-08 23:00:00,33656.85111111111,72890858.03944446
2019-01-09 00:00:00,34893.88242296918,74782403.84145659
2019-01-09 01:00:00,23677792.626111113,73248121.55833337
2019-01-09 02:00:00,42061.383680555555,109844747.96222223
2019-01-09 03:00:00,35056.47902777778,84111184.32222225
2019-01-09 04:00:00,42114380.34118056,96315190.21111116
2019-01-09 05:00:00,34921.135833333334,92200056.415
2019-01-09 06:00:00,76692201.38256942,307500427.42333335
2019-01-09 07:00:00,73837.4476388889,289016570.36055547
2019-01-09 08:00:00,100261.53472222229,393935711.973889
2019-01-09 09:00:00,35175.942083333335,237568643.64555553
2019-01-09 10:00:00,44608.757777777784,183849166.2094445
2019-01-09 11:00:00,40319588.52868056,97780386.71444434
