time,in,out
2019-01-01 09:00:00,49372406.28527779,1879429774.8999991
2019-01-01 10:00:00,135632944.3716667,1236543615.6777775
2019-01-01 11:00:00,227625017.66944447,202475318.84444445
2019-01-01 12:00:00,81009189.30138892,194619288.1711111
2019-01-01 13:00:00,152643875.42527786,138694396.77777776
2019-01-01 14:00:00,119031071.29222222,172998396.72666663
2019-01-01 15:00:00,43133652.28611113,154029183.86444446
2019-01-01 16:00:00,231466024.9741667,366329188.35555553
2019-01-01 17:00:00,44325493.4786111,209023133.93555564
2019-01-01 18:00:00,44141052.71499998,232529079.06888905
2019-01-01 19:00:00,84147718.62249996,168664708.8777779
2019-01-01 20:00:00,113109978.36777785,162511744.59333333
2019-01-01 21:00:00,86771763.965,180027909.0466666
2019-01-01 22:00:00,142732066.16388896,237381311.9644445
2019-01-01 23:00:00,88479545.23666666,115417124.45111103
2019-01-02 00:00:00,236788829.94491535,220698101.01920894
2019-01-02 01:00:00,99614225.80916665,1118977304.4711115
2019-01-02 02:00:00,67912368.46305552,1331091440.5488887
2019-01-02 03:00:00,60465545.92027778,1745737677.9311116
2019-01-02 04:00:00,155602927.9861111,407696354.56
2019-01-02 05:00:00,70291676.10944442,321696421.26222223
2019-01-02 06:00:00,150197966.18194446,231663754.23555556
2019-01-02 07:00:00,137770252.52638885,1644548633.1400003
2019-01-02 08:00:00,270788531.9491666,1286697176.7177782
2019-01-02 09:00:00,145922452.70722216,1347315292.8933334
2019-01-02 10:00:00,56032349.11388889,374912253.15333325
2019-01-02 11:00:00,213012766.9133335,181041306.58666664
2019-01-02 12:00:00,118583876.48944451,206512060.8155555
2019-01-02 13:00:00,86181675.07444444,147000077.68222228
2019-01-02 14:00:00,255267311.58722228,220291084.55555543
2019-01-02 15:00:00,444080820.9094444,333074726.60222226
2019-01-02 16:00:00,779177183.4166669,446802075.8911112
2019-01-02 17:00:00,933817487.953611,383245599.95777786
2019-01-02 18:00:00,1563536951.3105557,408671102.1733333
2019-01-02 19:00:00,1353871780.804166,463919917.34666663
2019-01-02 20:00:00,1075312520.485278,338134612.1000002
2019-01-02 21:00:00,999945356.4191664,475847121.8844446
2019-01-02 22:00:00,1047944405.0241667,450884908.12444425
