time,in,out
2019-01-01 09:00:00,13080543120.48889,11189045333.591112
2019-01-01 10:00:00,13468703268.862225,9126663383.671108
2019-01-01 11:00:00,11897185093.226662,12742408399.546661
2019-01-01 12:00:00,12978997070.728888,12075470457.92889
2019-01-01 13:00:00,11394348369.733326,13839336365.920006
2019-01-01 14:00:00,13848555085.15555,13059510189.848888
2019-01-01 15:00:00,13302257540.417776,12190151676.515556
2019-01-01 16:00:00,13055217684.542215,13055727397.368887
2019-01-01 17:00:00,13621183218.088898,15859137711.75111
2019-01-01 18:00:00,12230444926.755558,14359774384.231102
2019-01-01 19:00:00,18727313323.066677,17074586796.75556
2019-01-01 20:00:00,11679275207.89333,19003688665.217777
2019-01-01 21:00:00,11611179575.653334,15406104382.248882
2019-01-01 22:00:00,12964242145.502222,17913044732.16889
2019-01-01 23:00:00,12076910151.466663,19225972440.693336
2019-01-02 00:00:00,14766403054.436161,17731796304.22599
2019-01-02 01:00:00,15533222254.497782,20131838647.199997
2019-01-02 02:00:00,14935725723.45778,16793693548.25778
2019-01-02 03:00:00,12747218090.773336,25026240525.502216
2019-01-02 04:00:00,15577716025.146662,24164204645.46668
2019-01-02 05:00:00,17036887009.013334,21386921883.466667
2019-01-02 06:00:00,16346691281.342222,19947102335.520004
2019-01-02 07:00:00,13275377282.23111,12332110703.591114
2019-01-02 08:00:00,12582267994.720001,10470200969.857775
2019-01-02 09:00:00,11873933157.466665,13483785780.568886
2019-01-02 10:00:00,13451122221.120003,19299105610.26666
2019-01-02 11:00:00,12345603348.37334,20099555470.53332
2019-01-02 12:00:00,10616979061.102224,25515070583.759995
2019-01-02 13:00:00,14361248602.017773,20017854541.751114
2019-01-02 14:00:00,13510524417.333332,14099191685.28
2019-01-02 15:00:00,16608312756.577782,14040466049.155554
2019-01-02 16:00:00,14336662511.11112,20686350497.742226
2019-01-02 17:00:00,15321338208.097776,16393093304.177778
2019-01-02 18:00:00,14984464529.591112,16972793862.204454
2019-01-02 19:00:00,16348612870.524446,19668661550.008896
2019-01-02 20:00:00,15162117880.773323,20350292015.253323
2019-01-02 21:00:00,13871122504.453335,16679446634.764439
2019-01-02 22:00:00,12359088096.302223,14235728733.546663
2019-01-02 23:00:00,14313478310.853327,17334628973.573334
2019-01-03 00:00:00,14482868891.335587,21389839486.481354
2019-01-03 01:00:00,14572939399.137777,18641664344.124447
2019-01-03 02:00:00,17163097042.853325,22569888988.853333
2019-01-03 03:00:00,14355544642.69333,21546835889.093334
2019-01-03 04:00:00,23532589730.328896,18054778135.77778
2019-01-03 05:00:00,24980411917.066666,16787023887.99111
2019-01-03 06:00:00,15404831187.840002,25554195465.520004
2019-01-03 07:00:00,20012538216.435547,22369161352.27555
2019-01-03 08:00:00,14967977356.577766,21241182416.595554
2019-01-03 09:00:00,15373810615.33333,19523072561.00445
