time,in,out
2019-01-01 09:00:00,55153434.452777766,62308198.6352778
2019-01-01 10:00:00,145330998.81388885,305748537.91249985
2019-01-01 11:00:00,189162111.4602779,109844032.58555552
2019-01-01 12:00:00,172591427.88361114,131709002.78694445
2019-01-01 13:00:00,229310129.6336112,253325578.71111107
2019-01-01 14:00:00,61917819.09388887,55290851.726666674
2019-01-01 15:00:00,51854717.467777774,171714481.1333333
2019-01-01 16:00:00,238915493.29999992,104304331.82388884
2019-01-01 17:00:00,57373128.05638886,164343437.62055555
2019-01-01 18:00:00,14774846.690277787,234702917.38805544
2019-01-01 19:00:00,158309097.22027773,129592934.81388883
2019-01-01 20:00:00,98758246.91861105,105147030.85722223
2019-01-01 21:00:00,196860.60888888882,79253798.51361105
2019-01-01 22:00:00,51787964.22138891,59906601.65555557
2019-01-01 23:00:00,211262833.50138873,216580574.76722226
2019-01-02 00:00:00,57565677.59858758,58372031.71807911
2019-01-02 01:00:00,124094716.31472221,314642271.4930555
2019-01-02 02:00:00,137054847.68249995,162074842.6763889
2019-01-02 03:00:00,225067017.78833342,71096240.13888888
2019-01-02 04:00:00,189712848.51666674,208720417.59805557
2019-01-02 05:00:00,87719577.86611107,128048077.16611102
2019-01-02 06:00:00,55428300.06444445,443790.3355555556
2019-01-02 07:00:00,167143022.5575,248884107.6177777
2019-01-02 08:00:00,134539152.4466667,301408848.1916666
2019-01-02 09:00:00,110104001.48861109,108174047.05416666
2019-01-02 10:00:00,154943425.98111105,55139612.80111109
2019-01-02 11:00:00,83264589.23444441,108242809.06472223
2019-01-02 12:00:00,63648671.00500001,246725705.45999998
2019-01-02 13:00:00,177597093.17638886,140492968.5808333
2019-01-02 14:00:00,181316134.57500008,110354812.54111116
2019-01-02 15:00:00,100326132.10361114,25711911.18861111
2019-01-02 16:00:00,109375735.67499997,106838076.03916666
2019-01-02 17:00:00,190495186.0033333,270777740.04888886
2019-01-02 18:00:00,110294100.97777778,55098341.127222255
2019-01-02 19:00:00,47209685.77194445,213681875.31861112
2019-01-02 20:00:00,118149141.96,400460.00138888886
2019-01-02 21:00:00,169505722.09777784,189398706.82499993
2019-01-02 22:00:00,105914954.07972223,244748754.32749987
2019-01-02 23:00:00,114025702.59555551,49391776.55138888
2019-01-03 00:00:00,159398872.5745099,305460634.7420166
2019-01-03 01:00:00,137873378.53,53468836.80166666
2019-01-03 02:00:00,154797400.02694446,9187401.803611105
2019-01-03 03:00:00,19696166.85000001,79678913.72666669
2019-01-03 04:00:00,279493208.4480557,338054686.0200001
2019-01-03 05:00:00,123148567.6683333,16303066.726944445
2019-01-03 06:00:00,83074510.78027777,2133611.193055555
2019-01-03 07:00:00,6143028.953333334,108489971.6708333
2019-01-03 08:00:00,185510638.09749994,388561099.4947221
2019-01-03 09:00:00,137019296.10916668,159062761.92111108
2019-01-03 10:00:00,243228117.81805542,55393796.61249996
2019-01-03 11:00:00,51934169.326666676,138596083.3986112
2019-01-03 12:00:00,63527090.528055534,132121105.01666662
