time,in,out
2019-01-01 09:00:00,5443121.903333332,4935856.37125
2019-01-01 10:00:00,60813250.30277777,69767083.8773611
2019-01-01 11:00:00,34654419.87138889,80318162.34208332
2019-01-01 12:00:00,4993599.108888891,45687698.98986113
2019-01-01 13:00:00,58976883.50027775,8810352.831944443
2019-01-01 14:00:00,3325055.1747222217,3722922.055277778
2019-01-01 15:00:00,48509433.056666695,4615491.415972222
2019-01-01 16:00:00,11235118.299444443,9600963.737222226
2019-01-01 17:00:00,39776105.615277775,95662217.65513888
2019-01-01 18:00:00,5866553.935,63287757.45333338
2019-01-01 19:00:00,60835874.164999984,60320266.72736113
2019-01-01 20:00:00,56064322.27499997,9676538.424583334
2019-01-01 21:00:00,10095802.808888888,4006011.9994444447
2019-01-01 22:00:00,10189331.968333334,40237375.119583346
2019-01-01 23:00:00,43223095.53305554,107937504.58361115
2019-01-02 00:00:00,36227473.68248588,2806551.0449152533
2019-01-02 01:00:00,53846577.561666675,76374898.61347225
2019-01-02 02:00:00,67467064.76416667,9901817.153888889
2019-01-02 03:00:00,5217478.255277778,67861301.34374997
2019-01-02 04:00:00,2197034.8280555555,3035392.5384722226
2019-01-02 05:00:00,42163716.73888888,1700457.933055555
2019-01-02 06:00:00,3385341.5141666667,69817295.48208334
2019-01-02 07:00:00,52644167.95805555,2858849.0795833324
2019-01-02 08:00:00,6830491.484444445,112248324.4063889
2019-01-02 09:00:00,3354873.9463888905,2384047.445138889
2019-01-02 10:00:00,37097098.61583335,34413650.915277794
2019-01-02 11:00:00,33409580.209999993,82255274.80097221
2019-01-02 12:00:00,78780742.27416667,119452733.89624996
2019-01-02 13:00:00,106668508.27722223,48744549.65013891
2019-01-02 14:00:00,104132167.72277774,39400308.88263886
2019-01-02 15:00:00,192808045.52388892,10410707.204166664
2019-01-02 16:00:00,108837425.20583329,10543359.899027782
2019-01-02 17:00:00,147035795.84166667,66892980.44250001
2019-01-02 18:00:00,122908558.09583335,62483049.41152777
2019-01-02 19:00:00,143826218.08750004,10737182.147083336
2019-01-02 20:00:00,154309643.2674999,11483079.41611111
2019-01-02 21:00:00,51443261.350833334,25954811.51375
2019-01-02 22:00:00,46678785.56777778,8532640.594999999
2019-01-02 23:00:00,65587219.47333332,39795855.46375
2019-01-03 00:00:00,52430932.111864395,104100156.85946324
2019-01-03 01:00:00,46849318.94111112,86439219.55375001
2019-01-03 02:00:00,12312969.615833335,6670349.960416671
2019-01-03 03:00:00,17589996.258055557,69009724.2205556
2019-01-03 04:00:00,8613255.016944444,6346031.835277778
2019-01-03 05:00:00,36699546.71527778,23909740.891388893
2019-01-03 06:00:00,101718974.02111107,5458086.876388888
2019-01-03 07:00:00,4830967.470833333,9658471.32763889
2019-01-03 08:00:00,35728957.79083332,2326816.232083334
2019-01-03 09:00:00,56081161.87833332,111722522.21861115
2019-01-03 10:00:00,55161211.331944466,29907054.639305554
2019-01-03 11:00:00,25304529.96277777,3614730.2415277762
2019-01-03 12:00:00,87941224.21055555,7311327.818749999
2019-01-03 13:00:00,90360477.70000002,27611925.496666666
2019-01-03 14:00:00,131673002.52888893,85564806.32305557
2019-01-03 15:00:00,68248884.86750002,95457639.48388888
2019-01-03 16:00:00,130762892.48055552,15278428.688333333
2019-01-03 17:00:00,151732042.45666665,151221367.82972223
2019-01-03 18:00:00,97396480.16361113,16503873.126527773
2019-01-03 19:00:00,131707340.23166665,52453491.799305566
2019-01-03 20:00:00,169078957.60944444,20057674.505694456
2019-01-03 21:00:00,54670345.79777778,110661106.58888887
2019-01-03 22:00:00,107525987.84444447,28730346.744583342
2019-01-03 23:00:00,36397693.36833333,26297555.100833315
2019-01-04 00:00:00,55861594.187288165,8157267.61596045
2019-01-04 01:00:00,20089201.377222233,113981163.52444448
2019-01-04 02:00:00,56717580.21555555,4654021.877083332
2019-01-04 03:00:00,38952306.983055554,59577238.139722206
2019-01-04 04:00:00,19283299.394166663,2858331.474583334
2019-01-04 05:00:00,7525717.742499997,77895222.95027776
2019-01-04 06:00:00,97076687.82111111,2467521.8463888895
2019-01-04 07:00:00,102462698.89138888,45755170.65638889
2019-01-04 08:00:00,5415081.741944446,34313016.47999999
2019-01-04 09:00:00,83130166.2638889,35320373.68000001
2019-01-04 10:00:00,19660604.931111116,56918934.556527786
2019-01-04 11:00:00,60177224.492500015,59044212.263194434
2019-01-04 12:00:00,72287595.16083334,13300954.309861114
2019-01-04 13:00:00,57091883.30944445,7895517.805416668
2019-01-04 14:00:00,106915686.94749998,60226679.85222223
2019-01-04 15:00:00,117763877.71944447,10599894.855416669
2019-01-04 16:00:00,195241113.3400001,48455636.06763889
2019-01-04 17:00:00,118231860.16277777,124408768.11500004
2019-01-04 18:00:00,79390079.6461111,19803646.929861113
2019-01-04 19:00:00,213365948.79805544,15198416.232361112
2019-01-04 20:00:00,120827618.1711111,85142526.15736108
2019-01-04 21:00:00,66241236.828611106,152669861.09666666
2019-01-04 22:00:00,118837097.82416664,11935127.42
2019-01-04 23:00:00,60280814.69722221,6446283.515138889
2019-01-05 00:00:00,59349466.77485877,5549978.720621469
2019-01-05 01:00:00,25513605.099999987,135488024.2879167
2019-01-05 02:00:00,46861003.84416663,45516893.570416674
2019-01-05 03:00:00,5899255.322222221,2101406.9156944444
2019-01-05 04:00:00,87231697.44944443,8220599.155555551
2019-01-05 05:00:00,96984099.42805557,2510399.4276388884
2019-01-05 06:00:00,7338909.356666664,14504647.423055556
2019-01-05 07:00:00,28559099.331944443,6950527.793333335
2019-01-05 08:00:00,63543753.027777776,107396088.42708328
2019-01-05 09:00:00,34179767.0261111,1648330.024444445
2019-01-05 10:00:00,4919832.740555556,77008215.74111111
2019-01-05 11:00:00,16968971.487777784,51925714.58805556
2019-01-05 12:00:00,80851300.56416671,100319072.1854167
