time,in,out
2019-01-01 09:00:00,22137902.805555556,128306848.05861112
2019-01-01 10:00:00,8661796.22291667,85746627.1413889
2019-01-01 11:00:00,8342985.164861108,80674805.82972224
2019-01-01 12:00:00,7667276.3220833335,119469822.65083334
2019-01-01 13:00:00,62120644.11749998,76718427.52333333
2019-01-01 14:00:00,29901054.62527779,76427225.33305551
2019-01-01 15:00:00,70347042.94361112,73835002.10444443
2019-01-01 16:00:00,85181765.09777774,121098870.06027773
2019-01-01 17:00:00,8863133.949027773,74570113.7102778
2019-01-01 18:00:00,11899516.664444443,75718055.05333334
2019-01-01 19:00:00,157269497.43111107,114330185.46555556
2019-01-01 20:00:00,11842988.433888894,75796905.20555553
2019-01-01 21:00:00,35185273.04888889,76257460.33777781
2019-01-01 22:00:00,33666897.67263888,105128848.01722221
2019-01-01 23:00:00,11729261.753055552,76488666.82000001
2019-01-02 00:00:00,7595707.460593221,74529810.71016954
2019-01-02 01:00:00,11984253.876111113,150506086.51333338
2019-01-02 02:00:00,72782494.12736106,77173232.32750002
2019-01-02 03:00:00,66265201.10222224,76985969.24305557
2019-01-02 04:00:00,11670648.981944447,134621115.3472222
2019-01-02 05:00:00,63212672.514722236,74950172.74166666
2019-01-02 06:00:00,65871076.39374997,86775768.3219444
2019-01-02 07:00:00,102543533.61847225,76674707.22055554
2019-01-02 08:00:00,31660507.88486111,90319575.45833333
2019-01-02 09:00:00,32114075.336805537,75581472.79527777
2019-01-02 10:00:00,37430160.03249999,113116289.68361111
2019-01-02 11:00:00,30473137.38166666,111369372.40777773
2019-01-02 12:00:00,7513326.643749999,125441314.76999998
2019-01-02 13:00:00,71184335.98111111,77268774.29361111
2019-01-02 14:00:00,65024944.95097225,102942566.28666662
2019-01-02 15:00:00,78805856.46458334,129205001.32444449
2019-01-02 16:00:00,33332196.14583333,176417134.27166668
2019-01-02 17:00:00,36264039.51666668,159071442.4805556
2019-01-02 18:00:00,61408848.65958335,206291973.5299999
2019-01-02 19:00:00,111605037.86819443,203820477.82222214
2019-01-02 20:00:00,30395480.341111112,157892008.16361102
2019-01-02 21:00:00,127511028.42486104,223301540.83333334
2019-01-02 22:00:00,26484322.567777768,200707216.39333344
2019-01-02 23:00:00,23299963.29652778,181796985.86611116
2019-01-03 00:00:00,28110309.31539547,252821799.81045192
2019-01-03 01:00:00,44260384.124999985,209220422.59916666
2019-01-03 02:00:00,23195612.064444438,171646210.3505556
2019-01-03 03:00:00,42690949.41541665,181764797.81055552
2019-01-03 04:00:00,79941626.45513888,197445106.6305557
2019-01-03 05:00:00,148390431.04222223,172034694.7516666
2019-01-03 06:00:00,18554574.592777777,173607126.21638882
2019-01-03 07:00:00,69863586.77194445,198752139.64305565
2019-01-03 08:00:00,13023180.015277775,206022947.34805563
2019-01-03 09:00:00,53093917.75499999,161686979.74861106
2019-01-03 10:00:00,85418598.49180552,156012762.90916672
2019-01-03 11:00:00,62930662.254444435,153551213.40388885
2019-01-03 12:00:00,31202072.843472205,191673305.59388882
2019-01-03 13:00:00,49569086.50569446,194551351.11416677
2019-01-03 14:00:00,15404790.635277782,178447156.1744445
2019-01-03 15:00:00,23748543.611944444,249113256.08916667
2019-01-03 16:00:00,38333009.72430554,267125397.60055548
2019-01-03 17:00:00,36891437.243333325,396607894.01027775
2019-01-03 18:00:00,105998658.41763885,275264280.8552777
2019-01-03 19:00:00,75991282.11041667,274071137.0913887
2019-01-03 20:00:00,36788098.341944456,319308834.7672222
2019-01-03 21:00:00,84576974.96194443,287349160.6211111
2019-01-03 22:00:00,39184002.494027756,286904574.86083335
2019-01-03 23:00:00,46531736.15888892,187950058.63861105
