time,in,out
2019-01-01 09:00:00,11336545479.022223,13535603307.626667
2019-01-01 10:00:00,10332835523.591116,12774504127.715551
2019-01-01 11:00:00,8876760880.213335,11606608107.946665
2019-01-01 12:00:00,11411320153.84889,11487501060.26667
2019-01-01 13:00:00,12935543859.182226,11665894341.191109
2019-01-01 14:00:00,9662515604.977776,11739123351.751112
2019-01-01 15:00:00,7292955543.431113,10892528381.760004
2019-01-01 16:00:00,12787625972.551111,15013721021.44
2019-01-01 17:00:00,15165878909.475554,14714926376.284449
2019-01-01 18:00:00,14601269590.399998,14347352901.368893
2019-01-01 19:00:00,11551257071.37778,15234565990.72
2019-01-01 20:00:00,12757174756.248888,16617660747.840004
2019-01-01 21:00:00,16623140607.520006,15641513115.626665
2019-01-01 22:00:00,9175474045.137777,14211043667.62667
2019-01-01 23:00:00,18470650400.0,16546423601.599997
2019-01-02 00:00:00,16946897327.439548,15001868949.586452
2019-01-02 01:00:00,17848558407.342228,11386320241.06666
2019-01-02 02:00:00,13491801995.573332,11000569257.706667
2019-01-02 03:00:00,13947735190.133333,10858253636.65777
2019-01-02 04:00:00,11269128771.591116,15682416769.493336
2019-01-02 05:00:00,15438320904.639997,16411761404.764439
2019-01-02 06:00:00,16223863530.880007,17764518423.53777
2019-01-02 07:00:00,11542914103.484444,17692612922.24
2019-01-02 08:00:00,13025734005.031109,19338766819.87556
2019-01-02 09:00:00,12794189808.373333,19990270929.70667
2019-01-02 10:00:00,11433110701.066668,21721223696.568905
2019-01-02 11:00:00,11808809605.97334,17525613123.377777
2019-01-02 12:00:00,9224474384.248882,14098023898.488894
2019-01-02 13:00:00,10045173546.844448,15990895927.715563
2019-01-02 14:00:00,9509271568.657782,15262436727.573334
2019-01-02 15:00:00,9430964345.599997,18959977298.311104
2019-01-02 16:00:00,10608965496.87111,22896606795.200005
2019-01-02 17:00:00,9580095498.328894,23362985198.04445
2019-01-02 18:00:00,12654461493.422228,24979676300.195557
2019-01-02 19:00:00,13156064990.808891,25117273726.719994
2019-01-02 20:00:00,11915853755.182222,25967647779.591103
2019-01-02 21:00:00,10775298301.759998,23308699748.30223
2019-01-02 22:00:00,11528356882.933327,21629875320.39112
2019-01-02 23:00:00,14125696447.768892,18258550803.484444
2019-01-03 00:00:00,14005797321.292652,19478135222.63503
2019-01-03 01:00:00,14567273209.51111,19748973813.368877
2019-01-03 02:00:00,10634111084.58667,25410779132.871113
2019-01-03 03:00:00,9132852615.27111,21167905082.666664
2019-01-03 04:00:00,8413544660.87111,18977700354.56
2019-01-03 05:00:00,9389880843.644444,17555605800.88888
2019-01-03 06:00:00,7693961344.284443,20663495160.355556
2019-01-03 07:00:00,9420891367.200003,21196751555.733334
2019-01-03 08:00:00,7342527926.1511135,21235370550.008896
2019-01-03 09:00:00,9231637185.706669,21244939298.666664
2019-01-03 10:00:00,8675791756.159998,23469805922.595554
2019-01-03 11:00:00,8799697244.231112,30721058715.591114
2019-01-03 12:00:00,8236018032.035557,22282724666.8089
2019-01-03 13:00:00,7437814495.751116,20253949802.595562
2019-01-03 14:00:00,9424837741.262224,21773643477.43999
2019-01-03 15:00:00,11158972927.413328,20454572599.21779
2019-01-03 16:00:00,10844992508.408886,20643379373.404446
2019-01-03 17:00:00,10314450828.977781,24827978287.36001
2019-01-03 18:00:00,7404771897.991108,25342133146.91555
2019-01-03 19:00:00,8472282592.0,20137599770.844437
2019-01-03 20:00:00,10488638965.493338,20760683506.239998
2019-01-03 21:00:00,10458687992.817783,17894693342.826668
2019-01-03 22:00:00,21901981517.61778,17983105944.675556
2019-01-03 23:00:00,27650355417.20889,16820297499.555552
