5MB	TP	Time	Buffer
Iteration 0	2.047488128	0.004	1024
iteration 1	2.729756748	0.003	1024
iteration 2	2.729756748	0.003	1024
iteration 3	1.638072386	0.005	1024
iteration 4	2.729756748	0.003	1024
iteration 5	2.729756748	0.003	1024
iteration 6	2.729756748	0.003	1024
iteration 7	2.729756748	0.003	1024
iteration 8	1.638072386	0.005	1024
iteration 9	2.729756748	0.003	1024
iteration 10	1.638072386	0.005	1024
iteration 11	2.729756748	0.003	1024
iteration 12	1.638072386	0.005	1024
iteration 13	2.047488128	0.004	1024
iteration 14	2.729756748	0.003	1024
iteration 15	2.729756748	0.003	1024
iteration 16	2.729756748	0.003	1024
iteration 17	2.047488128	0.004	1024
iteration 18	2.047488128	0.004	1024
iteration 19	1.638072386	0.005	1024
	2.320381934	0.0037	
1GB			
iteration 0	0.136531058	0.06	1024
iteration 1	0.072494934	0.113	1024
iteration 2	0.118722917	0.069	1024
iteration 3	0.08904251	0.092	1024
iteration 4	0.124119332	0.066	1024
iteration 5	0.09204391	0.089	1024
iteration 6	0.122266832	0.067	1024
iteration 7	0.101134554	0.081	1024
iteration 8	0.127998	0.064	1024
iteration 9	0.12602883	0.065	1024
iteration 10	0.130029682	0.063	1024
iteration 11	0.130029682	0.063	1024
iteration 12	0.130029682	0.063	1024
iteration 13	0.12602883	0.065	1024
iteration 14	0.12602883	0.065	1024
iteration 15	0.130029682	0.063	1024
iteration 16	0.085332444	0.096	1024
iteration 17	0.132126901	0.062	1024
iteration 18	0.132126901	0.062	1024
iteration 19	0.096375337	0.085	1024
	0.116426042	0.07265	
10MB			
iteration 0	1.170118554	0.007	1024
iteration 1	1.170118554	0.007	1024
iteration 2	2.047488128	0.004	1024
iteration 3	2.047488128	0.004	1024
iteration 4	2.047488128	0.004	1024
iteration 5	2.047488128	0.004	1024
iteration 6	2.047488128	0.004	1024
iteration 7	2.047488128	0.004	1024
iteration 8	2.047488128	0.004	1024
iteration 9	2.047488128	0.004	1024
iteration 10	1.638072386	0.005	1024
iteration 11	2.047488128	0.004	1024
iteration 12	2.047488128	0.004	1024
iteration 13	1.170118554	0.007	1024
iteration 14	2.047488128	0.004	1024
iteration 15	2.047488128	0.004	1024
iteration 16	2.047488128	0.004	1024
iteration 17	2.047488128	0.004	1024
iteration 18	2.047488128	0.004	1024
iteration 19	2.047488128	0.004	1024
	1.895411905	0.0045	
20MB			
iteration 0	1.638072386	0.005	1024
iteration 1	1.365105816	0.006	1024
iteration 2	1.638072386	0.005	1024
iteration 3	1.170118554	0.007	1024
iteration 4	1.023872016	0.008	1024
iteration 5	1.638072386	0.005	1024
iteration 6	1.365105816	0.006	1024
iteration 7	2.047488128	0.004	1024
iteration 8	1.023872016	0.008	1024
iteration 9	1.023872016	0.008	1024
iteration 10	1.170118554	0.007	1024
iteration 11	1.638072386	0.005	1024
iteration 12	1.638072386	0.005	1024
iteration 13	1.638072386	0.005	1024
iteration 14	1.023872016	0.008	1024
iteration 15	1.638072386	0.005	1024
iteration 16	2.047488128	0.004	1024
iteration 17	2.047488128	0.004	1024
iteration 18	1.023872016	0.008	1024
iteration 19	1.023872016	0.008	1024
	1.441132596	0.00605	
50MB			
iteration 0	1.170118554	0.007	1024
iteration 1	1.023872016	0.008	1024
iteration 2	1.365105816	0.006	1024
iteration 3	1.365105816	0.006	1024
iteration 4	1.170118554	0.007	1024
iteration 5	1.365105816	0.006	1024
iteration 6	1.365105816	0.006	1024
iteration 7	0.819118088	0.01	1024
iteration 8	1.023872016	0.008	1024
iteration 9	1.365105816	0.006	1024
iteration 10	1.365105816	0.006	1024
iteration 11	0.819118088	0.01	1024
iteration 12	0.910121098	0.009	1024
iteration 13	1.365105816	0.006	1024
iteration 14	0.819118088	0.01	1024
iteration 15	1.365105816	0.006	1024
iteration 16	1.365105816	0.006	1024
iteration 17	0.819118088	0.01	1024
iteration 18	1.023872016	0.008	1024
iteration 19	0.910121098	0.009	1024
	1.139726002	0.0075	
