Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
19583,10.99327564,3.226870298,8.557965279
23898,10.86613274,3.127372265,11.03351212
25001,10.76529503,3.327171564,11.77079201
26389,10.55852509,3.215636015,12.0422678
26831,10.4447937,3.295071363,11.84539604
27184,10.41624641,3.423478127,11.83165359
29136,10.32928944,3.379660368,13.39102936
29624,10.34669018,3.425133705,13.39172745
30435,10.31372452,4.146491051,13.31206131
32736,10.54614735,4.540201664,13.25787449
34377,10.72412109,4.888381004,13.27061462
35197,10.79155254,4.953347683,13.22066021
35488,10.80136585,5.252885818,13.27040958
35785,10.72614765,5.45680809,13.08066368
36182,10.73435783,5.710068226,12.75859642
36701,10.7141819,5.938122272,12.76543522
42516,10.90582085,5.904180527,12.71787262
43242,10.85014439,5.975961208,12.66274929
50605,11.40820599,5.973356724,12.57394123
51716,11.45993805,6.004734039,12.1121254
52480,11.58724689,5.999403954,12.02409267
52807,11.53797913,6.069013119,11.75245571
54524,11.83971405,6.082603931,11.66768456
55387,11.9258604,6.287161827,11.38572311
56150,11.94723797,6.265392303,11.30399895
56538,12.04013157,6.166789055,11.20171547
57092,12.43360615,6.202402592,11.1208744
58994,12.30077744,6.091773987,11.12191772
59266,12.28211212,6.15749073,11.13124752
59775,12.28680038,6.202024937,11.41629219
63501,12.72221661,6.251142025,11.27915478
64313,12.68143749,6.357748508,11.24391365
64797,12.70005035,6.509666443,11.31608391
65602,12.66657162,6.599995613,10.99275112
70232,12.86416721,6.670541286,10.74727058
71985,13.08665371,6.699493408,10.82261562
74761,13.36756325,6.878694057,10.72573948
77771,13.57659531,6.882371426,10.78704739
78164,13.66849327,7.098232269,10.88197041
81775,13.65932274,7.263551235,10.8271513
82161,13.69285393,7.158215523,10.71459007
82434,13.74067688,7.252916813,10.56732464
83877,13.76484966,7.211680412,10.33530903
85766,13.70701599,7.144218922,10.30978584
88182,13.2599287,7.274995804,10.3762722
89564,13.5534029,7.328838348,10.04094791
92490,13.65381622,7.524037838,10.12094402
93061,13.67710304,7.37955761,10.2468071
93314,13.63479614,7.615097046,10.03653526
94743,13.41437721,7.512755394,10.16710281
95243,13.53541088,7.48685503,10.07725716
95770,13.50566196,7.464128017,10.16897678
96988,13.64753437,7.681468487,10.04207993
97494,13.58284092,7.47872448,9.894458771
101124,13.82394123,7.727712631,10.26905441
101691,13.8416748,7.744543076,10.16813564
102294,13.75981331,7.773272514,10.10085678
102830,13.76035786,7.756300926,9.909581184
105410,13.89744282,7.805413723,9.774371147
108083,13.9380846,7.757227898,9.697210312
109650,13.8124752,7.700592041,9.828867912
110601,13.95804405,7.708688736,9.698892593
110891,14.08614731,7.801126957,9.658792496
111511,14.13508987,7.806945324,9.722961426
112629,14.17068481,8.023194313,9.53742218
113134,14.07765579,7.834656239,9.471305847
115522,14.42259693,7.817776203,9.453419685
115859,14.33406258,7.884904385,9.305953026
116393,14.28053379,7.912730694,9.208673477
117544,14.2267704,8.065928459,9.258057594
117819,14.2023735,8.065912247,9.257455826
119369,14.42268753,8.053915024,9.097266197
119506,14.32641411,8.113694191,8.953094482
119998,14.3874464,7.999321938,9.08707428
120919,14.50340843,8.081064224,8.696209908
121662,14.61083794,7.953635693,8.725265503
122137,14.59093189,7.982620239,8.656053543
123606,14.58839607,8.068693161,8.349887848
124787,14.65713596,8.0388937,8.565982819
124849,14.64450073,8.119638443,8.50330162
124975,14.58831787,8.142834663,8.421356201
125235,14.73736477,8.203737259,8.807794571
125303,14.56335354,8.164743423,9.118348122
127468,14.69167995,8.139440536,9.037714958
127726,14.5911541,8.20078373,8.61078167
128307,14.62796211,8.086705208,8.345438957
128622,14.60136414,8.059653282,8.354111671
129632,14.79256916,8.258223534,8.158131599
130253,14.59888935,8.229143143,8.104557037
132089,14.77647686,8.257138252,7.81880331
132557,14.70448399,8.016755104,7.965023518
132810,14.61906433,7.994047165,7.97079134
135424,14.67241669,7.948712826,7.953875065
136365,14.74739742,7.868533611,8.393568039
136452,14.96261692,7.886655807,8.447066307
137263,14.70894814,7.942696571,8.338529587
138007,14.68758297,7.947570801,8.266427994
139374,14.58853626,7.946797371,8.176101685
139522,14.57288837,7.92914772,8.432659149
139693,14.62628555,7.931062222,8.230397224
140220,14.62477684,7.854700565,8.000103951
142794,14.63781738,7.908554554,8.331552505
143886,14.48437786,7.830393791,8.048442841
144450,14.45398426,7.795911312,7.768805027
144709,14.43919754,7.911727428,7.760377407
144877,14.41749191,8.001754761,7.656695843
144981,14.31082916,7.907711029,7.763684273
145174,14.13976669,7.93315506,7.472951412
145522,14.39654922,7.941412926,7.632377625
