Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
19583,0.834900141,0.176515102,0.629451156
23898,0.965412676,0.171130091,1.001800299
25001,0.941650569,0.192158267,1.36503768
26389,0.891892791,0.16826877,1.525015473
26831,0.88490957,0.196735203,1.53928721
27184,0.904812396,0.155191958,1.499315619
29136,0.957918465,0.234264225,1.804056168
29624,0.956756473,0.232554778,1.914683342
30435,0.935473979,0.223591104,1.965783358
32736,0.965619862,0.307694405,2.00078845
34377,1.128933311,0.335607916,2.078612566
35197,1.102404594,0.338406473,2.085437059
35488,1.074570179,0.401596874,2.159307957
35785,1.244096994,0.444377512,1.907488704
36182,1.172392249,0.515971124,2.43596673
36701,1.214056492,0.552532256,2.27840066
42516,1.204150677,0.591416717,2.188601732
43242,1.386617541,0.610177398,2.178449154
50605,1.388335943,0.619550169,2.389231443
51716,1.47869277,0.622908235,2.138947725
52480,1.390707135,0.694827199,2.191537619
52807,1.60700357,0.657883942,1.986588001
54524,1.419972539,0.672140539,2.28578949
55387,1.580919862,0.684936345,2.36945796
56150,1.522017121,0.674533308,1.880062342
56538,1.766299963,0.673311412,2.069410086
57092,1.381662846,0.721779346,2.080905199
58994,1.635787725,0.775972307,2.114321232
59266,1.560777187,0.787842155,2.059103727
59775,1.747541189,0.832654357,1.908233881
63501,1.740966558,0.778268337,2.376337051
64313,2.02594924,0.801800132,2.311931133
64797,1.603412628,0.745008469,2.407331944
65602,1.954080701,0.811222315,2.313113689
70232,1.847122073,0.805505991,2.392404795
71985,2.046233654,0.856032312,2.07066679
74761,2.182405472,0.865386009,2.490665674
77771,2.092822552,0.911305487,2.095882416
78164,2.197108984,0.883546174,1.714406371
81775,2.29192853,0.92036128,2.388803959
82161,2.368231535,1.001575112,2.20765686
82434,2.45697093,1.078068018,2.172458887
83877,2.306868553,1.016478896,2.07595253
85766,2.472221375,0.986675978,2.259108543
88182,3.058721066,1.015782237,2.216990471
89564,2.325588942,1.054003239,2.3037076
92490,2.529683113,1.021045566,2.197565556
93061,2.37906909,1.080832839,2.360161781
93314,2.582459927,1.070871472,2.621224403
94743,2.952405691,1.139213204,2.11735177
95243,2.545170784,1.176008105,2.389558792
95770,2.653509855,1.152462363,2.093044043
96988,2.508478403,0.973285913,2.204096556
97494,2.573899031,1.378445268,2.253493547
101124,2.598886013,1.213962436,2.107267141
101691,2.480835199,1.290048361,2.289890051
102294,3.266388655,1.291082978,2.314731121
102830,3.16507864,1.206542253,2.492841244
105410,2.396545649,1.238490462,2.765102625
108083,2.692928791,1.346778154,2.44325161
109650,2.748127699,1.257282853,2.301756382
110601,2.792946577,1.261783361,1.895044565
110891,2.457638502,1.405938745,2.15343523
111511,2.528731108,1.354809761,2.406045437
112629,2.678903103,1.458890319,2.210376501
113134,2.893703222,1.191687942,2.339602232
115522,2.741979599,1.412920713,2.318478107
115859,2.693287373,1.379709601,2.270075798
116393,2.889009714,1.500860572,2.21804595
117544,3.474118948,1.474751115,1.939617395
117819,2.671908855,1.45753336,2.309308529
119369,2.747549295,1.723575115,2.173164606
119506,2.909909487,1.395279884,2.333699226
119998,2.681286097,1.47810173,2.203583479
120919,2.586868525,1.484468937,2.227575779
121662,2.334162712,1.481747985,2.239681482
122137,2.94670105,1.238507271,2.158539772
123606,2.718439579,1.538060904,1.843343973
124787,2.961392164,1.513597131,1.822488904
124849,2.547262192,1.454403639,1.704270482
124975,2.96912837,1.575870991,2.213400602
125235,2.878204107,1.342050552,2.260895729
125303,3.051336288,1.370204568,1.937656879
127468,2.969765663,1.112406015,2.092915773
127726,3.218261957,1.340499997,1.814966083
128307,2.648636103,1.53322196,2.063522816
128622,2.790032148,1.598750949,1.995276332
129632,3.069868326,1.359033585,1.772055745
130253,3.386791468,1.635442615,2.017519236
132089,2.798480988,1.560080528,1.847937107
132557,2.749515772,1.527364731,1.7763381
132810,3.415580273,1.395815372,1.823340297
135424,2.829283237,1.337605357,1.837039948
136365,2.907141924,1.639920592,2.036080837
136452,2.128632069,1.565179706,1.885854959
137263,3.25006485,1.553624034,2.111986637
138007,3.178594828,1.610218763,1.753233314
139374,3.172336102,1.638926983,2.049852371
139522,2.784180164,1.630319715,1.963695288
139693,3.128620386,1.611371875,1.791150331
140220,3.071077585,1.638437271,2.395102739
142794,2.899808645,1.531693578,2.033667088
143886,3.364801168,1.844416499,2.310341835
144450,3.307083368,1.396046162,1.958342791
144709,2.948992491,1.460938692,1.71993053
144877,3.182254791,1.41171658,1.794636965
144981,3.568498611,1.436353207,1.63767314
145174,4.997055054,1.491530061,1.961839199
145522,3.118617296,1.47020936,1.681813955
146161,3.052893162,1.540491104,1.592484951
147272,3.096835375,1.677758932,1.878062487
148104,3.193306923,1.651975393,1.700758219
148221,2.853592157,1.689414978,1.555746794
148580,3.140393734,1.387168646,1.759283304
149266,2.765612125,1.790084958,1.919542193
149450,3.215662956,1.711432099,1.544717431
149705,3.260911465,1.541061401,1.596329808
150232,2.961480141,1.772235632,1.445496321
150583,3.086462259,1.654327869,1.823588371
151117,2.967770576,1.737030268,1.71871233
152674,3.096000433,1.567681074,1.770654559
153159,3.418997288,1.538061857,1.927196026
153344,2.884739399,1.61942327,1.603466749
154119,3.168047428,1.516542435,1.693396688
154266,3.292729139,1.517497659,1.628390312
154436,3.062695742,1.775875092,1.553962827
155543,3.438370943,1.656700611,1.694666386
155874,3.421567917,1.715310454,1.474048615
156284,3.070298433,1.650068283,1.516795754
156506,3.59968853,1.937908649,1.79131341
157802,3.083942175,1.603776574,1.446861982
158411,3.295726538,1.855444789,1.422731996
158785,3.283148527,1.714728832,1.574039102
158926,3.666983366,1.711045146,1.512998104
160073,4.439522266,2.270668983,1.338365316
160751,3.285058022,1.61256659,1.438463569
161145,3.005861044,1.701011419,1.355686069
162148,3.05685401,1.64119947,1.309370756
162726,3.1361444,1.9015131,1.749009013
163204,3.440539837,1.648841739,1.369166493
164117,3.545027733,1.619151831,1.504926801
164317,3.635914564,1.706403375,1.498710036
164938,3.845020533,1.454782367,1.471698165
166795,2.886862993,1.486298203,1.452428699
169073,3.114440918,1.51333034,1.822693348
169392,3.79247117,1.563535452,1.366548777
171154,2.896105528,1.519410968,1.429746747
171420,2.893829346,1.519180536,1.536244631
172007,3.17551446,1.573093414,1.384661794
172460,3.200358152,1.596632838,1.678819656
173800,3.323692799,1.356401205,1.32784605
173836,3.729914188,2.035794258,1.657461286
174004,3.127406359,1.549502254,1.320387959
175296,3.04603529,1.79175663,1.651826262
175415,3.382434845,1.668150544,1.316858172
175983,3.066623449,1.825633049,1.536009192
176858,3.522740364,1.604573965,1.482948542
178218,3.124901533,1.708446503,1.419929028
178279,3.369554281,1.651693821,1.416769862
178334,2.978880167,1.742663741,1.342363477
178565,3.171659708,1.653498054,1.325248361
178748,3.126100063,1.214719892,1.390120149
180981,3.140443563,1.543238163,1.627899885
181422,2.969170332,1.780810595,1.600605488
184036,3.082777262,1.553667188,1.445106268
184472,3.101292849,1.600049496,1.580392599
184654,3.366318464,1.715982914,1.575888753
185814,3.39915514,1.617549181,1.478122592
186163,3.65448308,1.598733783,1.504659534
186582,3.145343065,1.782774806,1.538328886
186866,3.137328625,1.353834271,1.205026746
187267,3.061438084,1.698281407,1.513129711
187738,3.20955348,1.887665987,1.465272069
187863,3.021212339,1.597040415,1.294196367
188419,2.764977217,1.856399298,1.485830069
189083,3.211855412,1.442011714,1.505581141
189487,3.419259071,1.894950032,1.38608253
190104,3.224933147,1.735093832,1.695828795
191929,3.187625885,1.764290094,1.398599505
192022,3.412410021,1.629523516,1.557751536
192473,3.585683584,1.731333137,1.524706721
193483,3.210500002,1.727878332,1.465227842
193878,3.251017332,1.684153438,1.47274363
193957,4.606739521,1.785662174,1.585342169
194815,3.102653503,1.852707386,1.491290212
194988,3.086529016,1.67553401,1.382496834
195235,3.687644243,1.74990797,1.508661509
195646,3.319760799,1.823444009,1.483407974
196063,3.922142029,1.915359259,1.631522298
196540,3.248403072,1.653920054,1.090265512
196901,2.844996929,1.566623807,1.30435133
197345,3.110675097,1.765408039,1.288680911
199090,2.948292255,1.754823327,1.583571553
199158,2.819511652,1.724040866,1.323374748
199386,3.426497698,1.811322451,1.286949873
