Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
19583,151.3300018,37,179.2142792
23898,139.0399933,44.75,131.1176453
25001,135.6999969,53.44444275,123.2159119
26389,132.0899963,56.75,107.6100006
26831,133.6499939,62.05356979,82.81999969
27184,133.5200043,68.83333588,83.86000061
29136,135.3000031,68.80952454,108.75
29624,132.7599945,71.06521606,101.9899979
30435,134.5500031,84.75,95.19000244
32736,131.5299988,90.52999878,77.54000092
34377,136.8399963,96.80999756,61.40999985
35197,139.2799988,97.83999634,61.77000046
35488,136.8399963,95.31999969,66.83000183
35785,134.2400055,98.52999878,67.36000061
36182,126.6900024,91.87000275,67.09999847
36701,128.0299988,82.13999939,57.22999954
42516,140.6300049,81.25,60.54000092
43242,136.1799927,75.80000305,53.63000107
50605,151.1699982,71.44999695,52.40999985
51716,155.3399963,72.91999817,47.27999878
52480,157.7899933,70.47000122,49.41999817
52807,157.1100006,72.19999695,49.61999893
54524,138.2899933,66.91999817,51.04999924
55387,138.6100006,71.62000275,33.66999817
56150,136.3399963,67.47000122,30.46999931
56538,138.0200043,66.04000092,23.20000076
57092,132.2400055,66.05000305,23.52000046
58994,121.1100006,67.37000275,24.96999931
59266,115.6100006,69.98000336,27.92000008
59775,113.6399994,69.63999939,30.37000084
63501,99.76000214,60.43999863,27.54000092
64313,101.2300034,62.45999908,28.42000008
64797,102.7300034,62.27000046,29.70999908
65602,105.3399963,61.86999893,25.21999931
70232,112.3799973,63.90000153,26.59000015
71985,108.5699997,62.06999969,26.62999916
74761,102.0999985,56.40000153,26.35000038
77771,106.0199966,52.40999985,26.52000046
78164,107.7600021,49.13000107,24.32999992
81775,84.01999664,48.36000061,23.57999992
82161,82.88999939,46.29999924,22.75
82434,81.23000336,48.77999878,22.09000015
83877,82.44000244,49.5,19.39999962
85766,70.41000366,49.54000092,19.60000038
88182,75.87999725,51.81000137,20.04999924
89564,79.62000275,53.25999832,19.76000023
92490,83.90000153,55.70000076,20.43000031
93061,81.37000275,56.77000046,19.90999985
93314,80.33999634,54.84999847,20.87000084
94743,79.66000366,54.81999969,19.54000092
95243,83.34999847,55.18999863,19.38999939
95770,84.26000214,52.18999863,21.27000046
96988,77.23999786,50.18999863,21.05999947
97494,73.20999908,48.13999939,21.70000076
101124,72.66999817,38.45000076,21.63999939
101691,69.48000336,38.83000183,18.63999939
102294,65.23999786,40.02000046,20.48999977
102830,63.09000015,41.22999954,20.43000031
105410,72.22000122,43.79000092,19.11000061
108083,69.58999634,43.5,18.97999954
109650,77,44.84999847,18.63999939
110601,77.70999908,43.86999893,18.54000092
110891,75.66000366,45.33000183,17.32999992
111511,71.02999878,45.40999985,14.15999985
112629,72.19000244,44.20999908,13.75
113134,65.41999817,43.45999908,13.82999992
115522,69.29000092,36.04000092,15.61999989
115859,68.90000153,37.86000061,15.85000038
116393,70.48999786,41.43000031,15.90999985
117544,72.13999939,48.79000092,14.47000027
117819,67.65000153,48.93000031,13.31000042
119369,70.12999725,46.88000107,13.93000031
119506,68.76999664,49.43000031,14.01000023
119998,72.51999664,48.49000168,15.17000008
120919,76.23999786,48.88000107,14.71000004
121662,75.29000092,46.72999954,15.46000004
122137,73.55000305,45.00999832,15.31999969
123606,69.23000336,38.58000183,14.86999989
124787,67.54000092,38.70000076,12.77000046
124849,67.62000275,35.68999863,12.53999996
124975,66.40000153,33.47999954,12.59000015
125235,58.65999985,34.63999939,12.96000004
125303,57.97000122,35.06999969,16.92000008
127468,55.74000168,29.85000038,17.70999908
127726,55.88999939,28.37999916,14.30000019
128307,51.75,28.34000015,13.77000046
128622,51.97999954,27.63999939,13.48999977
129632,52.97999954,26.45000076,12.35999966
130253,56.13999939,32.06999969,13.97000027
132089,65.44000244,33.27999878,12.96000004
132557,58.20999908,32.29000092,12.60000038
132810,57.84000015,32.45999908,12.43000031
135424,57.91999817,33.47999954,11.68000031
136365,56.58000183,32.41999817,16.62000084
136452,52.93999863,35.84000015,21.57999992
137263,49.61999893,34.77999878,23.29000092
138007,54.5,26.67000008,22.29999924
139374,57.88000107,26.25,15.03999996
139522,56.47000122,24.87999916,14.22999954
139693,57.20000076,27.30999947,13.03999996
140220,57.61999893,27.39999962,12.73999977
142794,60.52000046,28.09000015,12.31999969
143886,53.88000107,25.70999908,11.43000031
144450,51.99000168,26.05999947,12.23999977
144709,53.34999847,26.03000069,10.96000004
144877,53.54999924,31.11000061,11.96000004
144981,52.88000107,32.36000061,12.22999954
145174,51.58000183,32.56000137,13.85000038
145522,52.06000137,31.54999924,17.35000038
146161,54.66999817,31.63999939,16.62999916
147272,49.59000015,26.26000023,13.64000034
148104,54.86000061,29.60000038,13.26000023
148221,54.27000046,33.25,14.85000038
148580,54.40999985,29.36000061,15
149266,59.00999832,28.12000084,12.53999996
149450,59.41999817,28.70999908,11.82999992
149705,58.18999863,24.81999969,15.02000046
150232,57.81999969,18.81999969,14.85000038
150583,57.06000137,19.65999985,13.67000008
151117,58.43000031,19.68000031,13.10999966
152674,54.02000046,19.89999962,10.35999966
153159,47.27000046,19.15999985,10.97999954
153344,47.63999939,19.14999962,11.80000019
154119,48.52999878,19.56999969,12.21000004
154266,48.15999985,18.86000061,11.69999981
154436,48.75999832,20.31999969,9.930000305
