Timesteps,95% Efficiency: (0.95),75% Efficiency: (0.75),85% Efficiency: (0.85)
19583,105,91,94
23898,106,95,94
25001,108,89,96
26389,107,89,102
26831,108,92,96
27184,108,88,96
29136,108,89,103
29624,109,93,104
30435,109,92,105
32736,109,91,106
34377,109,90,107
35197,110,90,107
35488,110,90,107
35785,110,90,108
36182,110,90,108
36701,110,90,108
42516,112,90,109
43242,112,90,109
50605,114,89,109
51716,114,89,110
52480,114,89,110
52807,115,89,111
54524,115,89,111
55387,115,89,111
56150,115,89,112
56538,115,89,112
57092,115,89,112
58994,115,90,112
59266,115,89,112
59775,115,89,113
63501,116,90,113
64313,116,91,113
64797,116,91,114
65602,116,92,114
70232,116,92,114
71985,116,92,114
74761,116,93,114
77771,117,93,114
78164,116,95,114
81775,117,95,114
82161,117,95,114
82434,117,95,114
83877,117,96,114
85766,117,95,114
88182,116,95,115
89564,116,95,115
92490,117,95,114
93061,117,95,114
93314,116,95,114
94743,116,95,114
95243,117,95,114
95770,116,95,114
96988,116,95,114
97494,116,95,114
101124,117,94,114
101691,117,94,114
102294,117,94,115
102830,117,94,115
105410,117,94,115
108083,117,94,115
109650,117,94,115
110601,117,95,115
110891,117,95,115
111511,117,95,115
112629,117,95,115
113134,117,96,115
115522,117,97,115
115859,117,97,115
116393,117,97,115
117544,117,98,115
117819,117,98,115
119369,118,98,115
119506,118,98,115
119998,118,98,115
120919,118,98,115
121662,118,99,115
122137,117,99,115
123606,118,99,116
124787,118,99,116
124849,118,99,116
124975,118,100,116
125235,118,100,116
125303,118,100,116
127468,118,100,116
127726,118,100,116
128307,118,100,116
128622,118,100,116
129632,118,100,116
130253,118,101,116
132089,118,101,116
132557,118,101,116
132810,118,101,116
135424,118,101,116
136365,118,101,116
136452,118,101,116
137263,118,101,116
138007,118,102,116
139374,118,102,115
139522,119,102,115
139693,119,102,115
140220,119,102,115
142794,119,102,115
143886,119,102,115
144450,119,102,115
144709,119,102,115
144877,119,102,114
144981,119,102,114
145174,119,103,114
145522,119,103,114
146161,119,103,114
147272,119,103,114
148104,119,103,114
148221,119,103,114
148580,119,103,114
149266,119,104,114
149450,119,104,114
149705,119,104,114
150232,119,104,114
150583,119,104,114
151117,119,104,114
152674,119,104,114
153159,119,104,114
153344,119,104,114
154119,119,104,114
154266,119,104,114
154436,119,104,114
155543,119,104,114
155874,119,104,114
156284,119,104,114
156506,119,104,114
157802,119,104,114
158411,119,104,114
158785,119,104,114
158926,119,104,115
160073,119,104,115
160751,119,104,115
161145,119,105,114
162148,119,105,115
162726,119,105,115
163204,119,104,115
164117,119,104,115
164317,119,104,115
164938,119,104,115
166795,119,104,115
169073,119,104,115
169392,119,104,115
171154,119,104,115
171420,119,104,115
172007,119,104,115
172460,119,104,115
173800,119,104,115
173836,119,104,115
174004,119,104,115
175296,119,104,115
175415,119,104,115
175983,119,104,115
176858,119,104,115
178218,119,104,115
178279,119,104,115
178334,119,104,114
178565,119,104,114
178748,119,104,115
180981,119,104,115
181422,119,103,115
184036,120,103,115
184472,120,103,115
184654,120,103,115
185814,120,103,115
186163,119,103,115
186582,119,103,115
186866,119,103,115
187267,119,103,115
187738,119,103,115
187863,119,103,115
188419,119,104,115
189083,119,104,115
189487,119,104,115
190104,119,104,115
191929,119,104,115
192022,119,104,115
192473,119,104,115
193483,119,104,115
193878,119,104,115
193957,119,104,115
194815,119,104,115
194988,119,104,115
195235,119,104,115
195646,119,104,115
196063,119,104,115
196540,119,104,115
196901,119,104,115
197345,119,104,115
199090,119,104,115
199158,119,104,115
199386,119,104,115
199831,119,104,115
200162,119,104,115
200854,119,105,115
201168,119,105,116
201591,119,105,116
201827,119,105,116
202431,119,105,116
202977,119,105,116
203894,119,105,116
203971,119,105,116
204397,119,105,116
204668,119,105,116
204783,119,105,116
204951,119,105,116
205464,119,105,116
205589,119,105,116
206815,119,105,116
207762,119,105,116
208333,119,105,116
210226,119,105,116
210789,119,105,116
210991,119,105,116
212186,119,105,116
212750,119,105,116
213883,119,105,116
215278,119,105,116
215512,119,105,116
215672,119,105,116
216086,119,105,116
216156,119,105,116
217065,119,105,116
217319,119,105,116
218145,119,105,116
218366,119,105,116
218851,119,105,116
218927,119,105,116
219142,119,105,116
219661,119,105,116
219863,119,105,116
220575,119,105,116
220887,119,105,116
220989,119,105,116
221723,119,105,116
222123,119,105,116
222164,119,105,116
222655,119,105,116
222984,119,105,116
223051,119,105,116
223704,119,104,116
223864,119,104,116
224411,119,104,116
224485,119,104,116
224797,119,104,116
224867,119,104,116
225886,119,104,116
226129,119,104,116
226911,119,104,116
227881,119,104,116
228170,119,104,116
228588,119,104,116
228902,119,104,116
229507,119,104,116
230301,119,104,116
231001,119,104,116
231555,119,104,116
231706,119,104,116
233456,119,104,116
233542,119,104,117
233821,119,104,117
233965,119,104,117
234600,119,104,117
235500,119,104,117
236314,119,104,117
236877,119,104,117
237064,119,104,117
237120,119,104,117
237419,119,104,117
237926,119,104,117
238122,119,104,117
238221,119,104,117
238672,119,104,117
238972,119,104,117
239104,119,104,117
240019,119,104,117
240069,119,104,117
240670,119,104,117
241299,119,104,117
241787,119,104,117
241895,119,104,117
242028,119,104,117
242096,119,104,117
242222,119,105,117
242759,119,104,117
242830,119,104,117
243203,119,104,117
243415,119,104,117
243480,119,104,117
244058,119,104,117
244107,119,104,117
244593,119,104,117
244682,119,104,117
245039,119,104,117
245498,119,104,117
245697,119,104,117
245727,119,104,117
245999,119,104,117
246731,119,104,117
246748,119,104,117
247159,119,104,117
247323,119,104,117
247625,119,104,117
247654,119,105,117
247749,119,105,117
