Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
2004,-420,-235.7142792,-331.6666565
3813,-468.5,-332.1818237,-307.2000122
5158,-423.3636475,-358.1538391,-347.9090881
6605,-412.3571472,-326.8888855,-329.8666687
8285,-409.6842041,-357.7727356,-271.9090881
9983,-408.2272644,-321.5185242,-238.6428528
11623,-416.884613,-289.4117737,-235.15625
13003,-403.2903137,-269.8250122,-223.0500031
15007,-414.4571533,-257.2391357,-214.7608643
16935,-419.2894592,-239.7592621,-218.1000061
18091,-409.0697632,-232.9499969,-213.4464264
19355,-401.1489258,-234.7313385,-221.2698364
21356,-408.9215698,-233.7361145,-207.75
22684,-409.2264099,-239.924057,-202.8974304
24529,-408.379303,-236.9156647,-198.1309509
26097,-406.2857056,-232.4777832,-196.8131866
27641,-408.4090881,-230.3473663,-192.979599
28900,-403.1304321,-227.7299957,-178.8000031
30411,-398.7999878,-228.9400024,-162.7299957
31431,-394.6666565,-204.3200073,-159.4400024
33128,-393.0963745,-206.3200073,-148.7799988
34071,-390.241394,-193.0099945,-150.8500061
35698,-385.5111084,-198.0200043,-154.6699982
36889,-381.7765808,-201.6100006,-148.4100037
38456,-383.3838501,-207.3800049,-144.2799988
40074,-380.7000122,-206.1199951,-149.5
42078,-382.6499939,-207.5700073,-149.7400055
43322,-384.3900146,-214.1600037,-149.4100037
44592,-381.6900024,-217.0800018,-152.0899963
45465,-371.7999878,-212.3800049,-146.8399963
47253,-372.7000122,-208.0700073,-150.3099976
48803,-370.3200073,-202.0399933,-153.3200073
50302,-372.230011,-198.3600006,-157.3399963
51605,-372.9899902,-187.7700043,-153.8200073
52895,-365.980011,-191.1199951,-146.8699951
53915,-359.6000061,-197.8200073,-150.0899963
55773,-364.1799927,-200.1999969,-142.6600037
57009,-356.7099915,-205.6499939,-144.8600006
58589,-357.6199951,-207.2100067,-146.2700043
59530,-350.769989,-198.2200012,-141.4299927
61149,-350.519989,-197.0299988,-135.9199982
62636,-350.519989,-204.4100037,-136.1100006
64071,-353.9700012,-196.1799927,-137.8800049
65925,-351.7099915,-180.6300049,-137.9199982
67929,-361.4299927,-181.6600037,-139.6999969
69231,-363.2000122,-175.7299957,-125.5699997
71229,-367.8299866,-180.2700043,-122.3000031
72808,-375.3500061,-187.2899933,-125.8000031
74326,-374.3699951,-191.0099945,-128.5599976
75513,-373.7999878,-193.7200012,-122.9199982
77277,-372.0299988,-196.3999939,-124.2200012
78733,-367.4899902,-198.5399933,-124.2600021
80335,-366.5,-197.6799927,-126.6399994
81311,-368.8200073,-204.1699982,-124.2200012
82855,-371.0700073,-200.6600037,-114.9899979
84166,-373.5700073,-199.3099976,-112.1399994
85407,-366.0400085,-194.3000031,-113.2900009
