Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
2004,-251,-46.95000076,-126.5714264
3813,-386.2857056,-53.44444275,-134.7692261
5158,-362.6000061,-57.66666794,-157.7368469
6605,-323.2000122,-69.7543869,-164.217392
8285,-291.1000061,-66.48000336,-181.1851807
9983,-266.5769348,-68.85057831,-165.027771
11623,-249.9375,-70.94845581,-162.1860504
13003,-236,-77.48000336,-144.3272705
15007,-227.1363678,-85.62000275,-131.1176453
16935,-218.3469391,-89.79000092,-130.9605255
18091,-210.8035736,-90.83000183,-122.9775314
19355,-201.8253937,-97.83999634,-113.1699982
21356,-186.6399994,-100.0899963,-103.9400024
22684,-185.0249939,-95.55999756,-103.7699966
24529,-177.3409119,-98.26999664,-87.62000275
26097,-176.875,-97.05000305,-84.11000061
27641,-170.5700073,-96.47000122,-84.23000336
28900,-161.2899933,-83.41999817,-82.79000092
30411,-150.3600006,-81.20999908,-85.98999786
31431,-139.25,-79.87999725,-89.47000122
33128,-137.5599976,-72.91999817,-93.94000244
34071,-139.5500031,-70.51999664,-103.0500031
35698,-139.0399933,-66.83999634,-105.4800034
36889,-132.7400055,-61.52999878,-100.2900009
38456,-134.2899933,-66.09999847,-101.5999985
40074,-132.1999969,-68.76000214,-108.6100006
42078,-131.8899994,-66.19000244,-104.2699966
43322,-131.5399933,-65.90000153,-106.25
44592,-132.7599945,-61.52999878,-102.3700027
45465,-137.4199982,-67.37000275,-95.06999969
47253,-131.5399933,-69.97000122,-75.16000366
48803,-129.4199982,-61.36999893,-73.88999939
50302,-137.2899933,-61.13999939,-68.58000183
51605,-136.9600067,-62.45999908,-65.70999908
52895,-129.9799957,-63.33000183,-59.02000046
53915,-127.1800003,-56.34999847,-61.83000183
55773,-124.2099991,-51.54999924,-67.52999878
57009,-125.4000015,-49.40000153,-66.27999878
58589,-132.2599945,-48.54000092,-52.84999847
59530,-139.3300018,-49.40999985,-60.61999893
61149,-138.2100067,-49.34000015,-57.90999985
62636,-134.6499939,-52.66999817,-43.02000046
64071,-130.8500061,-53.65000153,-45.77000046
65925,-136.1300049,-57.81000137,-45.63000107
67929,-135.2899933,-53.59000015,-47.38000107
69231,-141.4700012,-43.58000183,-49.52000046
71229,-140.9299927,-42.72000122,-49.61999893
72808,-146.2599945,-40.59000015,-44.22000122
74326,-147.25,-41.08000183,-37.95999908
75513,-152.1300049,-42.86999893,-32.36999893
77277,-155.3399963,-42.93000031,-32.11000061
78733,-154.8200073,-43.70999908,-30.65999985
80335,-155.9100037,-47.15999985,-23.69000053
81311,-137.2200012,-42.45000076,-26.40999985
82855,-138.75,-37.31999969,-30.34000015
84166,-134.1499939,-35.77999878,-30.67000008
85407,-121,-36.74000168,-24.42000008
86583,-121.1100006,-41.54000092,-27.32999992
87695,-113.6999969,-43.63000107,-27.82999992
88947,-112.0899963,-46.88000107,-29.40999985
89960,-105.8399963,-46.61999893,-25.04000092
91620,-102.4100037,-48.11999893,-27.31999969
93479,-100.2399979,-45.33000183,-26.75
94932,-101.1200027,-33.13000107,-23.97999954
96551,-103.4100037,-36.06000137,-21.05999947
98067,-106.1299973,-27.5,-19.43000031
99102,-107.7799988,-29.26000023,-19.92000008
100448,-114.7399979,-31.82999992,-19.69000053
101714,-117.9100037,-34.13999939,-20.59000015
103000,-111.5699997,-33.33000183,-20.45000076
104906,-108.5699997,-30.55999947,-20.36000061
106257,-104.0999985,-25.20999908,-18.63999939
107924,-102.4700012,-25.19000053,-13.85999966
109613,-101.0199966,-25.39999962,-16.03000069
110544,-99.94999695,-32,-16
111894,-101.5199966,-33.11000061,-13.26000023
113439,-106.0199966,-31.95999908,-14.47000027
114367,-96.94999695,-27.38999939,-14.68000031
115135,-90.76999664,-28.29000092,-15.75
116826,-85.98999786,-29.62000084,-14.14000034
117965,-83.83000183,-29.64999962,-12.30000019
119969,-81.26000214,-23.92000008,-16.07999992
121207,-82.05999756,-18.81999969,-16.62999916
123211,-70.79000092,-19.18000031,-16.20000076
124621,-70.08000183,-20.64999962,-16.87000084
125915,-70.79000092,-21.73999977,-11.82999992
127111,-74.31999969,-22.97999954,-12.89000034
128761,-79.13999939,-21.23999977,-12.97000027
130563,-77.08999634,-22.57999992,-18.07999992
132117,-85.23000336,-24.70000076,-23.17000008
133186,-81.08000183,-26.01000023,-12.93999958
134334,-80.77999878,-20.94000053,-11.51000023
135493,-79.44999695,-19.38999939,-12
136957,-80.86000061,-20.04000092,-12.46000004
138103,-80.76999664,-24.79000092,-14.25
