Links,MSE-MTS,RMSE-MTS,MSE-UTS,RMSE-UTS,,,,Links,MSE-MTS,RMS-MTS,MSE-UTS,RMSE-UTS
L1,0.018486,0.135346,0.194103,0.44057122,,,,L1,0.018486,0.135346,0.194103,0.44057122
L2,0.002685,0.05095,0.0281925,0.167906224,,,,L2,0.002685,0.05095,0.0281925,0.167906224
L3,0.001047,0.032113,0.0109935,0.104849893,,,,L3,0.001047,0.032113,0.0109935,0.104849893
L4,0.000421,0.020238,0.0044205,0.066486841,,,,L4,0.000421,0.020238,0.0044205,0.066486841
L5,0.00034,0.017573,0.00357,0.059749477,,,,L5,0.00034,0.017573,0.00357,0.059749477
L6,0.001523,0.038068,0.0159915,0.126457503,,,,L6,0.001523,0.038068,0.0159915,0.126457503
L7,-0.000601,0.024307,-0.0063105,0.07,,,,L7,-0.000601,0.024307,-0.0063105,0.07
L8,-0.000201,0.015725,-0.0021105,0.045,,,,L8,-0.000201,0.015725,-0.0021105,0.045
L9,0.002344,0.047389,0.024612,0.156882121,,,,L9,0.002344,0.047389,0.024612,0.156882121
L10,-0.000204,0.014062,-0.002142,0.046,,,,L10,-0.000204,0.014062,-0.002142,0.046
11,0.007431,0.085174,0.0780255,0.279330449,,,,11,0.007431,0.085174,0.0780255,0.279330449
12,0.00456,0.065391,0.04788,0.21881499,,,,12,0.00456,0.065391,0.04788,0.21881499
13,0.000047,0.009905,0.0004935,0.02221486,,,,13,0.000047,0.009905,0.0004935,0.02221486
14,0.000129,0.011161,0.0013545,0.036803532,,,,14,0.000129,0.011161,0.0013545,0.036803532
15,0.016338,0.126156,0.171549,0.414184741,,,,15,0.016338,0.126156,0.171549,0.414184741
16,0.002261,0.04581,0.0237405,0.154079525,,,,16,0.002261,0.04581,0.0237405,0.154079525
17,-0.001124,0.032348,-0.011802,0.154,,,,17,-0.001124,0.032348,-0.011802,0.154
18,-0.000104,0.009161,-0.001092,0.1086,,,,18,-0.000104,0.009161,-0.001092,0.1086
19,0.001157,0.032499,0.0121485,0.110220234,,,,19,0.001157,0.032499,0.0121485,0.110220234
20,0.000489,0.021037,0.0051345,0.071655425,,,,20,0.000489,0.021037,0.0051345,0.071655425
21,0.000399,0.019179,0.0041895,0.064726347,,,,21,0.000399,0.019179,0.0041895,0.064726347
22,0.000122,0.016276,0.001281,0.03579106,,,,22,0.000122,0.016276,0.001281,0.03579106
23,-0.004276,0.062015,-0.044898,0.806,,,,23,-0.004276,0.062015,-0.044898,0.806
24,-0.003881,0.058564,-0.0407505,0.704,,,,24,-0.003881,0.058564,-0.0407505,0.704
25,0.000704,0.024352,0.007392,0.085976741,,,,25,0.000704,0.024352,0.007392,0.085976741
26,0.002037,0.044088,0.0213885,0.146248077,,,,26,0.002037,0.044088,0.0213885,0.146248077
27,0.101585,0.010641,1.0666425,1.032783859,,,,27,0.101585,0.010641,1.0666425,1.032783859
28,0.022165,0.000552,0.2327325,0.482423569,,,,28,0.022165,0.000552,0.2327325,0.482423569
29,0.04228,0.001883,0.44394,0.666288226,,,,29,0.04228,0.001883,0.44394,0.666288226
30,0.022417,0.000532,0.2353785,0.485158222,,,,30,0.022417,0.000532,0.2353785,0.485158222
31,0.021968,0.000545,0.230664,0.480274921,,,,31,0.021968,0.000545,0.230664,0.480274921
32,0.023671,0.00064,0.2485455,0.498543378,,,,32,0.023671,0.00064,0.2485455,0.498543378
33,0.035223,0.001323,0.3698415,0.608145953,,,,33,0.035223,0.001323,0.3698415,0.608145953
34,0.014565,0.000219,0.1529325,0.391065851,,,,34,0.014565,0.000219,0.1529325,0.391065851
,,,,,,,,,,,,
,,,,,,,,,,,,
