Days,y_forecasted,y_truth
20/12/2018,224.968104,223.388826
21/12/2018,215.286921,215.87972
22/12/2018,224.871591,228.973823
23/12/2018,195.290155,181.24018
24/12/2018,194.205838,114.956234
25/12/2018,186.210647,72.512225
26/12/2018,135.000467,154.237042
27/12/2018,71.579878,119.583671
28/12/2018,131.720274,117.028806
29/12/2018,135.73159,63.865425
30/12/2018,98.660271,104.643744
31/12/2018,100.397804,99.373857
01/01/2019,96.702185,93.023888
02/01/2019,86.425814,79.326084
03/01/2019,93.518244,108.14937
04/01/2019,65.452916,119.534581
05/01/2019,80.154804,91.001282
06/01/2019,97.568293,75.487054
07/01/2019,97.943649,72.107611
08/01/2019,22.352595,91.144693
09/01/2019,83.217984,113.414866
10/01/2019,96.77408,135.131709
11/01/2019,111.651307,125.451465
12/01/2019,115.906918,152.48068
13/01/2019,127.015746,126.516942
