#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
67.32.116.151,44506,8,0,7,5,49,1,49,0,0,0,1,1,128.120.252.10,53,10,0,10,2,3365,6,6730,3,3365,0,1,1,1.44889E+12,1.44889E+12,558.667,185.25,371.453,185.25,371.454,185.25,370.95,1,0,1,0,0,0,0,185.20216,184.712,185.7,0.494017,3,63,63,0.519474,0.501,0.538,0,2,47,48,0,0,0,0,0,0,1,1,4,1,0,1460,49,49,23296,14600,0,49,49,49,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1460,1448,469,49232,49183,0,3365,1448,3365,0,0,0,3,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.002110932,0.00070167
67.32.172.74,60852,10,0,9,3,1912,5,1912,0,0,0,1,1,54.171.26.84,443,9,0,9,4,547,3,547,0,0,0,1,1,1.44889E+12,1.44889E+12,40257.083,54.919,99.841,40212.164,40212.163,54.444,99.353,1,0,1,0,8192,0,0,55.668072,42.446,105.359,24.695319,6,126,126,0.626734,0.001,1,0.47742,4,40,40,0,0,0,0,0,0,1,0,2,1,0,1460,1460,37,65700,8192,0,1701,37,174,0,0,0,0,0,0,0,0,0,1,0,8,1,0,8961,357,37,25088,17922,0,394,153,153,0,0,0,0,0,0,0,0,0,0,0,---,4,3,scss-prod-ew1-notif-21.adobesc.com,-,0,0,1,100.84,99.841,102.852,40212.163,234,154,scss-prod-ew1-notif-21.adobesc.com,234.122.1.21,1.44889E+12,1.44889E+12,0.129158401,0.000379958
67.32.116.151,53013,6,0,5,3,37,1,37,0,0,0,1,1,130.206.1.7,53,4,0,4,1,753,1,753,0,0,0,1,1,1.44889E+12,1.44889E+12,124.816,41.417,82.862,41.417,82.862,40.923,82.356,1,0,1,0,0,0,0,40.768308,40.449,40.939,0.277851,3,63,63,0.004333,0.002,0.009,0.004041,3,54,54,0,0,0,0,0,0,1,1,4,1,0,1460,37,37,16112,14600,0,37,37,37,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,753,753,14592,14480,0,753,753,753,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.007230269,0.002371491
67.32.115.89,55127,13,1,11,5,1383,4,1383,1,1,0,1,2,64.235.151.55,443,10,0,10,2,3857,6,3857,0,0,0,1,1,1.44889E+12,1.44889E+12,913.16,141.79,272.086,791.841,912.185,123.834,272.086,1,0,1,0,8192,0,0,130.698986,120.344,158.777,16.176211,5,61,61,1.51997,1.03,2.034,0.35572,5,55,55,0,0,0,0,0,0,1,1,3,1,0,1460,709,31,524280,65535,0,709,31,517,0,0,0,0,1,0,0,0,0,1,1,9,1,0,1460,1448,31,31744,28960,0,3033,31,3033,0,0,0,0,0,0,0,0,0,0,0,---,4,4,api.copy.com,*.copy.com,0,0,0,277.614,398.901,400.933,784.37,644,3085,api.cudadrive.com,234.122.1.21,1.44889E+12,1.44889E+12,0.035723058,0.012116168
67.32.116.151,38070,6,0,5,3,43,1,43,0,0,0,1,1,199.249.120.1,53,4,0,4,1,762,1,762,0,0,0,1,1,1.44889E+12,1.44889E+12,7.987,3.496,4.993,3.496,4.993,2.97,4.486,0,1,1,0,0,0,0,1.648278,0.985,2.97,1.1446,3,64,64,0.335989,0.474,0.534,0.292527,3,59,59,0,0,0,0,0,0,1,1,4,1,0,1460,43,43,16128,14600,0,43,43,43,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,762,762,5888,5792,0,762,762,762,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,b2.org.afilias-nst.org,199.19.54.1,1.44888E+12,1.44888E+12,0.115824916,0.043069989
67.32.76.210,57791,8,0,7,4,91,2,91,0,0,0,1,1,84.101.191.223,50047,10,0,10,3,3667,5,3667,0,0,0,1,1,1.44889E+12,1.44889E+12,12789.291,332.987,520.72,522.718,10587.494,82.881,484.775,1,0,1,0,0,0,0,122.071698,81.881,154.274,36.546366,4,125,125,0.99938,0.496,1.998,0.612997,5,110,110,0,0,0,0,0,0,1,0,2,1,0,1460,51,40,66792,8192,0,51,40,51,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1452,1452,51,66560,8192,0,1808,51,51,0,0,0,0,0,0,0,0,0,0,0,---,2,3,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.002644645,5.69226E-05
67.32.49.34,28877,884,0,883,872,2085,10,2086,1,1,0,1,1,31.13.86.15,443,2233,0,2233,7,3042807,2224,3042971,2,164,0,1,1,1.44889E+12,1.44889E+12,91237.997,8.481,15.453,71287.173,91233.004,7.988,15.453,1,0,1,0,8192,0,0,12.97777,2.492,46.409,16.543342,10,126,126,5.623628,0.464,210.204,26.569407,276,88,88,0,0,0,0,0,0,1,0,8,1,2,1460,611,1,66048,8192,0,829,45,517,0,0,0,0,0,0,1,0,0,1,0,8,1,0,1410,1410,1,18944,14100,0,65805,45,182,0,0,0,0,1,0,1,0,0,0,0,---,9,168,video.xx.fbcdn.net,-,225,6,1,16.44,15.453,17.439,21.942,634,183,video.xx.fbcdn.net,234.122.1.21,1.44889E+12,1.44889E+12,0.142903316,0.000182906
67.32.57.20,59073,6,1,5,2,182,2,182,0,0,0,1,0,173.194.112.6,80,5,0,5,2,984,1,984,0,0,0,1,1,1.44889E+12,1.44889E+12,525.235,23.466,522.735,35.475,522.735,13.499,34.952,1,0,1,0,1,0,1,12.154595,11.486,13.003,0.774179,3,125,125,0.747463,0.496,0.999,0,2,54,54,0,0,0,0,0,0,1,0,8,1,0,1460,116,66,65536,8192,0,116,66,66,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1430,984,984,43008,42900,0,984,984,984,0,0,0,0,0,0,0,0,0,1,1,302,2,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.071368146,0.002772092
67.32.84.200,56808,5,0,4,2,88,1,88,0,0,0,1,1,193.206.135.154,80,4,0,4,1,184,1,184,0,0,0,1,1,1.44889E+12,1.44889E+12,56.932,17.008,33.473,17.008,33.473,15.979,32.984,1,0,1,0,1,0,1,15.80914,15.501,15.976,0.267582,3,125,125,2.661578,0.478,7.006,3.762321,3,58,58,0,0,0,0,0,0,1,0,8,1,0,1460,88,88,65536,8192,0,88,88,88,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1460,184,184,14624,14600,0,184,184,184,0,0,0,0,0,0,0,0,0,1,1,200,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.044066099,0.012365629
67.32.92.125,52359,9,1,8,4,675,3,675,0,0,0,1,0,77.238.185.35,443,10,0,10,1,3420,7,3420,0,0,0,1,1,1.44889E+12,1.44889E+12,208847.89,43.437,93.353,149.774,15421.431,42.927,86.363,1,0,1,0,8192,0,0,46.177596,41.937,51.923,4.641573,4,126,126,0.700186,0.012,1.501,0.565653,5,46,46,0,0,0,0,0,0,1,0,2,1,0,1460,405,134,65700,8192,0,405,134,136,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1460,1460,37,17920,14600,0,3074,37,3074,0,0,0,0,0,0,0,0,0,0,0,---,3,5,pr-bh.ybp.yahoo.com,*.ybp.yahoo.com,0,0,0,100.344,148.273,149.774,201.697,271,3134,pr-bh.ybp.yahoo.com,234.122.1.21,1.44889E+12,1.44889E+12,0.062400092,2.58561E-05
67.32.92.125,52354,10,1,9,4,1277,4,1277,0,0,0,1,0,62.67.193.85,443,12,0,12,4,4049,6,4918,1,869,0,1,1,1.44889E+12,1.44889E+12,208869.369,18.979,31.952,169.765,392.925,18.462,31.952,1,0,1,0,8192,0,0,14.474111,11.992,17.962,2.590631,5,126,126,1.203976,0.001,4.504,1.857626,5,119,246,0,0,0,0,0,0,1,0,0,1,1,1460,421,141,64240,8192,0,421,141,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1460,1368,59,8192,5808,0,2716,59,2716,1,0,0,0,0,0,0,0,0,0,0,---,4,5,pixel.rubiconproject.com,*.rubiconproject.com,0,0,0,32.942,47.93,52.434,169.262,468,2776,pixel.rubiconproject.com,234.122.1.21,1.44889E+12,1.44889E+12,0.187506959,4.8911E-05
67.32.92.125,52353,9,1,8,4,866,3,866,0,0,0,1,0,208.81.233.64,443,9,0,9,2,4825,6,4825,0,0,0,1,1,1.44889E+12,1.44889E+12,208869.858,101.853,204.691,310.547,197698.222,101.355,204.691,1,0,1,0,8192,0,0,101.58921,100.842,102.838,0.863821,4,126,126,40.243595,0.011,197.707,88.02952,5,245,245,0,0,0,0,0,0,1,0,0,1,0,1460,405,135,64240,8192,0,405,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,1460,37,65535,32768,0,4068,37,4068,0,0,0,0,0,0,0,0,0,0,0,---,3,6,gmtdmp.mookie1.com,*.mookie1.com,0,0,0,205.702,308.039,310.547,412.39,462,4128,gmtdmp.mookie1.com,234.122.1.21,1.44889E+12,1.44889E+12,0.031505864,3.3169E-05
67.32.92.125,52355,9,1,8,4,873,3,873,0,0,0,1,0,95.131.122.232,443,9,0,9,2,4825,6,4825,0,0,0,1,1,1.44889E+12,1.44889E+12,208869.369,19.973,32.452,48.43,206141.88,19.48,32.452,1,0,1,0,8192,0,0,13.477913,10.972,18.968,3.712788,4,126,126,38.947821,0.012,191.731,85.411177,5,244,244,0,0,0,0,0,0,1,0,0,1,0,1460,405,142,64240,8192,0,405,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,1460,37,65535,32768,0,4068,37,4068,0,0,0,0,0,0,0,0,0,0,0,---,3,6,eu-gmtdmp.gd1.mookie1.com,*.mookie1.com,0,0,0,33.462,46.441,48.43,60.91,469,4128,eu-gmtdmp.gd1.mookie1.com,234.122.1.21,1.44889E+12,1.44889E+12,0.170814003,3.34372E-05
