#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.170.227.197,41094,5802,0,5801,3,96476418,5797,96503262,3,26844,0,1,1,128.55.205.18,50902,4763,0,4763,4759,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,7639.427,48.294,124.069,7490.677,175.651,47.615,95.996,1,0,0,0,8192,0,0,47.889916,47.564,88.552,2.425569,2380,64,64,0.102747,0.005,0.391,0.192181,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,26844,38,29696,26880,0,1288512,1,263,0,2,0,0,1,0,0,0,0,1,1,13,1,41,8960,730,627,2744320,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,24,2,-,-,0,0,0,126.115,175.651,176.042,0,1116,0,-,-,0,0,116.4072635,101.0581155
192.170.227.197,41090,8366,0,8365,3,177500327,8361,177625599,14,125272,0,1,1,128.55.205.18,50902,9860,0,9860,9856,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,7639.527,48.378,123.915,7523.858,175.19,47.649,96.085,1,0,0,0,8192,0,0,47.799183,47.527,87.22,1.832464,2743,64,64,0.092998,0.004,0.357,0.176006,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,2961326,1,263,0,2,0,0,12,0,0,0,0,1,1,13,1,980,8960,730,627,11427840,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,70,2,-,-,0,0,0,126.2,175.19,175.547,0,1116,0,-,-,0,0,271.6189865,186.0069075
192.170.227.197,41092,9486,0,9485,3,316167336,9481,316355244,18,187908,0,1,1,128.55.205.18,50902,15505,0,15505,15501,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,7639.612,48.333,123.541,7471.848,175.056,47.589,96.101,1,0,0,0,8192,0,0,47.778788,47.565,65.556,0.428386,1882,64,64,0.067498,0.008,0.242,0.11634,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,3023329,1,263,0,0,0,0,18,0,0,0,0,1,1,13,1,637,8960,730,627,12124160,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,141,2,-,-,0,0,0,126.154,175.056,175.298,0,1116,0,-,-,0,0,368.9461224,331.2788597
192.170.227.197,41088,8755,0,8754,3,221002892,8750,221172905,20,170013,0,1,1,128.55.205.18,50902,11817,0,11817,11813,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,7640.14,48.032,123.477,7479.772,173.366,47.663,95.879,1,0,0,0,8192,0,0,47.876522,47.594,87.456,1.791548,2064,64,64,0.099498,0.006,0.366,0.177765,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,3002764,1,263,0,0,0,0,20,0,0,0,0,1,1,13,1,854,8960,730,627,12034048,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,171,2,-,-,0,0,0,124.582,173.366,173.732,0,1116,0,-,-,0,0,274.6765459,231.5904211
192.170.227.197,35796,10011,0,10010,3,164113953,10006,164313481,24,199528,0,1,1,128.55.205.27,50460,9904,0,9904,9900,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,12635.738,48.091,107.759,12255.584,159.276,47.67,95.703,1,0,0,0,8192,0,0,47.807682,47.567,87.577,1.515292,4722,64,64,0.156246,0.005,0.606,0.299839,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,2969641,1,263,0,4,0,0,20,0,0,0,0,1,1,13,1,1252,8960,730,627,11427840,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,43,2,-,-,0,0,0,110.204,159.276,159.882,0,1116,0,-,-,0,0,271.2713155,104.0309516
192.170.227.197,35792,12486,0,12485,3,218119119,12481,218271238,18,152119,0,1,1,128.55.205.27,50460,12665,0,12665,12661,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,12635.945,47.87,107.463,12197.517,159.386,47.591,95.48,1,0,0,0,8192,0,0,47.701942,47.508,86.855,0.754245,5395,64,64,0.087248,0.006,0.326,0.159176,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,2955355,1,263,0,1,0,0,17,0,0,0,0,1,1,13,1,1150,8960,730,627,11829248,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,53,2,-,-,0,0,0,110.385,159.386,159.712,0,1116,0,-,-,0,0,272.2104657,138.1906857
192.170.227.197,35794,10604,0,10603,3,200796186,10599,201004659,24,208473,0,1,1,128.55.205.27,50460,11801,0,11801,11797,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,12635.882,48.128,107.543,12289.765,158.402,47.584,95.741,1,0,0,0,8192,0,0,47.726201,47.536,87.206,1.077258,4050,64,64,0.100747,0.004,0.385,0.189521,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,2966972,1,263,0,3,0,0,21,0,0,0,0,1,1,13,1,1262,8960,730,627,11649024,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,89,2,-,-,0,0,0,110.243,158.402,158.787,0,1116,0,-,-,0,0,272.180538,127.2595987
192.170.227.197,35790,12654,0,12653,3,228081240,12649,228280765,23,199525,0,1,1,128.55.205.27,50460,13397,0,13397,13393,1357,2,1357,0,0,0,1,1,1.51984E+12,1.51984E+12,12636.387,47.916,107.472,12520.002,157.042,47.549,95.47,1,0,0,0,8192,0,0,47.678322,47.506,87.517,0.785063,5214,64,64,0.097748,0.005,0.369,0.180852,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,3002764,1,263,0,12,0,0,11,0,0,0,0,1,1,13,1,1376,8960,730,627,11919360,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,97,2,-,-,0,0,0,108.725,157.042,157.411,0,1116,0,-,-,0,0,274.4850943,144.522807
192.170.227.197,39192,3942,0,3941,3,201844829,3937,201844830,1,1,0,1,1,128.55.205.21,50408,10653,0,10653,10649,1357,2,1357,0,0,0,1,1,1.51985E+12,1.51985E+12,4019.244,48.521,192.992,3902.358,244.706,47.602,96.164,1,0,0,0,8192,0,0,47.939772,47.577,87.563,1.474063,730,64,64,0.176746,0.004,0.692,0.343503,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2984868,1,263,0,0,0,0,1,0,0,0,0,1,1,13,1,0,8960,730,627,11878400,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,771,2,-,-,0,0,0,195.069,244.706,245.398,0,1116,0,-,-,0,0,272.7058689,401.756808
192.170.227.197,39194,3965,0,3964,3,202651623,3960,202651623,0,0,0,1,1,128.55.205.21,50408,10185,0,10185,10181,1357,2,1357,0,0,0,1,1,1.51985E+12,1.51985E+12,4019.27,48.494,192.747,3902.267,244.521,47.566,96.128,1,0,0,0,8192,0,0,47.89585,47.562,86.635,1.447135,723,64,64,0.126497,0.004,0.483,0.237684,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2984868,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11829248,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,776,2,-,-,0,0,0,195.046,244.521,245.004,0,1116,0,-,-,0,0,275.6269868,403.3600589
