Date,bost_amst_in,bost_amst_out,lond_newy_in,lond_newy_out,cern-513_wash_in,cern-513_wash_out
2018-01-01 8:00:00,6209084014,3928262261,1109242703,8683116412,957578154.6,7241650791
2018-01-01 9:00:00,5626661022,2724891322,1242255684,5181239326,1846840168,3695483905
2018-01-01 10:00:00,6194187461,4624548767,2006321817,12242859279,1947976077,5325143249
2018-01-01 11:00:00,2283469962,2481708289,1073180847,4717642252,2217494258,2194284219
2018-01-01 12:00:00,2557495920,1017395425,864506881,1987249399,1115394286,3096372928
2018-01-01 13:00:00,4192455124,1953970570,2095669115,2365350917,400866455.3,2435066124
2018-01-01 14:00:00,1456968103,872842023,1322850060,1706671051,1205670318,2431454469
2018-01-01 15:00:00,2659175063,1183159964,991734394,402269859.5,636704048.8,1762252012
2018-01-01 16:00:00,1785315559,579165879.3,318333405.9,497139194.7,590283749.9,6578175040
2018-01-01 17:00:00,1905195283,765320608.1,1659557151,346383572.1,1008237875,1222680856
2018-01-01 18:00:00,1267244620,618154744.9,910713342.5,273087138,680393371.3,4861187050
2018-01-01 19:00:00,2727857337,1219229028,2749361338,1191382334,1007894937,8452759701
2018-01-01 20:00:00,3423195076,605751444.4,653328848.9,346213289.7,543468330.5,2166877057
2018-01-01 21:00:00,4211964100,3308067413,1171920105,454841874.4,1212879431,5560818895
2018-01-01 22:00:00,2507387845,4235448100,1169594121,91937339.36,1494054203,3393172898
2018-01-01 23:00:00,1243527854,4061057724,2494177750,1073365692,1005594925,1017051228
2018-01-02 0:00:00,12487934163,2514852727,2479682876,15330378567,1516310574,5634500949
2018-01-02 1:00:00,8047809970,4825275957,1781156583,15943125909,2182540812,5718151216
2018-01-02 2:00:00,2914308880,4745132260,3569956609,18817055942,2827402180,1715937301
2018-01-02 3:00:00,2029848975,5088660109,6068239870,5652249642,937272079.7,1187013105
2018-01-02 4:00:00,7694975156,4832506804,4476428920,19281830149,2325248721,1770102722
2018-01-02 5:00:00,6313212613,4055152902,5047990970,17591472426,1101772815,1259528783
2018-01-02 6:00:00,6843524889,6924208489,5667573850,12663444523,1480870744,5106437835
