,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,466584504452583.9,575831681906701.6,658085233895530.5,743803074102120.1,820803382330813.8,889641799955448.9,951017026945175.1,1004805032057401.9,1051823809554863.2,1091270764300911.6,1123117510586336.6,1147845636045790.0,1165727538555185.2,1178146810159010.5,1186012054009299.5,1190339800705907.0,1192221322237268.5,1192787063934049.0,1193014097603409.2,1193931865218827.5,1196446014817123.5,1200754989462620.8,1207398882337357.0,1216217547052030.8
1,SACR_SUNN_out,1135778669.9118478,1459784594.0081987,1753269971.8756862,2055061545.1319478,2326685336.2189546,2565220859.4488306,2776118416.416719,2962694602.5878506,3122807330.307382,3254373554.6931643,3353307176.7022696,3421553074.396228,3460375690.2142687,3474859593.824724,3469581028.731645,3450859861.5542707,3424126554.5464,3395339700.4870563,3369340719.2939854,3350900133.7674036,3345666961.5215135,3356260063.4115915,3384045688.250253,3431419239.1340346
2,LOND_NEWY_in,1620496492.6869824,2271694417.5525856,2852738014.096023,3397638334.5256467,3857990026.0131674,4246251579.9403157,4581513818.807217,4876103525.357945,5131854903.956076,5348183392.761035,5521117463.759054,5651945312.220792,5744577633.448614,5805828325.381133,5844517117.301016,5867246143.085815,5879647810.2813835,5892534333.285259,5912410046.391476,5945238931.462606,5994992075.123167,6069784584.774667,6173379549.189437,6303133153.381636
3,LOND_NEWY_out,1211575715.58847,1686775911.84025,2095142918.5825067,2495413369.4081745,2836653574.328705,3123905170.041733,3370938120.4453206,3586262929.5212297,3772394740.998803,3930559471.771236,4059524972.5255146,4160246290.495717,4236390140.1328864,4292389664.3800044,4333051218.654837,4362676524.717396,4385977279.756953,4408635707.041792,4434815051.37485,4467767899.037231,4510735541.144946,4565427546.491268,4633749669.0048275,4717748224.896632
4,JGI_SACR_in,3120016990.6856813,3226546637.2801604,3225700039.2805357,3176452820.3249164,3115433022.3101788,3068101609.7187304,3044451128.3659797,3042559325.076581,3053193309.3289723,3068633010.32469,3085070640.6678934,3099794772.770865,3112453893.461332,3124190930.677448,3136560260.1171517,3150604564.1220775,3166525131.9219213,3184559978.022778,3204185882.3361244,3225551188.141427,3248591516.173435,3273353914.815131,3299063868.452869,3325856142.9900684
5,JGI_SACR_out,10801142.060849648,12211222.337160641,13388014.786797134,14394070.558944799,15254272.455506993,16030816.752338821,16746781.840353249,17391156.52595388,17953961.294761512,18424469.486662403,18798476.205602873,19077127.488163143,19275234.223647587,19400434.71175667,19461324.77835523,19463744.721476793,19416336.795639165,19334757.74303085,19233518.307319805,19122964.27378879,19008575.458059162,18901151.60572459,18817449.06536148,18764065.026324686
6,HOUS_PANTEX_in,13384951.033886068,16735481.175798438,19651435.276729528,22657212.1536587,25394671.477881905,27830996.847632717,30040551.37189406,32042213.542713806,33814282.26197214,35326267.66992038,36560581.91307908,37497437.916610785,38137668.86322126,38505323.141177334,38614277.433320954,38506618.30650263,38238038.897970565,37859754.00511618,37418583.9532612,36947600.14710131,36475383.86540604,36041414.91271384,35686161.014478035,35409318.08056649
7,HOUS_PANTEX_out,9323589.29401664,11089733.980808428,13770291.80065694,16760101.925181113,19559393.083942275,22074363.93102734,24369057.511600804,26452178.811708707,28334098.44435827,29968243.597162522,31330086.355725404,32411747.00182489,33197881.017568413,33706808.94026934,33962457.95321142,33985723.39784898,33807913.60182063,33475105.583582338,33042364.210489675,32572539.096169084,32117546.787836228,31722734.756857254,31430262.91553828,31272860.312709708
8,BOIS_PNWG_in,3558493.764719565,4184648.3819713267,4682493.819222235,5234125.997382523,5756764.373142261,6243912.460292855,6694951.694184592,7104119.846327256,7469088.045826548,7779074.154364309,8030841.106597717,8223061.129171974,8357903.276194221,8442467.32034756,8483380.304312816,8488538.859665236,8467627.776134359,8428621.626528043,8381534.246572644,8328280.517956267,8276690.088841469,8231553.672159461,8194164.399330418,8167575.390803847
9,BOIS_PNWG_out,10176837.000092594,11312058.587581996,12393331.360896105,13589074.719179906,14706769.88254718,15770255.894028142,16767698.841271112,17681084.255166627,18501636.579035357,19216342.887244098,19807618.712328114,20287618.60286557,20651244.287943598,20900371.946688604,21049259.427541558,21117218.783066515,21116576.10396379,21066748.497882985,20982551.776482146,20882750.85317186,20783852.475879885,20696316.529845994,20628292.600927737,20590328.058131393
