,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,1.7830035802065055e+30,2.126163275990107e+30,2.4180805594449036e+30,2.7979339131425877e+30,3.205702922496951e+30,3.625019342350596e+30,4.043781899547349e+30,4.4475481090178097e+30,4.819145909961234e+30,5.143215839686985e+30,5.410241711483133e+30,5.617686748028048e+30,5.768588555509266e+30,5.869267014678597e+30,5.927325192527227e+30,5.950754277954276e+30,5.947387124255836e+30,5.92496032472641e+30,5.890996350931568e+30,5.852793538049848e+30,5.817318835948916e+30,5.790920676659248e+30,5.779124529657127e+30,5.786434881022046e+30
1,SACR_SUNN_out,1.4925341986181618e+19,1.7445704206940774e+19,1.9758143447593906e+19,2.275519788703583e+19,2.6020462891917017e+19,2.9428618937875767e+19,3.2881137835353133e+19,3.6245444369945838e+19,3.934790297055367e+19,4.201830305957705e+19,4.4139181471726264e+19,4.567033603844107e+19,4.664249868568616e+19,4.713248760330836e+19,4.723667093428088e+19,4.7052892694948315e+19,4.667250323260756e+19,4.617927779052114e+19,4.565096751095807e+19,4.516045664716724e+19,4.477532222914029e+19,4.4555878754184356e+19,4.455252464969149e+19,4.48031663714049e+19
2,LOND_NEWY_in,8.908244321900085e+18,1.3631041693766975e+19,1.910409494055956e+19,2.5701527488605934e+19,3.242964351914036e+19,3.891212142039289e+19,4.502789953430499e+19,5.069363249174976e+19,5.578279908866413e+19,6.016190572054132e+19,6.374468267876718e+19,6.651865850066781e+19,6.85421573605012e+19,6.992617476790674e+19,7.081416235686379e+19,7.1365678728006476e+19,7.174457670330711e+19,7.2110144532230185e+19,7.260988928623139e+19,7.3373248001412055e+19,7.450635611728796e+19,7.608817931243856e+19,7.816831473852098e+19,8.076657831333185e+19
3,LOND_NEWY_out,6.060756831250254e+18,8.727149017043998e+18,1.163330666726068e+19,1.5250270914315424e+19,1.8984343390289277e+19,2.259898542911975e+19,2.6009588664261124e+19,2.9171571060535853e+19,3.2025976938154787e+19,3.451047552555191e+19,3.6584628450685837e+19,3.824356161984239e+19,3.951696974900864e+19,4.046015700700901e+19,4.114384403547277e+19,4.1646078960076e+19,4.204662243703956e+19,4.2422951846533325e+19,4.284699222558282e+19,4.338217558725581e+19,4.408085359214016e+19,4.498224723795198e+19,4.6111201356761055e+19,4.747783574449101e+19
4,JGI_SACR_in,2.6207559407991935e+19,2.961526629552997e+19,2.9507999049016664e+19,2.8405992093579428e+19,2.7658616042107232e+19,2.752453463629193e+19,2.7834065518697312e+19,2.8346369720613884e+19,2.888489335868846e+19,2.9360587898673844e+19,2.9749052906508902e+19,3.0059829959778787e+19,3.0314100160261267e+19,3.053297043406379e+19,3.0733144035868094e+19,3.0926370914134372e+19,3.1120324534087274e+19,3.1319757513487397e+19,3.1527451408392176e+19,3.174493262800271e+19,3.1972918608970805e+19,3.2211613064021873e+19,3.246084495456467e+19,3.2720164429830906e+19
5,JGI_SACR_out,303189242989352.2,374617151496792.0,434101160754526.4,489489426038427.3,545489412470881.44,604119805185881.5,663329312171833.8,719430358899658.0,769195134721553.0,810883838275102.9,844233128770129.9,869877226969797.4,888738024513555.6,901660379838475.6,909306741443814.6,912211664471457.1,910894059244485.2,905959644826319.5,898161652656216.1,888411929416601.0,877748354408230.6,867270643301127.2,858059471954571.1,851092004833818.9
6,HOUS_PANTEX_in,367578795253596.6,529807578317696.8,706634317727951.8,919119033895925.5,1137293100188701.5,1352537694889178.5,1562558078108415.0,1763820849247966.5,1950311764220552.8,2115342625802772.8,2253482035690515.0,2361592577895947.5,2438978822398901.5,2486993974320663.0,2508461379577440.0,2507143047931082.0,2487346518228670.0,2453660079589906.0,2410762978918890.0,2363257619882613.0,2315497128192071.0,2271408026317321.0,2234328621724312.8,2206884790839019.2
7,HOUS_PANTEX_out,194425413677906.4,265933723677369.7,382953489021438.6,545047255055759.7,728184568906810.6,917800941437348.9,1104719554656562.5,1282062150699873.0,1443887986612167.5,1585434169427211.8,1703425555769690.5,1795994951364037.2,1862440522191518.5,1903084864906433.0,1919303664115809.2,1913627582910744.5,1889763956872786.8,1852433453109503.5,1807019268291943.5,1759104434388586.2,1714004443740690.5,1676378300880752.0,1649960440522161.0,1637417854831205.2
8,BOIS_PNWG_in,23985162971220.33,31447193877089.168,38390678798232.516,47508201694800.86,57682269213129.59,68643186461534.84,79956690740992.73,91060869834623.77,101380491438979.5,110442277324999.22,117936463889725.6,123730973057812.23,127853094578026.64,130451868927904.31,131753517354656.2,132020263499908.44,131518412089666.5,130497277680307.7,129177468620994.1,127745704332971.31,126353689593706.94,125119134251990.64,124127987219526.27,123436988717684.75
9,BOIS_PNWG_out,251655903351140.25,328901327214660.4,409909143596727.7,512039359011727.5,620075423737082.9,727620293779618.6,830639300080232.9,926477084358789.8,1013283497921965.8,1089769488250466.4,1155026574401733.0,1208455978324673.5,1249809269532717.2,1279257612455880.0,1297413891822081.0,1305285662952710.2,1304185408962998.0,1295630801529780.5,1281259400762126.2,1262761046692664.5,1241824262546974.0,1220086535324059.0,1199082910036933.2,1180194727811314.5
