,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,1335291571233229.0,1458136919493538.8,1555017864670661.5,1672702577609835.5,1790447687729789.8,1903948356009321.0,2010915686832083.2,2108921077000704.0,2195255317716195.5,2267865921893749.0,2325992629283922.0,2370165974784898.5,2401788615908832.5,2422657015484981.5,2434609864542413.0,2439416790537090.0,2438726537407553.5,2434124139136377.5,2427137480846844.5,2419254748481409.5,2411911863221564.0,2406433185579697.0,2403980975310979.5,2405500962590131.0
1,SACR_SUNN_out,3863333015.1802363,4176805502.6468225,4445013323.668885,4770240862.580823,5101025670.580086,5424815106.330885,5734207690.287572,6020418953.025266,6272790684.420585,6482152656.299993,6643732495.497261,6757983133.926946,6829531366.476485,6865310452.070494,6872893927.180957,6859511111.948746,6831727690.1679535,6795533664.880275,6756549971.025011,6720153022.600545,6691436484.727348,6675019007.777008,6674767759.981728,6693516741.699008
2,LOND_NEWY_in,2984668209.6843,3692024064.624576,4370823142.219274,5069667394.278044,5694703110.7108965,6237958113.068161,6710283118.789027,7119946101.744715,7468788328.013061,7756410620.93423,7984026720.819963,8155897160.991414,8279019106.180466,8362187200.003761,8415115112.514135,8447820945.546045,8470217039.917402,8491769222.737402,8521143660.696691,8565818583.265236,8631706442.951357,8722853851.374477,8841284676.930214,8987022772.494339
3,LOND_NEWY_out,2461860441.058805,2954174845.3745923,3410763355.5057263,3905159524.822952,4357102637.107516,4753839020.109931,5099959672.807338,5401071288.229387,5659149842.348653,5874561730.508235,6048522832.120735,6184137904.335769,6286252440.763784,6360829899.235556,6414346734.89614,6453377329.74572,6484336699.851386,6513290400.90593,6545761393.877935,6586514676.766143,6639341352.283384,6706880589.212244,6790522907.461623,6890416224.328615
4,JGI_SACR_in,5119331929.850997,5441991023.102663,5432126567.83848,5329727206.300471,5259145942.271162,5246383005.108561,5275799988.503859,5324130888.756763,5374466797.617086,5418541122.726102,5454269236.708883,5482684557.748949,5505824203.537675,5525664705.179259,5543748193.764585,5561148344.913519,5578559360.093542,5596405767.408882,5614931113.414677,5634264160.296597,5654460063.434068,5675527558.211824,5697441965.879483,5720154231.297519
5,JGI_SACR_out,17412330.19987136,19355029.100902744,20835094.450338505,22124407.92514971,23355714.771140732,24578848.735973813,25755180.297793176,26822198.994483244,27734367.393570617,28476022.163832907,29055690.12723893,29493681.136301,29811709.520145867,30027660.24582128,30154713.42002465,30202841.99328694,30181021.50763763,30099163.52369812,29969345.215673566,29806239.773185093,29626818.162067804,29449459.134271502,29292652.18368885,29173481.191551667
6,HOUS_PANTEX_in,19172344.54242873,23017549.355170216,26582594.262561202,30316976.001836423,33723776.48171541,36776863.58145809,39529205.3816974,41997867.19879911,44162334.22522583,45992854.0732446,47470854.59195479,48596219.79018479,49386018.491055764,49869770.14505544,50084542.32173276,50071379.52893931,49873304.665208116,49534433.27211795,49099521.16791864,48613348.165731326,48119612.71864177,47659291.0807255,47268685.42411892,46977492.38559908
7,HOUS_PANTEX_out,13943651.375371747,16307474.472687967,19569197.454710264,23346247.13001556,26984895.19910742,30295229.681211345,33237321.71304665,35805895.47406786,37998526.11105025,39817510.83916738,41272576.31611686,42379180.635826804,43156002.157191515,43624360.91115184,43809858.070025854,43745029.23659721,43471415.39992443,43039905.35665133,42509049.25179983,41941678.964826696,41400536.75667371,40943599.02207855,40619705.07675014,40465020.13877177
8,BOIS_PNWG_in,4897464.953546919,5607779.763604235,6196021.207051547,6892619.363841359,7594884.410781351,8285118.373417174,8941850.521060657,9542581.927058512,10068787.98262132,10509152.074501501,10859855.610905956,11123442.50031492,11307214.2713414,11421552.824721528,11478393.500601737,11490007.114876319,11468147.71833998,11423540.505478488,11365626.626851425,11302464.524738457,11240715.706471138,11185666.464363696,11141274.039333485,11110220.012118787
9,BOIS_PNWG_out,15863666.138416436,18135636.939866778,20246213.06804627,22628286.700758576,24901313.69500579,26974437.784310143,28820813.660967883,30438086.08238681,31832114.25466373,33011656.854063936,33985681.9028504,34762853.42610232,35352641.6202908,35766710.95384478,36019632.03340758,36128737.3561921,36113507.292466044,35994871.87822427,35794683.97349146,35535349.25525095,35239526.99096533,34929737.120740816,34627776.56790764,34353962.33058589
