,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,911715061358363.1,941620752453265.1,977111634843123.4,1015951553465352.8,1056036900349593.8,1095363740982117.9,1132799614075249.5,1166680311248159.5,1196052233407080.5,1221418455882906.0,1242353515795293.8,1259502577298259.0,1272139610577312.8,1280730747787377.0,1286558416576559.2,1289634875285220.2,1290558623840441.2,1291104114310560.5,1291641049999356.5,1292700789867070.2,1294537701808787.5,1297264049630874.5,1301487336525971.8,1307967862689894.0
1,SACR_SUNN_out,2251647426.9412565,2376901964.2244906,2520920237.067655,2671623657.232268,2823113286.437195,2968149349.001684,3100210932.9220853,3219707517.7646966,3323293608.671428,3404943281.2768807,3464177898.946086,3504421196.8024225,3525365816.0037875,3529860873.266242,3523226323.484369,3507200609.6959805,3487212355.0256386,3466078270.6570945,3445907881.8968706,3428607117.4359145,3415792346.214824,3408367131.4790864,3407357765.160689,3413488061.5630674
2,LOND_NEWY_in,3475726969.686037,3616721455.578826,3815351252.89865,4049205798.3112335,4296872002.638246,4536484570.795386,4760711841.803139,4968176090.245633,5151800638.755156,5311124627.736771,5448462071.393844,5562492014.568134,5655042275.789353,5729931257.8491535,5789367428.379648,5837071295.930517,5876356922.280456,5910060576.742315,5942734597.822137,5973780576.266017,6007181641.478193,6042728681.882081,6081887026.797254,6125947000.104948
3,LOND_NEWY_out,2747749597.4872317,2819763325.7679405,2944508204.457714,3087869328.9968767,3245849524.6241775,3402116971.4148226,3551684144.141024,3687577987.007893,3809257862.8303995,3917434079.6176276,4011493695.797359,4093031290.8673577,4162686547.2983255,4223652998.8907743,4276890755.971604,4323853716.344657,4365351693.755275,4403166784.427702,4438282607.028176,4471811016.964287,4505272293.44712,4538081954.339783,4570468098.204367,4603936540.600935
4,JGI_SACR_in,3417998037.304232,3391837358.444532,3414401422.869917,3427437178.550163,3416922626.7821674,3399973154.3407626,3377095887.376843,3351547735.2279844,3326481041.4087315,3305827947.5630484,3291749063.69353,3287677451.542032,3282474268.130923,3283235584.7893977,3288464151.2547636,3299437461.685471,3314921524.7079,3331626808.3201566,3355456016.739146,3385528203.4368086,3420564395.445581,3455610647.529111,3489524509.6731715,3518863121.7650285
5,JGI_SACR_out,21738288.28400586,22089830.243589617,22172075.499150127,22234064.511539962,22317962.64957594,22477566.791122925,22643505.320111115,22852010.591825757,23019750.57704437,23170347.921665885,23279581.908424884,23389091.673149556,23467720.128492184,23526017.886946633,23588468.651535895,23602916.295464277,23593381.88124313,23574003.96427199,23581815.737400632,23563695.089683414,23568184.430866364,23573236.24692064,23573909.382619992,23580278.62074775
6,HOUS_PANTEX_in,27366769.017115656,28381231.27125799,29586806.521238383,30939628.728536528,32382136.174076565,33840991.59607081,35293821.92949432,36745703.110749625,38114662.54633708,39365714.69898724,40483481.71193914,41414020.18031835,42136132.02939165,42646149.17343651,42936759.96850122,43028335.93585645,42954634.638130456,42730431.22710191,42403071.53889018,42016054.36409169,41604839.48765645,41223130.501168,40884804.30061654,40623006.58110625
7,HOUS_PANTEX_out,25056596.06506668,25898852.10090482,26812638.613705564,27853767.817836225,29077089.17702814,30402666.758167077,31769479.918027062,33140264.442104343,34466215.28046221,35695751.82053561,36817544.932906926,37788257.870611675,38569585.7921267,39144926.01046802,39539080.306502596,39780990.30109341,39868384.65577342,39810106.48365062,39639901.62391705,39387869.81990622,39075166.98424026,38740888.15382328,38411694.472579814,38120607.022123605
8,BOIS_PNWG_in,6808164.045725338,6657152.894576424,6638905.937016649,6714329.684983403,6870046.184073912,7081273.755218407,7321318.009521025,7584805.384710853,7841972.926403151,8084968.606924852,8300669.714432866,8484170.87506135,8631648.140179897,8730257.886309234,8788553.404052671,8809534.315702455,8800798.72210866,8764917.253647573,8707487.46477487,8643838.118469829,8587916.88789278,8531562.320214039,8490150.688654087,8462077.271685945
9,BOIS_PNWG_out,20344832.52879904,19894814.337961465,19684640.034039106,19646874.562584396,19767554.144197416,19983492.87705427,20253431.815392062,20605278.25871271,21014445.68016789,21441916.25550666,21860173.10803306,22253455.33048276,22594756.85369736,22874218.861530602,23080938.07353955,23224793.68495619,23294692.40600949,23314183.186062712,23317275.82308539,23277143.812859315,23226525.332000326,23182152.82218239,23137423.196547505,23085759.94607201
